;NumberOfTryCatch;NumberOfAnonymousClasses;NumberOfLambdas;Maximum Depth;NumberOfComparisons;NBD;MaxNumberOfNestedBlocks;CBO;FileLength;NumberOfInnerClasses;MethodLength;NumberOfParameters_CK;NumberOfLogStatements;IsConstructor;NumberOfStringLiterals;NVAR;BuggedMethods;NumberOfParenthesizedExps;AnonymousInnerClassLength;Di;NumberOfLoops;NCOMP;NumberOfModifiers;NOP;NumberOfMathOperations;NumberOfAssignments;IOVars;NumberOfUniqueWords;VG;RFC;Returns;Si;WMC_CK;Ci;LOCMethod_CK;NumberOfNumbers;Fin;MCLC;Fout;NumberOfVariables
count;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360;360.0;360.0;360;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0
unique;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;False;;;False;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;354;;;356;;;;;;;;;;;;;;;;;;;;;;;
mean;0.002777777777777778;0.0;0.0;1.1611111111111112;0.225;0.5027777777777778;0.12777777777777777;1.2527777777777778;21.805555555555557;0.0;8.830555555555556;0.23055555555555557;0.0;;4.383333333333334;0.15555555555555556;;0.03333333333333333;0.0;0.46435185185;0.03611111111111111;0.26944444444444443;1.5055555555555555;0.20555555555555555;0.19722222222222222;1.6416666666666666;0.49166666666666664;12.841666666666667;0.6611111111111111;2.888888888888889;0.3333333333333333;0.08055555555555556;1.163888888888889;0.5449074074055555;6.216666666666667;0.6166666666666667;0.10555555555555556;0.425;0.05277777777777778;1.2944444444444445
std;0.052704627669473;0.0;0.0;1.0484841897973614;0.8189520445383124;0.8176282403009734;0.466487563455402;1.55134699510659;88.92261962530988;0.0;14.164047220825877;0.47752813182276677;0.0;;9.844628641646265;0.6273454906134301;;0.26703781043245;0.0;0.6949952937529416;0.18682626815386427;1.3629231743123618;2.4000864010033114;0.411495299251519;0.9247407559960046;3.441826537818915;0.7197473248989289;12.475041936169681;1.321195916801357;3.6373011649819023;0.7756747444594291;0.4913283934597575;1.268133710378007;0.8501489978424831;7.477189080527588;1.5843067427594957;0.5970887796907254;1.7440507710276112;0.2792609736909238;2.9246759641902598
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;5.0;0.0;0.0;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;12.0;0.0;1.0;0.0;0.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0
75%;0.0;0.0;0.0;2.0;0.0;1.0;0.0;2.0;0.0;0.0;11.0;0.0;0.0;;5.25;0.0;;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;17.25;1.0;5.0;1.0;0.0;1.0;1.0;9.0;1.0;0.0;0.0;0.0;2.0
max;1.0;0.0;0.0;5.0;10.0;5.0;3.0;6.0;984.0;0.0;186.0;3.0;0.0;;110.0;4.0;;3.0;0.0;3.0;1.0;19.0;10.0;2.0;12.0;50.0;3.0;118.0;10.0;18.0;10.0;4.0;11.0;4.666666667;82.0;14.0;8.0;19.0;2.0;43.0
