;NOCh;WMC_CK_25%;Bugged;DIT;WMC_CK_mean;WMC_CK_min;WMC_CK_max;NORM;WMC_CK_75%;NPM;NMI;WMC;WMC_CK_count;WMC_CK_std;WMC_CK_50%
count;47.0;47.0;47;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0;47.0
unique;;;2;;;;;;;;;;;;
top;;;False;;;;;;;;;;;;
freq;;;45;;;;;;;;;;;;
mean;0.0;1.5;;0.425531914893617;1.8810624537470597;1.297872340425532;3.4680851063829787;0.0;2.0638297872340425;3.595744680851064;0.0;11.0;7.425531914893617;0.7579247368359339;1.6808510638297873
std;0.0;1.8400732499597376;;0.49976867914561146;1.990011838345005;1.667005824264379;3.7869975708066;0.0;2.2755004735618907;8.43043032185522;0.0;22.74528140267683;8.68468086783465;1.1060485880128859;2.057397923705144
min;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;1.0;;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0
50%;0.0;1.0;;0.0;1.1176470588235294;1.0;2.0;0.0;1.0;0.0;0.0;0.0;4.0;0.3153017676423058;1.0
75%;0.0;1.0;;1.0;1.8704453441295548;1.0;4.0;0.0;2.0;1.0;0.0;11.0;9.0;1.0345224838248488;1.5
max;0.0;11.0;;1.0;11.0;11.0;16.0;0.0;11.0;33.0;0.0;95.0;39.0;4.686537780028703;11.0
