Ait;Ai;Average Statements per Method;Average Complexity*;blame_merge_priorityMajor_max;NF;NumberOfMathOperations_min;Maximum Depth_min;PMR;NumberOfMathOperations_std;blamemerge_priorityMajor_std;Ao;blamemerge_priorityMinor_min;NumberOfMathOperations_mean;blame_merge_priorityMinor_min;Maximum Depth_count;HMi;NumberOfMathOperations_25%;Maximum Depth_mean;Ma;issues_priorityMinor_max;issues_priorityMinor_mean;Md;Mit;issues_priorityMajor_mean;NM;NumberOfMathOperations_max;NumberOfModifiers_mean;Average Block Depth;Bugged;Maximum Depth_std;issues_priorityMinor_min;blame_merge_priorityMinor_mean;blamemerge_priorityMajor_count;issues_priorityMajor_min;MaxNumberOfNestedBlocks_max;blamemerge_priorityMajor_max;issues_priorityMajor_max;issues_priorityMajor_count;NMA;Mi;blamemerge_priorityMinor_std;Maximum Depth_75%;Maximum Block Depth;Maximum Depth_25%;NumberOfMathOperations_count;MaxNumberOfNestedBlocks_75%;blame_merge_priorityMinor_count;SIX;Maximum Depth_max;blamemerge_priorityMinor_max;HMd;issues_priorityMajor_std;blame_merge_priorityMajor_count;blamemerge_priorityMajor_mean;Ad;NMI;blame_merge_priorityMinor_max;NumberOfModifiers_min;issues_priorityMinor_count;blame_merge_priorityMinor_std;NumberOfModifiers_max;Maximum Complexity*;MaxNumberOfNestedBlocks_count;NumberOfModifiers_50%;Mo;blamemerge_priorityMajor_min;MaxNumberOfNestedBlocks_std;blame_merge_priorityMajor_std;MaxNumberOfNestedBlocks_25%;NumberOfModifiers_25%;NumberOfModifiers_75%;NumberOfMathOperations_50%;blamemerge_priorityMinor_mean;blamemerge_priorityMinor_count;PMd;issues_priorityMinor_std;blame_merge_priorityMajor_min;blame_merge_priorityMajor_mean;MaxNumberOfNestedBlocks_50%;PMi;Av;Maximum Depth_50%;NumberOfMathOperations_75%;NOPa;MaxNumberOfNestedBlocks_min;NumberOfModifiers_std;NumberOfModifiers_count;MaxNumberOfNestedBlocks_mean
0.0;0.0;1.5;1.0;0.0;2.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;4.0;0.0;0.0;4.0;0.0;1.0;2.0;0.0;1.0;1.29;False;0.0;0.0;0.0;580.0;1.0;0.0;1.0;1.0;245.0;4.0;0.0;0.0;2.0;2.0;2.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;245.0;0.0;1.0;1.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;580.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0
0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;4.0;0.75;False;0.0;0.0;0.0;580.0;1.0;0.0;1.0;1.0;245.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;245.0;0.0;4.0;1.0;1.0;4.0;0.0;1.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0;580.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
0.0;0.0;2.75;1.7;0.0;3.0;0.0;2.0;0.8;0.22941573387056174;0.15957654953354886;0.0;0.0;0.05263157894736842;0.0;4.0;0.0;0.0;2.0;20.0;1.0;0.01004016064257028;20.0;0.0;0.9839357429718876;19.0;1.0;0.9473684210526316;1.86;False;0.0;0.0;0.0;2984.0;0.0;3.0;1.0;1.0;498.0;20.0;0.0;0.12582664249524844;2.0;5.0;2.0;19.0;0.5;0.0;0.0;2.0;1.0;4.0;0.12584911555855854;0.0;0.9738605898123324;3.0;0.0;0.0;0.0;498.0;0.0;2.0;6.0;19.0;1.0;0.0;0.0;0.904827856717728;0.0;0.0;1.0;1.0;0.0;0.0160857908847185;2984.0;16.0;0.09979656567587128;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.4046513191112561;19.0;0.4736842105263158
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;False;0.0;0.0;0.0;588.0;1.0;0.0;1.0;1.0;255.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;255.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;588.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0
0.0;0.0;29.0;14.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;4.0;3.53;False;0.0;0.0;0.0;612.0;1.0;4.0;1.0;1.0;247.0;1.0;0.0;0.0;0.0;6.0;0.0;1.0;4.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;247.0;0.0;4.0;14.0;1.0;4.0;0.0;1.0;0.0;0.0;4.0;4.0;4.0;1.0;0.0;612.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;4.0;0.0;1.0;4.0
0.0;0.0;4.33;2.59;0.0;16.0;0.0;2.0;0.815789474;0.9704012163151328;0.10387584288801137;0.0;0.0;0.3684210526315789;0.0;9.0;0.0;0.0;2.0;38.0;1.0;0.00974025974025974;38.0;0.0;0.9902597402597404;38.0;4.0;1.6578947368421053;2.12;False;0.0;0.0;0.0;1101.0;0.0;3.0;1.0;1.0;308.0;38.0;0.0;0.10387584288801137;2.0;5.0;2.0;38.0;0.75;0.0;0.0;2.0;1.0;7.0;0.09837075418746744;0.0;0.989100817438692;16.0;0.0;0.0;1.0;308.0;0.0;10.0;16.0;38.0;1.0;0.0;0.0;0.8263099002245488;0.0;0.0;1.0;1.0;0.0;0.010899182561307902;1101.0;31.0;0.09837075418746744;0.0;0.0;0.0;0.0;15.0;2.0;0.0;0.0;0.0;1.7285569014623652;38.0;0.42105263157894735
0.0;0.0;4.33;2.59;0.0;16.0;0.0;0.0;0.815789474;0.0;0.10387584288801137;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.0;1.0;0.00974025974025974;38.0;0.0;0.9902597402597404;38.0;0.0;1.0;2.12;False;0.0;0.0;0.0;1101.0;0.0;0.0;1.0;1.0;308.0;38.0;0.0;0.10387584288801137;0.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;7.0;0.09837075418746744;0.0;0.989100817438692;16.0;0.0;0.0;1.0;308.0;0.0;1.0;16.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.010899182561307902;1101.0;31.0;0.09837075418746744;0.0;0.0;0.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
0.0;0.0;1.33;1.0;0.0;1.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;2.0;3.0;0.0;0.0;3.0;0.0;1.0;1.0;1.0;1.0;1.2;False;0.0;0.0;0.0;580.0;1.0;0.0;1.0;1.0;245.0;3.0;0.0;0.0;2.0;2.0;2.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;245.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;580.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0
0.0;0.0;3.25;1.75;0.0;1.0;0.0;2.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;4.0;0.0;0.0;4.0;0.0;1.0;2.0;0.0;5.5;1.59;False;0.0;0.0;0.0;580.0;1.0;2.0;1.0;1.0;245.0;4.0;0.0;0.0;2.0;4.0;2.0;2.0;1.5;0.0;0.0;2.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;245.0;0.0;10.0;4.0;2.0;5.5;0.0;1.0;1.4142135623730951;0.0;0.5;3.25;7.75;0.0;0.0;580.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;6.363961030678928;2.0;1.0
0.0;0.0;2.26;1.6;0.0;13.0;0.0;2.0;0.857142857;0.5063696835418332;0.02853417616330565;0.0;0.0;0.1794871794871795;0.0;23.0;0.0;0.0;2.0869565217391304;42.0;1.0;0.003787878787878789;42.0;0.0;0.9962121212121212;39.0;2.0;1.0;1.81;False;0.2881040655200304;0.0;0.0;6137.0;0.0;3.0;1.0;1.0;264.0;42.0;0.0;0.02853417616330565;2.0;4.0;2.0;39.0;0.0;0.0;0.0;3.0;1.0;6.0;0.06154574548966636;0.0;0.9991852696757372;13.0;0.0;0.0;0.0;264.0;0.0;2.0;6.0;39.0;1.0;0.0;0.0;0.5831646179767074;0.0;0.0;1.0;1.0;0.0;0.0008147303242626693;6137.0;36.0;0.06154574548966636;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.3973597071195131;39.0;0.2307692307692308
