;NumberOfTryCatch;NumberOfAnonymousClasses;NumberOfLambdas;NumberOfComparisons;MaxNumberOfNestedBlocks;CBO;NumberOfInnerClasses;NumberOfParameters_CK;NumberOfLogStatements;IsConstructor;NumberOfStringLiterals;BuggedMethods;NumberOfParenthesizedExps;NumberOfLoops;NumberOfModifiers;NumberOfMathOperations;NumberOfAssignments;NumberOfUniqueWords;RFC;Returns;WMC_CK;LOCMethod_CK;NumberOfNumbers;NumberOfVariables
count;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360;360.0;360;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0;360.0
unique;;;;;;;;;;2;;2;;;;;;;;;;;;
top;;;;;;;;;;False;;False;;;;;;;;;;;;
freq;;;;;;;;;;354;;356;;;;;;;;;;;;
mean;0.002777777777777778;0.0;0.0;0.225;0.12777777777777777;1.2527777777777778;0.0;0.23055555555555557;0.0;;4.383333333333334;;0.03333333333333333;0.03611111111111111;1.5055555555555555;0.19722222222222222;1.6416666666666666;12.841666666666667;2.888888888888889;0.3333333333333333;1.163888888888889;6.216666666666667;0.6166666666666667;1.2944444444444445
std;0.052704627669473;0.0;0.0;0.8189520445383124;0.466487563455402;1.55134699510659;0.0;0.47752813182276677;0.0;;9.844628641646265;;0.26703781043245;0.18682626815386427;2.4000864010033114;0.9247407559960046;3.441826537818915;12.475041936169681;3.6373011649819023;0.7756747444594291;1.268133710378007;7.477189080527588;1.5843067427594957;2.9246759641902598
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;1.0;3.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;;0.0;;0.0;0.0;1.0;0.0;1.0;12.0;1.0;0.0;1.0;4.0;0.0;0.0
75%;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;;5.25;;0.0;0.0;1.0;0.0;2.0;17.25;5.0;1.0;1.0;9.0;1.0;2.0
max;1.0;0.0;0.0;10.0;3.0;6.0;0.0;3.0;0.0;;110.0;;3.0;1.0;10.0;12.0;50.0;118.0;18.0;10.0;11.0;82.0;14.0;43.0
