;NumberOfParameters_CK_min;NumberOfNumbers_25%;NumberOfTryCatch_75%;NumberOfStringLiterals_mean;RFC_25%;NumberOfLambdas_25%;NumberOfAnonymousClasses_min;NumberOfParenthesizedExps_25%;NumberOfVariables_max;NumberOfLoops_mean;NumberOfParameters_CK_std;NumberOfLogStatements_25%;NumberOfComparisons_std;NumberOfAssignments_50%;NumberOfUniqueWords_min;NumberOfNumbers_mean;NumberOfParenthesizedExps_std;WMC_CK_25%;NumberOfTryCatch_std;LOCMethod_CK_50%;NumberOfLoops_min;LOCMethod_CK_75%;NumberOfStringLiterals_50%;Returns_25%;WMC_CK_mean;NumberOfModifiers_max;MaxNumberOfNestedBlocks_mean;CBO_50%;NumberOfVariables_75%;NumberOfLambdas_std;MaxNumberOfNestedBlocks_25%;NumberOfParameters_CK_25%;RFC_count;WMC_CK_max;NumberOfVariables_count;NumberOfAssignments_min;Returns_mean;NumberOfInnerClasses_max;NumberOfInnerClasses_25%;NumberOfParameters_CK_75%;NumberOfAnonymousClasses_75%;NumberOfInnerClasses_75%;NumberOfComparisons_min;NumberOfMathOperations_count;LOCMethod_CK_count;NumberOfAnonymousClasses_max;RFC_min;NumberOfParameters_CK_mean;NumberOfNumbers_std;NumberOfUniqueWords_25%;NumberOfLogStatements_max;NumberOfMathOperations_min;Returns_min;NumberOfVariables_std;NumberOfNumbers_max;MaxNumberOfNestedBlocks_max;LOCMethod_CK_min;Bugged;Returns_50%;NumberOfAssignments_75%;NumberOfAnonymousClasses_std;LOCMethod_CK_std;WMC_CK_75%;MaxNumberOfNestedBlocks_count;NumberOfInnerClasses_min;CBO_mean;NumberOfVariables_25%;NumberOfLogStatements_mean;NumberOfNumbers_count;NumberOfLogStatements_std;NumberOfUniqueWords_75%;CBO_std;NumberOfMathOperations_std;LOCMethod_CK_mean;NumberOfLogStatements_75%;NumberOfMathOperations_75%;RFC_75%;NumberOfLambdas_count;IsConstructor_unique;NumberOfComparisons_75%;LOCMethod_CK_max;NumberOfComparisons_25%;NumberOfTryCatch_50%;NumberOfTryCatch_mean;CBO_min;CBO_max;IsConstructor_freq;NumberOfComparisons_50%;NumberOfParameters_CK_50%;NumberOfInnerClasses_mean;NumberOfTryCatch_max;NumberOfLoops_75%;WMC_CK_50%;NumberOfComparisons_mean;CBO_25%;CBO_75%;NumberOfModifiers_mean;MaxNumberOfNestedBlocks_50%;NumberOfModifiers_std;NumberOfAssignments_25%;RFC_max;NumberOfNumbers_min;NumberOfParenthesizedExps_count;NumberOfLambdas_75%;NumberOfUniqueWords_mean;NumberOfModifiers_25%;NumberOfStringLiterals_min;Returns_std;NumberOfComparisons_count;NumberOfLoops_std;NumberOfModifiers_count;NumberOfLoops_25%;NumberOfUniqueWords_std;NumberOfModifiers_75%;RFC_mean;NumberOfAssignments_count;NumberOfAssignments_mean;NumberOfTryCatch_min;NumberOfLogStatements_50%;NumberOfMathOperations_max;NumberOfParenthesizedExps_75%;NumberOfLoops_count;NumberOfLogStatements_count;NumberOfVariables_50%;NumberOfAssignments_std;NumberOfLambdas_max;Returns_75%;NumberOfStringLiterals_count;NumberOfParameters_CK_max;RFC_std;WMC_CK_std;NumberOfComparisons_max;NumberOfInnerClasses_count;NumberOfParameters_CK_count;NumberOfStringLiterals_25%;NumberOfTryCatch_25%;NumberOfUniqueWords_max;NumberOfParenthesizedExps_max;NumberOfLambdas_mean;NumberOfParenthesizedExps_mean;Returns_max;NumberOfStringLiterals_std;NumberOfParenthesizedExps_50%;NumberOfAnonymousClasses_50%;NumberOfStringLiterals_max;NumberOfVariables_mean;IsConstructor_count;MaxNumberOfNestedBlocks_std;NumberOfTryCatch_count;NumberOfInnerClasses_std;Returns_count;NumberOfAnonymousClasses_count;NumberOfStringLiterals_75%;NumberOfMathOperations_mean;NumberOfAssignments_max;RFC_50%;WMC_CK_min;NumberOfModifiers_min;NumberOfModifiers_50%;NumberOfMathOperations_25%;NumberOfMathOperations_50%;NumberOfParenthesizedExps_min;NumberOfLoops_max;IsConstructor_top;NumberOfNumbers_50%;NumberOfUniqueWords_count;MaxNumberOfNestedBlocks_75%;NumberOfInnerClasses_50%;NumberOfLambdas_50%;NumberOfLoops_50%;NumberOfLogStatements_min;NumberOfAnonymousClasses_mean;NumberOfLambdas_min;MaxNumberOfNestedBlocks_min;NumberOfVariables_min;WMC_CK_count;NumberOfNumbers_75%;NumberOfUniqueWords_50%;LOCMethod_CK_25%;NumberOfAnonymousClasses_25%;CBO_count
count;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;144;;;;;;;;;;;;;;;;;
mean;0.30666666666666664;0.3983333333333333;0.02;3.7787773641598537;1.3733333333333333;0.0;0.0;0.015;3.24;0.23120388079320467;0.5012563177470851;0.0;0.44709257380387224;2.12;8.42;7.94239910227113;0.5797323079575194;1.1966666666666668;0.10912949598125761;6.51;0.07333333333333333;9.331666666666667;3.0;0.36666666666666664;1.8872679862846766;45.46;0.4327831626276919;1.3733333333333333;1.1883333333333332;0.0;0.15333333333333332;0.45;9.293333333333333;4.92;9.293333333333333;1.12;0.5284155261784943;0.0;0.0;0.8683333333333333;0.0;0.0;0.07333333333333333;9.293333333333333;9.293333333333333;0.08;0.7666666666666667;0.7300758064422223;23.55511284203252;12.0;0.0;0.08666666666666667;0.24;1.0461416051292498;79.9;1.2533333333333334;4.22;;0.48;3.2533333333333334;0.020674136555344558;6.175705559035902;1.9466666666666668;9.293333333333333;0.0;1.4351466001435986;0.4766666666666667;0.0;9.293333333333333;0.0;19.105;0.5808833841548725;0.9606566678288785;8.563648864032775;0.0;0.6016666666666667;2.4466666666666668;9.293333333333333;1.0266666666666666;0.3416666666666667;21.786666666666665;0.09666666666666666;0.006666666666666667;0.04940302087549883;0.6533333333333333;2.2533333333333334;9.093333333333334;0.18333333333333332;0.6266666666666667;0.0;0.37333333333333335;0.27;1.4133333333333333;0.3341930891694499;1.11;1.7233333333333334;13.03453624381492;0.30666666666666664;18.799858854701796;1.405;4.633333333333334;0.20666666666666667;9.293333333333333;0.0;17.005757401500848;2.05;1.6666666666666667;0.32508652508971503;9.293333333333333;0.2692345727142885;9.293333333333333;0.09;9.195405161779824;19.866666666666667;2.094876074006742;9.293333333333333;2.858863280119556;0.006666666666666667;0.0;2.6066666666666665;0.33666666666666667;9.293333333333333;9.293333333333333;0.7233333333333334;2.4226822585977605;0.0;0.5783333333333334;9.293333333333333;1.5466666666666666;1.2910999663761569;1.2843395170291636;1.3333333333333333;9.293333333333333;9.293333333333333;2.1683333333333334;0.006666666666666667;35.72666666666667;1.3266666666666667;0.0;0.33688677992133;1.1933333333333334;2.8844476793626512;0.11;0.0;10.146666666666667;1.0542211652052749;9.293333333333333;0.428412015073247;9.293333333333333;0.0;9.293333333333333;9.293333333333333;4.475;0.6180153607651182;7.6866666666666665;1.8066666666666666;1.1133333333333333;1.6133333333333333;5.6866666666666665;0.11333333333333333;0.21;0.006666666666666667;0.82;;0.91;9.293333333333333;0.5733333333333334;0.0;0.0;0.12666666666666668;0.0;0.006374025974025974;0.0;0.12;0.29333333333333333;9.293333333333333;1.9133333333333333;15.556666666666667;4.985;0.0;9.293333333333333
std;0.7230311536974062;1.1233103144900882;0.12464715300269737;13.51564351163195;2.608187075542911;0.0;0.0;0.13027461959287048;4.095635260606035;0.49442406574255965;0.6580582278133204;0.0;0.9411074732779555;8.489171942448591;10.100348854364674;73.60575457708515;2.6338122321504653;1.3886484504782555;0.2467588510652556;11.312146764851056;0.40295330331595974;13.824447531549778;13.742356020467836;0.6558120809032211;1.8850339078821992;201.06627275669197;0.6276291124363331;1.1280241481223723;2.033473378754418;0.0;0.5607301886995345;0.7624800580514709;13.383124035461446;9.221014808249672;13.383124035461446;6.972544430760278;0.7497356566778708;0.0;0.0;1.0750747853909723;0.0;0.0;0.38593852601327266;13.383124035461446;13.383124035461446;0.6707703674925124;2.612352347496799;0.8790671133171847;252.20062351639936;11.429092749375407;0.0;0.6847981789266803;0.6204566406712239;1.427311572537715;874.3629070864058;1.4055817141871443;9.072319431422805;;0.7324684751674259;9.97555681557479;0.1439412264218253;10.71982241240683;2.049428359214484;13.383124035461446;0.0;1.1101625515012412;1.5009355769865615;0.0;13.383124035461446;0.0;15.740882894402779;0.511587681181542;3.076325341438098;11.137197692131366;0.0;1.8641119362747423;2.8796594379799854;13.383124035461446;0.5427578923921005;0.7971302695712079;31.093620629445436;0.4093974401264655;0.08164965809277258;0.12839982264411956;0.9194882342778462;1.6756714237457002;13.274766225607102;0.5385060949679896;0.9052172913278975;0.0;0.886488182402422;0.6408362824775118;1.495795748656956;0.6495676438577286;1.0730374625208359;1.2989240083308742;61.57873725810117;0.6496944730235936;90.10202354678327;6.96724539464929;5.010615130111563;0.9574621563073008;13.383124035461446;0.0;15.579777349939373;3.042208664284384;12.827019859606796;0.517378473216377;13.383124035461446;0.4625188722971482;13.383124035461446;0.418009023376483;25.71078904657541;124.67481415312528;2.704736770936676;13.383124035461446;8.024793330274594;0.08164965809277258;0.0;7.0823503726443;1.6965684539728012;13.383124035461446;13.383124035461446;1.6553114294330336;5.328748599193235;0.0;0.8048389031074835;13.383124035461446;1.5220379602929446;1.4485929786531107;2.818917581549861;2.673927475302338;13.383124035461446;13.383124035461446;12.868673811234599;0.08164965809277258;89.35735486242278;5.5966153082266965;0.0;1.484950379646103;1.6535366476707303;5.891263452689518;0.9302341481959254;0.0;21.490558771960686;1.68524165109391;13.383124035461446;0.5087592129554482;13.383124035461446;0.0;13.383124035461446;13.383124035461446;14.806632549288999;1.7518196380982498;14.258465831733805;2.668349580819315;1.3636541250283867;2.484277180513416;42.150439530006174;0.693683550337579;0.8074111416607107;0.0816496580927726;1.3060006063906011;;3.8017436833059968;13.383124035461446;0.8261389670274386;0.0;0.0;0.4641028968681749;0.0;0.03860606624218221;0.0;0.5424280486105628;1.444947999188186;13.383124035461446;5.892563470218993;13.843266561139899;9.158889674360866;0.0;13.383124035461446
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;3.0;0.0;3.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;3.8125;0.0;0.0;0.0;0.0;0.0;0.0;2.0;;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.5;0.0;0.0;1.0;0.0;6.5625;0.0;0.0;3.0;0.0;0.0;1.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.75;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;6.354166666666666;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.6875;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;9.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0;3.0;0.0;1.0
50%;0.0;0.0;0.0;0.3205128205128205;1.0;0.0;0.0;0.0;2.0;0.0;0.30245145030582543;0.0;0.0;0.0;4.5;0.19090909090909092;0.0;1.0;0.0;4.0;0.0;6.0;0.0;0.0;1.312937062937063;2.0;0.2111111111111111;1.25;0.0;0.0;0.0;0.0;5.0;2.0;5.0;0.0;0.09761904761904762;0.0;0.0;0.75;0.0;0.0;0.0;5.0;5.0;0.0;0.0;0.5;0.38072348371645626;8.25;0.0;0.0;0.0;0.5163977794943223;1.0;1.0;3.0;;0.0;0.75;0.0;2.4921372425457995;1.0;5.0;0.0;1.5;0.0;0.0;5.0;0.0;15.875;0.5477225575051661;0.0;5.692857142857143;0.0;0.0;2.0;5.0;1.0;0.0;11.0;0.0;0.0;0.0;0.0;2.0;5.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;1.1622807017543861;0.0;0.3021659157684342;0.0;4.0;0.0;5.0;0.0;13.698156682027651;1.0;0.0;0.0;5.0;0.0;5.0;0.0;5.650778946351606;1.0;1.7043650793650793;5.0;0.6396103896103896;0.0;0.0;0.0;0.0;5.0;5.0;0.0;0.6120100299362445;0.0;0.0;5.0;1.0;1.02704627669473;0.3797491885604837;0.0;5.0;5.0;0.0;0.0;25.0;0.0;0.0;0.0;1.0;0.4777562827851711;0.0;0.0;2.0;0.4365079365079365;5.0;0.3052363545925439;5.0;0.0;5.0;5.0;0.0;0.0;2.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;11.25;3.0;0.0;5.0
75%;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;5.0;0.25;0.8316191651324881;0.0;0.5;1.0;11.0;1.6707142857142858;0.0;1.0;0.0;6.5;0.0;11.0;1.0;1.0;2.333333333333333;9.0;0.75;2.0;2.0;0.0;0.0;1.0;11.0;6.0;11.0;0.0;1.0;0.0;0.0;1.4375;0.0;0.0;0.0;11.0;11.0;0.0;1.0;1.0104166666666665;1.8635378043963118;18.1875;0.0;0.0;0.0;1.7048527487619238;5.0;2.0;3.0;;1.0;3.0;0.0;7.026141662866375;2.0;11.0;0.0;2.172077922077922;0.1875;0.0;11.0;0.0;28.625;0.927960727138337;0.627324261284558;9.833333333333334;0.0;0.25;3.4375;11.0;1.0;0.1875;26.75;0.0;0.0;0.0;1.0;3.0;11.0;0.0;1.0;0.0;0.0;0.0;2.0;0.4486111111111111;2.0;2.6875;3.9583333333333335;0.5;1.3976694725672094;0.5;6.0;0.0;11.0;0.0;24.711538461538463;1.0;0.0;0.511196487908328;11.0;0.44721359549995804;11.0;0.0;11.290611460877182;4.0;3.0;11.0;2.803970223325062;0.0;0.0;2.0;0.0;11.0;11.0;1.0;2.598445308477946;0.0;1.0;11.0;2.0;1.7477939483316938;1.598250682058665;2.0;11.0;11.0;0.6875;0.0;42.0;0.0;0.0;0.0;2.0;2.7227081856755975;0.0;0.0;8.0;1.6666666666666667;11.0;0.6934352750307791;11.0;0.0;11.0;11.0;2.875;0.44982078853046586;8.75;3.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;;1.0;11.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;1.375;23.875;4.5;0.0;11.0
