;blamemerge_blamegetEffort_std;blamemerge_blamegetDifficulty_std;AnonymousInnerClassLength_50%;blame_merge_blame_getVolume_max;Volume;blame_merge_blame_getLength_min;blamemerge_blamegetLength_mean;FileLength_mean;MethodLength_min;TotalNumberOfOperators;blamemerge_blamegetVolume_std;blamemerge_blamegetLength_std;MethodLength_std;blamemerge_blamegetVolume_count;blamemerge_blamegetVocabulary_max;blame_merge_blame_getEffort_count;Vocabulary;blame_merge_blame_getEffort_std;AnonymousInnerClassLength_min;blame_merge_blame_getVolume_count;blame_merge_blame_getVocabulary_std;AnonymousInnerClassLength_mean;MethodLength_max;Bugged;AnonymousInnerClassLength_25%;FileLength_min;FileLength_std;blamemerge_blamegetLength_count;blame_merge_blame_getVocabulary_count;NumberOfDistinctOperands;blame_merge_blame_getDifficulty_std;blamemerge_blamegetDifficulty_max;MethodLength_75%;FileLength_max;blame_merge_blame_getVocabulary_mean;Effort;blame_merge_blame_getDifficulty_count;MethodLength_50%;blame_merge_blame_getDifficulty_mean;NumberOfDistinctOperators;MethodLength_mean;FileLength_count;blame_merge_blame_getVolume_mean;blame_merge_blame_getVolume_min;AnonymousInnerClassLength_75%;blamemerge_blamegetLength_max;Difficulty;blame_merge_blame_getLength_count;blame_merge_blame_getEffort_mean;blamemerge_blamegetEffort_mean;AnonymousInnerClassLength_count;blamemerge_blamegetVolume_max;blame_merge_blame_getLength_max;blame_merge_blame_getLength_std;MethodLength_25%;blamemerge_blamegetDifficulty_mean;blamemerge_blamegetVocabulary_mean;blame_merge_blame_getVolume_std;MethodLength_count;blame_merge_blame_getDifficulty_min;blame_merge_blame_getVocabulary_max;Length;blamemerge_blamegetVocabulary_count;FileLength_50%;blamemerge_blamegetVocabulary_std;blamemerge_blamegetEffort_max;blame_merge_blame_getVocabulary_min;TotalNumberOfOperands;FileLength_75%;blame_merge_blame_getLength_mean;AnonymousInnerClassLength_std;blame_merge_blame_getEffort_min;AnonymousInnerClassLength_max;FileLength_25%;blame_merge_blame_getEffort_max;blame_merge_blame_getDifficulty_max;blamemerge_blamegetDifficulty_count;blamemerge_blamegetEffort_count;blamemerge_blamegetVolume_mean
count;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0
unique;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;129.1016295529078;1.2802594492732602;0.0;0.0;16599.06331136636;0.0;4.075627428997231;32.736699180684;5.04;1249.4533333333334;25.10435240133537;6.12449486621296;8.288045961459575;3313.6666666666665;19.18;0.0;204.78;0.0;0.0;0.0;0.0;0.08904588744588746;28.4;;0.0;10.386666666666667;63.40327530330096;3313.6666666666665;0.0;175.31333333333333;0.0;7.423374210212445;11.898333333333333;227.13333333333333;0.0;2033345.9028336345;0.0;8.42;0.0;29.466666666666665;10.859871120676711;9.3;0.0;0.0;0.0;34.586666666666666;64.99531395656379;0.0;0.0;51.69036335806509;9.3;153.42386342190446;0.0;0.0;6.1883333333333335;0.829062131223907;3.095751381988846;0.0;9.3;0.0;0.0;1962.16;3313.6666666666665;12.59;4.125042453203519;1073.8062189687475;0.0;712.7066666666667;20.44;0.0;0.2512615685736005;0.0;0.7666666666666667;11.488333333333333;0.0;0.0;3313.6666666666665;3313.6666666666665;13.61936717524306
std;452.6372257028382;0.4567222362788268;0.0;0.0;36396.353120854284;0.0;4.299047642709191;57.72551827403902;12.006083469160806;2379.8480990007897;59.05033143034118;8.79254426173799;16.93042654071637;6098.545945817236;9.618961977791642;0.0;325.71731619168503;0.0;0.0;0.0;0.0;0.4789705270936542;43.86174129002733;;0.0;49.47981578403835;83.14931412506247;6098.545945817236;0.0;322.683528480418;0.0;4.010128721867113;17.626201150623384;284.1048739785091;0.0;7260632.694293098;0.0;15.132200432616727;0.0;12.017697613453736;15.218281973919803;13.395757116521345;0.0;0.0;0.0;38.34236213094807;63.851910661731694;0.0;0.0;164.85581381228934;13.395757116521345;257.71661117894075;0.0;0.0;12.533007984912805;0.5110413089049667;2.0055184341535934;0.0;13.395757116521345;0.0;0.0;3661.1471064820676;6098.545945817236;50.07089168999162;2.3226768039413477;2205.570892423805;0.0;1327.6821127712412;61.748241830253896;0.0;1.3609809652832985;0.0;4.20995411454002;49.51205141638359;0.0;0.0;6098.545945817236;6098.545945817236;24.12881576338235
min;7.9697024930808595;0.3274660937458892;0.0;0.0;97.70233280920246;0.0;0.21875;0.0;0.0;10.0;4.400608044472914;1.5015866695252835;0.0;37.0;8.0;0.0;19.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;37.0;0.0;12.0;0.0;1.8;0.0;0.0;0.0;370.45467856822603;0.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;9.0;3.75;0.0;0.0;1.5827675658717242;0.0;27.0;0.0;0.0;0.0;0.04670138888888888;0.1875;0.0;0.0;0.0;0.0;23.0;37.0;0.0;1.2588932077660515;38.77443751081734;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.0;37.0;0.6630335415836405
25%;52.14531498799269;1.0299507596977873;0.0;0.0;1817.013152635432;0.0;2.2573387225813915;6.630184331797237;3.0;192.25;13.632633746098525;4.092756379557128;0.0;301.5;15.0;0.0;67.0;0.0;0.0;0.0;0.0;0.0;4.0;;0.0;0.0;0.0;301.5;0.0;43.25;0.0;4.888888888888889;3.0;32.75;0.0;43873.605887846046;0.0;3.0;0.0;21.0;3.4880952380952377;1.0;0.0;0.0;0.0;21.0;21.75;0.0;0.0;16.46542495785873;1.0;82.53352688083419;0.0;0.0;3.0;0.5186280519281019;1.9511557512383049;0.0;1.0;0.0;0.0;308.25;301.5;0.0;3.287647599631906;397.80075425327567;0.0;115.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;301.5;301.5;6.3935386491847215
50%;79.44838681749444;1.2865035710215142;0.0;0.0;8106.160594912584;0.0;3.3327766624620248;18.56818181818182;3.0;689.0;18.88675830099762;5.186816572837879;3.358125260474725;842.0;19.0;0.0;136.0;0.0;0.0;0.0;0.0;0.0;15.5;;0.0;0.0;46.895254477618266;842.0;0.0;110.0;0.0;7.5;7.0;124.0;0.0;424256.9217665795;0.0;4.5;0.0;28.5;6.909090909090908;5.0;0.0;0.0;0.0;30.0;51.75875924140148;0.0;0.0;30.264610910081743;5.0;120.92782504182705;0.0;0.0;3.0;0.7793980174414957;2.7859739078907326;0.0;5.0;0.0;0.0;1099.5;842.0;0.0;3.9887478758537585;734.8250558394541;0.0;396.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;842.0;842.0;9.602949748162352
75%;116.64636660837206;1.5335099857746068;0.0;0.0;18443.75849828632;0.0;4.860512093321918;37.88888888888889;3.0;1430.0;23.53601611196381;6.191804942797748;9.849977452822078;1754.25;21.75;0.0;231.0;0.0;0.0;0.0;0.0;0.0;32.75;;0.0;0.0;93.12486997072007;1754.25;0.0;188.0;0.0;9.0;12.6875;337.0;0.0;1578201.4828037245;0.0;8.0;0.0;39.0;11.306818181818183;11.0;0.0;0.0;0.0;41.75;100.75265957446808;0.0;0.0;45.79957036694054;11.0;180.08501433392914;0.0;0.0;5.1875;1.015961367824722;4.005859375;0.0;11.0;0.0;0.0;2345.5;1754.25;0.0;4.644374544868434;1121.4528635491065;0.0;881.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1754.25;1754.25;14.61451317401339
