NORM;NMIR;WMC_CK_max;WMC;WMC_CK_25%;WMC_CK_50%;WMC_CK_count;DIT;NPM;NOCh;WMC_CK_std;Bugged;WMC_CK_min;WMC_CK_mean;WMC_CK_75%;NMI
0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0
0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;0.0;2.0;4.0;2.0;2.0;2.0;1.0;2.0;0.0;0.0;False;2.0;2.0;2.0;0.0
0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0
0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;False;1.0;1.0;1.0;0.0
0.0;0.0;1.0;3.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;False;1.0;1.0;1.0;0.0
0.0;0.0;17.0;52.0;2.5;4.0;3.0;1.0;1.0;0.0;8.504900548115383;False;1.0;7.333333333333332;10.5;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;0.0;17.0;76.0;1.0;1.0;21.0;1.0;17.0;0.0;4.365994132142731;False;1.0;3.4761904761904763;4.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;0.0;6.0;55.0;1.0;2.0;22.0;1.0;11.0;0.0;1.5289415743128767;False;1.0;2.363636363636364;3.0;0.0
0.0;0.0;0.0;55.0;0.0;0.0;0.0;1.0;11.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;0.0;11.0;25.0;1.0;2.0;7.0;1.0;7.0;0.0;3.5989416433697485;False;1.0;3.4285714285714284;4.0;0.0
0.0;0.0;8.0;18.0;1.0;1.5;6.0;1.0;5.0;0.0;2.7868739954771304;False;1.0;2.833333333333333;3.5;0.0
0.0;0.0;6.0;35.0;1.5;3.0;11.0;1.0;10.0;0.0;2.1616492020508957;False;1.0;3.4545454545454546;5.5;0.0
0.0;0.0;8.0;8.0;8.0;8.0;1.0;1.0;0.0;0.0;0.0;False;8.0;8.0;8.0;0.0
0.0;0.0;5.0;36.0;1.0;1.0;22.0;1.0;19.0;0.0;1.1815684051733508;False;1.0;1.5909090909090908;1.75;0.0
0.0;0.0;7.0;31.0;1.0;1.0;20.0;1.0;16.0;0.0;1.424411235711461;False;1.0;1.65;2.0;0.0
0.0;0.0;6.0;23.0;1.0;2.0;9.0;1.0;2.0;0.0;1.7400510848184252;False;1.0;2.4444444444444446;3.0;0.0
0.0;0.0;2.0;4.0;2.0;2.0;2.0;1.0;0.0;0.0;0.0;False;2.0;2.0;2.0;0.0
0.0;0.0;5.0;8.0;1.0;1.0;4.0;1.0;4.0;0.0;2.0;False;1.0;2.0;2.0;0.0
0.0;0.0;2.0;76.0;1.0;1.0;72.0;1.0;72.0;0.0;0.2012286205947824;False;1.0;1.0416666666666667;1.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;0.0;4.0;61.0;1.0;1.0;52.0;1.0;52.0;0.0;0.4862358886039943;False;1.0;1.1346153846153846;1.0;0.0
0.0;0.0;15.0;20.0;1.0;1.0;7.0;1.0;7.0;0.0;5.219012860502955;False;1.0;3.2857142857142856;2.0;0.0
0.0;0.0;1.0;2.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;True;1.0;1.0;1.0;0.0
0.0;0.0;9.0;14.0;1.0;1.0;5.0;1.0;4.0;0.0;3.5777087639996634;False;1.0;2.6;1.0;0.0
0.0;0.0;9.0;13.0;1.0;1.0;4.0;1.0;4.0;0.0;4.0;False;1.0;3.0;3.0;0.0
0.0;0.0;22.0;24.0;1.0;2.0;5.0;1.0;4.0;0.0;9.181503144910424;False;1.0;5.6;2.0;0.0
0.0;0.0;11.0;26.0;1.0;1.0;12.0;1.0;4.0;0.0;2.8643577734887544;False;1.0;2.25;2.25;0.0
0.0;0.0;6.0;20.0;1.0;1.0;8.0;1.0;4.0;0.0;1.9086270308410556;False;1.0;2.25;3.25;0.0
0.0;0.0;1.0;4.0;1.0;1.0;2.0;1.0;2.0;0.0;0.0;False;1.0;1.0;1.0;0.0
0.0;0.0;2.0;6.0;1.0;1.0;4.0;1.0;4.0;0.0;0.5;False;1.0;1.25;1.25;0.0
0.0;0.0;3.0;3.0;3.0;3.0;1.0;1.0;1.0;0.0;0.0;True;3.0;3.0;3.0;0.0
0.0;0.0;3.0;3.0;3.0;3.0;1.0;1.0;1.0;0.0;0.0;False;3.0;3.0;3.0;0.0
0.0;0.0;1.0;51.0;1.0;1.0;1.0;1.0;4.0;0.0;0.0;True;1.0;1.0;1.0;0.0
0.0;0.0;1.0;51.0;1.0;1.0;4.0;1.0;4.0;0.0;0.0;True;1.0;1.0;1.0;0.0
0.0;0.0;0.0;51.0;0.0;0.0;0.0;1.0;4.0;0.0;0.0;True;0.0;0.0;0.0;0.0
0.0;0.0;37.0;51.0;1.0;1.0;10.0;1.0;4.0;0.0;11.215564581816153;True;1.0;5.3;2.75;0.0
0.0;0.0;0.0;45.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;0.0;15.0;45.0;1.25;2.0;14.0;1.0;3.0;0.0;4.615430402703285;False;1.0;3.928571428571429;3.0;0.0
0.0;0.0;6.0;45.0;1.0;1.0;5.0;1.0;3.0;0.0;2.302172886644268;False;1.0;2.6;4.0;0.0
0.0;0.0;41.0;267.0;2.0;3.0;44.0;1.0;8.0;0.0;7.697608151065973;False;1.0;6.159090909090909;6.25;0.0
0.0;0.0;3.0;267.0;1.0;1.0;5.0;1.0;8.0;0.0;0.8944271909999159;False;1.0;1.6;2.0;0.0
0.0;0.0;12.0;45.0;2.0;3.0;11.0;1.0;3.0;0.0;3.0983866769659336;False;1.0;4.0;5.0;0.0
0.0;0.0;91.0;109.0;1.0;2.0;11.0;1.0;6.0;0.0;26.877499883731748;False;1.0;10.0;3.0;0.0
0.0;0.0;19.0;44.0;1.25;4.0;6.0;1.0;4.0;0.0;7.626707459098368;False;1.0;7.166666666666668;12.0;0.0
0.0;0.0;6.0;15.0;1.0;2.0;5.0;1.0;4.0;0.0;2.073644135332772;False;1.0;2.4;2.0;0.0
0.0;0.0;11.0;26.0;1.0;1.0;9.0;1.0;6.0;0.0;4.275251779460221;False;1.0;3.555555555555556;3.0;0.0
0.0;0.0;6.0;12.0;3.0;5.0;3.0;1.0;0.0;0.0;2.6457513110645907;False;1.0;4.0;5.5;0.0
0.0;0.0;2.0;11.0;1.0;1.0;9.0;1.0;9.0;0.0;0.4409585518440984;False;1.0;1.2222222222222223;1.0;0.0
0.0;0.0;9.0;18.0;1.0;2.0;5.0;1.0;4.0;0.0;3.435112807463533;False;1.0;3.6;5.0;0.0
0.0;0.0;0.0;18.0;0.0;0.0;0.0;1.0;4.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;0.0;7.0;12.0;1.0;1.0;12.0;1.0;3.0;0.0;1.7232808737106582;False;1.0;1.6666666666666667;1.25;0.0
0.0;0.0;0.0;12.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;0.0;4.0;12.0;1.0;1.0;5.0;1.0;3.0;0.0;1.30384048104053;False;1.0;1.8;2.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;0.0;6.0;32.0;6.0;6.0;1.0;1.0;7.0;0.0;0.0;False;6.0;6.0;6.0;0.0
0.0;0.0;1.0;32.0;1.0;1.0;1.0;1.0;7.0;0.0;0.0;False;1.0;1.0;1.0;0.0
0.0;0.0;14.0;32.0;14.0;14.0;1.0;1.0;7.0;0.0;0.0;False;14.0;14.0;14.0;0.0
0.0;0.0;0.0;32.0;0.0;0.0;0.0;1.0;7.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;0.0;3.0;32.0;1.0;1.0;12.0;1.0;7.0;0.0;0.7977240352174656;False;1.0;1.5;2.0;0.0
0.0;0.0;5.0;32.0;1.0;1.0;4.0;1.0;7.0;0.0;2.0;False;1.0;2.0;2.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;0.0;2.0;81.0;2.0;2.0;1.0;1.0;9.0;0.0;0.0;False;2.0;2.0;2.0;0.0
0.0;0.0;2.0;81.0;2.0;2.0;1.0;1.0;9.0;0.0;0.0;False;2.0;2.0;2.0;0.0
0.0;0.0;1.0;81.0;1.0;1.0;3.0;1.0;9.0;0.0;0.0;False;1.0;1.0;1.0;0.0
0.0;0.0;1.0;81.0;1.0;1.0;1.0;1.0;9.0;0.0;0.0;False;1.0;1.0;1.0;0.0
