TLOC;NPF;PMd;NOL;NOD;NSF;NOA;Bugged;RTLOC;ClTCi;NSM;ClRCi
3.0;0.0;0.0;0.0;0.0;0.0;0.0;False;13.0;2.0;0.0;2.0
3.0;0.0;0.0;0.0;0.0;0.0;0.0;False;13.0;2.0;0.0;2.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0
14.0;6.0;2.0;0.0;0.0;6.0;0.0;False;110.0;4.0;2.0;2.0
3.0;0.0;0.0;0.0;0.0;0.0;0.0;False;17.0;2.0;0.0;2.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0
3.0;0.0;0.0;0.0;0.0;0.0;0.0;False;15.0;2.0;0.0;2.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0
3.0;0.0;0.0;0.0;0.0;0.0;0.0;False;13.0;2.0;0.0;2.0
3.0;0.0;0.0;0.0;0.0;0.0;0.0;False;13.0;2.0;0.0;2.0
20.0;0.0;3.0;0.0;0.0;0.0;0.0;False;61.0;6.0;0.0;2.0
226.0;0.0;9.0;0.0;0.0;9.0;0.0;False;501.0;32.0;0.0;2.909090909
0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0
245.0;0.0;22.0;0.0;0.0;8.0;0.0;False;732.0;61.5;17.0;2.365384615
0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0
177.0;2.0;11.0;0.0;0.0;7.0;0.0;False;512.0;68.0;1.0;2.72
177.0;2.0;11.0;0.0;0.0;7.0;0.0;False;512.0;68.0;1.0;2.72
81.0;0.0;7.0;0.0;0.0;0.0;0.0;False;178.0;17.333333333;0.0;2.166666667
65.0;0.0;6.0;0.0;0.0;0.0;0.0;False;137.0;14.0;0.0;2.0
112.0;0.0;10.0;0.0;0.0;11.0;0.0;False;266.0;29.5;6.0;2.681818182
24.0;0.0;0.0;0.0;0.0;0.0;0.0;False;50.0;7.0;1.0;7.0
134.0;2.0;22.0;0.0;0.0;4.0;0.0;False;453.0;67.5;13.0;2.7
91.0;0.0;16.0;0.0;0.0;0.0;0.0;False;382.0;47.0;20.0;2.35
84.0;0.0;2.0;0.0;0.0;0.0;0.0;False;115.0;17.5;1.0;1.75
18.0;0.0;0.0;0.0;0.0;1.0;0.0;False;47.0;7.0;2.0;3.5
30.0;0.0;4.0;0.0;0.0;0.0;0.0;False;123.0;10.0;4.0;2.5
252.0;0.0;75.0;0.0;0.0;1.0;0.0;False;1090.0;151.5;61.0;2.02
0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0
222.0;0.0;57.0;0.0;0.0;1.0;0.0;False;1032.0;149.0;42.0;2.568965517
101.0;0.0;7.0;0.0;0.0;4.0;0.0;False;255.0;19.0;7.0;2.714285714
18.0;11.0;1.0;0.0;0.0;11.0;0.0;True;100.0;2.0;1.0;1.0
46.0;0.0;5.0;0.0;0.0;1.0;0.0;False;591.0;7.0;0.0;1.166666667
61.0;0.0;5.0;0.0;0.0;9.0;0.0;False;603.0;6.0;0.0;1.2
169.0;0.0;4.0;0.0;0.0;9.0;0.0;False;505.0;16.0;5.0;3.2
186.0;0.0;4.0;0.0;0.0;6.0;0.0;False;374.0;174.92222222200004;12.0;14.576851852
115.0;0.0;6.0;0.0;0.0;7.0;0.0;False;165.0;34.9;2.0;3.49
14.0;0.0;3.0;0.0;0.0;0.0;0.0;False;46.0;6.0;0.0;2.0
21.0;0.0;5.0;0.0;0.0;0.0;0.0;False;71.0;10.0;0.0;2.0
