;blame_merge_priorityMinor_max;Maximum Depth_75%;blame_merge_priorityMajor_max;Maximum Depth_std;Mit;issues_priorityMajor_mean;NumberOfModifiers_max;PMi;MaxNumberOfNestedBlocks_mean;blamemerge_priorityMinor_min;Average Complexity*;MaxNumberOfNestedBlocks_25%;HMi;Maximum Depth_max;blamemerge_priorityMajor_std;issues_priorityMajor_min;issues_priorityMinor_max;issues_priorityMinor_min;blamemerge_priorityMinor_std;NumberOfMathOperations_count;Ait;blamemerge_priorityMajor_count;NumberOfMathOperations_min;NOPa;blamemerge_priorityMinor_max;MaxNumberOfNestedBlocks_max;Maximum Depth_mean;blamemerge_priorityMajor_min;Bugged;blamemerge_priorityMinor_count;MaxNumberOfNestedBlocks_count;Ai;blame_merge_priorityMajor_min;NM;NumberOfMathOperations_std;NumberOfMathOperations_75%;HMd;issues_priorityMajor_std;Maximum Block Depth;NMIR;issues_priorityMajor_max;NF;blamemerge_priorityMinor_mean;PMd;NMI;issues_priorityMinor_std;NMA;NumberOfModifiers_mean;MaxNumberOfNestedBlocks_50%;Mo;NumberOfModifiers_std;Average Statements per Method;NumberOfModifiers_25%;Ao;Maximum Depth_25%;issues_priorityMinor_count;NumberOfModifiers_count;NumberOfModifiers_75%;blame_merge_priorityMinor_min;NumberOfMathOperations_max;NumberOfMethods_Mood;blamemerge_priorityMajor_max;Md;Ma;Mi;Maximum Depth_count;blame_merge_priorityMajor_std;SIX;Maximum Depth_min;issues_priorityMinor_mean;blame_merge_priorityMinor_std;MaxNumberOfNestedBlocks_std;Maximum Depth_50%;blame_merge_priorityMajor_mean;NumberOfMathOperations_mean;NumberOfModifiers_50%;NumberOfModifiers_min;NumberOfMathOperations_25%;NumberOfMathOperations_50%;blamemerge_priorityMajor_mean;Ad;MaxNumberOfNestedBlocks_75%;blame_merge_priorityMinor_mean;Av;Average Block Depth;blame_merge_priorityMinor_count;MaxNumberOfNestedBlocks_min;issues_priorityMajor_count;blame_merge_priorityMajor_count;Maximum Complexity*;PMR
count;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.0;1.4883333333333333;0.0;0.12213629637189007;0.0;0.8795045324339134;45.46;0.0;0.4327831626276919;0.03333333333333333;2.020133333333334;0.15333333333333332;0.0;1.62;0.14201567590082453;0.54;0.4;0.02;0.1269897920046678;9.293333333333333;0.0;3122.3133333333335;0.08666666666666667;0.0;0.5066666666666667;1.2533333333333334;1.4520560963982019;0.32666666666666666;;3122.3133333333335;9.293333333333333;0.0;0.0;5.213333333333333;0.9606566678288785;0.6016666666666667;1.9933333333333334;0.10849940325490505;4.013333333333334;0.0;0.94;2.82;0.27106528876792574;4.273333333333333;0.0;0.10738885968272124;6.366666666666666;13.03453624381492;0.30666666666666664;0.0;18.799858854701796;6.269866666666667;2.05;0.0;1.4033333333333333;343.52666666666664;9.293333333333333;19.866666666666667;0.0;2.6066666666666665;10.54;0.84;6.266666666666667;6.266666666666667;0.0;4.56;0.0;0.0;1.32;0.08038144638850978;0.0;0.428412015073247;1.44;0.0;0.6180153607651182;5.6866666666666665;1.6133333333333333;0.11333333333333333;0.21;0.57817715053413;2.8733333333333335;0.5733333333333334;0.0;0.4066666666666667;1.7977333333333332;0.0;0.12;343.52666666666664;0.0;7.793333333333333;0.3006429384666667
std;0.0;1.2725603935598775;0.0;0.2965456013479691;0.0;0.265895538962624;201.06627275669197;0.0;0.6276291124363331;0.18010685369303298;1.421785429523831;0.5607301886995345;0.0;1.4455207370848342;0.1679175706205275;0.5000671095902627;0.4915391523114243;0.14046901303903672;0.1607329372261189;13.383124035461446;0.0;6091.100525567831;0.6847981789266803;0.0;0.5016304512484133;1.4055817141871443;1.221547356502876;0.470565369887976;;6091.100525567831;13.383124035461446;0.0;0.0;9.853004629234356;3.076325341438098;1.8641119362747423;4.323335567019512;0.15765767922389978;2.2850158728441885;0.0;0.23828244477915883;4.17739201258939;0.3962170965083975;8.927671082761096;0.0;0.1580760334129953;11.05229586320755;61.57873725810117;0.6496944730235936;0.0;90.10202354678327;9.15158151782548;3.042208664284384;0.0;1.169303507867955;212.65445067408976;13.383124035461446;124.67481415312528;0.0;7.0823503726443;13.310756613008078;0.3678342200269284;11.01412556532202;11.01412556532202;0.0;9.579396234354496;0.0;0.0;1.1546230390980892;0.19631178478069553;0.0;0.5087592129554482;1.2177655850508455;0.0;1.7518196380982498;42.150439530006174;2.484277180513416;0.693683550337579;0.8074111416607107;0.4440700778466488;4.268342442164103;0.8261389670274386;0.0;1.2906304929573105;0.858474647475359;0.0;0.5424280486105628;212.65445067408976;0.0;11.369508655581877;0.3820276362915612
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.9442622950819672;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;177.75;0.0;0.0;0.0;0.0;0.0;0.0;;177.75;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0275;1.0;0.0;0.0;46.0;1.0;1.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.03643702906350915;0.0;0.0;0.0;0.0;1.26;0.0;0.0;46.0;0.0;1.0;0.0
50%;0.0;2.0;0.0;0.0;0.0;1.0;2.0;0.0;0.2111111111111111;0.0;1.605;0.0;0.0;2.0;0.0638538952810761;1.0;0.0;0.0;0.0;5.0;0.0;615.0;0.0;0.0;1.0;1.0;2.0;0.0;;615.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0029552866514726064;0.0;0.0;0.0;0.0;1.1622807017543861;0.0;0.0;0.3021659157684342;4.375;1.0;0.0;2.0;435.0;5.0;1.0;0.0;0.0;7.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.3052363545925439;2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.7676400136876925;0.0;0.0;0.0;0.0;1.7349999999999999;0.0;0.0;435.0;0.0;4.0;0.0
75%;0.0;2.0;0.0;0.0;0.0;1.0;9.0;0.0;0.75;0.0;2.6500000000000004;0.0;0.0;3.0;0.23890343914803797;1.0;1.0;0.0;0.23518651165644944;11.0;0.0;1406.5;0.0;0.0;1.0;2.0;2.049890350877193;1.0;;1406.5;11.0;0.0;0.0;7.0;0.627324261284558;0.25;2.0;0.22412727937240826;5.0;0.0;1.0;5.0;0.441025641025641;6.75;0.0;0.22412727937240826;10.0;3.9583333333333335;0.5;0.0;1.3976694725672094;6.6525;1.0;0.0;2.0;462.0;11.0;4.0;0.0;2.0;13.0;1.0;10.0;10.0;0.0;5.0;0.0;0.0;2.0;0.0529595015576324;0.0;0.6934352750307791;2.0;0.0;0.44982078853046586;1.0;1.0;0.0;0.0;1.0;5.0;1.0;0.0;0.0;2.2675;0.0;0.0;462.0;0.0;9.0;0.7023809522500001
max;0.0;4.5;0.0;1.5;0.0;1.0;1028.0;0.0;5.0;1.0;9.33;5.0;0.0;6.0;0.4977179251032001;1.0;1.0;1.0;0.4977179251032001;93.0;0.0;21718.0;8.0;0.0;1.0;6.0;4.0;1.0;;21718.0;93.0;0.0;0.0;72.0;27.422618401604176;15.5;29.0;0.5085476277156078;9.0;0.0;1.0;19.0;1.0;75.0;0.0;0.5085476277156078;75.0;515.5833333333334;5.0;0.0;592.9387264577457;63.0;17.0;0.0;4.0;642.0;93.0;1028.0;0.0;62.0;93.0;1.0;75.0;75.0;0.0;93.0;0.0;0.0;4.0;1.0;0.0;2.3021728866442674;4.0;0.0;13.0;517.0;9.0;8.0;8.0;1.0;19.0;5.0;0.0;11.0;4.42;0.0;5.0;642.0;0.0;94.0;1.0
