Fout_mean;MCLC_50%;blamemerge_blamegetDifficulty_std;NOP_std;Fin_std;blame_merge_blame_getDistinctOperandsCnt_count;NVAR_min;blame_merge_blame_getDistinctOperatorsCnt_count;MCLC_max;NOP_50%;Fin_mean;NCOMP_count;blamemerge_blamegetDistinctOperatorsCnt_std;NVAR_75%;NCOMP_std;IOVars_min;Di_max;blamemerge_blamegetDistinctOperatorsCnt_mean;Si_count;blamemerge_blamegetDistinctOperandsCnt_mean;NOPa;Di_50%;Di_75%;blamemerge_blamegetDistinctOperatorsCnt_count;NBD_50%;NCOMP_75%;MCLC_25%;VG_75%;NBD_mean;Bugged;MCLC_std;Fin_50%;ClRCi;blamemerge_blamegetDistinctOperandsCnt_count;Ci_std;MCLC_min;NumberOfDistinctOperands;Di_25%;NVAR_count;blame_merge_blame_getDifficulty_std;NVAR_max;blame_merge_blame_getDistinctOperatorsCnt_std;NBD_25%;Fin_25%;blamemerge_blamegetDifficulty_max;blamemerge_blamegetDistinctOperandsCnt_max;Ci_50%;NBD_std;blame_merge_blame_getDifficulty_count;ClTCi;IOVars_max;blame_merge_blame_getDifficulty_mean;Si_max;NumberOfDistinctOperators;MCLC_mean;NOP_count;IOVars_std;Fout_50%;NOP_min;MCLC_count;VG_min;NBD_count;blame_merge_blame_getDistinctOperatorsCnt_max;NVAR_25%;NVAR_50%;Si_75%;Difficulty;blame_merge_blame_getDistinctOperatorsCnt_mean;VG_25%;NBD_max;Si_min;blamemerge_blamegetDistinctOperandsCnt_std;Si_std;IOVars_50%;blame_merge_blame_getDistinctOperandsCnt_mean;VG_count;Fin_count;NCOMP_max;blamemerge_blamegetDifficulty_mean;blame_merge_blame_getDistinctOperandsCnt_max;VG_50%;Fin_min;Ci_max;Si_25%;VG_std;MCLC_75%;NOP_mean;blame_merge_blame_getDifficulty_min;Fout_25%;blame_merge_blame_getDistinctOperandsCnt_std;Di_min;Ci_mean;Di_std;NCOMP_min;Fout_count;NCOMP_50%;NOP_max;IOVars_mean;Fout_75%;IOVars_count;NVAR_std;Fout_max;NCOMP_25%;Di_mean;Fout_min;Di_count;Si_50%;NOP_25%;Fin_max;NOP_75%;Si_mean;blame_merge_blame_getDistinctOperandsCnt_min;NBD_75%;Ci_min;Ci_count;NCOMP_mean;Fin_75%;NVAR_mean;blame_merge_blame_getDistinctOperatorsCnt_min;IOVars_25%;Ci_75%;Fout_std;Ci_25%;blame_merge_blame_getDifficulty_max;NBD_min;VG_max;IOVars_75%;VG_mean;blamemerge_blamegetDifficulty_count;blamemerge_blamegetDistinctOperatorsCnt_max
0.0;0.0;0.5286930664040591;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.9207579288741624;0.0;0.0;2.0;2.0;0.2631578947368421;1.0;0.3684210526315789;0.0;2.0;2.0;38.0;1.0;0.0;0.0;1.0;1.0;False;0.0;0.0;2.0;38.0;0.0;0.0;14.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;3.0;5.0;2.0;0.0;0.0;2.0;2.0;0.0;0.0;9.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.821428571428571;0.0;1.0;1.0;0.0;1.2823342868880143;0.0;2.0;0.0;1.0;1.0;0.0;0.13157894736842105;0.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;1.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;2.0;0.0;1.0;1.0;2.0;1.0;38.0;5.0
0.0;0.0;0.5286930664040591;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.9207579288741624;0.0;0.0;2.0;2.0;0.2631578947368421;1.0;0.3684210526315789;0.0;2.0;2.0;38.0;1.0;0.0;0.0;1.0;1.0;False;0.0;0.0;2.0;38.0;0.0;0.0;14.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;3.0;5.0;2.0;0.0;0.0;2.0;2.0;0.0;0.0;9.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.821428571428571;0.0;1.0;1.0;0.0;1.2823342868880143;0.0;2.0;0.0;1.0;1.0;0.0;0.13157894736842105;0.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;1.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;2.0;0.0;1.0;1.0;2.0;1.0;38.0;5.0
0.0;0.0;0.7762139688373433;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5524543640521966;0.0;0.0;0.0;0.0;0.4353312302839117;0.0;0.3753943217665615;0.0;0.0;0.0;1585.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;1585.0;0.0;0.0;24.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.708333333333332;0.0;0.0;0.0;0.0;1.3440949178066992;0.0;0.0;0.0;0.0;0.0;0.0;0.2173501577287066;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1585.0;6.0
0.0;1.0;0.8091734513826759;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;2.0;1.217578192895157;0.0;0.0;2.0;2.0;0.2624113475177305;2.0;0.22340425531914893;0.0;2.0;2.0;282.0;1.0;1.0;1.0;2.0;1.0;False;0.0;0.0;2.0;282.0;0.0;1.0;26.0;2.0;2.0;0.0;0.0;0.0;1.0;0.0;4.9;7.0;2.0;0.0;0.0;4.0;2.0;0.0;0.0;12.0;1.0;2.0;0.0;0.0;1.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;18.23076923076923;0.0;2.0;1.0;0.0;1.0552791064830631;0.0;2.0;0.0;2.0;2.0;1.0;0.16270263424518744;0.0;2.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;2.0;0.0;1.0;2.0;1.0;1.0;2.0;0.0;2.0;0.0;0.0;1.0;2.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;2.0;2.0;1.0;0.0;0.0;0.0;2.0;2.0;0.0;2.0;0.0;1.0;2.0;2.0;2.0;282.0;7.0
0.0;0.0;0.3274660937458892;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.6014167670256413;0.0;0.0;2.0;2.0;0.1702127659574468;1.0;0.2553191489361702;0.0;2.0;2.0;47.0;1.0;0.0;0.0;1.0;1.0;False;0.0;0.0;2.0;47.0;0.0;0.0;12.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;1.8;5.0;2.0;0.0;0.0;2.0;2.0;0.0;0.0;7.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;3.7916666666666665;0.0;1.0;1.0;0.0;1.0522870559422497;0.0;2.0;0.0;1.0;1.0;0.0;0.08085106382978723;0.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;1.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;2.0;0.0;1.0;1.0;2.0;1.0;47.0;3.0
0.0;0.0;0.6499770536246938;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2623670034646772;0.0;0.0;0.0;0.0;0.5232558139534884;0.0;0.3953488372093023;0.0;0.0;0.0;86.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;86.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.9166666666666665;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.21875;0.0;0.0;0.0;0.0;1.1710133346047609;0.0;0.0;0.0;0.0;0.0;0.0;0.2374031007751937;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;86.0;5.0
0.0;0.0;0.33797681845020844;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.6203047740304676;0.0;0.0;2.0;2.0;0.18181818181818185;1.0;0.2727272727272727;0.0;2.0;2.0;44.0;1.0;0.0;0.0;1.0;1.0;False;0.0;0.0;2.0;44.0;0.0;0.0;12.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;1.8;5.0;2.0;0.0;0.0;2.0;2.0;0.0;0.0;7.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;3.7916666666666665;0.0;1.0;1.0;0.0;1.086141803317283;0.0;2.0;0.0;1.0;1.0;0.0;0.08636363636363636;0.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;1.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;2.0;0.0;1.0;1.0;2.0;1.0;44.0;3.0
0.0;0.0;0.6402533750729955;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.244292382930391;0.0;0.0;0.0;0.0;0.5056179775280899;0.0;0.3820224719101124;0.0;0.0;0.0;89.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;89.0;0.0;0.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.9166666666666665;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.21875;0.0;0.0;0.0;0.0;1.1531145371787277;0.0;0.0;0.0;0.0;0.0;0.0;0.2294007490636704;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;89.0;5.0
0.0;0.0;0.3624242698155731;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.6640536748430402;0.0;0.0;2.0;2.0;0.21052631578947367;1.0;0.3684210526315789;0.0;2.0;2.0;38.0;1.0;0.0;0.0;1.0;1.0;False;0.0;0.0;2.0;38.0;0.0;0.0;14.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;1.8;5.0;2.0;0.0;0.0;2.0;2.0;0.0;0.0;7.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;3.75;0.0;1.0;1.0;0.0;1.2823342868880143;0.0;2.0;0.0;1.0;1.0;0.0;0.1;0.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;1.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;2.0;0.0;1.0;1.0;2.0;1.0;38.0;3.0
0.0;0.0;0.3624242698155731;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.6640536748430402;0.0;0.0;2.0;2.0;0.21052631578947367;1.0;0.3684210526315789;0.0;2.0;2.0;38.0;1.0;0.0;0.0;1.0;1.0;False;0.0;0.0;2.0;38.0;0.0;0.0;14.0;2.0;1.0;0.0;0.0;0.0;1.0;0.0;1.8;5.0;2.0;0.0;0.0;2.0;2.0;0.0;0.0;7.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;3.75;0.0;1.0;1.0;0.0;1.2823342868880143;0.0;2.0;0.0;1.0;1.0;0.0;0.1;0.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;1.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;2.0;0.0;1.0;1.0;2.0;1.0;38.0;3.0
