;NumberOfPolymorphicMethods;NumberOfInheritedMethods;NumberOfPrivateAttributes;Cohesion;NumberOfMethods_Mood;NumberOfPublicAttributes;Bugged;NumberOfSubclasses;NumberPublicMethods;NumberOfAttributes;NumberUserDefinedAttributes;NumberOfCoupledClasses;NumberOfProtectedAttributes;NumberOfAncestors
count;150.0;150.0;150.0;150.0;150.0;150.0;150;150.0;150.0;150.0;150.0;150.0;150.0;150.0
unique;;;;;;;2;;;;;;;
top;;;;;;;False;;;;;;;
freq;;;;;;;143;;;;;;;
mean;6.333333333333333;0.0;2.8866666666666667;0.19986711087406983;10.54;0.64;;0.0;8.373333333333333;3.64;0.30666666666666664;0.2;0.11333333333333333;0.0
std;8.246753818676856;0.0;3.633432874280405;0.22100739127781813;13.310756613008078;1.8798829036787437;;0.0;12.386692722415962;4.238335750372533;0.9827141340955825;0.5050084722526741;0.6709371055118152;0.0
min;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;1.0;0.0;0.0;0.0;3.0;0.0;;0.0;2.0;0.0;0.0;0.0;0.0;0.0
50%;4.0;0.0;2.0;0.16269841269841268;7.0;0.0;;0.0;4.0;2.0;0.0;0.0;0.0;0.0
75%;8.0;0.0;5.0;0.31164772727272727;13.0;0.0;;0.0;9.0;6.0;0.0;0.0;0.0;0.0
max;57.0;0.0;19.0;1.0;93.0;16.0;;0.0;92.0;21.0;4.0;2.0;5.0;0.0
