;all_process_changes_min;all_process_deletions_max;all_process_changes_count;all_process_changes_mean;all_process_deletions_min;all_process_insertions_max;all_process_changes_max;all_process_changes_std;all_process_deletions_std;Bugged;all_process_insertions_mean;all_process_deletions_count;all_process_insertions_count;all_process_count;all_process_insertions_min;all_process_insertions_std;all_process_deletions_mean
count;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150.0;150;150.0;150.0;150.0;150.0;150.0;150.0;150.0
unique;;;;;;;;;;2;;;;;;;
top;;;;;;;;;;False;;;;;;;
freq;;;;;;;;;;143;;;;;;;
mean;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;13.833333333333334;0.0;0.0;0.0
std;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;10.123012965460502;0.0;0.0;0.0
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;7.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;10.0;0.0;0.0;0.0
75%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;19.0;0.0;0.0;0.0
max;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;61.0;0.0;0.0;0.0
