;MethodLength;Fout;LOCMethod_CK;MaxNumberOfNestedBlocks;NumberOfNumbers;VG;NumberOfVariables;BuggedMethods;NBD;NumberOfAnonymousClasses;NumberOfLambdas;NCOMP;CBO;MCLC;Maximum Depth;NumberOfParameters_CK;NOP;NumberOfInnerClasses;NumberOfAssignments;NumberOfLogStatements;FileLength;IOVars;NumberOfStringLiterals;NVAR;RFC;WMC_CK;NumberOfParenthesizedExps;NumberOfMathOperations;Di;Ci;NumberOfUniqueWords;NumberOfComparisons;AnonymousInnerClassLength;NumberOfLoops;Fin;Si;NumberOfModifiers;Returns;IsConstructor;NumberOfTryCatch
count;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720.0;2720;2720.0
unique;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;
top;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;
freq;;;;;;;;2446;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2634;
mean;3.2974264705882352;0.01948529411764706;3.0128676470588234;0.10625;0.46948529411764706;0.3356617647058823;0.5191176470588236;;0.2595588235294118;0.0003676470588235294;0.0;0.15183823529411763;0.7397058823529412;0.24595588235294116;0.6345588235294117;0.15110294117647058;0.08713235294117647;0.0;0.7731617647058824;0.0029411764705882353;6.968014705882353;0.2400735294117647;0.9533088235294118;0.09411764705882353;0.9;0.6275735294117647;0.05772058823529412;0.07058823529411765;0.22929621848749995;0.2767226890757353;4.439705882352941;0.10183823529411765;0.03419117647058824;0.046691176470588236;0.026470588235294117;0.04742647058823529;2.9091911764705882;0.2577205882352941;;0.0007352941176470588
std;7.350230285271496;0.2169426119465181;6.40581032316874;0.46277134620374955;2.36247070844431;1.1545743184688428;1.5232663992605489;;0.7687227769680274;0.01917412472118426;0.0;0.8551363124346054;1.6286005477965273;1.3405788733215707;1.1017975667574456;0.4385340734422672;0.3312517258883147;0.0;2.4800076528865187;0.05416275918578076;58.502189260907315;0.6046990154910362;3.820208658779266;0.5630219395661754;2.1760338248890845;1.2992390317134914;0.5597567733650781;0.5631986679185668;0.5871269561769115;1.1133585532418684;7.91612224858047;0.5944424509111133;0.6027460210893429;0.3468293948384842;0.3452478402828255;0.935366571724222;48.12035362846626;0.7278260332656257;;0.027111320320213562
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
75%;3.0;0.0;3.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;;0.0
max;105.0;6.0;86.0;7.0;56.0;15.0;16.0;;10.0;1.0;0.0;16.0;12.0;26.0;7.0;5.0;5.0;0.0;45.0;1.0;1178.0;6.0;72.0;10.0;26.0;15.0;18.0;12.0;6.0;36.285714286;75.0;18.0;16.0;9.0;9.0;36.0;1028.0;10.0;;1.0
