;ClassFanOutComplexity_25%;AnonymousInnerClassLength_count;ClassFanOutComplexity_std;NCSSForThisClass_mean;AnonymousInnerClassLength_25%;FileLength_50%;NestedForDepth_max;ClassDataAbstractionCoupling_mean;NCSSForThisMethod_count;CyclomaticComplexity_count;NumberOfProtectedMethod_min;NumberOfPrivateMethod_min;NumberOfPackageMethod_75%;NumberOfPublicMethods_Checkstyle_std;ClassFanOutComplexity_count;NCSSForThisFile_mean;BooleanExpressionComplexity_max;FileLength_mean;BooleanExpressionComplexity_min;ClassDataAbstractionCoupling_min;NCSSForThisFile_count;NCSSForThisMethod_min;NumberOfProtectedMethod_50%;CyclomaticComplexity_std;ThrowsCount_75%;FileLength_min;NumberOfProtectedMethod_mean;NumberOfPrivateMethod_mean;ClassFanOutComplexity_max;NCSSForThisMethod_75%;NumberOfPublicMethods_Checkstyle_75%;NumberOfPackageMethod_25%;ThrowsCount_mean;NumberOfProtectedMethod_25%;MethodLength_std;NumberOfPackageMethod_min;NestedIfElseDepth_count;NumberOfMethods_Checkstyle_count;NPathComplexity_max;Bugged;NCSSForThisClass_count;NumberOfPackageMethod_mean;NumberOfMethods_Checkstyle_mean;NestedForDepth_50%;NCSSForThisClass_50%;ClassDataAbstractionCoupling_50%;NCSSForThisFile_25%;NestedIfElseDepth_50%;ThrowsCount_25%;ExecutableStatementCount_mean;NumberOfPublicMethods_Checkstyle_25%;BooleanExpressionComplexity_50%;NestedIfElseDepth_min;ClassDataAbstractionCoupling_count;NumberOfProtectedMethod_std;NumberOfProtectedMethod_75%;AnonymousInnerClassLength_min;NPathComplexity_count;ExecutableStatementCount_50%;MethodLength_count;ClassDataAbstractionCoupling_75%;NCSSForThisFile_max;BooleanExpressionComplexity_std;NPathComplexity_75%;NPathComplexity_mean;ThrowsCount_max;ThrowsCount_50%;ExecutableStatementCount_count;FileLength_25%;NCSSForThisMethod_mean;FileLength_max;ClassDataAbstractionCoupling_std;NumberOfPrivateMethod_max;NumberOfPackageMethod_max;CyclomaticComplexity_mean;FileLength_std;ClassFanOutComplexity_min;NestedForDepth_count;NumberOfPublicMethods_Checkstyle_50%;NestedTryDepth_50%;NestedTryDepth_max;NumberOfPackageMethod_count;NestedTryDepth_count;NumberOfPublicMethods_Checkstyle_max;ClassDataAbstractionCoupling_max;NumberOfPackageMethod_50%;NumberOfPrivateMethod_75%;NestedForDepth_mean;NCSSForThisMethod_25%;NCSSForThisFile_std;BooleanExpressionComplexity_count;ClassFanOutComplexity_75%;NCSSForThisClass_min;NestedIfElseDepth_std;NestedTryDepth_75%;NestedTryDepth_25%;NumberOfPrivateMethod_25%;NestedIfElseDepth_mean;ClassFanOutComplexity_50%;NPathComplexity_50%;NestedForDepth_25%;NestedForDepth_min;NumberOfPrivateMethod_50%;AnonymousInnerClassLength_max;NumberOfPackageMethod_std;NestedIfElseDepth_75%;AnonymousInnerClassLength_std;NumberOfMethods_Checkstyle_min;AnonymousInnerClassLength_mean;ThrowsCount_min;NCSSForThisClass_25%;NestedTryDepth_std;AnonymousInnerClassLength_75%;ThrowsCount_count;NPathComplexity_25%;NumberOfPrivateMethod_std;CyclomaticComplexity_50%;NumberOfPublicMethods_Checkstyle_min;NumberOfMethods_Checkstyle_50%;CyclomaticComplexity_25%;ExecutableStatementCount_75%;NumberOfPrivateMethod_count;NCSSForThisClass_std;NestedTryDepth_min;AnonymousInnerClassLength_50%;NCSSForThisMethod_max;NCSSForThisMethod_std;NumberOfMethods_Checkstyle_std;ExecutableStatementCount_min;NestedIfElseDepth_max;NestedForDepth_75%;MethodLength_25%;MethodLength_mean;NCSSForThisClass_max;NumberOfMethods_Checkstyle_max;NCSSForThisClass_75%;NCSSForThisFile_50%;NCSSForThisMethod_50%;MethodLength_max;NPathComplexity_std;BooleanExpressionComplexity_75%;CyclomaticComplexity_75%;NCSSForThisFile_75%;NumberOfMethods_Checkstyle_75%;MethodLength_min;CyclomaticComplexity_max;NestedTryDepth_mean;NPathComplexity_min;CyclomaticComplexity_min;NumberOfMethods_Checkstyle_25%;NCSSForThisFile_min;FileLength_75%;FileLength_count;NumberOfPublicMethods_Checkstyle_mean;NestedForDepth_std;MethodLength_75%;ClassDataAbstractionCoupling_25%;NumberOfProtectedMethod_max;ExecutableStatementCount_max;NestedIfElseDepth_25%;ExecutableStatementCount_25%;BooleanExpressionComplexity_mean;ExecutableStatementCount_std;NumberOfPublicMethods_Checkstyle_count;ThrowsCount_std;BooleanExpressionComplexity_25%;ClassFanOutComplexity_mean;NumberOfProtectedMethod_count;MethodLength_50%
count;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.5851063829787234;5.775075987841945;1.0153286652641178;7.631627772703681;0.0851063829787234;14.571428571428571;0.0486322188449848;0.19662643970238444;5.775075987841945;5.775075987841945;0.3282674772036474;0.0060790273556231;0.029635258358662615;1.0201194638378717;5.775075987841945;10.023971858569755;0.3951367781155015;22.062076043532528;0.0364741641337386;0.08814589665653495;5.775075987841945;3.711246200607903;0.33890577507598785;0.7322026113403362;0.2066869300911854;13.48936170212766;0.37145275651042453;0.03971693909397994;3.735562310030395;6.240881458966565;0.5965045592705167;0.0182370820668693;0.18293543331049394;0.33358662613981765;3.511577643435118;0.015197568389057751;5.775075987841945;5.775075987841945;115.04559270516717;;5.775075987841945;0.042432724609693946;1.1884815857678843;0.00303951367781155;4.542553191489362;0.12613981762917933;6.683130699088146;0.060790273556231005;0.15273556231003038;4.229954398005694;0.3609422492401216;0.060790273556231005;0.03951367781155015;5.775075987841945;0.12821528831729126;0.36322188449848025;0.0851063829787234;5.775075987841945;3.5896656534954405;5.775075987841945;0.16945288753799392;46.11246200607903;0.1384589897872377;38.46504559270517;42.882200069334644;0.24316109422492402;0.18085106382978725;5.775075987841945;14.030395136778116;5.638126856915481;100.79331306990882;0.26753848980738293;0.1945288753799392;0.21580547112462006;1.954563150530538;24.864189156099144;0.5197568389057751;5.775075987841945;0.3905775075987842;0.0060790273556231;0.0182370820668693;5.775075987841945;5.775075987841945;3.6200607902735564;0.9422492401215805;0.02127659574468085;0.028875379939209727;0.006579800956907565;4.189969604863222;10.774128805285805;5.775075987841945;0.8411854103343465;3.9635258358662613;0.08498022583181858;0.00911854103343465;0.0060790273556231;0.012917933130699088;0.09490340624625786;0.6504559270516718;37.2887537993921;0.0;0.0;0.019756838905775075;0.6291793313069909;0.0688104987823489;0.12234042553191489;0.11987531644607693;0.6869300911854104;0.11419909206214388;0.1276595744680851;4.250759878419453;0.004459428033630266;0.0851063829787234;5.775075987841945;36.889057750759875;0.07387536255382715;1.7203647416413375;0.3343465045592705;0.770516717325228;1.5486322188449848;4.769756838905775;5.775075987841945;10.092668856766071;0.0060790273556231;0.0851063829787234;11.407294832826748;2.5574022624789112;1.2780546949510805;2.6231003039513676;0.24620060790273557;0.0060790273556231;6.1580547112462005;8.147744745982767;39.650455927051674;4.954407294832826;5.873100303951368;6.916413373860182;4.866261398176292;15.893617021276595;18.298406063257044;0.1405775075987842;2.1246200607902734;7.848024316109423;1.013677811550152;5.4832826747720365;3.4954407294832825;0.008181269394109486;36.48632218844985;1.425531914893617;0.7272036474164134;6.449848024316109;17.288753799392097;5.775075987841945;0.7362360913028091;0.014149220522390005;8.96808510638298;0.10714285714285714;0.9665653495440729;9.072948328267477;0.0486322188449848;3.034954407294833;0.11684600194543397;2.1154299781088164;5.775075987841945;0.05174478718762113;0.044832826747720364;0.9489252745734921;5.775075987841945;7.09726443768997
std;6.218056667754344;10.780707082208428;1.6767888524315984;53.1715412138383;0.910000370672324;137.83411812831054;0.308526615142785;0.9139466925767412;10.780707082208428;10.780707082208428;4.645528637139343;0.11026356928399425;0.2903349423563379;1.389847364496051;10.780707082208428;70.06039807714023;0.8741410746726364;137.50750074592793;0.2442154563434885;0.8807628501256539;10.780707082208428;7.067955941158071;4.645664778914404;1.3875693002373943;0.4012947367120618;137.5869371809077;4.645097044479579;0.2640681396014773;9.53331672650413;8.041521941479452;2.756712141303411;0.27685393650319184;0.35934019070703827;4.645374163755167;6.281464679856877;0.2756589232099856;10.780707082208428;10.780707082208428;955.4270694878231;;10.780707082208428;0.292768021090385;5.91810892693537;0.05513178464199713;53.18243750821316;0.9115037119928782;70.07173543110929;0.2664364801484368;0.35682602337424346;6.2958884345797905;2.7015976573395397;0.27764358254693755;0.22419450796977722;10.780707082208428;0.6985607628205044;4.646446644165904;0.910000370672324;10.780707082208428;6.133078262441908;10.780707082208428;0.956549154576601;117.90993409225348;0.3394187157255375;553.4547042657191;556.1384652791419;0.4296450337977756;0.38250363342020355;10.780707082208428;137.62218042844682;7.532941274868968;223.3861221949452;0.5500306452755699;0.7992949484139206;0.8257993384648596;2.6892830723061305;39.92776007928011;6.212232616944884;10.780707082208428;2.708422269487977;0.07784917299263008;0.13401148371340968;10.780707082208428;10.780707082208428;6.676201727665845;2.184969955395875;0.2807387023430396;0.3518274759553702;0.07226421716796277;7.137932614648897;19.77346221398946;10.780707082208428;6.2979294985389425;53.06914387318699;0.2511707046935899;0.09519947569957873;0.07784917299263008;0.15624791495383974;0.28672521617138913;6.245926094607721;553.498013106986;0.0;0.0;0.24768181636089215;3.782485261211049;0.25806726983096534;0.407207540841413;0.7532238906198898;5.938391473356195;0.923827340293314;0.33421868239159597;53.08846842397839;0.0419324588807841;0.910000370672324;10.780707082208428;553.5114323284722;0.39406207438142477;2.6796850676301287;2.700057522252253;5.947028365371286;2.579215637824377;6.7789007716885585;10.780707082208428;18.107087061432836;0.07784917299263008;0.910000370672324;18.406108352173604;4.941527379004177;1.6747886316760972;5.922586067307468;0.6125161788800956;0.11026356928399426;10.924443413155723;11.308285562707583;104.02867807038588;10.379141270082842;53.380265903419655;70.16971915204864;7.364862917754568;23.876669689779423;179.65914272810664;0.4078527587073948;2.8946916183890723;70.34128532653956;5.968588623114822;10.834700077831352;5.184475877587557;0.08109420685994753;553.5322555114701;2.530560486886119;5.939020415694445;70.05340781591696;138.2235722478863;10.780707082208428;2.7029106228546196;0.104349084671972;12.067018128142925;0.8876021313370123;7.364762886510835;15.911171987781445;0.23811303742745288;5.979952031048967;0.31581770988048663;4.121924737428946;10.780707082208428;0.1486557471928056;0.25318830241560314;6.23501523726685;10.780707082208428;11.204839919241822
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.05263157894736842;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;0.0;2.0;3.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;3.0
50%;0.0;2.0;0.0;1.8888888888888888;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;2.0;;2.0;0.0;0.9;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;1.0;2.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;0.0;3.083333333333333;0.0;0.0;0.0;0.0;1.2807017543859651;0.0;0.0;2.0;0.0;0.0;0.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;1.0;2.0;2.0;0.0;0.0;0.0;5.0;0.0;0.0;1.0;0.0;0.0;3.0;4.642857142857143;6.0;2.0;0.0;0.0;2.0;7.0;0.0;0.0;1.0;0.0;0.0;3.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.42857142857142855;0.0;4.5;0.0;0.0;3.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.1111111111111111;2.0;3.0
75%;0.0;6.0;1.5;7.0;0.0;0.0;0.0;0.14285714285714285;6.0;6.0;0.0;0.0;0.0;1.7888543819998322;6.0;6.6;0.0;18.5;0.0;0.0;6.0;2.0;0.0;0.9258200997725514;0.0;0.0;0.0;0.0;4.0;8.5;0.75;0.0;0.0;0.0;4.746515749969222;0.0;6.0;6.0;6.0;;6.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;5.666666666666668;0.0;0.0;0.0;6.0;0.0;0.0;0.0;6.0;4.0;6.0;0.0;39.0;0.0;2.25;2.4;0.0;0.0;6.0;0.0;7.416666666666668;115.0;0.31622776601683794;0.0;0.0;2.0;45.22057054040783;0.0;6.0;0.0;0.0;0.0;6.0;6.0;4.0;1.0;0.0;0.0;0.0;4.5;15.513435037626795;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;1.25;0.0;2.0;0.0;0.0;1.25;7.0;6.0;13.426342266852375;0.0;0.0;14.0;3.2983457925633366;2.23606797749979;1.0;0.0;0.0;6.0;11.0;30.0;5.0;3.0;0.0;6.0;20.0;1.4142135623730951;0.0;2.0;0.0;1.0;3.0;4.0;0.0;1.0;1.0;0.0;0.0;0.0;6.0;1.0;0.0;12.0;0.0;0.0;12.0;0.0;3.0;0.0;2.3817487845545915;6.0;0.0;0.0;0.8;6.0;9.0
