;NumberOfStringLiterals_count;Returns_min;WMC_CK_mean;NumberOfParameters_CK_mean;IsConstructor_count;NumberOfMathOperations_min;NumberOfAssignments_75%;NumberOfMathOperations_50%;NumberOfComparisons_50%;NumberOfInnerClasses_count;NumberOfModifiers_count;NumberOfLoops_min;NumberOfTryCatch_75%;NumberOfMathOperations_max;NumberOfComparisons_25%;NumberOfAnonymousClasses_25%;NumberOfAssignments_max;NumberOfModifiers_75%;NumberOfParenthesizedExps_50%;NumberOfVariables_25%;NumberOfAnonymousClasses_std;NumberOfLogStatements_count;WMC_CK_min;NumberOfParameters_CK_75%;Returns_25%;NumberOfVariables_min;NumberOfLambdas_count;NumberOfModifiers_min;RFC_mean;Bugged;NumberOfUniqueWords_max;NumberOfParenthesizedExps_std;Returns_max;NumberOfAnonymousClasses_max;LOCMethod_CK_50%;NumberOfLogStatements_std;NumberOfLambdas_50%;CBO_min;NumberOfUniqueWords_75%;NumberOfNumbers_25%;MaxNumberOfNestedBlocks_std;RFC_std;NumberOfInnerClasses_max;NumberOfAssignments_std;MaxNumberOfNestedBlocks_50%;Returns_75%;NumberOfLogStatements_max;NumberOfMathOperations_count;NumberOfAnonymousClasses_min;NumberOfMathOperations_mean;NumberOfParameters_CK_max;RFC_75%;MaxNumberOfNestedBlocks_min;LOCMethod_CK_count;NumberOfLambdas_mean;NumberOfParameters_CK_std;NumberOfLambdas_75%;NumberOfAssignments_25%;NumberOfInnerClasses_75%;NumberOfAssignments_count;NumberOfLogStatements_min;RFC_25%;NumberOfStringLiterals_max;NumberOfModifiers_50%;Returns_mean;NumberOfInnerClasses_std;NumberOfParenthesizedExps_min;NumberOfLoops_75%;NumberOfUniqueWords_count;NumberOfVariables_count;NumberOfAnonymousClasses_75%;NumberOfAnonymousClasses_50%;NumberOfNumbers_mean;NumberOfUniqueWords_25%;NumberOfTryCatch_max;NumberOfStringLiterals_std;NumberOfTryCatch_25%;NumberOfNumbers_min;NumberOfAssignments_mean;IsConstructor_unique;NumberOfUniqueWords_min;NumberOfStringLiterals_25%;LOCMethod_CK_75%;NumberOfLoops_count;NumberOfVariables_75%;NumberOfAnonymousClasses_count;WMC_CK_count;NumberOfComparisons_std;NumberOfVariables_std;NumberOfModifiers_25%;NumberOfLogStatements_75%;CBO_mean;NumberOfVariables_50%;NumberOfLogStatements_25%;NumberOfMathOperations_std;NumberOfParenthesizedExps_25%;LOCMethod_CK_std;RFC_min;NumberOfStringLiterals_75%;LOCMethod_CK_max;NumberOfStringLiterals_mean;NumberOfLoops_50%;NumberOfInnerClasses_min;WMC_CK_75%;NumberOfLambdas_25%;NumberOfLoops_max;CBO_25%;NumberOfNumbers_std;RFC_50%;MaxNumberOfNestedBlocks_count;MaxNumberOfNestedBlocks_25%;NumberOfMathOperations_25%;CBO_50%;NumberOfMathOperations_75%;NumberOfComparisons_min;NumberOfNumbers_count;NumberOfLoops_std;NumberOfVariables_mean;NumberOfParameters_CK_50%;NumberOfComparisons_mean;NumberOfLogStatements_mean;NumberOfAssignments_min;NumberOfLoops_mean;NumberOfUniqueWords_std;LOCMethod_CK_mean;IsConstructor_freq;NumberOfAnonymousClasses_mean;WMC_CK_max;WMC_CK_50%;CBO_count;NumberOfParameters_CK_25%;NumberOfStringLiterals_50%;NumberOfTryCatch_count;NumberOfUniqueWords_50%;NumberOfStringLiterals_min;NumberOfLambdas_max;NumberOfComparisons_75%;NumberOfLoops_25%;NumberOfLambdas_min;Returns_50%;Returns_std;NumberOfUniqueWords_mean;MaxNumberOfNestedBlocks_mean;NumberOfTryCatch_std;NumberOfAssignments_50%;NumberOfParenthesizedExps_mean;NumberOfInnerClasses_50%;NumberOfTryCatch_50%;IsConstructor_top;NumberOfParameters_CK_min;WMC_CK_std;RFC_max;NumberOfNumbers_50%;NumberOfParenthesizedExps_max;MaxNumberOfNestedBlocks_75%;NumberOfVariables_max;NumberOfParenthesizedExps_count;NumberOfInnerClasses_mean;NumberOfModifiers_std;NumberOfModifiers_mean;NumberOfParameters_CK_count;MaxNumberOfNestedBlocks_max;LOCMethod_CK_min;NumberOfParenthesizedExps_75%;NumberOfModifiers_max;RFC_count;NumberOfComparisons_max;CBO_75%;NumberOfInnerClasses_25%;Returns_count;CBO_max;WMC_CK_25%;NumberOfTryCatch_min;NumberOfNumbers_75%;NumberOfLogStatements_50%;NumberOfLambdas_std;NumberOfComparisons_count;CBO_std;NumberOfTryCatch_mean;NumberOfNumbers_max;LOCMethod_CK_25%
count;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;5.677811550151976;0.2978723404255319;1.9465801578402369;0.7617055933042622;5.677811550151976;0.0668693009118541;1.9551671732522797;0.1033434650455927;0.29635258358662614;5.677811550151976;5.677811550151976;0.02735562310030395;0.17097264437689969;0.5896656534954408;0.23708206686930092;0.00303951367781155;4.212765957446808;9.759118541033434;0.03343465045592705;0.7735562310030395;0.004938418232992358;5.677811550151976;1.4133738601823709;0.9566869300911854;0.47796352583586627;0.5896656534954408;5.677811550151976;1.1458966565349544;2.2726166558867247;;17.996960486322187;0.12411826845419725;1.297872340425532;0.0243161094224924;6.67629179331307;0.015819683828890894;0.0;0.9422492401215805;12.825227963525835;0.18768996960486323;0.32706008966548394;1.0755842211306728;0.0;1.1102347131876014;0.3905775075987842;0.75;0.09422492401215805;5.677811550151976;0.00303951367781155;0.17112682349599256;1.3130699088145896;2.648176291793313;0.23404255319148937;5.677811550151976;0.0;0.39640217816292045;0.0;1.1390577507598785;0.0;5.677811550151976;0.04559270516717325;1.6785714285714286;3.2613981762917934;4.674772036474164;0.6499483907421044;0.0;0.02127659574468085;0.11018237082066869;5.677811550151976;5.677811550151976;0.00303951367781155;0.00303951367781155;0.5889791078821492;8.96808510638298;0.3191489361702128;0.8435823823374681;0.1466565349544073;0.13069908814589665;1.7303693419657769;1.0729483282674772;6.96048632218845;0.8229483282674772;8.416413373860182;5.677811550151976;1.3259878419452888;5.677811550151976;5.677811550151976;0.321719122386815;0.6672235388525392;4.430851063829787;0.050911854103343465;1.5869209746719855;0.9756838905775076;0.04939209726443769;0.19330300118302474;0.025835866261398176;3.244146022178338;1.2674772036474165;1.4954407294832828;14.586626139817628;1.2939790070399038;0.060790273556231005;0.0;2.117021276595745;0.0;0.3768996960486322;1.2537993920972645;0.7951717030227188;2.027355623100304;5.677811550151976;0.28191489361702127;0.08206686930091185;1.5106382978723405;0.1838905775075988;0.19148936170212766;5.677811550151976;0.13042644441581458;1.1375019064935348;0.7142857142857143;0.40306247722754235;0.053345954116818736;0.8966565349544073;0.10198418709921732;4.190048946910064;7.580382167859046;5.382978723404255;0.004279051500578409;3.522796352583587;1.7112462006079028;5.677811550151976;0.5357142857142857;1.013677811550152;5.677811550151976;10.729483282674773;0.6930091185410334;0.0;0.4551671732522796;0.03419452887537994;0.0;0.5775075987841946;0.3798303716762017;11.279075359597996;0.48016164716943877;0.0671682497588082;1.4300911854103344;0.07713492634420582;0.0;0.15045592705167174;;0.3556231003039514;0.748076600619699;4.130699088145897;0.30547112462006076;0.4194528875379939;0.6063829787234043;2.4285714285714284;5.677811550151976;0.0;11.482036955512266;9.550528413905448;5.677811550151976;1.0212765957446808;5.051671732522796;0.057750759878419454;33.99696048632219;5.677811550151976;1.127659574468085;1.8297872340425532;0.0;5.677811550151976;2.5106382978723403;1.5243161094224924;0.13677811550151975;0.6094224924012158;0.05015197568389058;0.0;5.677811550151976;0.6033197885920114;0.17364661408263674;2.653495440729483;5.723404255319149
std;10.685619471456423;0.7173981414873088;2.683498396683924;0.8407730026361412;10.685619471456423;0.49549456501886;3.452597650464399;0.5281303948734406;1.1191999852631889;10.685619471456423;10.685619471456423;0.18106897513487535;0.4699678529282335;1.5177856777165066;1.0899102094145;0.05513178464199713;8.128747987885028;84.53337615930995;0.2538257206797849;1.8276583872588055;0.03491209780677214;10.685619471456423;2.527761201561473;1.0025809509829013;0.7787238144254894;1.7648368120700149;10.685619471456423;2.4074306720043013;3.3022572502227376;;17.66688691230615;0.43154553080025176;2.0006161479549807;0.1542633075713925;10.07604849534036;0.0845213715471106;0.0;2.0952201231658782;12.180233212941971;0.6898604586208698;0.5078674026727695;1.8036049241916077;0.0;1.947231529361851;0.7819628021873832;0.983863712552734;0.34072657013566154;10.685619471456423;0.05513178464199713;0.5680598610896703;1.305188753044351;3.5343324419598487;0.6829337793404225;10.685619471456423;0.0;0.5042618520707011;0.0;3.194925286304723;0.0;10.685619471456423;0.23630869010638164;3.217388649394778;8.286324274994463;56.651781896929464;0.8722229893262372;0.0;0.23973476088923695;0.34787415835919483;10.685619471456423;10.685619471456423;0.05513178464199713;0.05513178464199713;1.3951188646397679;10.292970590558427;0.6474371654749163;2.3728378304302717;0.4498011830054239;0.628053368891526;3.2754846367044212;0.6539030101721017;9.951174449958225;2.6062040427728976;10.833879556430155;10.685619471456423;2.1363401174468235;10.685619471456423;10.685619471456423;0.8110045703783839;1.1555487932665163;56.65025588606294;0.2451339009638095;2.1460024494446106;1.9312146051098764;0.2423203283315748;0.5102597246470996;0.24244936067182601;5.9212179702464205;3.2065396239555555;3.8736693864514526;21.941981503544195;3.0695264600747123;0.23930918444298455;0.0;2.887364546950203;0.0;0.9519947569957874;2.146098808018894;2.410504230854278;3.318809016926036;10.685619471456423;0.7109549864336144;0.5035217270994425;2.2025572484721243;0.6731447404895554;1.0748456642086754;10.685619471456423;0.34324986336922136;1.9052812413678513;0.887141987464997;1.1480459954875875;0.24146904815890607;3.16540287681138;0.2726207429540753;6.32873274508371;10.209649221057019;10.519978768765535;0.05590241240526172;5.233591963412781;2.66044214476915;10.685619471456423;0.8173851398814116;2.7398306705333444;10.685619471456423;10.894438614265264;2.556671044978933;0.0;1.209749792470548;0.18563348650348338;0.0;0.8594410340146553;0.6525910412411565;10.933082892461703;0.755208957689273;0.1991510211804495;3.2674914378675766;0.3078442729852155;0.0;0.4529794038113244;;0.7518110192947705;1.416631061705384;5.3469218233854425;0.90484830957487;1.4672392998996417;0.9260402781642726;3.6243466310139487;10.685619471456423;0.0;65.3851278290658;65.46530476027152;10.685619471456423;1.3489506579300221;9.760879105710826;0.29426808522612935;175.9736243138381;10.685619471456423;2.9521789688711184;2.3036245864030094;0.0;10.685619471456423;2.947825141853471;2.570829247873418;0.4446325723534628;1.5816794006510198;0.243341151179502;0.0;10.685619471456423;0.9180120514851129;0.45248290564337434;9.99458671778268;9.829077349703036
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;;4.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;3.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.6666666666666666;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;3.0
50%;2.0;0.0;1.25;0.6111111111111112;2.0;0.0;1.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0;0.0;0.0;2.0;1.0;1.0;;15.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.75;0.0;2.0;0.0;0.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.25;0.0;1.0;0.5;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.5714285714285714;1.0;3.0;0.0;4.5;2.0;0.0;2.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;1.247219128924647;4.5;2.0;0.0;2.0;1.0;2.0;0.0;0.0;2.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.333333333333334;0.07692307692307693;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;2.0;1.0;3.0;0.0;1.0;2.0;0.0;1.0;0.0;2.0;2.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;3.0
75%;6.0;0.0;2.142857142857143;1.1666666666666667;6.0;0.0;3.0;0.0;0.0;6.0;6.0;0.0;0.0;1.0;0.0;0.0;5.0;1.75;0.0;0.25;0.0;6.0;1.0;1.75;1.0;0.0;6.0;1.0;3.0;;27.0;0.0;1.0;0.0;9.0;0.0;0.0;1.0;19.0;0.0;0.5773502691896258;1.793929156399945;0.0;1.6193277068654828;0.5;1.0;0.0;6.0;0.0;0.02631578947368421;2.0;4.0;0.0;6.0;0.0;0.7264831572567789;0.0;1.0;0.0;6.0;0.0;2.0;3.0;1.0;1.0;0.0;0.0;0.0;6.0;6.0;0.0;0.0;0.6666666666666666;13.0;0.0;0.5477225575051662;0.0;0.0;2.3684210526315788;2.0;8.0;0.25;12.0;6.0;2.0;6.0;6.0;0.31622776601683794;0.983192080250175;1.0;0.0;2.164705882352941;1.0;0.0;0.0;0.0;4.5;1.0;1.0;19.0;1.0;0.0;0.0;2.25;0.0;0.0;1.5;0.5285941398709244;3.0;6.0;0.0;0.0;2.0;0.0;0.0;6.0;0.0;1.8333333333333333;1.0;0.3333333333333333;0.0;0.0;0.0;7.047458170621991;10.0;5.0;0.0;4.0;2.0;6.0;1.0;1.0;6.0;16.0;0.0;0.0;0.0;0.0;0.0;1.0;0.5773502691896258;16.0;0.8;0.0;1.5;0.0;0.0;0.0;;0.0;0.957427107756338;6.0;0.0;0.0;1.0;4.0;6.0;0.0;0.7071067811865476;2.0;6.0;2.0;3.0;0.0;4.0;6.0;1.0;3.0;0.0;6.0;4.0;1.25;0.0;0.5;0.0;0.0;6.0;0.957427107756338;0.0;2.0;5.5
