;AnonymousInnerClassLength_count;AnonymousInnerClassLength_25%;blamemerge_blamegetVocabulary_max;FileLength_50%;FileLength_mean;blame_merge_blame_getVolume_count;FileLength_min;blamemerge_blamegetEffort_mean;blamemerge_blamegetLength_mean;Difficulty;blame_merge_blame_getVocabulary_mean;MethodLength_std;blame_merge_blame_getLength_max;Bugged;blame_merge_blame_getDifficulty_mean;blame_merge_blame_getVocabulary_std;Vocabulary;blamemerge_blamegetDifficulty_mean;blamemerge_blamegetEffort_count;blame_merge_blame_getVolume_mean;blame_merge_blame_getEffort_max;Volume;AnonymousInnerClassLength_min;blamemerge_blamegetVolume_mean;blamemerge_blamegetVocabulary_mean;MethodLength_count;blamemerge_blamegetLength_count;blamemerge_blamegetDifficulty_count;blamemerge_blamegetVocabulary_std;FileLength_25%;FileLength_max;blame_merge_blame_getDifficulty_count;blame_merge_blame_getVocabulary_count;blame_merge_blame_getLength_mean;FileLength_std;blame_merge_blame_getLength_min;blame_merge_blame_getVolume_max;blame_merge_blame_getDifficulty_min;blame_merge_blame_getLength_count;blame_merge_blame_getEffort_std;NumberOfDistinctOperands;AnonymousInnerClassLength_max;blamemerge_blamegetVolume_count;blame_merge_blame_getVolume_std;blamemerge_blamegetEffort_std;AnonymousInnerClassLength_std;AnonymousInnerClassLength_mean;TotalNumberOfOperators;blame_merge_blame_getVolume_min;AnonymousInnerClassLength_75%;blame_merge_blame_getVocabulary_max;blamemerge_blamegetVocabulary_count;AnonymousInnerClassLength_50%;blamemerge_blamegetLength_std;MethodLength_25%;blamemerge_blamegetVolume_std;MethodLength_mean;TotalNumberOfOperands;MethodLength_max;Effort;NumberOfDistinctOperators;MethodLength_min;blamemerge_blamegetDifficulty_std;blame_merge_blame_getEffort_mean;blame_merge_blame_getDifficulty_std;blamemerge_blamegetDifficulty_max;blame_merge_blame_getDifficulty_max;FileLength_75%;blame_merge_blame_getLength_std;FileLength_count;blame_merge_blame_getVocabulary_min;blamemerge_blamegetVolume_max;Length;MethodLength_75%;blame_merge_blame_getEffort_min;blame_merge_blame_getEffort_count;blamemerge_blamegetEffort_max;blamemerge_blamegetLength_max;MethodLength_50%
count;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0
unique;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;5.775075987841945;0.0851063829787234;19.583586626139816;14.571428571428571;22.062076043532528;0.0;13.48936170212766;55.057106606557426;5.005173462179086;100.98112206452649;0.0;3.511577643435118;0.0;;0.0;0.0;205.17325227963525;1.203547361530229;516.2370820668693;0.0;0.0;24325.936518252056;0.0851063829787234;16.14875662359634;4.215113255197854;5.775075987841945;516.2370820668693;516.2370820668693;4.558067163483698;14.030395136778116;100.79331306990882;0.0;0.0;0.0;24.864189156099144;0.0;0.0;0.0;0.0;0.0;170.37993920972644;0.6291793313069909;516.2370820668693;0.0;106.44707678827614;0.11987531644607693;0.11419909206214388;1817.5896656534953;0.0;0.0851063829787234;0.0;516.2370820668693;0.0851063829787234;5.988120950100823;6.1580547112462005;22.670257231246772;8.147744745982767;1119.1398176291793;15.893617021276595;4301089.531784704;34.79331306990881;5.4832826747720365;1.487898645513573;0.0;0.0;7.33375927095532;0.0;17.288753799392097;0.0;5.775075987841945;0.0;154.54228902735724;2936.7294832826747;8.96808510638298;0.0;0.0;930.6552923513193;35.57142857142857;7.09726443768997
std;10.780707082208428;0.910000370672324;5.8757333138036945;137.83411812831054;137.50750074592793;0.0;137.5869371809077;34.32454409602651;2.243560152214636;71.2130403301606;0.0;6.281464679856877;0.0;;0.0;0.0;140.40061501650334;0.5212965274989606;445.9289205213241;0.0;0.0;28817.420876438686;0.910000370672324;8.245714821093852;1.7446285204392717;10.780707082208428;445.9289205213241;445.9289205213241;0.8691227367074539;137.62218042844682;223.3861221949452;0.0;0.0;0.0;39.92776007928011;0.0;0.0;0.0;0.0;0.0;130.45793532407555;3.782485261211049;445.9289205213241;0.0;56.643332239079385;0.7532238906198898;0.923827340293314;1967.7753949302437;0.0;0.910000370672324;0.0;445.9289205213241;0.910000370672324;1.63383806244916;10.924443413155723;7.864004876251323;11.308285562707583;1222.0825233207715;23.876669689779423;7339266.539643614;11.61238107250317;10.834700077831352;0.318620725109429;0.0;0.0;2.260808696147603;0.0;138.2235722478863;0.0;10.780707082208428;0.0;119.21715064042765;3186.8594865421114;12.067018128142925;0.0;0.0;694.6424501864972;22.133779188938092;11.204839919241822
min;0.0;0.0;7.0;0.0;0.0;0.0;0.0;1.626205706723895;0.5166666666666667;3.75;0.0;0.0;0.0;;0.0;0.0;20.0;0.1;33.0;0.0;0.0;133.97977094150824;0.0;1.268949328363255;0.4833333333333333;0.0;33.0;33.0;1.5996998306002908;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;33.0;0.0;5.850020499587271;0.0;0.0;16.0;0.0;0.0;0.0;33.0;0.0;1.7514320210313006;0.0;4.62402527631919;0.0;12.0;0.0;510.60690039803086;7.0;0.0;0.3692831657375883;0.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;25.266194298518442;31.0;0.0;0.0;0.0;29.47722668160484;9.0;0.0
25%;1.0;0.0;16.0;0.0;0.0;0.0;0.0;26.676491976196505;3.2115384615384617;43.94329896907217;0.0;0.0;0.0;;0.0;0.0;98.0;0.751819199552197;171.0;0.0;0.0;4438.116287177307;0.0;9.014229600035296;2.8790931989924435;1.0;171.0;171.0;3.868176436607257;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.0;0.0;171.0;0.0;67.61156605361057;0.0;0.0;421.0;0.0;0.0;0.0;171.0;0.0;4.6230423753250935;3.0;15.769014633136536;3.0;273.0;3.0;243553.11744630372;26.0;1.0;1.2883865403043668;0.0;0.0;5.785714285714287;0.0;0.0;0.0;1.0;0.0;92.0;678.0;3.0;0.0;0.0;485.4377525623444;23.0;3.0
50%;2.0;0.0;19.0;0.0;0.0;0.0;0.0;49.24717243850576;4.656207366984993;84.10194174757281;0.0;0.0;0.0;;0.0;0.0;162.0;1.1149709431087331;356.0;0.0;0.0;10287.472999399646;0.0;14.673050980206401;3.959731543624161;2.0;356.0;356.0;4.743777561301481;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;132.0;0.0;356.0;0.0;96.50217825234002;0.0;0.0;889.0;0.0;0.0;0.0;356.0;0.0;5.939281362972014;3.0;22.097634534853874;4.642857142857143;560.0;7.0;796279.7935609813;37.0;3.0;1.5534928073883083;0.0;0.0;7.5;0.0;0.0;0.0;2.0;0.0;125.0204990594726;1429.0;4.5;0.0;0.0;677.5579126362986;30.0;3.0
75%;6.0;0.0;21.0;0.0;18.5;0.0;0.0;79.89308988506129;7.039408866995075;136.83539094650206;0.0;4.746515749969222;0.0;;0.0;0.0;295.0;1.71494646883017;702.0;0.0;0.0;33669.062854167045;0.0;23.746615231301217;5.821428571428571;6.0;702.0;702.0;5.365958907047717;0.0;115.0;0.0;0.0;0.0;45.22057054040783;0.0;0.0;0.0;0.0;0.0;255.0;0.0;702.0;0.0;130.53210089503364;0.0;0.0;2579.0;0.0;0.0;0.0;702.0;0.0;7.166017864964322;6.0;29.109754748551804;11.0;1543.0;20.0;4981481.512960471;41.0;3.0;1.6793012949528772;0.0;0.0;9.0;0.0;0.0;0.0;6.0;0.0;147.1612434150308;4094.0;12.0;0.0;0.0;1045.9065989627418;42.0;9.0
