WMC_CK_50%;WMC_CK_25%;WMC_CK_count;WMC_CK_75%;WMC_CK_std;NMIR;WMC_CK_mean;WMC_CK_min;NPM;DIT;WMC;NORM;NMI;NOCh;Bugged;WMC_CK_max
4.0;1.0;54.0;8.5;5.51299208787808;0.0;5.277777777777779;1.0;44.0;1.0;312.0;0.0;0.0;0.0;False;27.0
12.0;12.0;1.0;12.0;0.0;0.0;12.0;12.0;44.0;1.0;312.0;0.0;0.0;0.0;False;12.0
1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;44.0;1.0;312.0;0.0;0.0;0.0;False;1.0
1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;44.0;1.0;312.0;0.0;0.0;0.0;False;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.0;1.0;312.0;0.0;0.0;0.0;False;0.0
1.0;1.0;26.0;1.0;0.196116135138184;0.0;1.0384615384615383;1.0;27.0;1.0;28.0;0.0;0.0;0.0;True;2.0
1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;27.0;1.0;28.0;0.0;0.0;0.0;True;1.0
1.0;1.0;4.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;3.0;0.0;0.0;1.0;False;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.0;1.0;46.0;0.0;0.0;0.0;True;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.0;1.0;46.0;0.0;0.0;0.0;True;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.0;1.0;46.0;0.0;0.0;0.0;True;0.0
1.0;1.0;38.0;1.0;1.195058578945976;0.0;1.368421052631579;1.0;33.0;1.0;46.0;0.0;0.0;0.0;True;6.0
1.0;1.0;4.0;1.0;0.0;0.0;1.0;1.0;33.0;1.0;46.0;0.0;0.0;0.0;True;1.0
1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;33.0;1.0;46.0;0.0;0.0;0.0;True;1.0
