;WMC_CK_50%;WMC_CK_25%;WMC_CK_count;WMC_CK_75%;WMC_CK_std;NMIR;WMC_CK_mean;WMC_CK_min;NPM;DIT;WMC;NORM;NMI;NOCh;Bugged;WMC_CK_max
count;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329;329.0
unique;;;;;;;;;;;;;;;2;
top;;;;;;;;;;;;;;;False;
freq;;;;;;;;;;;;;;;182;
mean;1.7112462006079028;1.5243161094224924;5.677811550151976;2.117021276595745;0.748076600619699;0.0;1.9465801578402369;1.4133738601823709;4.90273556231003;0.5167173252279635;32.89665653495441;0.0;0.0;0.5987841945288754;;3.522796352583587
std;2.66044214476915;2.570829247873418;10.685619471456423;2.887364546950203;1.416631061705384;0.0;2.683498396683924;2.527761201561473;8.386779582305511;0.5004816421405015;70.34142532559275;0.0;0.0;2.1829714544558154;;5.233591963412781
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
25%;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;;1.0
50%;1.0;1.0;2.0;1.0;0.0;0.0;1.25;1.0;0.0;1.0;3.0;0.0;0.0;0.0;;2.0
75%;2.0;1.25;6.0;2.25;0.957427107756338;0.0;2.142857142857143;1.0;6.0;1.0;35.0;0.0;0.0;0.0;;4.0
max;32.0;32.0;85.0;32.0;10.997607395295244;0.0;32.0;32.0;44.0;1.0;350.0;0.0;0.0;10.0;;42.0
