;blame_merge_blame_getDistinctOperandsCnt_min;NVAR_50%;blame_merge_blame_getDistinctOperandsCnt_mean;Si_min;NOP_min;blame_merge_blame_getDistinctOperandsCnt_count;ClTCi;Di_50%;Fin_50%;blamemerge_blamegetDistinctOperatorsCnt_mean;Si_75%;MCLC_min;Di_count;Di_min;NOP_max;Difficulty;VG_50%;blamemerge_blamegetDistinctOperandsCnt_count;Fin_25%;Si_max;Fout_mean;blame_merge_blame_getDistinctOperatorsCnt_count;blame_merge_blame_getDistinctOperatorsCnt_mean;VG_min;Di_max;Bugged;Ci_75%;blame_merge_blame_getDifficulty_mean;blamemerge_blamegetDifficulty_mean;blamemerge_blamegetDistinctOperatorsCnt_count;blame_merge_blame_getDistinctOperatorsCnt_min;Fout_75%;VG_mean;blamemerge_blamegetDistinctOperandsCnt_std;Fin_std;IOVars_75%;blame_merge_blame_getDistinctOperandsCnt_std;MCLC_25%;Di_25%;NBD_50%;blame_merge_blame_getDistinctOperatorsCnt_std;NOP_std;Fin_min;NVAR_max;MCLC_std;NCOMP_min;NOP_50%;NVAR_std;blamemerge_blamegetDifficulty_count;NCOMP_75%;IOVars_mean;NVAR_25%;blame_merge_blame_getDifficulty_count;IOVars_min;NCOMP_25%;NVAR_min;NBD_max;Ci_50%;NOPa;blamemerge_blamegetDistinctOperandsCnt_mean;Ci_25%;NOP_25%;IOVars_max;Ci_min;MCLC_50%;blame_merge_blame_getDifficulty_min;VG_std;VG_25%;NumberOfDistinctOperands;IOVars_25%;MCLC_max;Fin_count;NBD_count;VG_75%;blamemerge_blamegetDistinctOperatorsCnt_max;Fin_max;Fout_std;Fin_mean;NBD_std;NBD_25%;Fin_75%;Si_50%;MCLC_mean;blamemerge_blamegetDistinctOperatorsCnt_std;Di_std;Ci_max;Si_std;Fout_50%;NOP_count;NBD_min;Fout_count;NCOMP_count;blamemerge_blamegetDistinctOperandsCnt_max;VG_max;NOP_mean;Fout_min;NCOMP_max;NCOMP_std;NVAR_mean;IOVars_50%;NumberOfDistinctOperators;blame_merge_blame_getDistinctOperatorsCnt_max;IOVars_std;blamemerge_blamegetDifficulty_std;NOP_75%;blame_merge_blame_getDifficulty_std;Fout_max;NCOMP_mean;blamemerge_blamegetDifficulty_max;blame_merge_blame_getDifficulty_max;Ci_std;NVAR_count;Si_mean;Si_25%;MCLC_count;blame_merge_blame_getDistinctOperandsCnt_max;Fout_25%;ClRCi;VG_count;Si_count;NVAR_75%;Ci_count;NCOMP_50%;NBD_75%;Ci_mean;MCLC_75%;Di_mean;IOVars_count;NBD_mean;Di_75%
count;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0;329.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.0;0.3495440729483283;0.0;0.0425531914893617;0.24620060790273557;0.0;30.68103198727051;0.8890577507598785;0.00303951367781155;2.405514954264915;0.0547112462006079;0.5106382978723404;3.325227963525836;0.5786293240699089;0.9027355623100304;100.98112206452649;1.013677811550152;516.2370820668693;0.00303951367781155;0.3799392097264438;0.042061174606484716;0.0;0.0;0.7993920972644377;1.283434650455927;;1.094224924012158;0.0;1.203547361530229;516.2370820668693;0.0;0.0364741641337386;1.1778006590552332;2.2362031799682747;0.034617741146658644;1.0699088145896656;0.0;0.6458966565349544;0.7378419452887538;0.7264437689969605;0.0;0.26079941128714906;0.00303951367781155;1.1671732522796352;0.8706052260447428;0.303951367781155;0.506079027355623;0.36711228791970185;516.2370820668693;0.817629179331307;0.9401703406692772;0.26443768996960487;0.0;0.6170212765957447;0.3791793313069909;0.20364741641337386;1.2340425531914894;0.9430091185410334;0.0;1.8095983009329373;0.8001519756838906;0.3594224924012158;1.3221884498480243;0.6360182370820668;0.8814589665653495;0.0;0.5105754454369402;0.8829787234042553;170.37993920972644;0.7819148936170213;2.9483282674772036;3.325227963525836;3.325227963525836;1.3199088145896656;10.303951367781155;0.1398176291793313;0.03861734032191089;0.015844492791112587;0.2546478169995081;0.6436170212765957;0.0121580547112462;0.0486322188449848;1.1603481231926307;2.5412566225459696;0.270526881536676;1.5798451295410336;0.09970548650150253;0.030395136778115502;3.325227963525836;0.60790273556231;3.325227963525836;3.325227963525836;11.130699088145896;2.282674772036474;0.5309233930644243;0.0243161094224924;1.8358662613981762;0.5369769433522857;0.4775404418587037;0.925531914893617;34.79331306990881;0.0;0.26806319347542434;1.487898645513573;0.6679331306990881;0.0;0.13677811550151975;0.6828076813339271;7.33375927095532;0.0;0.3313265196245569;3.325227963525836;0.07899850272922318;0.044072948328267476;3.325227963525836;0.0;0.025835866261398176;1.2767437861428572;3.325227963525836;3.325227963525836;0.5995440729483282;3.325227963525836;0.5030395136778115;0.9012158054711246;0.9793274459922516;1.417933130699088;0.9003289432630285;3.325227963525836;0.8024881219755213;1.0360942249240122
std;0.0;1.2970445199062084;0.0;0.5102732867714392;0.7050725415885009;0.0;55.26584704216596;1.1699366877579311;0.05513178464199713;0.9640695486145939;0.5187496622637426;2.7509492629692827;9.256869665265006;0.9453063292646797;1.3376439266006894;71.2130403301606;2.422385723001206;445.9289205213241;0.05513178464199713;2.7013476756215518;0.21941820904476114;0.0;0.0;2.242031878988515;1.686461712057143;;1.442942007940492;0.0;0.5212965274989606;445.9289205213241;0.0;0.22640018280821889;2.504018192112339;0.4746087595301146;0.16807209217147032;1.3747417687275896;0.0;2.8346838988431737;1.0214190388823414;1.0909549676742245;0.0;0.4621046061694396;0.05513178464199713;2.5589426355362686;2.151489926648329;1.6634566413428684;0.8589341131942584;0.8101865866603126;445.9289205213241;2.1808008925173583;1.2117734269530753;1.2136406138353912;0.0;0.9965560832110506;1.6971639528890947;1.1573672066010687;1.8634634710505602;1.2844270348460547;0.0;0.7972257999347819;1.1603737339507179;0.7592133088895298;1.7124437184236527;1.0893409339587412;3.0687632070631548;0.0;1.293056042028689;2.302235578982154;130.45793532407555;1.0771177291693412;7.410877301623391;9.256869665265006;9.256869665265006;2.7230621310775582;2.1510100174542823;0.806922014429642;0.18022938315855636;0.086268445775509;0.5564770311384065;0.9753463983542277;0.10975815683276693;0.5141945053427106;3.1335826462460674;0.46784070472172684;0.46741228388276873;3.0860616727942753;0.7321635914629983;0.21524269223748999;9.256869665265006;0.9311994836315496;9.256869665265006;9.256869665265006;5.293628227847495;5.049967171530765;0.8496503669929263;0.2051581121713088;5.212302747661438;1.5166200278555342;1.311219954947109;1.2127693715298953;11.61238107250317;0.0;0.46450714705715423;0.318620725109429;1.022474870776061;0.0;0.6019404212537323;1.9026178786423709;2.260808696147603;0.0;0.8067128943936893;9.256869665265006;0.5569911325578757;0.5105172599541546;9.256869665265006;0.0;0.20589924081507915;1.316930495386956;9.256869665265006;9.256869665265006;1.5261215703849862;9.256869665265006;1.795146709547652;1.3008434338004018;1.3125324419190512;3.531989780929163;1.1683549538992297;9.256869665265006;1.125322026944165;1.3437334866586328
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.2333333333333333;0.0;0.0;0.0;0.0;0.0;3.75;0.0;33.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.1;33.0;0.0;0.0;0.0;0.9136442210794442;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7448504949901059;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.3692831657375883;0.0;0.0;0.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6129032258064515;0.0;0.0;0.0;0.0;0.0;43.94329896907217;0.0;171.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.751819199552197;171.0;0.0;0.0;0.0;1.8640123186420503;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;171.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0757575757575757;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;70.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.264152855797429;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.0;0.0;0.0;1.2883865403043668;0.0;0.0;0.0;0.0;5.785714285714287;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;2.231923601637108;0.0;0.0;0.0;0.0;0.0;84.10194174757281;0.0;356.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;1.1149709431087331;356.0;0.0;0.0;0.0;2.2689956363017987;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;356.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.7195121951219512;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;132.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.613813895382967;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.0;0.0;0.0;1.5534928073883083;0.0;0.0;0.0;0.0;7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;0.0;0.0;0.0;0.0;0.0;0.0;37.5;2.0;0.0;3.2704081632653064;0.0;0.0;3.0;1.0;2.0;136.83539094650206;1.0;702.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;;2.0;0.0;1.71494646883017;702.0;0.0;0.0;1.3333333333333333;2.6575959551959745;0.0;2.0;0.0;0.0;1.0;1.0;0.0;0.5163977794943223;0.0;1.0;0.0;0.0;1.0;0.0;702.0;0.5;1.6666666666666667;0.0;0.0;1.0;0.0;0.0;2.0;2.0;0.0;2.4931271477663235;1.125;0.25;3.0;1.0;0.0;0.0;0.0;1.0;255.0;1.0;2.0;3.0;3.0;1.5;12.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;2.8436712025482764;0.5477225575051661;3.0;0.0;0.0;3.0;1.0;3.0;3.0;11.0;2.0;1.0;0.0;1.0;0.0;0.25;2.0;41.0;0.0;0.5477225575051661;1.6793012949528772;1.0;0.0;0.0;0.5;9.0;0.0;0.5608616819952422;3.0;0.0;0.0;3.0;0.0;0.0;2.5625;3.0;3.0;0.0;3.0;0.0;1.0;1.9444444444444444;1.0;1.6428571428571428;3.0;1.2857142857142858;2.0
