NumberOfAncestors;NumberPublicMethods;NumberOfInheritedMethods;NumberOfSubclasses;NumberUserDefinedAttributes;NumberOfMethods_Mood;NumberOfPolymorphicMethods;Cohesion;NumberOfAttributes;Bugged;NumberOfPrivateAttributes;NumberOfPublicAttributes;NumberOfCoupledClasses;NumberOfProtectedAttributes
0.0;44.0;0.0;0.0;0.0;54.0;49.0;0.1131687242798354;9.0;False;3.0;1.0;0.0;5.0
0.0;44.0;0.0;0.0;0.0;54.0;49.0;0.1131687242798354;9.0;False;3.0;1.0;0.0;5.0
0.0;44.0;0.0;0.0;0.0;54.0;49.0;0.1131687242798354;9.0;False;3.0;1.0;0.0;5.0
0.0;44.0;0.0;0.0;0.0;54.0;49.0;0.1131687242798354;9.0;False;3.0;1.0;0.0;5.0
0.0;44.0;0.0;0.0;0.0;54.0;49.0;0.1131687242798354;9.0;False;3.0;1.0;0.0;5.0
0.0;27.0;0.0;0.0;0.0;27.0;27.0;0.0505050505050505;14.0;True;13.0;0.0;0.0;1.0
0.0;27.0;0.0;0.0;0.0;27.0;27.0;0.0505050505050505;14.0;True;13.0;0.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0
0.0;33.0;0.0;0.0;0.0;36.0;24.0;0.10042735042735043;5.0;True;1.0;3.0;0.0;1.0
0.0;33.0;0.0;0.0;0.0;36.0;24.0;0.10042735042735043;5.0;True;1.0;3.0;0.0;1.0
0.0;33.0;0.0;0.0;0.0;36.0;24.0;0.10042735042735043;5.0;True;1.0;3.0;0.0;1.0
0.0;33.0;0.0;0.0;0.0;36.0;24.0;0.10042735042735043;5.0;True;1.0;3.0;0.0;1.0
0.0;33.0;0.0;0.0;0.0;36.0;24.0;0.10042735042735043;5.0;True;1.0;3.0;0.0;1.0
0.0;33.0;0.0;0.0;0.0;36.0;24.0;0.10042735042735043;5.0;True;1.0;3.0;0.0;1.0
0.0;8.0;0.0;10.0;0.0;14.0;5.0;0.17346938775510204;3.0;True;3.0;0.0;1.0;0.0
0.0;8.0;0.0;10.0;0.0;14.0;5.0;0.17346938775510204;3.0;True;3.0;0.0;1.0;0.0
0.0;8.0;0.0;10.0;0.0;14.0;5.0;0.17346938775510204;3.0;True;3.0;0.0;1.0;0.0
0.0;8.0;0.0;10.0;0.0;14.0;5.0;0.17346938775510204;3.0;True;3.0;0.0;1.0;0.0
0.0;8.0;0.0;10.0;0.0;14.0;5.0;0.17346938775510204;3.0;True;3.0;0.0;1.0;0.0
0.0;8.0;0.0;10.0;0.0;14.0;5.0;0.17346938775510204;3.0;True;3.0;0.0;1.0;0.0
0.0;8.0;0.0;10.0;0.0;14.0;5.0;0.17346938775510204;3.0;True;3.0;0.0;1.0;0.0
0.0;8.0;0.0;10.0;0.0;14.0;5.0;0.17346938775510204;3.0;True;3.0;0.0;1.0;0.0
0.0;8.0;0.0;10.0;0.0;14.0;5.0;0.17346938775510204;3.0;True;3.0;0.0;1.0;0.0
0.0;8.0;0.0;10.0;0.0;14.0;5.0;0.17346938775510204;3.0;True;3.0;0.0;1.0;0.0
0.0;8.0;0.0;10.0;0.0;14.0;5.0;0.17346938775510204;3.0;True;3.0;0.0;1.0;0.0
0.0;8.0;0.0;10.0;0.0;14.0;5.0;0.17346938775510204;3.0;True;3.0;0.0;1.0;0.0
0.0;8.0;0.0;10.0;0.0;14.0;5.0;0.17346938775510204;3.0;True;3.0;0.0;1.0;0.0
