;NCSSForThisMethod_max;NestedTryDepth_std;ThrowsCount_25%;NestedTryDepth_max;NCSSForThisMethod_min;NumberOfPublicMethods_Checkstyle_25%;NCSSForThisClass_min;MethodLength_min;FileLength_min;NestedIfElseDepth_std;AnonymousInnerClassLength_mean;NestedIfElseDepth_75%;NCSSForThisFile_count;NestedTryDepth_count;NumberOfProtectedMethod_min;Bugged;NPathComplexity_50%;NPathComplexity_mean;ThrowsCount_max;NPathComplexity_max;FileLength_std;NumberOfProtectedMethod_mean;BooleanExpressionComplexity_50%;NCSSForThisClass_std;NumberOfMethods_Checkstyle_count;NumberOfMethods_Checkstyle_50%;NestedIfElseDepth_max;NCSSForThisFile_min;NumberOfPrivateMethod_25%;NCSSForThisMethod_25%;NPathComplexity_min;AnonymousInnerClassLength_count;MethodLength_std;ClassFanOutComplexity_count;NCSSForThisFile_max;NestedForDepth_75%;NCSSForThisFile_mean;NumberOfPackageMethod_mean;NPathComplexity_count;ClassFanOutComplexity_mean;ClassFanOutComplexity_min;NumberOfProtectedMethod_50%;CyclomaticComplexity_mean;CyclomaticComplexity_25%;BooleanExpressionComplexity_std;ClassFanOutComplexity_50%;ExecutableStatementCount_std;NumberOfPublicMethods_Checkstyle_std;NestedTryDepth_25%;NCSSForThisMethod_mean;ClassDataAbstractionCoupling_min;NumberOfPrivateMethod_mean;NestedForDepth_25%;NCSSForThisClass_75%;FileLength_25%;NumberOfMethods_Checkstyle_max;NumberOfPublicMethods_Checkstyle_count;FileLength_mean;ClassDataAbstractionCoupling_std;NCSSForThisClass_mean;NumberOfPublicMethods_Checkstyle_50%;NCSSForThisClass_50%;AnonymousInnerClassLength_75%;AnonymousInnerClassLength_50%;NCSSForThisFile_25%;BooleanExpressionComplexity_mean;ClassFanOutComplexity_std;CyclomaticComplexity_min;BooleanExpressionComplexity_count;NumberOfPrivateMethod_75%;NestedTryDepth_min;NestedForDepth_min;NumberOfMethods_Checkstyle_min;NumberOfProtectedMethod_25%;NCSSForThisClass_25%;NumberOfPrivateMethod_min;MethodLength_mean;NCSSForThisMethod_75%;NestedIfElseDepth_min;ThrowsCount_mean;NumberOfPrivateMethod_50%;ClassFanOutComplexity_25%;NestedTryDepth_50%;NPathComplexity_25%;NumberOfMethods_Checkstyle_mean;NumberOfPackageMethod_50%;ExecutableStatementCount_75%;ClassDataAbstractionCoupling_count;FileLength_50%;NestedIfElseDepth_25%;NumberOfMethods_Checkstyle_75%;NestedTryDepth_mean;NumberOfProtectedMethod_std;ClassFanOutComplexity_max;ExecutableStatementCount_50%;NestedForDepth_50%;CyclomaticComplexity_std;MethodLength_max;MethodLength_25%;NestedForDepth_std;NestedForDepth_count;NumberOfPackageMethod_min;NumberOfPublicMethods_Checkstyle_max;NumberOfPackageMethod_max;ClassDataAbstractionCoupling_75%;ClassDataAbstractionCoupling_mean;BooleanExpressionComplexity_max;AnonymousInnerClassLength_25%;NCSSForThisClass_max;NumberOfPackageMethod_count;MethodLength_50%;ThrowsCount_count;BooleanExpressionComplexity_min;NPathComplexity_std;AnonymousInnerClassLength_min;BooleanExpressionComplexity_25%;NumberOfPublicMethods_Checkstyle_75%;ExecutableStatementCount_25%;NumberOfPublicMethods_Checkstyle_mean;NestedTryDepth_75%;NCSSForThisMethod_std;NumberOfPrivateMethod_count;NumberOfMethods_Checkstyle_std;NumberOfPackageMethod_25%;AnonymousInnerClassLength_max;NumberOfProtectedMethod_count;NCSSForThisFile_std;NumberOfMethods_Checkstyle_25%;FileLength_75%;ExecutableStatementCount_mean;AnonymousInnerClassLength_std;NumberOfPrivateMethod_max;NPathComplexity_75%;ClassDataAbstractionCoupling_max;NestedForDepth_max;ThrowsCount_min;ThrowsCount_std;NCSSForThisMethod_50%;CyclomaticComplexity_50%;ClassDataAbstractionCoupling_25%;NumberOfPackageMethod_75%;NumberOfProtectedMethod_75%;BooleanExpressionComplexity_75%;ExecutableStatementCount_max;NestedIfElseDepth_50%;MethodLength_count;NCSSForThisClass_count;CyclomaticComplexity_count;CyclomaticComplexity_75%;NestedIfElseDepth_mean;NCSSForThisFile_50%;ExecutableStatementCount_min;MethodLength_75%;ClassFanOutComplexity_75%;NumberOfPublicMethods_Checkstyle_min;NestedForDepth_mean;ThrowsCount_50%;FileLength_max;ThrowsCount_75%;NestedIfElseDepth_count;NCSSForThisMethod_count;ClassDataAbstractionCoupling_50%;NumberOfPrivateMethod_std;CyclomaticComplexity_max;NumberOfPackageMethod_std;FileLength_count;NCSSForThisFile_75%;ExecutableStatementCount_count;NumberOfProtectedMethod_max
count;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0
unique;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;18.60553633217993;0.025694527117755567;0.18858131487889274;0.08304498269896193;5.422145328719723;0.21107266435986158;4.290657439446367;9.439446366782008;15.449826989619377;0.12237802654514543;0.08150413689424048;0.15484429065743946;6.788927335640138;6.788927335640138;0.0;;93.30103806228374;138.62097371592137;0.49480968858131485;354.10726643598616;57.4081715679118;0.04972835527673687;0.10899653979238755;16.29686904558707;6.788927335640138;0.28027681660899656;0.36678200692041524;4.993079584775087;0.005190311418685121;6.271626297577854;86.3598615916955;6.788927335640138;9.462719823753869;6.788927335640138;59.69550173010381;0.0034602076124567475;12.578495245907664;0.025809813895801212;6.788927335640138;1.2574381439829236;0.5432525951557093;0.00865051903114187;2.638341209788865;1.8953287197231834;0.16217060611419767;0.7249134948096886;4.460461550734733;1.4118383767131695;0.03200692041522491;9.239132815189286;0.2041522491349481;0.05932523017717343;0.0;9.697231833910035;18.418685121107266;6.532871972318339;6.788927335640138;39.11504226906452;0.5635142078792491;11.23290156330548;0.2560553633217993;5.740484429065744;0.07525951557093426;0.04671280276816609;5.833910034602076;0.16138157295528321;1.5138122490852965;1.698961937716263;6.788927335640138;0.02422145328719723;0.02768166089965398;0.0;0.17647058823529413;0.004325259515570935;5.015570934256055;0.0034602076124567475;15.981125485350985;10.467993079584774;0.05536332179930796;0.27378051680712107;0.006920415224913495;0.634083044982699;0.039792387543252594;89.68598615916954;0.8167113620518288;0.00865051903114187;8.440311418685122;6.788927335640138;21.387543252595155;0.07352941176470588;0.5614186851211073;0.04413430333770337;0.13443509137885468;4.346020761245675;5.967128027681661;0.0;1.4175623087942897;32.44290657439446;10.847750865051903;0.01111992190899478;6.788927335640138;0.006920415224913495;5.242214532871972;0.31141868512110726;0.4264705882352941;0.4587715622894467;0.46366782006920415;0.03373702422145329;51.35640138408304;6.788927335640138;12.944636678200691;6.788927335640138;0.06228373702422145;104.09915241071504;0.020761245674740483;0.07612456747404844;0.48961937716262977;4.948961937716263;0.6855943528990629;0.04844290657439446;5.452295660983709;6.788927335640138;1.754450547929446;0.007785467128027681;0.2698961937716263;6.788927335640138;18.20506426943723;0.22837370242214533;33.98529411764706;7.389692966640513;0.11618303627068292;0.5951557093425606;143.99826989619376;1.6885813148788926;0.02768166089965398;0.14186851211072665;0.15769116285431325;7.503460207612457;2.1557093425605536;0.23183391003460208;0.01730103806228374;0.02768166089965398;0.19636678200692043;15.01038062283737;0.11072664359861592;6.788927335640138;6.788927335640138;6.788927335640138;2.9005190311418687;0.1343976741491635;6.674740484429066;4.235294117647059;18.152249134948097;1.2093425605536332;0.16608996539792387;0.005094943503248002;0.24740484429065743;197.4948096885813;0.3408304498269896;6.788927335640138;6.788927335640138;0.25951557093425603;0.16243577055778302;5.242214532871972;0.06616648558558504;6.788927335640138;10.679065743944637;6.788927335640138;0.4602076124567474
std;28.02745622734843;0.12072052604274418;0.5379594881584059;0.28871675142406317;12.205773091880452;0.39528280783987974;13.544882281681371;23.34249747951823;41.505752717551324;0.2994798424037529;0.6424461558507838;0.438523477425951;12.696254446504922;12.696254446504922;0.0;;775.0719720382078;817.0529729793939;0.7688425069293197;1530.5007800584474;59.240477502350025;0.12922082168134422;0.3323767994212907;20.32814712609738;12.696254446504922;0.49229330777929053;0.7663067707500352;15.309989721580296;0.06228336156653462;12.288707600832176;773.7359911099326;12.696254446504922;19.736442552619593;12.696254446504922;84.15786266149388;0.0415222410443564;16.258473394382186;0.12628151978855862;12.696254446504922;1.7127717580675512;1.6580080737981044;0.06530839507095211;3.500478266225679;2.895471316563224;0.3243303415506099;1.7314298671479533;9.181323473060642;1.5252086372362337;0.16813350335950764;13.767975057638044;0.8679378043934204;0.16265523791903957;0.0;17.52644408631282;41.5646183294903;12.699510286416638;12.696254446504922;40.95918753987706;0.875849411469606;14.918040204122423;0.44312613859039923;14.352099673646757;0.793146873957037;0.5640237914930913;15.382637294841738;0.3376958676226488;1.7733580336681452;2.8509316755553997;12.696254446504922;0.13444135734935206;0.16434367268862954;0.0;0.4330127018922193;0.032654197535476055;13.637170269309987;0.0588235294117647;25.58802495940157;14.96880627291512;0.2576212420288414;0.5444513409347409;0.07183505338114139;1.6618333897541615;0.18439453797847086;773.90191655245;0.4496110093327781;0.08796254139669785;13.00013793623033;12.696254446504922;43.89074959312285;0.2833639689319884;0.6750059627799913;0.18546265256583006;0.33389154287262923;4.286363197152197;11.593286748196695;0.0;3.647506683320386;47.255926581520406;23.485297634760173;0.08623016997318014;12.696254446504922;0.0830444820887128;10.322750794614038;2.5792792909841418;1.0095034532988096;0.9241533456311107;0.8933949607760406;0.4155550338513173;65.57836413452652;12.696254446504922;24.207767792221613;12.696254446504922;0.2692511008795972;541.5522479705837;0.3529411764705882;0.27685773720683327;0.6062288316220934;11.263330788290952;0.4147189011940459;0.2150726565537285;12.13235985338777;12.696254446504922;1.815075378938666;0.08426526194936806;1.7449809940920291;12.696254446504922;22.083620243450866;0.4382031478098721;51.24989837388298;12.111242183377701;0.9033459230969085;1.5960380830280871;837.8639668267866;2.3318241535591566;0.20223187592878697;0.5176851218923346;0.28746982382267017;12.741622593638676;3.0564668916363806;0.8714553759764978;0.1306167901419042;0.12539585531653416;0.4316822918709497;22.07774841784926;0.36063575905789613;12.696254446504922;12.696254446504922;12.696254446504922;3.8759866226698625;0.3473681404281059;16.129674775163842;11.211972767240086;27.71080352636143;2.003867592971521;0.3909909137766523;0.040863757786713494;0.5699675722781723;326.7437953281854;0.6185169333553985;12.696254446504922;12.696254446504922;0.8946917768845088;0.39672514421946536;8.353110902261655;0.4156418601484992;12.696254446504922;18.984612816091687;12.696254446504922;1.3563026584032967
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;2.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;1.0;9.0;0.0;3.5;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;15.75;0.0;2.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;3.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;7.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.42857142857142855;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;55.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0
50%;12.0;0.0;0.0;0.0;2.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;;1.0;1.1304347826086956;0.0;2.0;52.53887449625594;0.0;0.0;11.716898663286042;3.0;0.0;0.0;0.0;0.0;2.0;0.0;3.0;2.8284271247461903;3.0;35.0;0.0;7.666666666666668;0.0;3.0;0.7142857142857143;0.0;0.0;1.4285714285714286;1.0;0.0;0.0;1.3887301496588271;1.4142135623730951;0.0;4.666666666666667;0.0;0.0;0.0;0.0;0.0;3.0;3.0;28.81617647058824;0.0;6.75;0.0;0.0;0.0;0.0;0.0;0.0;1.0660035817780522;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.2105263157894735;5.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;3.75;3.0;0.0;0.0;0.0;0.0;0.0;4.0;1.5;0.0;0.0;19.0;3.0;0.0;3.0;0.0;2.0;0.0;0.0;0.125;0.0;0.0;31.0;3.0;4.0;3.0;0.0;0.5;0.0;0.0;0.0;1.0;0.8695652173913043;0.0;1.4142135623730951;3.0;1.7320508075688772;0.0;0.0;3.0;13.435028842544405;0.0;0.0;3.4166666666666665;0.0;0.0;1.0;1.0;0.0;0.0;0.0;2.5;1.0;0.0;0.0;0.0;0.0;9.0;0.0;3.0;3.0;3.0;1.25;0.0;0.0;1.0;8.0;0.0;0.0;0.0;0.0;118.0;0.0;3.0;3.0;0.0;0.0;2.0;0.0;3.0;0.0;3.0;0.0
75%;24.0;0.0;0.0;0.0;3.0;0.25;0.0;5.0;0.0;0.0;0.0;0.0;8.0;8.0;0.0;;2.0;5.333333333333333;1.0;18.0;89.09545442950498;0.0;0.0;24.748737341529164;8.0;1.0;0.0;0.0;0.0;5.75;1.0;8.0;10.695417430983634;8.0;76.0;0.0;15.333333333333336;0.0;8.0;1.7;0.0;0.0;3.0;2.0;0.25;0.0;5.196152422706632;2.23606797749979;0.0;10.0;0.0;0.0;0.0;13.0;14.5;7.0;8.0;53.8;0.9428090415820634;14.0;0.5;0.0;0.0;0.0;1.75;0.16666666666666666;2.4748737341529163;1.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.333333333333332;12.5;0.0;0.375;0.0;0.0;0.0;1.5;1.0;0.0;10.0;8.0;29.0;0.0;1.0;0.0;0.0;7.0;6.0;0.0;1.5195295652496446;42.0;8.0;0.0;8.0;0.0;5.0;0.0;0.5;0.5;1.0;0.0;67.0;8.0;11.0;8.0;0.0;3.2145502536643185;0.0;0.0;1.0;4.0;1.0;0.0;6.292853089020911;8.0;2.6457513110645907;0.0;0.0;8.0;27.5;0.5;62.0;7.666666666666668;0.0;0.0;4.0;2.0;0.0;0.0;0.3746343246326776;7.5;2.0;0.0;0.0;0.0;0.0;20.0;0.0;8.0;8.0;8.0;3.0;0.0;3.0;2.0;22.0;2.0;0.0;0.0;0.0;221.0;1.0;8.0;8.0;0.0;0.0;6.0;0.0;8.0;15.0;8.0;0.0
