RFC_max;NumberOfLoops_max;NumberOfLogStatements_50%;NumberOfComparisons_mean;NumberOfAnonymousClasses_50%;NumberOfLambdas_max;NumberOfLogStatements_75%;NumberOfUniqueWords_max;NumberOfVariables_count;LOCMethod_CK_mean;NumberOfStringLiterals_std;NumberOfLambdas_50%;NumberOfLogStatements_min;NumberOfMathOperations_50%;Bugged;IsConstructor_top;MaxNumberOfNestedBlocks_25%;NumberOfNumbers_25%;NumberOfNumbers_count;WMC_CK_std;NumberOfMathOperations_25%;NumberOfTryCatch_max;NumberOfVariables_min;NumberOfNumbers_min;NumberOfInnerClasses_count;NumberOfTryCatch_mean;NumberOfAnonymousClasses_max;NumberOfInnerClasses_75%;NumberOfNumbers_50%;NumberOfParameters_CK_25%;LOCMethod_CK_50%;NumberOfParenthesizedExps_std;LOCMethod_CK_count;NumberOfParenthesizedExps_max;NumberOfNumbers_max;MaxNumberOfNestedBlocks_count;NumberOfLoops_std;WMC_CK_25%;NumberOfAssignments_50%;CBO_max;RFC_min;Returns_count;WMC_CK_mean;NumberOfAnonymousClasses_mean;NumberOfUniqueWords_mean;NumberOfModifiers_min;NumberOfParameters_CK_max;NumberOfLoops_min;NumberOfTryCatch_50%;NumberOfParenthesizedExps_50%;WMC_CK_max;MaxNumberOfNestedBlocks_75%;MaxNumberOfNestedBlocks_min;NumberOfParameters_CK_75%;NumberOfInnerClasses_mean;NumberOfMathOperations_count;NumberOfUniqueWords_25%;LOCMethod_CK_std;NumberOfAnonymousClasses_75%;NumberOfVariables_mean;NumberOfModifiers_50%;NumberOfLambdas_mean;NumberOfInnerClasses_50%;CBO_count;RFC_75%;NumberOfAssignments_mean;MaxNumberOfNestedBlocks_max;NumberOfInnerClasses_max;Returns_75%;NumberOfStringLiterals_50%;NumberOfParameters_CK_count;NumberOfParameters_CK_mean;RFC_50%;CBO_75%;CBO_mean;NumberOfStringLiterals_mean;Returns_min;NumberOfStringLiterals_75%;NumberOfAnonymousClasses_count;NumberOfMathOperations_std;NumberOfAssignments_max;WMC_CK_min;NumberOfLambdas_75%;MaxNumberOfNestedBlocks_std;IsConstructor_freq;NumberOfUniqueWords_75%;NumberOfParenthesizedExps_25%;NumberOfModifiers_25%;NumberOfLambdas_25%;IsConstructor_unique;NumberOfModifiers_count;Returns_mean;RFC_std;NumberOfUniqueWords_min;NumberOfParameters_CK_std;MaxNumberOfNestedBlocks_mean;MaxNumberOfNestedBlocks_50%;Returns_std;NumberOfMathOperations_mean;NumberOfTryCatch_75%;NumberOfLoops_mean;CBO_50%;NumberOfVariables_25%;NumberOfUniqueWords_count;IsConstructor_count;NumberOfVariables_max;NumberOfComparisons_75%;WMC_CK_75%;NumberOfModifiers_mean;NumberOfModifiers_std;NumberOfModifiers_max;NumberOfTryCatch_25%;NumberOfParenthesizedExps_count;NumberOfTryCatch_std;NumberOfMathOperations_min;NumberOfLoops_75%;NumberOfLambdas_std;NumberOfAssignments_25%;Returns_max;WMC_CK_50%;NumberOfParameters_CK_50%;NumberOfParenthesizedExps_min;NumberOfAnonymousClasses_min;NumberOfVariables_50%;NumberOfLoops_25%;NumberOfLambdas_count;NumberOfLoops_count;LOCMethod_CK_75%;NumberOfInnerClasses_25%;NumberOfComparisons_50%;NumberOfModifiers_75%;NumberOfUniqueWords_std;Returns_50%;NumberOfStringLiterals_max;NumberOfComparisons_min;NumberOfLambdas_min;NumberOfLogStatements_std;NumberOfParameters_CK_min;NumberOfNumbers_75%;NumberOfComparisons_count;NumberOfTryCatch_count;NumberOfTryCatch_min;NumberOfComparisons_max;Returns_25%;NumberOfAssignments_count;NumberOfNumbers_mean;NumberOfAnonymousClasses_std;NumberOfParenthesizedExps_75%;NumberOfStringLiterals_count;NumberOfMathOperations_max;NumberOfLogStatements_max;CBO_25%;LOCMethod_CK_25%;NumberOfInnerClasses_std;RFC_count;LOCMethod_CK_min;NumberOfAssignments_75%;NumberOfComparisons_25%;CBO_min;NumberOfLogStatements_25%;NumberOfLogStatements_mean;NumberOfLogStatements_count;NumberOfLoops_50%;NumberOfUniqueWords_50%;NumberOfMathOperations_75%;NumberOfStringLiterals_min;RFC_mean;NumberOfStringLiterals_25%;NumberOfAssignments_std;LOCMethod_CK_max;NumberOfNumbers_std;NumberOfParenthesizedExps_mean;CBO_std;NumberOfAnonymousClasses_25%;NumberOfInnerClasses_min;NumberOfVariables_std;NumberOfComparisons_std;WMC_CK_count;NumberOfVariables_75%;RFC_25%;NumberOfAssignments_min
20.0;1.0;0.0;2.5;0.0;0.0;0.0;85.0;2.0;34.0;7.7781745930520225;0.0;0.0;1.5;False;False;1.5;1.5;2.0;6.363961030678928;0.75;2.0;1.0;0.0;2.0;1.0;0.0;0.0;3.0;0.25;34.0;0.0;2.0;0.0;6.0;2.0;0.7071067811865476;4.25;6.0;1.0;5.0;2.0;6.5;0.0;46.0;9.0;1.0;0.0;1.0;0.0;11.0;2.5;1.0;0.75;0.0;2.0;26.5;38.18376618407357;0.0;5.0;9.5;0.0;0.0;2.0;16.25;6.0;3.0;0.0;2.0;6.5;2.0;0.5;12.5;1.0;1.0;6.5;2.0;9.25;2.0;2.1213203435596424;11.0;2.0;0.0;1.4142135623730951;2.0;65.5;0.0;9.25;0.0;1.0;2.0;2.0;10.606601717798213;7.0;0.7071067811865476;2.0;2.0;0.0;1.5;1.5;0.5;1.0;3.0;2.0;2.0;9.0;3.25;8.75;9.5;0.7071067811865476;10.0;0.5;2.0;1.4142135623730951;0.0;0.75;0.0;3.5;2.0;6.5;0.5;0.0;0.0;5.0;0.25;2.0;2.0;47.5;0.0;2.5;9.75;55.154328932550705;2.0;12.0;1.0;0.0;0.0;0.0;4.5;2.0;2.0;0.0;4.0;2.0;2.0;3.0;0.0;0.0;2.0;3.0;0.0;1.0;20.5;0.0;2.0;7.0;8.5;1.75;1.0;0.0;0.0;2.0;0.5;46.0;2.25;1.0;12.5;3.75;7.071067811865476;61.0;4.242640687119285;0.0;0.0;0.0;0.0;5.656854249492381;2.1213203435596424;2.0;7.0;8.75;1.0
20.0;1.0;0.0;0.0;0.0;0.0;0.0;19.0;1.0;26.0;0.0;0.0;0.0;1.0;False;False;1.0;0.0;1.0;0.0;1.0;0.0;6.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;26.0;0.0;1.0;1.0;0.0;1.0;0.0;3.0;6.0;2.0;20.0;1.0;3.0;0.0;19.0;9.0;1.0;1.0;0.0;1.0;3.0;1.0;1.0;1.0;0.0;1.0;19.0;0.0;0.0;6.0;9.0;0.0;0.0;1.0;20.0;6.0;1.0;0.0;0.0;20.0;1.0;1.0;20.0;2.0;2.0;20.0;0.0;20.0;1.0;0.0;6.0;3.0;0.0;0.0;1.0;19.0;1.0;9.0;0.0;1.0;1.0;0.0;0.0;19.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;2.0;6.0;1.0;1.0;6.0;0.0;3.0;9.0;0.0;9.0;0.0;1.0;0.0;1.0;1.0;0.0;6.0;0.0;3.0;1.0;1.0;0.0;6.0;1.0;1.0;1.0;26.0;0.0;0.0;9.0;0.0;0.0;20.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;2.0;26.0;0.0;1.0;26.0;6.0;0.0;2.0;0.0;0.0;1.0;1.0;19.0;1.0;20.0;20.0;20.0;0.0;26.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;6.0;20.0;6.0
59.0;5.0;0.0;4.25;0.0;0.0;0.0;107.0;4.0;103.75;29.837057495671388;0.0;0.0;0.5;False;False;0.0;0.0;4.0;47.33568069296845;0.0;4.0;0.0;0.0;4.0;1.0;1.0;0.0;0.5;0.75;11.5;0.5;4.0;1.0;36.0;4.0;2.3804761428476167;1.0;1.5;11.0;0.0;4.0;25.0;0.25;34.25;1.0;3.0;0.0;0.0;0.0;96.0;2.0;0.0;1.5;0.0;4.0;8.25;190.2443604069952;0.25;13.25;5.0;0.0;0.0;4.0;17.75;27.5;5.0;0.0;0.25;0.5;4.0;1.25;2.5;4.25;3.75;15.25;0.0;15.75;4.0;7.847504911329036;107.0;1.0;0.0;2.3804761428476167;4.0;38.0;0.0;1.0;0.0;1.0;4.0;0.25;28.717010057919797;6.0;1.2583057392117916;1.5;0.5;0.5;4.25;1.0;1.5;2.0;0.0;4.0;4.0;51.0;4.25;25.5;5.25;4.924428900898052;10.0;0.0;4.0;2.0;0.0;2.0;0.0;0.0;1.0;1.5;1.0;0.0;0.0;1.0;0.0;4.0;4.0;109.25;0.0;0.0;9.25;48.64411577981452;0.0;60.0;0.0;0.0;0.0;0.0;9.75;4.0;4.0;0.0;17.0;0.0;4.0;9.25;0.5;0.25;4.0;16.0;0.0;1.5;6.0;0.0;4.0;3.0;29.0;0.0;0.0;0.0;0.0;4.0;0.5;12.0;4.75;0.0;16.0;0.0;53.018864567246254;389.0;17.839562774911272;0.25;4.924428900898052;0.0;0.0;25.184320518926054;8.5;4.0;14.25;0.75;0.0
22.0;0.0;0.0;2.0;0.0;0.0;0.0;43.0;1.0;133.0;0.0;0.0;0.0;4.0;False;False;3.0;25.0;1.0;0.0;4.0;7.0;16.0;25.0;1.0;7.0;0.0;0.0;25.0;1.0;133.0;0.0;1.0;0.0;25.0;1.0;0.0;23.0;21.0;6.0;22.0;1.0;23.0;0.0;43.0;9.0;1.0;0.0;7.0;0.0;23.0;3.0;3.0;1.0;0.0;1.0;43.0;0.0;0.0;16.0;9.0;0.0;0.0;1.0;22.0;21.0;3.0;0.0;0.0;14.0;1.0;1.0;22.0;6.0;6.0;14.0;0.0;14.0;1.0;0.0;21.0;23.0;0.0;0.0;1.0;43.0;0.0;9.0;0.0;1.0;1.0;0.0;0.0;43.0;0.0;3.0;3.0;0.0;4.0;7.0;0.0;6.0;16.0;1.0;1.0;16.0;2.0;23.0;9.0;0.0;9.0;7.0;1.0;0.0;4.0;0.0;0.0;21.0;0.0;23.0;1.0;0.0;0.0;16.0;0.0;1.0;1.0;133.0;0.0;2.0;9.0;0.0;0.0;14.0;2.0;0.0;0.0;1.0;25.0;1.0;1.0;7.0;2.0;0.0;1.0;25.0;0.0;0.0;1.0;4.0;0.0;6.0;133.0;0.0;1.0;133.0;21.0;2.0;6.0;0.0;0.0;1.0;0.0;43.0;4.0;14.0;22.0;14.0;0.0;133.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;16.0;22.0;21.0
14.0;1.0;0.0;3.0;0.0;0.0;0.0;55.0;1.0;140.0;0.0;0.0;0.0;4.0;False;False;4.0;17.0;1.0;0.0;4.0;7.0;12.0;17.0;1.0;7.0;0.0;0.0;17.0;1.0;140.0;0.0;1.0;0.0;17.0;1.0;0.0;23.0;22.0;2.0;14.0;1.0;23.0;0.0;55.0;9.0;1.0;1.0;7.0;0.0;23.0;4.0;4.0;1.0;0.0;1.0;55.0;0.0;0.0;12.0;9.0;0.0;0.0;1.0;14.0;22.0;4.0;0.0;0.0;18.0;1.0;1.0;14.0;2.0;2.0;18.0;0.0;18.0;1.0;0.0;22.0;23.0;0.0;0.0;1.0;55.0;0.0;9.0;0.0;1.0;1.0;0.0;0.0;55.0;0.0;4.0;4.0;0.0;4.0;7.0;1.0;2.0;12.0;1.0;1.0;12.0;3.0;23.0;9.0;0.0;9.0;7.0;1.0;0.0;4.0;1.0;0.0;22.0;0.0;23.0;1.0;0.0;0.0;12.0;1.0;1.0;1.0;140.0;0.0;3.0;9.0;0.0;0.0;18.0;3.0;0.0;0.0;1.0;17.0;1.0;1.0;7.0;3.0;0.0;1.0;17.0;0.0;0.0;1.0;4.0;0.0;2.0;140.0;0.0;1.0;140.0;22.0;3.0;2.0;0.0;0.0;1.0;1.0;55.0;4.0;18.0;14.0;18.0;0.0;140.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;12.0;14.0;22.0
31.0;5.0;0.0;1.8333333333333333;0.0;0.0;0.0;143.0;6.0;35.5;22.375581929117885;0.0;0.0;0.0;False;False;0.25;0.0;6.0;16.50050504277571;0.0;2.0;0.0;0.0;6.0;0.3333333333333333;1.0;0.0;0.0;1.0;6.0;0.40824829046386296;6.0;1.0;20.0;6.0;2.0412414523193148;1.25;1.0;7.0;1.0;6.0;8.333333333333334;0.16666666666666666;30.33333333333333;0.0;5.0;0.0;0.0;0.0;42.0;1.0;0.0;2.75;0.0;6.0;6.0;72.76468923866852;0.0;5.166666666666667;5.0;0.0;0.0;6.0;2.75;8.5;5.0;0.0;0.75;0.0;6.0;2.0;2.0;0.75;1.3333333333333333;9.333333333333334;0.0;0.75;6.0;8.573214099741124;44.0;1.0;0.0;1.8618986725025255;5.0;12.25;0.0;1.0;0.0;2.0;6.0;0.5;11.856081421222893;6.0;1.7888543819998317;1.3333333333333333;1.0;0.8366600265340756;3.5;0.0;0.8333333333333334;0.0;0.0;6.0;6.0;29.0;1.0;2.0;5.166666666666667;4.9564772436345015;10.0;0.0;6.0;0.8164965809277259;0.0;0.0;0.0;0.25;2.0;2.0;1.5;0.0;0.0;0.5;0.0;6.0;6.0;7.75;0.0;0.5;9.75;55.283511707078326;0.0;55.0;0.0;0.0;0.0;0.0;0.0;6.0;6.0;0.0;9.0;0.0;6.0;3.333333333333333;0.40824829046386296;0.0;6.0;21.0;0.0;0.0;5.0;0.0;6.0;4.0;4.0;0.0;0.0;0.0;0.0;6.0;0.0;6.5;0.0;0.0;6.833333333333332;0.0;17.489997141223323;184.0;8.164965809277259;0.16666666666666666;2.8047578623950176;0.0;0.0;11.68617416722285;3.544949458972112;6.0;1.0;2.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
27.0;4.0;0.0;0.6;0.0;0.0;0.0;71.0;5.0;22.2;5.21536192416212;0.0;0.0;0.0;False;False;0.0;0.0;5.0;7.602631123499285;0.0;1.0;0.0;0.0;5.0;0.2;0.0;0.0;0.0;2.0;8.0;0.5477225575051662;5.0;1.0;17.0;5.0;1.7320508075688772;1.0;1.0;5.0;1.0;5.0;5.6;0.0;27.2;9.0;4.0;0.0;0.0;0.0;19.0;2.0;0.0;4.0;0.0;5.0;17.0;34.21549356651165;0.0;4.8;10.0;0.0;0.0;5.0;6.0;5.2;5.0;0.0;1.0;0.0;5.0;2.6;4.0;2.0;1.6;3.2;1.0;4.0;5.0;1.949358868961793;22.0;1.0;0.0;2.04939015319192;5.0;21.0;0.0;10.0;0.0;1.0;5.0;1.2;10.793516572461453;6.0;1.3416407864998738;1.8;2.0;0.4472135954999579;1.4;0.0;1.0;1.0;0.0;5.0;5.0;20.0;0.0;4.0;9.8;0.4472135954999579;10.0;0.0;5.0;0.4472135954999581;0.0;1.0;0.0;0.0;2.0;3.0;2.0;0.0;0.0;1.0;0.0;5.0;5.0;13.0;0.0;0.0;10.0;25.242820761555155;1.0;12.0;0.0;0.0;0.0;1.0;2.0;5.0;5.0;0.0;3.0;1.0;5.0;3.8;0.0;1.0;5.0;4.0;0.0;0.0;4.0;0.0;5.0;3.0;3.0;0.0;0.0;0.0;0.0;5.0;0.0;21.0;3.0;0.0;8.0;0.0;9.47100839404126;83.0;7.429670248402684;0.4;2.073644135332772;0.0;0.0;8.5848704125339;1.3416407864998738;5.0;3.0;2.0;0.0
14.0;0.0;0.0;1.0;0.0;0.0;0.0;25.0;1.0;27.0;0.0;0.0;0.0;0.0;False;False;1.0;6.0;1.0;0.0;0.0;1.0;2.0;6.0;1.0;1.0;0.0;0.0;6.0;1.0;27.0;0.0;1.0;0.0;6.0;1.0;0.0;3.0;2.0;5.0;14.0;1.0;3.0;0.0;25.0;9.0;1.0;0.0;1.0;0.0;3.0;1.0;1.0;1.0;0.0;1.0;25.0;0.0;0.0;2.0;9.0;0.0;0.0;1.0;14.0;2.0;1.0;0.0;1.0;6.0;1.0;1.0;14.0;5.0;5.0;6.0;1.0;6.0;1.0;0.0;2.0;3.0;0.0;0.0;1.0;25.0;0.0;9.0;0.0;1.0;1.0;1.0;0.0;25.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;5.0;2.0;1.0;1.0;2.0;1.0;3.0;9.0;0.0;9.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;3.0;1.0;0.0;0.0;2.0;0.0;1.0;1.0;27.0;0.0;1.0;9.0;0.0;1.0;6.0;1.0;0.0;0.0;1.0;6.0;1.0;1.0;1.0;1.0;1.0;1.0;6.0;0.0;0.0;1.0;0.0;0.0;5.0;27.0;0.0;1.0;27.0;2.0;1.0;5.0;0.0;0.0;1.0;0.0;25.0;0.0;6.0;14.0;6.0;0.0;27.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;14.0;2.0
20.0;0.0;0.0;6.0;0.0;0.0;0.0;67.0;1.0;66.0;0.0;0.0;0.0;4.0;False;False;2.0;4.0;1.0;0.0;4.0;1.0;12.0;4.0;1.0;1.0;0.0;0.0;4.0;3.0;66.0;0.0;1.0;0.0;4.0;1.0;0.0;14.0;16.0;6.0;20.0;1.0;14.0;0.0;67.0;8.0;3.0;0.0;1.0;0.0;14.0;2.0;2.0;3.0;0.0;1.0;67.0;0.0;0.0;12.0;8.0;0.0;0.0;1.0;20.0;16.0;2.0;0.0;1.0;18.0;1.0;3.0;20.0;6.0;6.0;18.0;1.0;18.0;1.0;0.0;16.0;14.0;0.0;0.0;1.0;67.0;0.0;8.0;0.0;1.0;1.0;1.0;0.0;67.0;0.0;2.0;2.0;0.0;4.0;1.0;0.0;6.0;12.0;1.0;1.0;12.0;6.0;14.0;8.0;0.0;8.0;1.0;1.0;0.0;4.0;0.0;0.0;16.0;1.0;14.0;3.0;0.0;0.0;12.0;0.0;1.0;1.0;66.0;0.0;6.0;8.0;0.0;1.0;18.0;6.0;0.0;0.0;3.0;4.0;1.0;1.0;1.0;6.0;1.0;1.0;4.0;0.0;0.0;1.0;4.0;0.0;6.0;66.0;0.0;1.0;66.0;16.0;6.0;6.0;0.0;0.0;1.0;0.0;67.0;4.0;18.0;20.0;18.0;0.0;66.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;12.0;20.0;16.0
