MethodLength_min;FileLength_min;AnonymousInnerClassLength_mean;Bugged;blame_merge_blame_getEffort_min;TotalNumberOfOperands;FileLength_std;blame_merge_blame_getVolume_max;blame_merge_blame_getDifficulty_std;blamemerge_blamegetVocabulary_max;blamemerge_blamegetDifficulty_max;AnonymousInnerClassLength_count;MethodLength_std;blame_merge_blame_getLength_min;blamemerge_blamegetLength_mean;blame_merge_blame_getEffort_std;blame_merge_blame_getVocabulary_std;blamemerge_blamegetEffort_max;blamemerge_blamegetDifficulty_mean;blame_merge_blame_getVolume_std;blame_merge_blame_getLength_mean;blamemerge_blamegetEffort_std;blame_merge_blame_getVolume_min;blame_merge_blame_getDifficulty_max;blamemerge_blamegetVolume_max;FileLength_25%;FileLength_mean;AnonymousInnerClassLength_75%;AnonymousInnerClassLength_50%;blamemerge_blamegetVolume_count;blame_merge_blame_getVocabulary_count;blamemerge_blamegetVolume_std;blame_merge_blame_getVocabulary_max;blamemerge_blamegetVolume_mean;MethodLength_mean;blame_merge_blame_getVolume_count;NumberOfDistinctOperands;blamemerge_blamegetDifficulty_count;blame_merge_blame_getDifficulty_mean;TotalNumberOfOperators;FileLength_50%;blamemerge_blamegetLength_max;MethodLength_max;MethodLength_25%;Difficulty;blame_merge_blame_getEffort_max;blamemerge_blamegetVocabulary_std;AnonymousInnerClassLength_25%;blame_merge_blame_getVolume_mean;MethodLength_50%;blame_merge_blame_getEffort_count;blamemerge_blamegetVocabulary_count;AnonymousInnerClassLength_min;blamemerge_blamegetLength_count;blamemerge_blamegetEffort_count;blame_merge_blame_getVocabulary_mean;AnonymousInnerClassLength_max;FileLength_75%;blamemerge_blamegetVocabulary_mean;blame_merge_blame_getLength_max;AnonymousInnerClassLength_std;blamemerge_blamegetEffort_mean;blame_merge_blame_getLength_count;blamemerge_blamegetDifficulty_std;blame_merge_blame_getDifficulty_min;Effort;MethodLength_count;NumberOfDistinctOperators;Volume;MethodLength_75%;Length;blame_merge_blame_getEffort_mean;Vocabulary;FileLength_max;blame_merge_blame_getVocabulary_min;blame_merge_blame_getLength_std;blame_merge_blame_getDifficulty_count;blamemerge_blamegetLength_std;FileLength_count
7.0;0.0;0.0;False;0.0;255.0;79.90306627407988;0.0;0.0;21.0;6.0;2.0;38.18376618407357;0.0;5.520661157024794;0.0;0.0;622.3576456637802;1.2097885585488892;0.0;0.0;129.31905035420064;0.0;0.0;118.9419703764204;28.25;56.5;0.0;0.0;121.0;0.0;28.667972180451326;0.0;18.283736223950413;34.0;0.0;112.0;121.0;0.0;413.0;56.5;28.0;61.0;20.5;42.120535714285715;0.0;5.4785833965595385;0.0;0.0;34.0;0.0;121.0;0.0;121.0;121.0;0.0;0.0;84.75;4.56198347107438;0.0;0.0;64.4718781013618;0.0;1.6468279370483128;0.0;203122.2639897072;2.0;37.0;4822.404571668724;47.5;668.0;0.0;149.0;113.0;0.0;0.0;0.0;7.159025973731482;2.0
39.0;71.0;0.0;False;0.0;275.0;0.0;0.0;0.0;21.0;6.5;1.0;0.0;0.0;9.722222222222221;0.0;0.0;883.1441300449212;1.7555946368446371;0.0;0.0;252.79529434546453;0.0;0.0;140.1816079436383;71.0;71.0;0.0;0.0;72.0;0.0;46.18651477305871;0.0;36.03131900623956;39.0;0.0;88.0;72.0;0.0;410.0;71.0;33.0;39.0;39.0;37.5;0.0;6.992898253091544;0.0;0.0;39.0;0.0;72.0;0.0;72.0;72.0;0.0;0.0;71.0;6.472222222222222;0.0;0.0;149.04748524702254;0.0;2.019343223384746;0.0;174863.92956035468;1.0;24.0;4663.038121609458;39.0;685.0;0.0;112.0;71.0;0.0;0.0;0.0;11.212696804964564;1.0
3.0;0.0;4.5;False;0.0;1372.0;277.0;0.0;0.0;27.0;7.5;4.0;216.12187919474206;0.0;7.141772151898732;0.0;0.0;1040.3696728909101;1.5924963362938045;0.0;0.0;120.88115824265543;0.0;0.0;161.66617507355798;0.0;138.5;4.5;0.0;790.0;0.0;28.79896933811232;0.0;23.43090830212591;118.0;0.0;346.0;790.0;0.0;2289.0;0.0;34.0;442.0;6.0;85.25433526011561;0.0;5.372161964774637;0.0;0.0;13.5;0.0;790.0;0.0;790.0;790.0;0.0;18.0;138.5;6.108860759493671;0.0;9.0;75.12989851731223;0.0;1.5929337495938385;0.0;2685330.484662538;4.0;43.0;31497.876048994443;125.5;3661.0;0.0;389.0;554.0;0.0;0.0;0.0;6.950496833641317;4.0
192.0;235.0;0.0;False;0.0;345.0;0.0;0.0;0.0;14.0;4.0;1.0;0.0;0.0;3.9617021276595743;0.0;0.0;236.8281419610299;0.8709219858156028;0.0;0.0;45.64550405975621;0.0;0.0;103.61231210795059;235.0;235.0;0.0;0.0;235.0;0.0;16.859872628629955;0.0;11.010651549153428;192.0;0.0;100.0;235.0;0.0;586.0;235.0;28.0;192.0;192.0;53.475;0.0;3.8356299010186894;0.0;0.0;192.0;0.0;235.0;0.0;235.0;235.0;0.0;0.0;235.0;3.5234042553191487;0.0;0.0;25.15841588649407;0.0;1.1120213583763214;0.0;350160.54665171733;1.0;31.0;6548.116814431366;192.0;931.0;0.0;131.0;235.0;0.0;0.0;0.0;4.76662870665759;1.0
194.0;259.0;0.0;False;0.0;472.0;0.0;0.0;0.0;17.0;6.0;1.0;0.0;0.0;4.474903474903474;0.0;0.0;327.74020236207275;0.9444349730064016;0.0;0.0;62.0123562981462;0.0;0.0;85.83671966625714;259.0;259.0;0.0;0.0;259.0;0.0;19.646724822283552;0.0;13.315770143594555;194.0;0.0;119.0;259.0;0.0;687.0;259.0;21.0;194.0;194.0;71.39495798319328;0.0;4.388345911499592;0.0;0.0;194.0;0.0;259.0;0.0;259.0;259.0;0.0;0.0;259.0;3.922779922779923;0.0;0.0;33.241958322731364;0.0;1.2082231986542735;0.0;602075.6929900531;1.0;36.0;8433.028185712843;194.0;1159.0;0.0;155.0;259.0;0.0;0.0;0.0;5.342743710759843;1.0
4.0;0.0;1.3333333333333333;False;0.0;1157.0;177.1797580613166;0.0;0.0;32.0;13.0;6.0;79.00738362119495;0.0;6.423333333333333;0.0;0.0;3597.307969255805;1.5133047669922668;0.0;0.0;255.34834317786442;0.0;0.0;276.7159976350619;0.0;72.33333333333333;0.0;0.0;600.0;0.0;33.31035974677733;0.0;21.496810093963575;50.83333333333334;0.0;301.0;600.0;0.0;1909.0;0.0;63.0;198.0;5.0;94.17441860465117;0.0;5.5955941011176815;0.0;0.0;6.0;0.0;600.0;0.0;600.0;600.0;0.0;8.0;0.0;5.3533333333333335;0.0;3.2659863237109037;85.69603950677401;0.0;1.9112174924483107;0.0;2440192.279821422;6.0;49.0;25911.41326887792;66.25;3066.0;0.0;350.0;434.0;0.0;0.0;0.0;7.879780482749255;6.0
0.0;0.0;0.0;False;0.0;1157.0;0.0;0.0;0.0;32.0;13.0;0.0;0.0;0.0;6.423333333333333;0.0;0.0;3597.307969255805;1.5133047669922668;0.0;0.0;255.34834317786442;0.0;0.0;276.7159976350619;0.0;0.0;0.0;0.0;600.0;0.0;33.31035974677733;0.0;21.496810093963575;0.0;0.0;301.0;600.0;0.0;1909.0;0.0;63.0;0.0;0.0;94.17441860465117;0.0;5.5955941011176815;0.0;0.0;0.0;0.0;600.0;0.0;600.0;600.0;0.0;0.0;0.0;5.3533333333333335;0.0;0.0;85.69603950677401;0.0;1.9112174924483107;0.0;2440192.279821422;0.0;49.0;25911.41326887792;0.0;3066.0;0.0;350.0;0.0;0.0;0.0;0.0;7.879780482749255;0.0
4.0;0.0;0.0;False;0.0;421.0;88.99550550449163;0.0;0.0;24.0;11.0;5.0;38.39661443408781;0.0;4.640326975476839;0.0;0.0;1676.0560655160543;1.1256887677868606;0.0;0.0;119.20662000859629;0.0;0.0;152.36873322873222;0.0;39.8;0.0;0.0;367.0;0.0;21.78516838653177;0.0;14.376929663271804;24.6;0.0;144.0;367.0;0.0;650.0;0.0;39.0;93.0;5.0;61.39583333333334;0.0;4.612295384350056;0.0;0.0;8.0;0.0;367.0;0.0;367.0;367.0;0.0;0.0;0.0;3.9482288828337873;0.0;0.0;47.47908411950088;0.0;1.5861604121320436;0.0;495736.91642698296;5.0;42.0;8074.4390866967005;13.0;1071.0;0.0;186.0;199.0;0.0;0.0;0.0;5.918047593969562;5.0
38.0;81.0;0.0;False;0.0;108.0;0.0;0.0;0.0;17.0;5.5;1.0;0.0;0.0;1.62877030162413;0.0;0.0;418.0;0.3160092807424594;0.0;0.0;31.59968474783381;0.0;0.0;81.7492568250068;81.0;81.0;0.0;0.0;431.0;0.0;10.794744670667212;0.0;4.297044639949345;38.0;0.0;61.0;431.0;0.0;153.0;81.0;20.0;38.0;38.0;20.36065573770492;0.0;2.8762569127785267;0.0;0.0;38.0;0.0;431.0;0.0;431.0;431.0;0.0;0.0;81.0;1.4686774941995355;0.0;0.0;8.369050455784741;0.0;0.7472422725375993;0.0;33969.61312135751;1.0;23.0;1668.3948473452563;38.0;261.0;0.0;84.0;81.0;0.0;0.0;0.0;3.335016212177693;1.0
84.0;131.0;0.0;False;0.0;228.0;0.0;0.0;0.0;17.0;5.5;1.0;0.0;0.0;4.595419847328245;0.0;0.0;472.10195816441427;1.115303525990549;0.0;0.0;82.95845690080354;0.0;0.0;97.67226489021296;131.0;131.0;0.0;0.0;131.0;0.0;20.82429372222701;0.0;14.575367028573133;84.0;0.0;91.0;131.0;0.0;374.0;131.0;25.0;84.0;84.0;38.835164835164825;0.0;4.74420250706777;0.0;0.0;84.0;0.0;131.0;0.0;131.0;131.0;0.0;0.0;131.0;4.015267175572519;0.0;0.0;44.65063235897925;0.0;1.5017884573411229;0.0;162032.10881395865;1.0;31.0;4172.3038772128575;84.0;602.0;0.0;122.0;131.0;0.0;0.0;0.0;5.768320147354193;1.0
