;MethodLength_min;FileLength_min;AnonymousInnerClassLength_mean;Bugged;blame_merge_blame_getEffort_min;TotalNumberOfOperands;FileLength_std;blame_merge_blame_getVolume_max;blame_merge_blame_getDifficulty_std;blamemerge_blamegetVocabulary_max;blamemerge_blamegetDifficulty_max;AnonymousInnerClassLength_count;MethodLength_std;blame_merge_blame_getLength_min;blamemerge_blamegetLength_mean;blame_merge_blame_getEffort_std;blame_merge_blame_getVocabulary_std;blamemerge_blamegetEffort_max;blamemerge_blamegetDifficulty_mean;blame_merge_blame_getVolume_std;blame_merge_blame_getLength_mean;blamemerge_blamegetEffort_std;blame_merge_blame_getVolume_min;blame_merge_blame_getDifficulty_max;blamemerge_blamegetVolume_max;FileLength_25%;FileLength_mean;AnonymousInnerClassLength_75%;AnonymousInnerClassLength_50%;blamemerge_blamegetVolume_count;blame_merge_blame_getVocabulary_count;blamemerge_blamegetVolume_std;blame_merge_blame_getVocabulary_max;blamemerge_blamegetVolume_mean;MethodLength_mean;blame_merge_blame_getVolume_count;NumberOfDistinctOperands;blamemerge_blamegetDifficulty_count;blame_merge_blame_getDifficulty_mean;TotalNumberOfOperators;FileLength_50%;blamemerge_blamegetLength_max;MethodLength_max;MethodLength_25%;Difficulty;blame_merge_blame_getEffort_max;blamemerge_blamegetVocabulary_std;AnonymousInnerClassLength_25%;blame_merge_blame_getVolume_mean;MethodLength_50%;blame_merge_blame_getEffort_count;blamemerge_blamegetVocabulary_count;AnonymousInnerClassLength_min;blamemerge_blamegetLength_count;blamemerge_blamegetEffort_count;blame_merge_blame_getVocabulary_mean;AnonymousInnerClassLength_max;FileLength_75%;blamemerge_blamegetVocabulary_mean;blame_merge_blame_getLength_max;AnonymousInnerClassLength_std;blamemerge_blamegetEffort_mean;blame_merge_blame_getLength_count;blamemerge_blamegetDifficulty_std;blame_merge_blame_getDifficulty_min;Effort;MethodLength_count;NumberOfDistinctOperators;Volume;MethodLength_75%;Length;blame_merge_blame_getEffort_mean;Vocabulary;FileLength_max;blame_merge_blame_getVocabulary_min;blame_merge_blame_getLength_std;blame_merge_blame_getDifficulty_count;blamemerge_blamegetLength_std;FileLength_count
count;289.0;289.0;289.0;289;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0
unique;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;9.439446366782008;15.449826989619377;0.08150413689424048;;0.0;289.42214532871975;57.4081715679118;0.0;0.0;14.356401384083044;5.428443543192677;6.788927335640138;9.462719823753869;0.0;2.9541396542917844;0.0;0.0;557.6862098572617;0.6653412890881071;0.0;0.0;61.298232189608726;0.0;0.0;86.5488957297839;18.418685121107266;39.11504226906452;0.07525951557093426;0.04671280276816609;458.49134948096884;0.0;15.220880455100147;0.0;8.816951289865463;15.981125485350985;0.0;81.34256055363322;458.49134948096884;0.0;471.6332179930796;21.387543252595155;22.59515570934256;32.44290657439446;10.847750865051903;38.91175693801551;0.0;3.43381422432638;0.03373702422145329;0.0;12.944636678200691;0.0;458.49134948096884;0.020761245674740483;458.49134948096884;458.49134948096884;0.0;0.2698961937716263;33.98529411764706;2.4871145141866964;0.0;0.11618303627068292;25.355518868473496;0.0;1.0485358369838709;0.0;441907.0721607529;6.788927335640138;24.311418685121108;5684.921939046024;18.152249134948097;761.0553633217993;0.0;105.65397923875433;197.4948096885813;0.0;0.0;0.0;4.405129742477997;6.788927335640138
std;23.34249747951823;41.505752717551324;0.6424461558507838;;0.0;397.09398594608336;59.240477502350025;0.0;0.0;4.513979311784703;3.7318039562121776;12.696254446504922;19.736442552619593;0.0;2.149621742841239;0.0;0.0;932.1023690319369;0.46094178085258275;0.0;0.0;66.81513902488464;0.0;0.0;52.60265822389716;41.5646183294903;40.95918753987706;0.793146873957037;0.5640237914930913;800.1153567619469;0.0;7.748260838470356;0.0;7.209165187703192;25.58802495940157;0.0;77.50114440250917;800.1153567619469;0.0;657.8521530569178;43.89074959312285;12.040099842988953;47.255926581520406;23.485297634760173;30.261802005441044;0.0;1.0923479600262942;0.4155550338513173;0.0;24.207767792221613;0.0;800.1153567619469;0.3529411764705882;800.1153567619469;800.1153567619469;0.0;1.7449809940920291;51.24989837388298;1.6274177843384683;0.0;0.9033459230969085;26.068871736931445;0.0;0.4399436394857194;0.0;1111991.0960786918;12.696254446504922;11.679750448951747;9074.482360290835;27.71080352636143;1051.3646606682373;0.0;86.46288939649908;326.7437953281854;0.0;0.0;0.0;1.868738596244981;12.696254446504922
min;0.0;0.0;0.0;;0.0;5.0;0.0;0.0;0.0;7.0;1.0;0.0;0.0;0.0;0.3104693140794224;0.0;0.0;25.266194298518442;0.047619047619047616;0.0;0.0;4.5475606141845475;0.0;0.0;25.266194298518442;0.0;0.0;0.0;0.0;21.0;0.0;4.229613351529811;0.0;0.7236407383108149;0.0;0.0;5.0;21.0;0.0;4.0;0.0;9.0;0.0;0.0;1.0;0.0;1.2293924716793494;0.0;0.0;0.0;0.0;21.0;0.0;21.0;21.0;0.0;0.0;0.0;0.2743682310469314;0.0;0.0;0.953125;0.0;0.2182178902359924;0.0;25.266194298518442;0.0;2.0;25.266194298518442;0.0;9.0;0.0;7.0;0.0;0.0;0.0;0.0;1.4686329527696018;0.0
25%;3.0;0.0;0.0;;0.0;63.0;0.0;0.0;0.0;11.0;3.5;1.0;0.0;0.0;1.4189944134078212;0.0;0.0;134.43609377704337;0.32857142857142857;0.0;0.0;23.859175222584252;0.0;0.0;44.97261104228487;0.0;15.75;0.0;0.0;99.0;0.0;9.687418767333588;0.0;3.8043818988162257;3.0;0.0;31.0;99.0;0.0;96.0;0.0;13.0;3.0;3.0;15.555555555555555;0.0;2.6950270336638997;0.0;0.0;3.0;0.0;99.0;0.0;99.0;99.0;0.0;0.0;0.0;1.2910848549946294;0.0;0.0;8.463981609181914;0.0;0.8090904241647111;0.0;15195.277413458567;1.0;16.0;895.3467854565167;3.0;160.0;0.0;48.0;55.0;0.0;0.0;0.0;3.135398061352784;1.0
50%;3.0;0.0;0.0;;0.0;170.0;52.53887449625594;0.0;0.0;14.0;5.0;3.0;2.8284271247461903;0.0;2.5;0.0;0.0;329.8677691600059;0.5783898305084746;0.0;0.0;45.44524983020315;0.0;0.0;81.40967379910403;0.0;28.81617647058824;0.0;0.0;183.0;0.0;13.638820023373592;0.0;6.832733181021784;7.2105263157894735;0.0;61.0;183.0;0.0;280.0;0.0;21.0;19.0;3.0;33.375;0.0;3.3996056744054983;0.0;0.0;4.0;0.0;183.0;0.0;183.0;183.0;0.0;0.0;0.0;2.1558441558441563;0.0;0.0;17.153421997357032;0.0;1.0799182396159994;0.0;102742.53670628737;3.0;24.0;2758.1773576252363;8.0;441.0;0.0;87.0;118.0;0.0;0.0;0.0;4.055436398835357;3.0
75%;5.0;0.0;0.0;;0.0;347.0;89.09545442950498;0.0;0.0;17.0;6.416666666666668;8.0;10.695417430983634;0.0;3.761904761904762;0.0;0.0;576.0;0.9040798611111112;0.0;0.0;77.22929360285373;0.0;0.0;106.30169903639559;14.5;53.8;0.0;0.0;477.0;0.0;19.646724822283552;0.0;11.088432384576027;17.333333333333332;0.0;108.0;477.0;0.0;562.0;29.0;27.0;42.0;8.0;54.3;0.0;4.052609125094502;0.0;0.0;11.0;0.0;477.0;0.0;477.0;477.0;0.0;0.0;62.0;3.309417040358744;0.0;0.0;32.957771920215656;0.0;1.3262386716168388;0.0;312570.7588025942;8.0;33.0;6534.463802054473;22.0;916.0;0.0;138.0;221.0;0.0;0.0;0.0;5.482901021553109;8.0
