;Maximum Depth_mean;Maximum Depth_25%;blame_merge_priorityMinor_mean;issues_priorityMinor_count;NumberOfMathOperations_50%;Bugged;Maximum Complexity*;blame_merge_priorityMinor_max;Av;MaxNumberOfNestedBlocks_25%;NumberOfMathOperations_25%;HMi;blamemerge_priorityMinor_min;Maximum Depth_max;NumberOfMethods_Mood;PMd;MaxNumberOfNestedBlocks_count;blamemerge_priorityMinor_max;blame_merge_priorityMajor_count;blame_merge_priorityMinor_min;NumberOfModifiers_min;NOPa;NM;MaxNumberOfNestedBlocks_75%;MaxNumberOfNestedBlocks_min;NumberOfMathOperations_count;blamemerge_priorityMinor_mean;Ait;issues_priorityMajor_max;NumberOfModifiers_50%;MaxNumberOfNestedBlocks_max;Average Block Depth;Mi;HMd;Average Complexity*;NumberOfMathOperations_std;MaxNumberOfNestedBlocks_std;PMi;Ad;issues_priorityMinor_min;NumberOfModifiers_25%;blame_merge_priorityMajor_std;issues_priorityMinor_max;NumberOfModifiers_count;issues_priorityMinor_mean;blamemerge_priorityMajor_std;Maximum Depth_min;SIX;MaxNumberOfNestedBlocks_mean;MaxNumberOfNestedBlocks_50%;NumberOfMathOperations_mean;issues_priorityMajor_count;NF;blamemerge_priorityMinor_std;NumberOfModifiers_mean;NMA;NumberOfModifiers_std;NumberOfModifiers_max;issues_priorityMinor_std;Maximum Block Depth;NumberOfMathOperations_min;Md;Ao;issues_priorityMajor_min;blame_merge_priorityMinor_count;Maximum Depth_count;blame_merge_priorityMinor_std;NumberOfModifiers_75%;blamemerge_priorityMinor_count;Average Statements per Method;PMR;blame_merge_priorityMajor_max;Ma;issues_priorityMajor_std;blame_merge_priorityMajor_mean;NumberOfMathOperations_max;Mo;Maximum Depth_75%;Ai;blame_merge_priorityMajor_min;blamemerge_priorityMajor_max;Mit;NumberOfMathOperations_75%;blamemerge_priorityMajor_count;blamemerge_priorityMajor_min;Maximum Depth_50%;blamemerge_priorityMajor_mean;Maximum Depth_std;issues_priorityMajor_mean;NMI
count;289.0;289.0;289.0;289.0;289.0;289;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0;289.0
unique;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;1.265667933815054;1.189446366782007;0.0;271.598615916955;0.23875432525951557;;6.422145328719723;0.0;2.0726643598615917;0.3036332179930796;0.18252595155709342;0.0;0.0657439446366782;1.494809688581315;7.896193771626297;5.377162629757786;6.743944636678201;0.2837370242214533;0.0;0.0;2.1038062283737022;0.0;6.131487889273356;0.6487889273356401;0.22491349480968859;6.743944636678201;0.14513064239919105;0.0;0.7508650519031141;3.3460207612456747;1.2768166089965398;1.6040138408304498;0.0;1.3771626297577855;2.5986851211072666;0.4373321131635535;0.425354514878637;0.0;4.010380622837371;0.04152249134948097;2.7448096885813147;0.0;0.3079584775086505;6.743944636678201;0.06531241279191492;0.07918276093480868;1.1314878892733564;0.0;0.5354800002781354;0.4186851211072664;0.38575124620737355;271.598615916955;3.9204152249134947;0.07649070744122516;8.686740211804544;6.968858131487889;10.03081752540978;22.88235294117647;0.05534341929920521;3.397923875432526;0.14186851211072665;6.7543252595155705;0.0;0.47058823529411764;0.0;2.7439446366782008;0.0;12.786332179930795;261.79584775086505;8.030415224913495;0.403705342951557;0.0;6.7543252595155705;0.05862182646703393;0.0;1.273356401384083;0.0;1.3226643598615917;0.0;0.0;0.5605536332179931;0.0;0.421280276816609;261.79584775086505;0.33217993079584773;1.254325259515571;0.4781768912908698;0.1526388379545885;0.7241595640119345;0.0
std;1.2860425878112114;1.2120135212774334;0.0;235.9667131616235;0.8468199327260372;;10.018472221819142;0.0;7.252268334909973;0.7181759425435309;0.7449115720622373;0.0;0.2482638678843255;1.6118508755172747;16.56184598427261;13.671732962545535;12.688447816692326;0.4515927215524731;0.0;0.0;4.028063798194137;0.0;16.79792102920771;0.9866330162557198;0.6728376445793525;12.688447816692326;0.3055975348904425;0.0;0.43326234890165405;5.949701767699577;1.589739967468777;0.8844626113742047;0.0;4.482175064660603;3.623733447485298;1.1099130784573525;0.623723484842903;0.0;9.11176148854148;0.19984134422195596;4.907916724868011;0.0;0.46245005549297075;12.688447816692326;0.21118278672549864;0.16125715545365346;1.2032990822220517;0.0;0.8146935611221185;0.8267218990831701;0.9446295427740182;235.9667131616235;8.967760456477826;0.15968474065083288;44.00835978032159;17.215012800038746;65.71887857007778;133.73940768025955;0.11877703017872471;2.0558510287757383;0.6901675294897714;17.170060050272102;0.0;0.5;0.0;5.028064261636528;0.0;90.06414079221138;577.2118958930738;13.264285636177348;0.43877322957436815;0.0;17.170060050272102;0.1202495798983571;0.0;2.8206855231403716;0.0;1.3594116993039806;0.0;0.0;0.49718063248167554;0.0;1.1186497104296624;577.2118958930738;0.4718121339418025;1.2734700698637986;0.4672913877451996;0.3448838043741222;0.4278336207698141;0.0
min;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;5.0;0.0;;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1875;0.0
50%;2.0;2.0;0.0;388.0;0.0;;3.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;1.0;1.0;1.0;1.67;0.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;2.0;0.0;0.16666666666666666;0.0;0.0;388.0;0.0;0.0;1.0;2.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;36.0;4.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;36.0;0.0;2.0;0.4193939393939394;0.0;0.995967741935484;0.0
75%;2.0;2.0;0.0;434.0;0.0;;8.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;8.0;5.0;7.0;1.0;0.0;0.0;1.0;0.0;5.0;1.0;0.0;7.0;0.02738021157436217;0.0;1.0;2.0;2.0;2.16;0.0;1.0;3.0;0.492365963917331;0.7071067811865476;0.0;3.0;0.0;1.0;0.0;1.0;7.0;0.006309148264984227;0.0;2.0;0.0;0.8;0.5;0.38461538461538464;434.0;3.0;0.0;2.7222222222222223;6.0;1.4769288003552108;9.0;0.05730667022643021;5.0;0.0;6.0;0.0;1.0;0.0;4.0;0.0;4.0;257.0;8.5;0.857142857;0.0;6.0;0.06343588959436304;0.0;1.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;257.0;1.0;2.0;1.0;0.0;1.0;0.0
