NumberOfPublicAttributes;Bugged;NumberOfPrivateAttributes;NumberOfInheritedMethods;NumberPublicMethods;NumberUserDefinedAttributes;NumberOfMethods_Mood;NumberOfAncestors;NumberOfAttributes;NumberOfPolymorphicMethods;Cohesion;NumberOfCoupledClasses;NumberOfSubclasses;NumberOfProtectedAttributes
0.0;False;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0
0.0;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
1.0;False;0.0;0.0;1.0;0.0;2.0;0.0;1.0;0.0;0.5;0.0;0.0;0.0
0.0;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
1.0;False;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0
0.0;False;12.0;0.0;1.0;0.0;3.0;0.0;12.0;0.0;0.5;0.0;0.0;0.0
0.0;False;12.0;0.0;1.0;0.0;3.0;0.0;12.0;0.0;0.5;0.0;0.0;0.0
0.0;False;2.0;0.0;1.0;0.0;5.0;0.0;2.0;0.0;0.325;0.0;0.0;0.0
0.0;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;False;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0
0.0;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
1.0;False;0.0;0.0;1.0;0.0;2.0;0.0;1.0;0.0;0.5;0.0;0.0;0.0
0.0;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;False;1.0;0.0;2.0;0.0;2.0;0.0;1.0;0.0;0.5;0.0;0.0;0.0
0.0;False;4.0;0.0;8.0;0.0;9.0;0.0;4.0;8.0;0.1111111111111111;0.0;0.0;0.0
0.0;False;0.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0
1.0;False;0.0;0.0;3.0;0.0;3.0;0.0;1.0;2.0;0.3333333333333333;0.0;0.0;0.0
0.0;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;False;0.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0
0.0;False;0.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0
0.0;False;0.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0
0.0;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;False;0.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0
0.0;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;False;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0
0.0;False;2.0;0.0;15.0;0.0;15.0;0.0;6.0;15.0;0.11666666666666667;0.0;0.0;4.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;False;0.0;0.0;3.0;0.0;3.0;0.0;0.0;3.0;0.5;0.0;0.0;0.0
0.0;False;1.0;0.0;8.0;0.0;8.0;0.0;1.0;8.0;0.5416666666666666;0.0;0.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;False;4.0;0.0;2.0;0.0;3.0;0.0;4.0;2.0;0.5;0.0;0.0;0.0
0.0;False;4.0;0.0;5.0;0.0;5.0;0.0;4.0;5.0;0.0;0.0;0.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;False;3.0;0.0;5.0;0.0;5.0;0.0;3.0;5.0;0.3333333333333333;0.0;0.0;0.0
1.0;True;8.0;0.0;40.0;0.0;49.0;0.0;18.0;47.0;0.061224489795918366;0.0;0.0;9.0
3.0;False;0.0;0.0;9.0;0.0;9.0;0.0;3.0;9.0;0.4722222222222222;0.0;0.0;0.0
1.0;False;1.0;0.0;9.0;0.0;9.0;0.0;4.0;7.0;0.2222222222222222;0.0;0.0;2.0
1.0;False;0.0;0.0;2.0;0.0;2.0;0.0;1.0;2.0;0.75;0.0;0.0;0.0
0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5.0;False;0.0;0.0;1.0;0.0;1.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0
