;NumberOfParameters_CK;NumberOfLogStatements;NumberOfLoops;Returns;NumberOfVariables;NumberOfTryCatch;NumberOfInnerClasses;NumberOfAnonymousClasses;NumberOfMathOperations;NumberOfUniqueWords;CBO;RFC;WMC_CK;NumberOfComparisons;IsConstructor;MaxNumberOfNestedBlocks;NumberOfLambdas;NumberOfParenthesizedExps;NumberOfModifiers;BuggedMethods;NumberOfNumbers;NumberOfAssignments;LOCMethod_CK;NumberOfStringLiterals
count;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193;2193.0;2193.0;2193.0;2193.0;2193;2193.0;2193.0;2193.0;2193.0
unique;;;;;;;;;;;;;;;2;;;;;2;;;;
top;;;;;;;;;;;;;;;False;;;;;False;;;;
freq;;;;;;;;;;;;;;;2134;;;;;2150;;;;
mean;0.253077975376197;0.00045599635202918376;0.05107159142726858;0.43365253077975374;0.41997264021887826;0.0031919744642042863;0.0;0.0;0.1326949384404925;17.251709986320108;0.7150022799817601;1.3711810305517556;1.039671682626539;0.19015047879616964;;0.20109439124487005;0.0;0.10989512083903329;1.68718650250798;;0.5467396260829913;0.7624259005927952;4.154582763337893;0.4354765161878705
std;0.4749864210824214;0.021354071087949105;0.28518784768502997;0.722613250800149;1.4264519428415745;0.056420185287042124;0.0;0.0;0.7848897398371052;23.1276315930887;1.1169881837516387;2.8523471767255653;1.7968886029141078;0.9517816683116579;;0.596644117729543;0.0;0.5199115923047511;4.962055379184628;;2.098559115116369;2.5112178878394373;7.773439842857469;2.3433708259747243
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;1.0;0.0;;0.0;0.0;0.0;1.0;;0.0;0.0;3.0;0.0
75%;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;25.0;1.0;1.0;1.0;0.0;;0.0;0.0;0.0;1.0;;0.0;1.0;4.0;0.0
max;6.0;1.0;6.0;9.0;24.0;1.0;0.0;0.0;14.0;169.0;9.0;32.0;32.0;27.0;;6.0;0.0;9.0;48.0;;27.0;50.0;133.0;51.0
