;Si;NCOMP;Di;IOVars;BuggedMethods;NVAR;VG;NOP;MCLC;Ci;NBD;Fin;Fout
count;2193.0;2193.0;2193.0;2193.0;2193;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0;2193.0
unique;;;;;2;;;;;;;;
top;;;;;False;;;;;;;;
freq;;;;;2150;;;;;;;;
mean;0.364797081623347;0.4240766073871409;0.5321770568677611;0.5699954400364797;;0.2421340629274966;0.7861377108983129;0.22891016871865025;0.6662106703146374;0.8969741384911081;0.6315549475604195;0.12448700410396717;0.10852713178294573
std;3.9901888306842106;2.037245433822906;0.7038630584455827;0.7279313066529524;;0.8956573078141159;1.6889370856258203;0.4277589151182659;2.66736034826485;4.024490224816357;0.8812463173885934;0.6245491249166328;0.5942894850813966
min;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;0.0;0.0;1.0;1.0;;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0
max;121.0;48.0;4.0;4.0;;11.0;32.0;3.0;55.0;121.166666667;7.0;12.0;11.0
