;NumberOfVariables;CBO;NumberOfUniqueWords;IsConstructor;BuggedMethods;Returns;NumberOfNumbers;NumberOfModifiers;NumberOfLoops;WMC_CK;Maximum Depth;NumberOfParameters_CK;Fin;NVAR;LOCMethod_CK;NumberOfAnonymousClasses;MethodLength;Ci;NumberOfLambdas;VG;NumberOfMathOperations;MCLC;NBD;NumberOfLogStatements;NCOMP;NumberOfStringLiterals;AnonymousInnerClassLength;NumberOfParenthesizedExps;Si;NumberOfTryCatch;FileLength;Fout;MaxNumberOfNestedBlocks;RFC;Di;NumberOfAssignments;IOVars;NOP;NumberOfInnerClasses;NumberOfComparisons
count;1228.0;1228.0;1228.0;1228;1228;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0
unique;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;False;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;1155;1186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.7141693811074918;0.5716612377850163;10.004071661237784;;;0.2711726384364821;0.5154723127035831;1.0;0.05618892508143322;0.8851791530944625;0.8298045602605864;0.21986970684039087;0.061074918566775244;0.1758957654723127;5.162866449511401;0.0;6.977198697068404;0.48476035365228015;0.0;0.504885993485342;0.24674267100977199;0.4552117263843648;0.36563517915309446;0.008143322475570033;0.27931596091205213;3.4185667752442996;0.0;0.06270358306188925;0.1449511400651466;0.0016286644951140066;20.350162866449512;0.03257328990228013;0.1490228013029316;1.525244299674267;0.33980921358713356;0.9543973941368078;0.3493485342019544;0.16042345276872963;0.0;0.13355048859934854
std;1.8241058706104145;0.9974269305185467;12.072214780897989;;;0.7192200743888855;2.767653719615629;2.1098596499438744;0.2602784606410224;1.3982205073860539;1.1076635884504198;0.44651615214502755;0.6112363925299017;0.8909609084519657;15.458265361252204;0.0;18.01306601668718;2.8095446044080488;0.0;1.4058240379882996;1.1094309248090244;2.0539854603559933;0.7801687300836758;0.1396192481506466;1.3092345279710562;27.90852528822087;0.0;0.35903954113438624;2.7364839660389517;0.040340266982101934;84.85121658985608;0.37948305721366815;0.5040413911684776;2.832201810594233;0.6837123718152434;2.208645355528332;0.6940951782023252;0.40914224366818785;0.0;0.5920539578909728
min;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;6.0;;;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;0.0;1.0;17.0;;;0.0;0.0;1.0;0.0;1.0;2.0;0.0;0.0;0.0;5.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0
max;20.0;6.0;70.0;;;9.0;59.0;36.0;3.0;19.0;5.0;3.0;16.0;14.0;474.0;0.0;500.0;81.0;0.0;19.0;21.0;27.0;6.0;3.0;16.0;944.0;0.0;6.0;81.0;1.0;1155.0;9.0;5.0;23.0;5.0;21.0;5.0;4.0;0.0;7.0
