ClassFanOutComplexity_max;BooleanExpressionComplexity_std;NumberOfProtectedMethod_min;NumberOfPrivateMethod_std;NumberOfProtectedMethod_max;NumberOfMethods_Checkstyle_50%;NPathComplexity_25%;AnonymousInnerClassLength_min;NumberOfPackageMethod_count;NestedForDepth_min;NumberOfPrivateMethod_50%;ClassDataAbstractionCoupling_mean;ThrowsCount_min;NPathComplexity_50%;MethodLength_count;AnonymousInnerClassLength_75%;NestedForDepth_std;ExecutableStatementCount_mean;MethodLength_25%;NCSSForThisFile_count;NumberOfMethods_Checkstyle_min;ThrowsCount_25%;NCSSForThisClass_min;NCSSForThisClass_std;ClassFanOutComplexity_25%;NestedTryDepth_75%;AnonymousInnerClassLength_count;ExecutableStatementCount_75%;BooleanExpressionComplexity_mean;ThrowsCount_75%;NumberOfProtectedMethod_50%;NCSSForThisMethod_count;NCSSForThisClass_75%;CyclomaticComplexity_mean;NumberOfPrivateMethod_75%;NestedTryDepth_max;AnonymousInnerClassLength_std;AnonymousInnerClassLength_max;ExecutableStatementCount_count;NumberOfPrivateMethod_mean;ClassDataAbstractionCoupling_max;ClassFanOutComplexity_std;CyclomaticComplexity_75%;NumberOfMethods_Checkstyle_75%;NumberOfPublicMethods_Checkstyle_std;NumberOfPackageMethod_mean;NumberOfPublicMethods_Checkstyle_75%;MethodLength_75%;FileLength_std;FileLength_count;NCSSForThisFile_75%;NPathComplexity_std;ThrowsCount_max;NumberOfPublicMethods_Checkstyle_count;ClassFanOutComplexity_count;NCSSForThisMethod_25%;FileLength_75%;BooleanExpressionComplexity_min;NestedForDepth_max;MethodLength_min;CyclomaticComplexity_max;NumberOfProtectedMethod_mean;NestedIfElseDepth_mean;NestedIfElseDepth_25%;CyclomaticComplexity_min;NestedForDepth_50%;ClassFanOutComplexity_50%;NCSSForThisMethod_min;NPathComplexity_min;NPathComplexity_mean;FileLength_max;NCSSForThisMethod_75%;NCSSForThisClass_50%;NestedTryDepth_std;ExecutableStatementCount_25%;ThrowsCount_mean;ClassDataAbstractionCoupling_25%;AnonymousInnerClassLength_25%;NumberOfPublicMethods_Checkstyle_max;ThrowsCount_std;MethodLength_std;AnonymousInnerClassLength_50%;NCSSForThisClass_mean;ClassDataAbstractionCoupling_count;ClassFanOutComplexity_min;ExecutableStatementCount_min;CyclomaticComplexity_count;ClassDataAbstractionCoupling_75%;FileLength_25%;NumberOfPublicMethods_Checkstyle_25%;NumberOfPackageMethod_50%;NestedTryDepth_min;NestedIfElseDepth_50%;ClassDataAbstractionCoupling_min;NCSSForThisClass_max;ClassDataAbstractionCoupling_std;ThrowsCount_50%;MethodLength_mean;CyclomaticComplexity_25%;NumberOfPackageMethod_25%;NumberOfMethods_Checkstyle_max;NumberOfMethods_Checkstyle_std;NumberOfProtectedMethod_25%;NCSSForThisMethod_max;NestedTryDepth_50%;NestedForDepth_25%;ClassFanOutComplexity_75%;NumberOfPackageMethod_min;MethodLength_50%;NumberOfPrivateMethod_count;NumberOfPrivateMethod_max;BooleanExpressionComplexity_50%;NestedIfElseDepth_count;ExecutableStatementCount_std;NestedIfElseDepth_std;NumberOfMethods_Checkstyle_count;NCSSForThisFile_50%;NumberOfPackageMethod_std;NestedForDepth_75%;NumberOfProtectedMethod_75%;NumberOfPublicMethods_Checkstyle_mean;NumberOfPackageMethod_75%;AnonymousInnerClassLength_mean;NCSSForThisFile_mean;NumberOfMethods_Checkstyle_25%;NPathComplexity_75%;MethodLength_max;NCSSForThisFile_25%;NestedTryDepth_25%;NumberOfProtectedMethod_std;NumberOfPublicMethods_Checkstyle_min;NestedIfElseDepth_75%;NCSSForThisMethod_50%;NCSSForThisFile_std;ExecutableStatementCount_50%;NestedIfElseDepth_max;NCSSForThisFile_max;NCSSForThisClass_25%;NCSSForThisClass_count;CyclomaticComplexity_50%;NumberOfPublicMethods_Checkstyle_50%;BooleanExpressionComplexity_max;NestedTryDepth_mean;NestedTryDepth_count;BooleanExpressionComplexity_75%;NumberOfPrivateMethod_25%;NumberOfProtectedMethod_count;FileLength_mean;NumberOfPrivateMethod_min;NCSSForThisMethod_std;BooleanExpressionComplexity_count;NCSSForThisMethod_mean;NCSSForThisFile_min;NumberOfMethods_Checkstyle_mean;ClassDataAbstractionCoupling_50%;NestedIfElseDepth_min;FileLength_50%;Bugged;NestedForDepth_mean;NPathComplexity_count;ThrowsCount_count;NPathComplexity_max;NumberOfPackageMethod_max;CyclomaticComplexity_std;FileLength_min;NestedForDepth_count;ClassFanOutComplexity_mean;ExecutableStatementCount_max;BooleanExpressionComplexity_25%
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;1.0;17.0;0.0;0.0;1.0;3.0;17.0;0.0;0.0;0.0;8.731282501307987;0.0;0.0;17.0;1.0;0.0;0.0;0.0;17.0;0.0;1.0;0.0;0.0;0.0;0.0;17.0;0.0;0.0;0.0;1.0;0.0;4.123105625617661;0.0;0.0;3.0;27.40652562910563;17.0;0.0;0.5144957554275266;0.0;17.0;17.0;2.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.5294117647058824;113.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;17.0;0.0;4.123105625617661;0.0;2.117647058823529;17.0;0.0;1.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.0;0.0;0.0;4.0;1.0;0.0;17.0;4.123105625617661;0.0;2.0;0.0;0.0;0.0;0.0;3.0;17.0;0.0;0.0;17.0;0.0;0.0;17.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.176470588235294;0.0;1.0;20.0;0.0;0.0;0.0;0.0;0.0;2.0;8.973818126344321;1.0;0.0;37.0;0.0;17.0;1.0;0.0;0.0;0.0;17.0;0.0;0.0;17.0;6.647058823529411;0.0;0.0;17.0;2.0;0.0;1.0;0.0;0.0;0.0;False;0.0;17.0;17.0;1.0;0.0;0.0;0.0;17.0;0.0;1.0;0.0
14.0;0.0;0.0;0.0;0.0;1.0;5.25;0.0;2.0;0.0;0.0;1.5;0.0;7.5;2.0;0.0;0.0;26.0;62.0;2.0;0.0;0.75;0.0;41.012193308819754;3.5;0.0;2.0;27.5;0.0;2.25;0.0;2.0;43.5;4.0;0.0;0.0;0.0;0.0;2.0;0.0;3.0;9.899494936611664;5.0;1.5;1.4142135623730951;0.0;1.5;64.0;140.71424945612296;2.0;56.25;6.363961030678928;3.0;2.0;2.0;27.0;149.25;0.0;0.0;61.0;6.0;0.0;0.0;0.0;2.0;0.0;7.0;26.0;3.0;7.5;199.0;29.0;29.0;0.0;24.5;1.5;0.75;0.0;2.0;2.1213203435596424;2.8284271247461903;0.0;29.0;2.0;0.0;23.0;2.0;2.25;49.75;0.5;0.0;0.0;0.0;0.0;58.0;2.1213203435596424;1.5;63.0;3.0;0.0;2.0;1.4142135623730951;0.0;30.0;0.0;0.0;10.5;0.0;63.0;2.0;0.0;0.0;2.0;4.242640687119285;0.0;2.0;37.5;0.0;0.0;0.0;1.0;0.0;0.0;37.5;0.5;9.75;65.0;18.75;0.0;0.0;0.0;0.0;28.0;53.03300858899106;26.0;0.0;75.0;14.5;2.0;4.0;1.0;0.0;0.0;2.0;0.0;0.0;2.0;99.5;0.0;2.8284271247461903;2.0;28.0;0.0;1.0;1.5;0.0;99.5;False;0.0;2.0;2.0;12.0;0.0;2.8284271247461903;0.0;2.0;7.0;29.0;0.0
2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;1.0;12.0;0.0;0.0;2.1666666666666665;3.0;12.0;0.0;0.0;0.0;12.990381056766578;0.0;0.0;12.0;1.0;0.0;0.0;0.0;12.0;0.0;1.0833333333333333;0.0;0.0;0.0;0.0;12.0;0.0;0.0;0.5773502691896257;1.0;0.0;3.4641016151377544;0.0;0.0;3.0;54.84827557301445;12.0;0.0;0.8660254037844386;0.0;12.0;12.0;2.0;0.0;0.0;0.0;3.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.75;190.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;12.0;0.0;4.1660605619770585;0.0;3.75;12.0;0.0;1.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;45.0;0.0;0.0;4.583333333333333;1.0;0.0;12.0;3.4641016151377544;0.0;14.0;0.0;0.0;0.0;0.0;3.0;12.0;0.0;0.0;12.0;3.4597249846912645;0.0;12.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;3.9166666666666665;0.0;1.0;17.0;0.0;0.0;0.0;0.0;0.0;2.0;13.567731325956204;1.0;0.0;47.0;0.0;12.0;1.0;0.0;0.0;0.0;12.0;0.0;0.0;12.0;15.833333333333336;0.0;3.4597249846912645;12.0;3.1666666666666665;0.0;1.0;0.0;0.0;0.0;False;0.0;12.0;12.0;3.0;0.0;0.2886751345948129;0.0;12.0;0.16666666666666666;13.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9.0;0.957427107756338;0.0;0.0;1.0;0.5;0.75;0.0;4.0;0.0;0.0;1.25;0.0;10.5;4.0;0.0;0.0;5.75;3.75;4.0;0.0;0.0;0.0;33.25031328173215;0.0;0.0;4.0;9.0;1.25;0.0;0.0;4.0;20.75;4.0;0.0;0.0;0.0;0.0;4.0;0.0;5.0;4.358898943540674;6.25;1.5;0.957427107756338;0.0;1.25;20.25;128.0;4.0;18.25;12.526638282742367;0.0;4.0;4.0;2.75;64.0;0.0;0.0;3.0;7.0;0.25;0.25;0.0;1.0;0.0;0.5;2.0;0.0;11.25;256.0;12.0;2.5;0.0;1.75;0.0;0.0;0.0;2.0;0.0;10.598742063723098;0.0;18.25;4.0;0.0;1.0;4.0;1.25;0.0;0.0;0.0;0.0;0.0;0.0;68.0;2.5;0.0;12.5;1.75;0.0;3.0;1.4142135623730951;0.0;15.0;0.0;0.0;3.0;0.0;11.5;4.0;0.0;1.5;4.0;5.188127472091127;0.5;4.0;0.0;0.0;0.0;0.25;0.75;0.0;0.0;18.25;0.0;21.0;24.0;0.0;0.0;0.5;0.0;0.25;7.0;36.5;5.0;1.0;73.0;0.0;4.0;4.0;0.5;2.0;0.0;4.0;2.0;0.0;4.0;64.0;0.0;6.291528696058959;4.0;7.75;0.0;1.0;0.0;0.0;0.0;True;0.0;4.0;4.0;24.0;0.0;2.943920288775949;0.0;4.0;2.5;12.0;0.75
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4.0;1.0;0.0;0.0;0.0;0.0;8.0;0.0;3.0;0.0;0.0;0.3333333333333333;0.0;15.0;3.0;0.0;0.0;6.0;13.5;3.0;0.0;0.0;0.0;17.320508075688775;0.0;0.0;3.0;8.5;1.0;0.0;0.0;3.0;15.0;4.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;2.309401076758504;5.5;1.5;1.7320508075688772;0.0;1.5;25.0;76.2102355330306;3.0;17.5;22.479620400116488;0.0;3.0;3.0;6.5;66.0;0.0;0.0;3.0;7.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;20.33333333333333;132.0;12.0;0.0;0.0;4.5;0.0;0.0;0.0;3.0;0.0;12.741009902410926;0.0;10.0;3.0;0.0;1.0;3.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;30.0;0.5773502691896258;0.0;17.666666666666668;2.5;0.0;3.0;1.7320508075688772;0.0;13.0;0.0;0.0;2.0;0.0;24.0;3.0;0.0;1.0;3.0;4.358898943540674;0.0;3.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;11.666666666666664;0.0;30.0;26.0;0.0;0.0;0.0;0.0;0.0;11.0;20.207259421636905;8.0;0.0;35.0;0.0;3.0;4.0;0.0;2.0;0.0;3.0;1.5;0.0;3.0;44.0;0.0;5.859465277082316;3.0;8.666666666666666;0.0;1.0;0.0;0.0;0.0;False;0.0;3.0;3.0;45.0;0.0;3.0;0.0;3.0;1.3333333333333333;9.0;0.5
4.0;0.3779644730092273;0.0;0.0;5.0;0.0;1.0;0.0;7.0;0.0;0.0;0.0;0.0;2.0;7.0;0.0;0.0;6.7142857142857135;3.0;7.0;0.0;0.0;0.0;29.103264421710488;0.0;0.0;7.0;10.5;0.14285714285714285;0.0;0.0;7.0;0.0;3.2857142857142856;0.0;0.0;0.0;0.0;7.0;0.0;0.0;1.5118578920369092;5.5;0.0;0.7559289460184545;0.0;0.0;25.0;85.04200642707612;7.0;0.0;10.969655114602888;0.0;7.0;7.0;2.0;0.0;0.0;0.0;3.0;7.0;0.7142857142857143;0.42857142857142855;0.0;1.0;0.0;0.0;2.0;1.0;9.0;225.0;14.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;14.374249462808399;0.0;11.0;7.0;0.0;1.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;77.0;0.0;0.0;15.428571428571427;1.0;0.0;7.0;2.6457513110645907;0.0;22.0;0.0;0.0;0.0;0.0;10.0;7.0;0.0;0.0;7.0;6.5501726622098975;0.5345224838248487;7.0;0.0;0.0;0.0;0.0;0.2857142857142857;0.0;0.0;11.571428571428573;0.0;16.5;39.0;0.0;0.0;1.889822365046136;0.0;1.0;7.0;30.615122313747406;5.0;1.0;81.0;0.0;7.0;2.0;0.0;1.0;0.0;7.0;0.0;0.0;7.0;32.142857142857146;0.0;7.874007874011811;7.0;9.0;0.0;1.0;0.0;0.0;0.0;False;0.0;7.0;7.0;25.0;0.0;2.627691364061218;0.0;7.0;0.5714285714285714;18.0;0.0
