NPM;WMC_CK_std;WMC_CK_count;WMC_CK_75%;DIT;WMC_CK_min;NORM;Bugged;NMI;WMC_CK_max;NOCh;WMC_CK_25%;WMC;WMC_CK_mean;WMC_CK_50%
0.0;0.0;17.0;1.0;0.0;1.0;0.0;False;0.0;1.0;0.0;1.0;0.0;1.0;1.0
0.0;2.8284271247461903;2.0;5.0;0.0;2.0;0.0;False;0.0;6.0;0.0;3.0;0.0;4.0;4.0
12.0;0.2886751345948129;12.0;1.0;1.0;1.0;0.0;False;0.0;2.0;0.0;1.0;12.0;1.0833333333333333;1.0
2.0;0.0;0.0;0.0;1.0;0.0;0.0;True;0.0;0.0;0.0;0.0;19.0;0.0;0.0
2.0;2.8284271247461903;4.0;4.0;1.0;1.0;0.0;True;0.0;7.0;0.0;1.0;19.0;3.0;2.0
2.0;0.0;0.0;0.0;1.0;0.0;0.0;True;0.0;0.0;0.0;0.0;19.0;0.0;0.0
2.0;0.0;0.0;0.0;1.0;0.0;0.0;True;0.0;0.0;0.0;0.0;19.0;0.0;0.0
2.0;0.0;0.0;0.0;1.0;0.0;0.0;True;0.0;0.0;0.0;0.0;19.0;0.0;0.0
3.0;3.0;3.0;5.5;1.0;1.0;0.0;False;0.0;7.0;0.0;2.5;11.0;4.0;4.0
2.0;2.627691364061218;7.0;5.5;1.0;1.0;0.0;False;0.0;7.0;0.0;1.0;23.0;3.2857142857142856;2.0
36.0;2.237208537623689;49.0;4.0;1.0;1.0;0.0;False;0.0;11.0;0.0;1.0;114.0;2.489795918367347;1.0
11.0;2.112463017427761;16.0;2.0;1.0;1.0;0.0;False;0.0;8.0;0.0;1.0;32.0;2.0625;1.0
13.0;2.444815776905601;18.0;2.0;1.0;1.0;0.0;False;0.0;10.0;0.0;1.0;41.0;2.2777777777777777;1.0
1.0;1.5275252316519463;3.0;3.0;1.0;1.0;0.0;False;0.0;4.0;0.0;1.5;7.0;2.333333333333333;2.0
15.0;2.1865389045137937;15.0;7.0;1.0;2.0;0.0;False;0.0;8.0;0.0;3.0;67.0;5.066666666666666;6.0
31.0;0.7233156184342819;32.0;3.0;1.0;1.0;0.0;False;0.0;4.0;0.0;2.0;44.0;2.15625;2.0
1.0;0.0;1.0;1.0;1.0;1.0;0.0;False;0.0;1.0;0.0;1.0;2.0;1.0;1.0
10.0;0.31622776601683794;10.0;1.0;1.0;1.0;0.0;False;0.0;2.0;0.0;1.0;10.0;1.1;1.0
1.0;6.067085281214019;7.0;6.0;1.0;2.0;0.0;False;0.0;19.0;0.0;2.5;53.0;5.857142857142858;3.0
15.0;0.9102589898327996;15.0;1.0;1.0;1.0;0.0;False;0.0;4.0;0.0;1.0;25.0;1.4;1.0
20.0;2.5627265885317474;37.0;3.0;1.0;1.0;0.0;False;0.0;14.0;0.0;1.0;74.0;2.3513513513513518;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8.0;3.1772215601221867;20.0;3.5;1.0;1.0;0.0;False;0.0;13.0;0.0;1.0;73.0;3.1;2.0
8.0;0.0;0.0;0.0;1.0;0.0;0.0;False;0.0;0.0;0.0;0.0;13.0;0.0;0.0
8.0;0.3892494720807615;12.0;1.0;1.0;1.0;0.0;False;0.0;2.0;0.0;1.0;13.0;1.1666666666666667;1.0
8.0;1.407885953173359;8.0;1.25;1.0;1.0;0.0;False;0.0;5.0;0.0;1.0;13.0;1.625;1.0
12.0;0.38924947208076144;12.0;1.0;1.0;1.0;0.0;False;0.0;2.0;0.0;1.0;15.0;1.1666666666666667;1.0
6.0;3.2704484911603995;16.0;5.0;1.0;1.0;0.0;False;0.0;12.0;0.0;1.0;61.0;3.8125;3.0
9.0;1.2060453783110543;11.0;1.0;1.0;1.0;0.0;False;0.0;5.0;0.0;1.0;18.0;1.3636363636363635;1.0
6.0;2.656039430156385;11.0;5.0;1.0;1.0;0.0;False;0.0;9.0;0.0;1.0;36.0;3.363636363636364;3.0
8.0;0.8660254037844386;9.0;2.0;1.0;1.0;0.0;False;0.0;3.0;0.0;1.0;15.0;1.6666666666666667;1.0
8.0;0.7264831572567789;9.0;2.0;1.0;1.0;0.0;False;0.0;3.0;0.0;1.0;12.0;1.4444444444444444;1.0
11.0;0.7071067811865476;9.0;1.0;1.0;1.0;0.0;False;0.0;3.0;0.0;1.0;17.0;1.3333333333333333;1.0
16.0;0.24253562503633302;17.0;1.0;1.0;1.0;0.0;False;0.0;2.0;0.0;1.0;20.0;1.0588235294117647;1.0
6.0;4.020779360604939;6.0;1.75;1.0;1.0;0.0;True;0.0;11.0;0.0;1.0;24.0;2.833333333333333;1.0
2.0;2.081665999466133;3.0;3.5;1.0;1.0;0.0;False;0.0;5.0;0.0;1.5;21.0;2.6666666666666665;2.0
1.0;0.0;2.0;1.0;1.0;1.0;0.0;False;0.0;1.0;0.0;1.0;9.0;1.0;1.0
15.0;0.24253562503633302;17.0;1.0;1.0;1.0;0.0;False;0.0;2.0;0.0;1.0;20.0;1.0588235294117647;1.0
8.0;1.5118578920369088;14.0;3.75;1.0;1.0;0.0;True;0.0;6.0;0.0;2.0;35.0;2.8571428571428568;2.0
8.0;0.0;0.0;0.0;1.0;0.0;0.0;True;0.0;0.0;0.0;0.0;35.0;0.0;0.0
8.0;0.0;0.0;0.0;1.0;0.0;0.0;True;0.0;0.0;0.0;0.0;35.0;0.0;0.0
11.0;0.7264831572567789;9.0;2.0;1.0;1.0;0.0;False;0.0;3.0;0.0;1.0;16.0;1.4444444444444444;1.0
3.0;2.16794833886788;5.0;2.0;1.0;1.0;0.0;True;0.0;6.0;0.0;1.0;14.0;2.2;1.0
11.0;2.0;9.0;2.0;1.0;1.0;0.0;False;0.0;7.0;0.0;1.0;21.0;2.0;1.0
9.0;1.2692955176439846;9.0;2.0;1.0;1.0;0.0;False;0.0;4.0;0.0;1.0;20.0;1.8888888888888888;1.0
4.0;12.261049438499679;4.0;13.5;1.0;1.0;0.0;True;0.0;27.0;0.0;1.0;36.0;9.5;5.0
11.0;0.7977240352174656;12.0;2.0;1.0;1.0;0.0;False;0.0;3.0;0.0;1.0;17.0;1.5;1.0
11.0;0.7264831572567789;9.0;2.0;1.0;1.0;0.0;False;0.0;3.0;0.0;1.0;16.0;1.4444444444444444;1.0
1.0;4.242640687119285;2.0;5.5;1.0;1.0;0.0;False;0.0;7.0;0.0;2.5;10.0;4.0;4.0
4.0;2.5819888974716108;4.0;5.5;1.0;1.0;0.0;False;0.0;7.0;0.0;2.5;29.0;4.0;4.0
11.0;0.7071067811865476;9.0;1.0;1.0;1.0;0.0;False;0.0;3.0;0.0;1.0;17.0;1.3333333333333333;1.0
13.0;0.0;14.0;1.0;1.0;1.0;0.0;False;0.0;1.0;0.0;1.0;16.0;1.0;1.0
2.0;3.2041639575194436;10.0;4.5;1.0;1.0;0.0;True;0.0;11.0;0.0;2.0;52.0;3.6;2.0
0.0;0.0;1.0;1.0;1.0;1.0;0.0;False;0.0;1.0;0.0;1.0;2.0;1.0;1.0
0.0;2.1213203435596424;2.0;3.25;1.0;1.0;0.0;False;0.0;4.0;0.0;1.75;6.0;2.5;2.5
0.0;0.0;1.0;1.0;1.0;1.0;0.0;False;0.0;1.0;0.0;1.0;2.0;1.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;1.0;1.0;1.0;1.0;0.0;False;0.0;1.0;0.0;1.0;2.0;1.0;1.0
2.0;2.6457513110645907;3.0;5.5;1.0;1.0;0.0;True;0.0;6.0;0.0;3.0;15.0;4.0;5.0
