;NPM;WMC_CK_std;WMC_CK_count;WMC_CK_75%;DIT;WMC_CK_min;NORM;Bugged;NMI;WMC_CK_max;NOCh;WMC_CK_25%;WMC;WMC_CK_mean;WMC_CK_50%
count;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145;145.0;145.0;145.0;145.0;145.0;145.0;145.0
unique;;;;;;;;2;;;;;;;
top;;;;;;;;False;;;;;;;
freq;;;;;;;;123;;;;;;;
mean;3.1310344827586207;1.0199167963565694;7.206896551724138;1.9655172413793103;0.4413793103448276;0.993103448275862;0.0;;0.0;3.689655172413793;0.0;1.1517241379310346;10.289655172413793;1.7115847684382932;1.389655172413793
std;5.809780035535138;1.539934112238972;7.252295184327029;1.8462190834823908;0.4982728791224398;0.5712626332682563;0.0;;0.0;4.266336643127265;0.0;0.751327847535787;17.730982473162666;1.3502088871504738;1.1387568842291627
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;2.0;1.0;0.0;1.0;0.0;;0.0;1.0;0.0;1.0;0.0;1.0;1.0
50%;0.0;0.5353033790313108;5.0;1.0;0.0;1.0;0.0;;0.0;2.0;0.0;1.0;0.0;1.2666666666666666;1.0
75%;4.0;1.5275252316519463;10.0;2.5;1.0;1.0;0.0;;0.0;5.0;0.0;1.0;16.0;2.2;1.5
max;36.0;12.261049438499679;49.0;13.5;1.0;5.0;0.0;;0.0;27.0;0.0;5.0;114.0;9.5;6.0
