;Maximum Block Depth;NumberOfMathOperations_75%;Ma;NumberOfModifiers_min;NumberOfModifiers_count;blame_merge_priorityMajor_max;NumberOfMathOperations_count;PMd;Maximum Depth_50%;NMA;NumberOfMethods_Mood;blamemerge_priorityMajor_std;blame_merge_priorityMajor_std;SIX;Maximum Depth_std;NumberOfMathOperations_50%;blamemerge_priorityMinor_count;Maximum Depth_mean;blamemerge_priorityMajor_min;issues_priorityMajor_max;PMi;Maximum Depth_min;Average Block Depth;Average Complexity*;NMI;issues_priorityMinor_mean;blame_merge_priorityMinor_min;NumberOfModifiers_50%;NumberOfMathOperations_mean;issues_priorityMinor_count;MaxNumberOfNestedBlocks_mean;NumberOfMathOperations_25%;Mi;NumberOfMathOperations_std;Mit;Maximum Depth_count;blamemerge_priorityMinor_max;Ad;Average Statements per Method;issues_priorityMajor_count;Maximum Depth_75%;NumberOfMathOperations_min;NumberOfModifiers_75%;NM;Maximum Depth_25%;blamemerge_priorityMajor_count;MaxNumberOfNestedBlocks_75%;issues_priorityMinor_max;blame_merge_priorityMinor_std;HMd;NOPa;issues_priorityMajor_mean;MaxNumberOfNestedBlocks_min;blamemerge_priorityMajor_mean;NumberOfModifiers_25%;blame_merge_priorityMajor_count;blame_merge_priorityMinor_mean;issues_priorityMinor_min;blame_merge_priorityMajor_min;Ao;blame_merge_priorityMinor_count;MaxNumberOfNestedBlocks_count;Av;issues_priorityMajor_std;issues_priorityMajor_min;MaxNumberOfNestedBlocks_50%;blamemerge_priorityMinor_std;Maximum Complexity*;MaxNumberOfNestedBlocks_std;Mo;Md;NumberOfModifiers_max;blamemerge_priorityMajor_max;Ai;Maximum Depth_max;blamemerge_priorityMinor_mean;MaxNumberOfNestedBlocks_25%;HMi;NumberOfModifiers_mean;PMR;Ait;blame_merge_priorityMinor_max;Bugged;blame_merge_priorityMajor_mean;MaxNumberOfNestedBlocks_max;blamemerge_priorityMinor_min;NumberOfMathOperations_max;issues_priorityMinor_std;NumberOfModifiers_std;NF
count;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145;145.0;145.0;145.0;145.0;145.0;145.0;145.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123;;;;;;;
mean;3.1586206896551725;0.5982758620689655;4.8068965517241375;1.4206896551724137;7.206896551724138;0.0;7.206896551724138;3.7724137931034485;1.5379310344827586;4.862068965517241;7.489655172413793;0.035250789034339196;0.0;0.0;0.2110068501829296;0.32413793103448274;383.17241379310343;1.5488021677858337;0.45517241379310347;0.2206896551724138;0.0;1.303448275862069;1.6668275862068966;1.7873793103448272;0.0;0.09083008540575613;0.0;1.6758620689655173;0.4871978622027616;8.537931034482758;0.3275189029017248;0.16896551724137931;0.0;0.6047305444387923;0.0;3.3517241379310345;0.22758620689655173;2.6758620689655173;6.19848275862069;8.537931034482758;1.6206896551724137;0.07586206896551724;2.046551724137931;4.165517241379311;1.4758620689655173;383.17241379310343;0.4413793103448276;0.14482758620689656;0.0;1.0344827586206897;0.0;0.19015793241940207;0.041379310344827586;0.5718329140069552;1.5362068965517242;0.0;0.0;0.06206896551724138;0.0;0.0;0.0;7.206896551724138;0.4896551724137931;0.03753505288399946;0.11724137931034483;0.22758620689655173;0.028477485466614785;4.110344827586207;0.38584097630540887;0.0;4.8068965517241375;25.193103448275863;0.6068965517241379;0.0;1.806896551724138;0.1431193402045722;0.11551724137931034;0.0;4.3612510200521495;0.3293790649517241;0.0;0.0;;0.0;0.9862068965517241;0.1103448275862069;1.6827586206896552;0.03281636934806341;7.6437257406976356;2.6758620689655173
std;1.2838519626767588;1.194350325972001;7.8663281633775215;1.8880801739584625;7.252295184327029;0.0;7.252295184327029;6.275774440464396;0.9701853320598397;7.899209427439183;7.12206785805307;0.09766055398187523;0.0;0.0;0.4216490647527756;0.8966198765726389;486.2889422399275;0.9832112068826289;0.499712561057015;0.41614910384182313;0.0;1.0160116601135;0.42891611367148447;1.2824136426901636;0.0;0.2631085698836732;0.0;1.9627884028025653;0.8682052458270179;26.3633849331625;0.48501941459792813;0.5503177417258482;0.0;1.016661328608167;0.0;3.9432273768569153;0.4207273395595698;5.243888981234211;6.913362697928082;26.3633849331625;1.0495962551622289;0.3923355745597563;2.191560954139495;7.375836857513797;0.9502942425951967;486.2889422399275;0.7264913977177255;0.353146773563289;0.0;2.4983711168575202;0.0;0.37400677846504965;0.2320159857090047;0.48556695752033135;1.906216828114116;0.0;0.0;0.24211709905575116;0.0;0.0;0.0;7.252295184327029;1.5051635264579426;0.12096824041341064;0.32282279874100156;0.4893991155007062;0.09004565006170015;4.582753359334366;0.4862893492732323;0.0;7.8663281633775215;146.35104754928796;0.49013251785356093;0.0;1.2817986046314955;0.33850029549998834;0.32811103099256483;0.0;18.113715473604938;0.40688577675281257;0.0;0.0;;0.0;1.2132727027923262;0.31440511241492825;3.0657232431893484;0.11694667525750674;47.5194570477887;5.243888981234211
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;2.0;0.0;0.0;1.0;2.0;0.0;2.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.45;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;3.0;0.0;0.0;1.0;5.0;0.0;5.0;0.0;2.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;275.0;2.0;0.0;0.0;0.0;2.0;1.69;1.25;0.0;0.0;0.0;1.0;0.0;0.0;0.07142857142857142;0.0;0.0;0.0;0.0;2.0;0.0;0.0;4.33;0.0;2.0;0.0;1.0;0.0;2.0;275.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9717314487632508;1.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;2.0;0.2672612419124244;0.0;0.0;4.0;1.0;0.0;2.0;0.0;0.0;0.0;1.3333333333333333;0.0;0.0;0.0;;0.0;1.0;0.0;0.0;0.0;0.0;0.0
75%;4.0;0.75;8.0;1.0;10.0;0.0;10.0;5.0;2.0;8.0;12.0;0.0;0.0;0.0;0.25;0.0;510.0;2.0;1.0;0.0;0.0;2.0;1.89;2.3;0.0;0.0;0.0;1.0;0.5833333333333334;3.0;0.6122448979591837;0.0;0.0;0.7867957924694431;0.0;5.0;0.0;3.0;8.08;3.0;2.0;0.0;2.5;7.0;2.0;510.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;6.0;0.6666666666666666;0.0;8.0;4.0;1.0;0.0;2.0;0.0;0.0;0.0;2.3783783783783785;0.75;0.0;0.0;;0.0;2.0;0.0;2.0;0.0;1.4012980994907414;3.0
