Si_mean;IOVars_std;NVAR_mean;MCLC_75%;blame_merge_blame_getDifficulty_mean;blame_merge_blame_getDistinctOperandsCnt_max;Fout_25%;Di_max;Fout_50%;NVAR_25%;NCOMP_std;Di_75%;blame_merge_blame_getDistinctOperandsCnt_mean;VG_mean;Fin_75%;IOVars_count;Fin_std;ClRCi;blame_merge_blame_getDifficulty_std;NOP_count;blamemerge_blamegetDistinctOperatorsCnt_std;Fin_25%;NVAR_50%;blamemerge_blamegetDistinctOperatorsCnt_max;blame_merge_blame_getDifficulty_count;Si_min;VG_min;Si_25%;NCOMP_mean;Ci_mean;MCLC_mean;Di_25%;blamemerge_blamegetDistinctOperandsCnt_count;NOP_75%;NBD_75%;Fin_max;Ci_max;NumberOfDistinctOperands;IOVars_mean;NCOMP_25%;Ci_count;NBD_50%;blame_merge_blame_getDistinctOperandsCnt_min;blamemerge_blamegetDistinctOperandsCnt_max;blamemerge_blamegetDistinctOperandsCnt_mean;MCLC_min;Ci_min;NumberOfDistinctOperators;NCOMP_count;blamemerge_blamegetDifficulty_std;IOVars_75%;ClTCi;Si_count;VG_count;Di_count;Ci_std;blame_merge_blame_getDistinctOperandsCnt_std;blame_merge_blame_getDistinctOperatorsCnt_max;Si_max;blame_merge_blame_getDistinctOperatorsCnt_mean;MCLC_std;NCOMP_max;VG_std;Fout_std;NOP_min;blamemerge_blamegetDistinctOperatorsCnt_count;Fin_50%;blame_merge_blame_getDifficulty_min;Si_50%;Di_min;NOPa;Fin_count;VG_25%;Fout_75%;Di_50%;blame_merge_blame_getDistinctOperatorsCnt_std;Fout_mean;NBD_max;Difficulty;NVAR_count;Si_75%;blamemerge_blamegetDifficulty_max;NVAR_min;blame_merge_blame_getDistinctOperandsCnt_count;MCLC_max;Si_std;blame_merge_blame_getDifficulty_max;MCLC_50%;IOVars_50%;NBD_mean;NOP_std;blamemerge_blamegetDistinctOperandsCnt_std;VG_50%;blamemerge_blamegetDifficulty_count;NOP_max;Fout_count;VG_max;Fout_max;blame_merge_blame_getDistinctOperatorsCnt_count;NBD_count;IOVars_25%;NBD_25%;VG_75%;Di_mean;IOVars_min;Fin_mean;Ci_25%;NCOMP_75%;blamemerge_blamegetDistinctOperatorsCnt_mean;Fout_min;NBD_std;Di_std;NVAR_75%;Ci_75%;Bugged;Ci_50%;NCOMP_min;NVAR_max;NOP_25%;NBD_min;blamemerge_blamegetDifficulty_mean;Fin_min;NOP_mean;NOP_50%;IOVars_max;MCLC_count;MCLC_25%;NVAR_std;NCOMP_50%;blame_merge_blame_getDistinctOperatorsCnt_min
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3862434916986133;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;383.0;0.0;0.0;0.0;0.0;37.0;0.0;0.0;0.0;0.0;0.0;9.0;0.2402088772845953;0.0;0.0;16.0;0.0;0.8354778997584469;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;383.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.621621621621625;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7957688884313919;0.0;383.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.597911227154047;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.3080939947780679;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.7484617949813368;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;479.0;0.0;0.0;0.0;0.0;115.0;0.0;0.0;0.0;0.0;0.0;8.0;0.837160751565762;0.0;0.0;27.0;0.0;0.8901108985949958;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;479.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.15217391304348;0.0;0.0;4.375;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9108249979654448;0.0;479.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8308977035490606;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.3963987473903967;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;12.0;0.0;1.0;0.0;12.0;1.3627395118053525;0.0;0.0;6.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;480.0;1.0;1.0;0.0;1.0;46.0;1.0;0.0;12.0;1.0;0.0;5.0;0.23125;0.0;1.0;26.0;12.0;0.7702043621543302;1.0;12.0;12.0;12.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;480.0;0.0;0.0;0.0;1.0;0.0;12.0;1.0;0.0;1.0;0.0;0.0;2.0;33.06521739130435;12.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0833333333333333;0.5149286505444373;0.7663748272111246;1.0;480.0;1.0;12.0;1.0;0.0;0.0;12.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;0.46875;0.0;0.2886751345948129;0.0;0.0;1.0;False;1.0;0.0;0.0;0.0;1.0;0.2411458333333333;0.0;0.4166666666666667;0.0;1.0;12.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6;0.0;0.0;1.8417768463735689;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;526.0;0.0;0.0;0.0;0.0;83.0;0.0;0.0;0.0;0.0;0.0;8.0;0.4809885931558936;0.0;0.0;40.0;0.0;1.0213463145546329;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;526.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;64.09638554216869;0.0;0.0;7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3587878953801218;0.0;526.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7490494296577946;0.0;0.0;0.0;0.0;0.0;True;0.0;0.0;0.0;0.0;0.0;0.3532477820025349;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.5;1.75;9.5;0.0;0.0;0.0;2.0;0.0;0.0;4.112987559751022;2.0;0.0;4.0;0.0;4.0;0.0;1.6;0.0;4.0;1.8417768463735689;0.0;1.5;10.0;0.0;0.0;1.0;0.0;4.75;1.75;6.5;1.75;526.0;1.0;3.25;0.0;2.0;83.0;1.75;3.0;4.0;2.0;0.0;8.0;0.4809885931558936;0.0;1.0;40.0;4.0;1.0213463145546329;2.0;8.0;4.0;4.0;4.0;0.5;0.0;0.0;0.0;0.0;5.972157622389639;10.0;2.5819888974716108;0.0;1.0;526.0;0.0;0.0;0.0;1.0;0.0;4.0;2.5;0.0;2.0;0.0;0.0;4.0;64.09638554216869;4.0;0.0;7.5;0.0;0.0;14.0;0.0;0.0;6.0;2.0;2.25;0.0;1.3587878953801218;4.0;526.0;1.0;4.0;7.0;0.0;0.0;4.0;1.75;1.0;5.5;1.75;1.0;0.0;1.75;6.25;0.7490494296577946;0.0;1.5;0.5;3.25;2.0;True;2.0;0.0;4.0;1.0;1.0;0.3532477820025349;0.0;1.0;1.0;2.0;4.0;3.0;2.0615528128088303;4.5;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6;0.0;0.0;1.8417768463735689;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;526.0;0.0;0.0;0.0;0.0;83.0;0.0;0.0;0.0;0.0;0.0;8.0;0.4809885931558936;0.0;0.0;40.0;0.0;1.0213463145546329;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;526.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;64.09638554216869;0.0;0.0;7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3587878953801218;0.0;526.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7490494296577946;0.0;0.0;0.0;0.0;0.0;True;0.0;0.0;0.0;0.0;0.0;0.3532477820025349;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6;0.0;0.0;1.8417768463735689;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;526.0;0.0;0.0;0.0;0.0;83.0;0.0;0.0;0.0;0.0;0.0;8.0;0.4809885931558936;0.0;0.0;40.0;0.0;1.0213463145546329;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;526.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;64.09638554216869;0.0;0.0;7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3587878953801218;0.0;526.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7490494296577946;0.0;0.0;0.0;0.0;0.0;True;0.0;0.0;0.0;0.0;0.0;0.3532477820025349;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6;0.0;0.0;1.8417768463735689;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;526.0;0.0;0.0;0.0;0.0;83.0;0.0;0.0;0.0;0.0;0.0;8.0;0.4809885931558936;0.0;0.0;40.0;0.0;1.0213463145546329;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;526.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;64.09638554216869;0.0;0.0;7.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.3587878953801218;0.0;526.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.7490494296577946;0.0;0.0;0.0;0.0;0.0;True;0.0;0.0;0.0;0.0;0.0;0.3532477820025349;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;1.5275252316519468;1.6666666666666667;7.0;0.0;0.0;0.0;4.0;0.0;1.0;3.6055512754639887;3.5;0.0;3.333333333333333;0.0;3.0;0.0;2.25;0.0;3.0;1.2385077975114722;0.0;2.0;8.0;0.0;0.0;1.0;0.0;3.0;2.6666666666666665;4.666666666666667;2.0;402.0;2.5;2.0;0.0;4.0;35.0;2.6666666666666665;1.0;3.0;2.0;0.0;6.0;0.22139303482587064;0.0;1.0;26.0;3.0;0.6488346440050471;3.5;9.0;3.0;3.0;3.0;1.5275252316519468;0.0;0.0;0.0;0.0;5.033222956847167;7.0;2.516611478423584;0.0;0.0;402.0;0.0;0.0;0.0;1.0;0.0;3.0;2.0;0.0;3.0;0.0;0.0;2.0;35.285714285714285;3.0;0.0;5.0;0.0;0.0;10.0;0.0;0.0;4.0;3.0;1.6666666666666667;1.5275252316519463;0.8493741570148764;3.0;402.0;3.0;3.0;6.0;0.0;0.0;3.0;2.0;1.5;4.5;2.6666666666666665;1.0;0.0;2.0;4.5;0.4079601990049751;0.0;0.5773502691896257;1.5275252316519468;2.5;3.5;False;3.0;0.0;3.0;1.0;1.0;0.16650082918739634;0.0;1.6666666666666667;2.0;4.0;3.0;2.0;1.5275252316519463;2.0;0.0
0.0;0.3779644730092273;1.8571428571428568;6.0;0.0;0.0;0.0;2.0;0.0;0.0;2.439750182371333;2.0;0.0;3.1428571428571432;0.0;7.0;0.0;1.75;0.0;7.0;2.288321474282116;0.0;2.0;17.0;0.0;0.0;1.0;0.0;1.4285714285714286;1.8571428571428568;3.2857142857142856;2.0;501.0;1.0;3.0;0.0;2.0;86.0;1.8571428571428568;0.0;7.0;2.0;0.0;9.0;0.4950099800399202;0.0;1.0;41.0;7.0;1.2606059408369004;2.0;14.0;7.0;7.0;7.0;0.3779644730092273;0.0;0.0;0.0;0.0;3.860668582611295;5.0;2.4784787961282104;0.0;0.0;501.0;0.0;0.0;0.0;1.0;0.0;7.0;1.0;0.0;2.0;0.0;0.0;3.0;62.69186046511628;7.0;0.0;8.5;0.0;0.0;9.0;0.0;0.0;2.0;2.0;2.0;0.3779644730092273;1.4108419648919577;2.0;501.0;1.0;7.0;7.0;0.0;0.0;7.0;2.0;1.0;5.0;1.8571428571428568;1.0;0.0;2.0;2.5;0.9021956087824352;0.0;1.0;0.3779644730092273;3.5;2.0;False;2.0;0.0;4.0;1.0;1.0;0.4108936888128505;0.0;0.8571428571428571;1.0;2.0;7.0;0.0;1.8644544714716091;0.0;0.0
