;Si_mean;IOVars_std;NVAR_mean;MCLC_75%;blame_merge_blame_getDifficulty_mean;blame_merge_blame_getDistinctOperandsCnt_max;Fout_25%;Di_max;Fout_50%;NVAR_25%;NCOMP_std;Di_75%;blame_merge_blame_getDistinctOperandsCnt_mean;VG_mean;Fin_75%;IOVars_count;Fin_std;ClRCi;blame_merge_blame_getDifficulty_std;NOP_count;blamemerge_blamegetDistinctOperatorsCnt_std;Fin_25%;NVAR_50%;blamemerge_blamegetDistinctOperatorsCnt_max;blame_merge_blame_getDifficulty_count;Si_min;VG_min;Si_25%;NCOMP_mean;Ci_mean;MCLC_mean;Di_25%;blamemerge_blamegetDistinctOperandsCnt_count;NOP_75%;NBD_75%;Fin_max;Ci_max;NumberOfDistinctOperands;IOVars_mean;NCOMP_25%;Ci_count;NBD_50%;blame_merge_blame_getDistinctOperandsCnt_min;blamemerge_blamegetDistinctOperandsCnt_max;blamemerge_blamegetDistinctOperandsCnt_mean;MCLC_min;Ci_min;NumberOfDistinctOperators;NCOMP_count;blamemerge_blamegetDifficulty_std;IOVars_75%;ClTCi;Si_count;VG_count;Di_count;Ci_std;blame_merge_blame_getDistinctOperandsCnt_std;blame_merge_blame_getDistinctOperatorsCnt_max;Si_max;blame_merge_blame_getDistinctOperatorsCnt_mean;MCLC_std;NCOMP_max;VG_std;Fout_std;NOP_min;blamemerge_blamegetDistinctOperatorsCnt_count;Fin_50%;blame_merge_blame_getDifficulty_min;Si_50%;Di_min;NOPa;Fin_count;VG_25%;Fout_75%;Di_50%;blame_merge_blame_getDistinctOperatorsCnt_std;Fout_mean;NBD_max;Difficulty;NVAR_count;Si_75%;blamemerge_blamegetDifficulty_max;NVAR_min;blame_merge_blame_getDistinctOperandsCnt_count;MCLC_max;Si_std;blame_merge_blame_getDifficulty_max;MCLC_50%;IOVars_50%;NBD_mean;NOP_std;blamemerge_blamegetDistinctOperandsCnt_std;VG_50%;blamemerge_blamegetDifficulty_count;NOP_max;Fout_count;VG_max;Fout_max;blame_merge_blame_getDistinctOperatorsCnt_count;NBD_count;IOVars_25%;NBD_25%;VG_75%;Di_mean;IOVars_min;Fin_mean;Ci_25%;NCOMP_75%;blamemerge_blamegetDistinctOperatorsCnt_mean;Fout_min;NBD_std;Di_std;NVAR_75%;Ci_75%;Bugged;Ci_50%;NCOMP_min;NVAR_max;NOP_25%;NBD_min;blamemerge_blamegetDifficulty_mean;Fin_min;NOP_mean;NOP_50%;IOVars_max;MCLC_count;MCLC_25%;NVAR_std;NCOMP_50%;blame_merge_blame_getDistinctOperatorsCnt_min
count;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;123;;;;;;;;;;;;;;;
mean;0.11783297836188682;0.3126912048459768;0.36564943820626766;1.5;0.0;0.0;0.0;1.2551724137931035;0.0;0.10862068965517241;0.84842700982619;0.9327586206896552;0.0;0.9396473927820296;0.0706896551724138;3.786206896551724;0.10868928380716524;1.0452253831103446;0.0;3.786206896551724;2.070665571649635;0.0;0.2655172413793103;9.117241379310345;0.0;0.0;0.496551724137931;0.0;0.737030266463154;0.9445612139372683;1.1026797046694214;0.704885057474138;546.7655172413793;0.6189655172413793;0.7103448275862069;0.3586206896551724;2.4474876847310347;97.06206896551724;0.856354106310202;0.23793103448275862;3.786206896551724;0.6;0.0;8.648275862068965;1.1074842191117478;0.15862068965517243;0.43448275862068964;25.958620689655174;3.786206896551724;1.181102668737605;0.9586206896551724;12.069901477827585;3.786206896551724;3.786206896551724;3.786206896551724;0.5695330951884316;0.0;0.0;1.3586206896551725;0.0;1.2219458505214047;2.282758620689655;0.6022206506052146;0.07681650804492701;0.08275862068965517;546.7655172413793;0.0;0.0;0.0;0.4182266009862069;0.0;3.786206896551724;0.5775862068965517;0.03620689655172414;0.8206896551724138;0.0;0.03635868952436233;1.0620689655172413;47.62976676776455;3.786206896551724;0.07758620689655173;6.208671319102354;0.04827586206896552;0.0;3.2896551724137932;0.330688152333266;0.0;0.7379310344827587;0.8379310344827586;0.6409549419068589;0.3196680541044101;1.8506981671351799;0.7586206896551724;546.7655172413793;0.9517241379310345;3.786206896551724;2.0965517241379312;0.25517241379310346;0.0;3.786206896551724;0.7448275862068966;0.4982758620689655;1.0862068965517242;0.8267282355753816;0.42758620689655175;0.04857889521099269;0.7405172413793103;0.9775862068965517;1.3541002852291744;0.0;0.23612043922468806;0.3014023564364099;0.5;1.0232758620689655;;0.8413793103448276;0.10344827586206896;1.096551724137931;0.35517241379310344;0.46206896551724136;0.7013792414888158;0.0;0.4988109147885681;0.4896551724137931;1.303448275862069;3.786206896551724;0.3620689655172414;0.4219577976531361;0.4724137931034483;0.0
std;0.6098026885415575;0.519813305964133;0.8700535576932983;3.2861240255217257;0.0;0.0;0.0;1.743158493243529;0.0;0.38731379162131135;1.6852968724791815;1.2957781246324012;0.0;1.5616708028895483;0.29419063918470967;7.280287508532651;0.42149635638557625;1.311958087686291;0.0;7.280287508532651;0.7092422701101436;0.0;0.812350782053817;3.1830790654906376;0.0;0.0;0.7916591046220807;0.0;1.590155456574513;1.3306720225940096;2.3437045935401883;0.993607842832823;466.5520843526402;0.9095761559786537;1.0844048635292896;1.6694803835199306;8.120444804164164;136.80187522521064;1.161584671178665;0.7983984807723628;7.280287508532651;0.8948153130364077;0.0;2.868727540417428;1.0677730746100977;0.7516265886300406;0.6326069639841361;9.09049859748946;7.280287508532651;0.45019066626895077;1.325502326525503;22.1436694549094;7.280287508532651;7.280287508532651;7.280287508532651;1.6822084779892694;0.0;0.0;8.093786936482827;0.0;2.402501223271936;4.487178413540354;1.3644108289601737;0.32067669205183197;0.2764720268113854;466.5520843526402;0.0;0.0;0.0;0.6286446628478312;0.0;7.280287508532651;0.9277349027650243;0.2040801482176836;1.1572174812240672;0.0;0.15727691838417762;1.5555487137233228;31.255082988854618;7.280287508532651;0.6734790228751549;2.6602922452019713;0.24526160870584873;0.0;6.2560162614559705;1.7012649786221345;0.0;1.9579634035535936;1.173910189963277;0.9206840833180732;0.5224343838660499;0.8702881386916399;1.2884414684511365;466.5520843526402;1.415838162061408;7.280287508532651;3.882518043764028;1.1412670246072734;0.0;7.280287508532651;1.0364322507259351;0.723787630788727;1.988766042943015;1.1319160102311583;0.6318494413031445;0.16964680668436796;1.0278334353781384;2.161636235927566;0.9934957813998238;0.0;0.42909247873139383;0.4960131274407865;1.3146477136902917;1.5156866544516248;;1.1721647949471141;0.5365027949993789;2.1931843222274705;0.6357881192402465;0.6772153938409643;0.5703456364604162;0.0;0.7404043954846737;0.7716076415448602;1.8155353431909496;7.280287508532651;1.1007932093064403;0.8707516969237394;1.3278262707764088;0.0
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4239223336031451;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;51.0;0.0;0.0;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;5.0;0.05128205128205128;0.0;0.0;7.0;0.0;0.20597444809526888;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;51.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.15625;0.0;0.0;1.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3976599040523894;0.0;51.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.08333333333333333;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0379746835443038;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5259894551003268;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;254.0;0.0;0.0;0.0;0.0;43.0;0.0;0.0;0.0;0.0;0.0;7.0;0.4809885931558936;0.0;0.0;20.0;0.0;0.8354778997584469;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;254.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.447368421052627;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2785184391768785;0.0;254.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.613588110403397;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.2972972972972973;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.035047853796789;0.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;447.0;0.0;0.0;0.0;0.0;64.0;0.0;0.0;0.0;0.0;0.0;8.0;0.7918552036199095;0.0;0.0;24.0;0.0;1.1284912436706924;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;447.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.90243902439025;0.0;0.0;5.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.5914290846330268;0.0;447.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0651769087523275;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.503808864265928;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;0.0;0.5773502691896258;0.16666666666666666;1.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0137937550497034;2.0;0.0;1.3076923076923077;0.0;4.0;0.0;2.090909091;0.0;4.0;2.603116708772863;0.0;0.0;10.0;0.0;0.0;1.0;0.0;0.6666666666666666;2.0;0.875;1.5;663.0;1.0;1.0;0.0;3.0;102.0;1.8571428571428568;0.0;4.0;1.0;0.0;10.0;1.3148148148148149;0.0;1.0;33.0;4.0;1.4997625220739708;2.0;14.0;4.0;4.0;4.0;0.5773502691896258;0.0;0.0;0.0;0.0;1.4142135623730951;3.0;0.7071067811865476;0.0;0.0;663.0;0.0;0.0;0.0;1.0;0.0;4.0;1.0;0.0;2.0;0.0;0.0;2.0;64.09638554216869;4.0;0.0;7.5;0.0;0.0;3.0;0.0;0.0;0.0;2.0;1.1111111111111112;0.5773502691896257;2.4534914414288376;1.0;663.0;2.0;4.0;3.0;0.0;0.0;4.0;1.75;1.0;1.0;1.8;1.0;0.0;1.75;1.0;1.8012422360248448;0.0;0.33333333333333337;0.5773502691896257;0.0;2.0;;2.0;0.0;2.0;0.75;1.0;0.9189958592132504;0.0;1.0;1.0;3.0;4.0;0.0;0.48507125007266605;0.0;0.0
