;NumberUserDefinedAttributes;NumberOfPrivateAttributes;NumberOfAttributes;NumberOfAncestors;Bugged;NumberOfProtectedAttributes;NumberOfMethods_Mood;NumberOfCoupledClasses;Cohesion;NumberOfSubclasses;NumberOfPublicAttributes;NumberOfInheritedMethods;NumberPublicMethods;NumberOfPolymorphicMethods
count;145.0;145.0;145.0;145.0;145;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0;145.0
unique;;;;;2;;;;;;;;;
top;;;;;False;;;;;;;;;
freq;;;;;123;;;;;;;;;
mean;0.18620689655172415;2.5448275862068965;4.096551724137931;0.0;;0.896551724137931;7.489655172413793;0.034482758620689655;0.2522980907268223;0.0;0.6551724137931034;0.0;5.793103448275862;5.896551724137931
std;0.4712012853770628;4.4315461785439005;5.468754857688045;0.0;;2.6292271200948285;7.12206785805307;0.18309807266751718;0.2954723843004667;0.0;1.8796398530068184;0.0;5.999880267004568;5.803165010400018
min;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0
50%;0.0;1.0;2.0;0.0;;0.0;6.0;0.0;0.1875;0.0;0.0;0.0;4.0;4.0
75%;0.0;3.0;5.0;0.0;;0.0;12.0;0.0;0.4444444444444444;0.0;0.0;0.0;9.0;9.0
max;2.0;28.0;32.0;0.0;;21.0;49.0;1.0;1.0;0.0;11.0;0.0;38.0;40.0
