;ExecutableStatementCount;NCSSForThisFile;NumberOfPublicMethods_Checkstyle;NumberOfProtectedMethod;ClassFanOutComplexity;BuggedMethods;NestedTryDepth;NumberOfPackageMethod;NCSSForThisClass;ThrowsCount;NumberOfPrivateMethod;NestedIfElseDepth;NPathComplexity;NCSSForThisMethod;MethodLength;BooleanExpressionComplexity;AnonymousInnerClassLength;CyclomaticComplexity;ClassDataAbstractionCoupling;FileLength;NestedForDepth;NumberOfMethods_Checkstyle
count;1228.0;1228.0;1228.0;1228.0;1228.0;1228;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0;1228.0
unique;;;;;;2;;;;;;;;;;;;;;;;
top;;;;;;False;;;;;;;;;;;;;;;;
freq;;;;;;1186;;;;;;;;;;;;;;;;
mean;3.8526058631921822;6.964983713355049;0.5806188925081434;0.11237785016286644;0.4210097719869707;;0.0008143322475570033;0.008957654723127036;6.631921824104235;0.14006514657980457;0.05537459283387622;0.023615635179153095;10.042345276872965;4.568403908794788;6.977198697068404;0.04478827361563518;0.0;0.8892508143322475;0.12947882736156352;20.350162866449512;0.0024429967426710096;0.757328990228013
std;15.01203868058506;32.14090684260124;2.5849887531329245;0.543534162721399;1.6882879422490555;;0.02853650727676748;0.11736535158332892;30.93568832719748;0.3829163546099459;0.623000160047451;0.16228589827516382;285.8025686201333;15.215358508189393;18.01306601668718;0.21841961244252686;0.0;1.440178527020049;0.624423363299027;84.85121658985608;0.04938638150230062;3.278400334357126
min;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;1.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
75%;3.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;7.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
max;472.0;507.0;36.0;6.0;17.0;;1.0;2.0;505.0;2.0;14.0;2.0;10000.0;473.0;500.0;2.0;0.0;19.0;8.0;1155.0;1.0;49.0
