;ComplexMethod_freq;ComplexMethod_top;MissingDefault_freq;ComplexConditional_top;MissingDefault_unique;MissingDefault_top;LongStatement_unique;LongStatement_count;MagicNumber_count;ComplexConditional_count;ComplexMethod_unique;EmptyCatchClause_unique;LongIdentifier_top;LongIdentifier_count;AbstractFunctionCallFromConstructor_count;EmptyCatchClause_top;EmptyCatchClause_freq;Bugged;AbstractFunctionCallFromConstructor_freq;ComplexConditional_freq;LongIdentifier_freq;AbstractFunctionCallFromConstructor_unique;MagicNumber_top;AbstractFunctionCallFromConstructor_top;MagicNumber_freq;ComplexConditional_unique;LongStatement_top;EmptyCatchClause_count;ComplexMethod_count;MissingDefault_count;LongStatement_freq;LongIdentifier_unique;MagicNumber_unique
count;623.0;623;623.0;623;623.0;623;623.0;623.0;623.0;623.0;623.0;623.0;623;623.0;623.0;623;623.0;623;623.0;623.0;623.0;623.0;623;623;623.0;623.0;623;623.0;623.0;623.0;623.0;623.0;623.0
unique;;2;;2;;2;;;;;;;2;;;2;;2;;;;;2;1;;;2;;;;;;
top;;False;;False;;False;;;;;;;False;;;False;;False;;;;;False;False;;;False;;;;;;
freq;;581;;601;;619;;;;;;;590;;;604;;538;;;;;565;623;;;456;;;;;;
mean;1.2664526484751204;;1.3579454253611556;;0.45585874799357945;;0.5698234349919743;1.3691813804173354;1.3691813804173354;1.3691813804173354;0.5152487961476726;0.47191011235955055;;1.3691813804173354;1.3691813804173354;;1.332263242375602;;1.3691813804173354;1.3210272873194222;1.304975922953451;0.4446227929373997;;;1.2825040128410914;0.48154093097913325;;1.3691813804173354;1.3691813804173354;1.3691813804173354;1.146067415730337;0.4751203852327448;0.5120385232744783
std;3.037220568003381;;3.2552648847191574;;0.5205366319102699;;0.7045016945224237;3.257217630452199;3.257217630452199;3.257217630452199;0.6258179681978522;0.5516103682293239;;3.257217630452199;3.257217630452199;;3.200738838748295;;3.257217630452199;3.1794644897177875;3.115683430480254;0.4973231986514864;;;3.138363207689026;0.569223706590926;;3.257217630452199;3.257217630452199;3.257217630452199;2.700990608192534;0.5575618229835378;0.6207294110391464
min;0.0;;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;;;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
75%;1.0;;1.0;;1.0;;1.0;2.0;2.0;2.0;1.0;1.0;;2.0;2.0;;1.5;;2.0;1.0;2.0;1.0;;;1.0;1.0;;2.0;2.0;2.0;1.0;1.0;1.0
max;39.0;;42.0;;2.0;;2.0;42.0;42.0;42.0;2.0;2.0;;42.0;42.0;;42.0;;42.0;42.0;42.0;1.0;;;42.0;2.0;;42.0;42.0;42.0;39.0;2.0;2.0
