;LOCMethod_CK_min;LOCMethod_min;LOCMethod_count;NumberOfParameters_Designite_count;NumberOfParameters_Designite_75%;LOCMethod_50%;NumberOfParameters_Designite_std;LOCMethod_max;CyclomaticComplexity_Designite_count;LOCMethod_std;LOCMethod;CyclomaticComplexity_Designite_std;LOCMethod_CK_mean;CyclomaticComplexity_Designite_max;LOCMethod_CK_max;NumberOfParameters_Designite_50%;Bugged;CyclomaticComplexity_Designite_75%;LOCMethod_CK_50%;LOCMethod_CK_count;CyclomaticComplexity_Designite_min;NumberOfParameters_Designite_min;LOCMethod_CK_std;LOCMethod_25%;CyclomaticComplexity_Designite_25%;NumberOfParameters_Designite_25%;LOCMethod_mean;NumberOfParameters_Designite_mean;NumberOfParameters_Designite_max;LOCMethod_CK_75%;CyclomaticComplexity_Designite_50%;LOCMethod_CK_25%;LOCMethod_75%;CyclomaticComplexity_Designite_mean
count;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0
unique;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;538;;;;;;;;;;;;;;;;;
mean;4.118780096308186;4.23916532905297;9.552166934189406;9.552166934189406;1.1091492776886036;6.963884430176565;0.5586835273701914;19.497592295345104;9.552166934189406;5.336511838922542;109.57784911717496;0.7229158229083359;8.143568377484819;3.176565008025682;19.858747993579453;0.7640449438202247;;1.6926163723916532;6.666934189406099;9.983948635634029;1.117174959871589;0.3418940609951846;5.345586075997606;5.467897271268058;1.2090690208667736;0.5325040128410915;8.300654911914906;0.8581869423334487;1.8314606741573034;9.312199036918138;1.3707865168539326;5.259630818619582;9.53812199036918;1.5863181997815938
std;5.2633554322835305;5.691897039362709;16.122922836608726;16.122922836608726;1.1092477746609697;8.710504561166065;0.724801443898837;27.432341393367352;16.122922836608726;8.940515369538236;207.59202032845081;1.4422800220490803;8.30736928546154;4.038913978284583;28.03436022836766;0.86445957946933;;1.8248292151569572;7.8501478516706715;17.44941423234659;1.0257506293364886;0.6923752920410867;8.513902639347044;6.693671477924624;1.1290032453566679;0.7476160329346295;8.954265512418175;0.8545981587289416;2.1863738243165964;10.679376350708097;1.3772662205009694;6.104027479558314;11.519932893159922;1.4690379522845987
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;2.0;3.0;2.0;2.0;0.0;3.0;0.0;3.0;2.0;0.0;17.0;0.0;3.0;1.0;3.0;0.0;;1.0;3.0;2.0;1.0;0.0;0.0;3.0;1.0;0.0;3.0;0.25;1.0;3.0;1.0;3.0;3.0;1.0
50%;3.0;3.0;5.0;5.0;1.0;3.0;0.492365963917331;12.0;5.0;1.914854215512676;47.0;0.0;6.215686274509804;1.0;12.0;1.0;;1.0;3.0;5.0;1.0;0.0;2.1213203435596424;3.0;1.0;0.0;6.3;0.7272727272727273;1.0;5.5;1.0;3.0;5.75;1.0
75%;4.0;4.0;11.0;11.0;1.0;10.0;0.7071067811865476;27.0;11.0;8.117047362947652;117.5;1.0690449676496976;11.666666666666664;4.0;27.0;1.0;;2.0;9.0;11.0;1.0;1.0;8.231882420031406;7.0;1.0;1.0;11.972222222222221;1.0;2.0;14.0;1.0;7.0;14.25;1.8819444444444444
max;71.0;71.0;151.0;151.0;7.0;74.5;5.798193478924932;386.0;151.0;95.45941546018392;2115.0;14.849242404917495;73.5;30.0;386.0;7.0;;17.75;73.5;178.0;14.0;7.0;94.04520189781084;71.0;14.0;7.0;74.5;7.0;13.0;106.75;14.0;71.0;108.25;14.0
