;LongParameterList_Organic_x_count;ShotgunSurgery_unique;FeatureEnvy_top;LongMethod_Organic_x_top;ShotgunSurgery_top;LongMethod_Organic_y_unique;FeatureEnvy_count;BrainMethod_unique;ShotgunSurgery_freq;LongParameterList_Organic_x_unique;MessageChain_top;LongParameterList_Organic_y_count;ShotgunSurgery_count;LongMethod_Organic_y_count;DispersedCoupling_freq;BrainMethod_freq;MessageChain_unique;LongMethod_Organic_x_unique;IntensiveCoupling_unique;Bugged;LongMethod_Organic_y_top;BrainMethod_count;LongParameterList_Organic_y_unique;LongMethod_Organic_x_freq;LongParameterList_Organic_y_top;MessageChain_count;IntensiveCoupling_freq;IntensiveCoupling_count;IntensiveCoupling_top;MessageChain_freq;LongParameterList_Organic_y_freq;FeatureEnvy_freq;DispersedCoupling_top;LongParameterList_Organic_x_top;LongParameterList_Organic_x_freq;FeatureEnvy_unique;BrainMethod_top;DispersedCoupling_unique;DispersedCoupling_count;LongMethod_Organic_x_count;LongMethod_Organic_y_freq
count;623.0;623.0;623;623;623;623.0;623.0;623.0;623.0;623.0;623;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623;623;623.0;623.0;623.0;623;623.0;623.0;623.0;623;623.0;623.0;623.0;623;623;623.0;623.0;623;623.0;623.0;623.0;623.0
unique;;;2;2;2;;;;;;2;;;;;;;;;2;2;;;;2;;;;2;;;;2;2;;;1;;;;
top;;;False;False;False;;;;;;False;;;;;;;;;False;False;;;;False;;;;False;;;;False;False;;;False;;;;
freq;;;468;619;622;;;;;;581;;;;;;;;;538;560;;;;554;;;;592;;;;610;582;;;623;;;;
mean;1.3691813804173354;0.4012841091492777;;;;0.48635634028892455;1.2985553772070626;0.39807383627608345;1.2921348314606742;0.48796147672552165;;1.2985553772070626;1.2985553772070626;1.2985553772070626;1.2728731942215088;1.2953451043338684;0.4510433386837881;0.45746388443017655;0.44141252006420545;;;1.2985553772070626;0.47030497592295345;1.3563402889245586;;1.2985553772070626;1.231139646869984;1.2985553772070626;;1.2247191011235956;1.14446227929374;1.189406099518459;;;1.276083467094703;0.47191011235955055;;0.4157303370786517;1.2985553772070626;1.3691813804173354;1.1669341894060996
std;3.257217630452199;0.5034909845903849;;;;0.6584035413785136;3.20381321733567;0.4964142948140288;3.1878062139464336;0.5805803049320449;;3.20381321733567;3.20381321733567;3.20381321733567;3.1733444570956957;3.198587032504468;0.6004510922597354;0.5237491498084553;0.5832765265313542;;;3.20381321733567;0.632964548026824;3.2304053024008206;;3.20381321733567;3.1065525321179157;3.20381321733567;;3.119418314417911;2.7514972231921337;3.0456468539959354;;;3.026813092651278;0.6355725410444744;;0.5339379919569602;3.20381321733567;3.257217630452199;3.001778370086941
min;0.0;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0;0.0;;;0.0;0.0;;0.0;0.0;0.0;0.0
25%;0.0;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0;0.0;;;0.0;0.0;;0.0;0.0;0.0;0.0
50%;0.0;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0;0.0;;;0.0;0.0;;0.0;0.0;0.0;0.0
75%;2.0;1.0;;;;1.0;1.0;1.0;1.0;1.0;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;1.0;1.0;2.0;;1.0;1.0;1.0;;1.0;1.0;1.0;;;1.0;1.0;;1.0;1.0;2.0;1.0
max;42.0;2.0;;;;2.0;39.0;2.0;39.0;2.0;;39.0;39.0;39.0;39.0;39.0;2.0;2.0;2.0;;;39.0;2.0;42.0;;39.0;38.0;39.0;;39.0;29.0;39.0;;;42.0;2.0;;2.0;39.0;42.0;39.0
