;LCOM;FANOUT;NumberOfChildren;NumberOfFields;DepthOfInheritance;WMC_Designite;NumberOfPublicFields;NumberOfMethods_Designite;NumberOfPublicMethods_Designite;Bugged;FANIN
count;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623;623.0
unique;;;;;;;;;;2;
top;;;;;;;;;;False;
freq;;;;;;;;;;538;
mean;-0.20667374829323748;1.6645264847512038;0.3434991974317817;3.491171749598716;0.449438202247191;18.582664526484752;0.5457463884430177;11.884430176565008;8.4446227929374;;1.4991974317817014
std;0.569412987193967;2.8827254753267915;1.4767714697521592;7.250424252430307;0.748156688038388;38.594509480244945;5.653790554426912;25.09056518635881;19.117500925014657;;3.9493883279741038
min;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0
25%;-1.0;0.0;0.0;0.0;0.0;3.0;0.0;2.0;1.0;;0.0
50%;0.0;1.0;0.0;1.0;0.0;8.0;0.0;6.0;3.0;;0.0
75%;0.03233376792698826;2.0;0.0;4.0;1.0;18.0;0.0;12.0;8.0;;1.0
max;1.0;37.0;20.0;106.0;4.0;331.0;106.0;205.0;157.0;;38.0
