;issues_priority_Minor_mean;NumberOfModifiers_75%;NumberOfModifiers_count;WMC_CK_25%;WMC_CK_min;MaxNumberOfNestedBlocks_25%;WMC_CK_mean;MissingDefault_freq;NumberOfModifiers_min;MissingDefault_unique;NumberOfMathOperations_25%;NumberOfMathOperations_max;Maximum Depth_mean;NumberOfModifiers_50%;WMC_CK_50%;MissingDefault_top;NumberOfMathOperations_min;MaxNumberOfNestedBlocks_count;Maximum Depth_max;issues_priority_Minor_count;Average Block Depth;WMC_CK_std;Maximum Complexity*;NumberOfModifiers_mean;MagicNumber_count;InsufficientModularization;issues_priority_Minor_std;NumberOfMathOperations_75%;issues_priority_Minor_min;NumberOfMathOperations_mean;NumberOfMathOperations_std;Maximum Depth_min;MaxNumberOfNestedBlocks_mean;NumberOfModifiers_25%;WMC_CK_75%;Cyclic_DependentModularization;Maximum Depth_std;issues_priority_Minor_max;WMC_Designite;Bugged;MaxNumberOfNestedBlocks_75%;Maximum Depth_75%;NumberOfMethods_Mood;MissingHierarchy;MaxNumberOfNestedBlocks_50%;MagicNumber_top;Average Complexity*;Maximum Depth_50%;Maximum Depth_count;MagicNumber_freq;NumberOfModifiers_std;Maximum Depth_25%;BrokenModularization;issues_priority_Major_min;MaxNumberOfNestedBlocks_std;MissingDefault_count;NumberOfMathOperations_count;WMC_CK_max;Hub_likeModularization;MaxNumberOfNestedBlocks_min;MaxNumberOfNestedBlocks_max;issues_priority_Major_mean;issues_priority_Major_max;issues_priority_Major_count;NumberOfModifiers_max;Maximum Block Depth;WMC_CK_count;MagicNumber_unique;Average Statements per Method;issues_priority_Major_std;NumberOfMathOperations_50%
count;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623;623.0;623.0;623.0;623;623.0;623.0;623.0;623;623.0;623;623.0;623.0;623.0;623.0;623.0;623.0;623;623.0;623.0;623.0;623.0;623.0;623;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0
unique;;;;;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;1;;;;2;;;;1;;2;;;;;;;1;;;;;;1;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;False;;;;;;;;;;False;;;;;;;;;;False;;;;False;;;;False;;False;;;;;;;False;;;;;;False;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;619;;;;;;;;;;557;;;;;;;;;;623;;;;538;;;;623;;565;;;;;;;623;;;;;;623;;;;;;;;;;;;
mean;0.06492032120005864;1.7532102728731942;9.983948635634029;1.3130016051364366;1.174959871589085;0.23675762439807382;1.8192784995055662;1.3579454253611556;1.1685393258426966;0.45585874799357945;0.20826645264847513;1.3081861958266452;1.1930277615545475;1.4991974317817014;1.5096308186195826;;0.08828250401284109;9.983948635634029;1.3788121990369182;4.150882825040129;1.3493258426966295;0.9615587436986387;4.646869983948636;2.170694230572436;1.3691813804173354;;0.11090295417225705;0.5345104333868379;0.009630818619582664;0.4337309537229558;0.4930886313438002;1.1091492776886036;0.4662514215785202;1.339486356340289;1.971107544141252;;0.116054720849786;0.26484751203852325;18.582664526484752;;0.569422150882825;1.2158908507223114;9.325842696629213;;0.36035313001605135;;1.8760353130016052;1.1621187800963082;3.130016051364366;1.2825040128410914;2.3529328347629477;1.1360353130016052;;0.4590690208667737;0.396331912834771;1.3691813804173354;9.983948635634029;4.06099518459069;;0.15248796147672553;1.2391653290529696;0.709805131240872;0.8154093097913323;4.150882825040129;9.028892455858747;3.056179775280899;9.983948635634029;0.5120385232744783;5.52521669341894;0.17561568884301026;0.3402889245585875
std;0.14459681415050882;2.782363952309211;17.44941423234659;1.3159237992129482;1.1907530744193826;0.5929695968321966;1.7662709696777585;3.2552648847191574;2.022900789897049;0.5205366319102699;1.2842040134579271;3.7478457371476006;1.1383843795333366;2.4494075662470403;1.5935169173048613;;0.6829862345541851;17.44941423234659;1.4258749900261714;7.408804293012763;0.7362968051646778;1.7732159657428226;6.495894250717846;8.839725619033084;3.257217630452199;;0.19839836933920882;2.8117898962601924;0.09774149816468279;1.9335969692142794;2.138664298066377;1.0567330054857367;0.7096374501455127;2.188310671332324;2.200730635688837;;0.2926585389444263;0.44160653893589297;38.594509480244945;;0.9059999999772131;1.1829867648526242;23.980057829893887;;0.7337201187914143;;1.978255145316916;1.1130806611453965;5.7126345980807205;3.138363207689026;23.694890683162523;1.078068794987251;;0.4987222581024966;0.53809312569624;3.257217630452199;17.44941423234659;5.399428662014395;;0.5266432614729263;1.5741911443010956;0.3717184967665225;0.388276906331498;7.408804293012763;82.0719380933874;1.9524219059462018;17.44941423234659;0.6207294110391464;6.38814040663617;0.2440166880959891;2.2544556625480183
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;0.0;0.0;;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;1.0;2.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;;0.0;2.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;;0.0;0.0;3.0;;0.0;0.0;0.0;;0.0;;1.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;2.0;1.0;;0.0;0.0;0.6;1.0;1.0;1.0;2.0;2.0;0.0;1.0;0.0;0.0
50%;0.0;1.0;5.0;1.0;1.0;0.0;1.1428571428571428;0.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0;;0.0;5.0;2.0;2.0;1.43;0.0;2.0;1.0;0.0;;0.0;0.0;0.0;0.0;0.0;2.0;0.125;1.0;1.0;;0.0;0.0;8.0;;0.0;2.0;3.0;;0.0;;1.2;2.0;1.0;0.0;0.0;2.0;;0.0;0.0;0.0;5.0;2.0;;0.0;1.0;0.8571428571428571;1.0;2.0;1.0;3.0;5.0;0.0;3.83;0.0;0.0
75%;0.07692307692307693;2.0;11.0;1.0;1.0;0.0;2.1396103896103895;1.0;1.0;1.0;0.0;1.0;2.0;1.0;1.5;;0.0;11.0;2.0;5.0;1.84;1.3779271744364845;6.0;1.6;2.0;;0.22696007531575413;0.0;0.0;0.24038461538461542;0.5;2.0;0.735;1.0;2.0;;0.0;1.0;18.0;;1.0;2.0;9.0;;0.5;;2.325;2.0;4.0;1.0;0.5307843802597894;2.0;;1.0;0.7071067811865476;2.0;11.0;5.5;;0.0;2.0;1.0;1.0;5.0;4.0;4.0;11.0;1.0;8.0;0.4409585518440984;0.0
