;all_process_deletions_min;all_process_deletions_mean;all_process_insertions_mean;all_process_insertions_count;all_process_deletions_count;all_process_changes_mean;all_process_count;all_process_changes_count;all_process_insertions_max;all_process_insertions_min;all_process_changes_min;all_process_insertions_std;all_process_deletions_max;all_process_deletions_std;Bugged;all_process_changes_max;all_process_changes_std
count;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623.0;623;623.0;623.0
unique;;;;;;;;;;;;;;;2;;
top;;;;;;;;;;;;;;;False;;
freq;;;;;;;;;;;;;;;538;;
mean;0.08346709470304976;6.4275782930534415;35.9015493104495;9.717495987158909;9.717495987158909;42.32912760350294;9.717495987158909;9.717495987158909;130.84751203852326;10.219903691813805;12.285714285714286;42.57710678292887;38.690208667736755;11.021378245459067;;142.1187800963082;44.88219462977041
std;0.44226054628072986;9.52583683758101;38.743671367618866;17.90867684280534;17.90867684280534;42.54181023269205;17.90867684280534;17.90867684280534;185.0403298077899;29.837794964622276;30.26153796214982;54.93643572875206;95.00454558657037;21.43759207994375;;203.43409943749234;58.63903909957875
min;0.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0
25%;0.0;0.5;13.0;2.0;2.0;16.633089133089133;2.0;2.0;37.0;0.0;1.0;7.382515032308875;1.0;0.5773502691896258;;42.0;9.94301781230486
50%;0.0;4.333333333333333;22.84615384615385;5.0;5.0;28.5;5.0;5.0;71.0;1.0;2.0;24.46429359555612;14.0;5.395705362937858;;73.0;24.85290056847825
75%;0.0;7.821052631578947;47.02941176470589;10.0;10.0;51.0;10.0;10.0;147.0;3.0;7.0;51.3605623396848;30.5;10.402821933737847;;157.5;54.231275009165415
max;7.0;83.0;316.0;317.0;317.0;316.0;317.0;317.0;1749.0;316.0;316.0;409.0036674652197;894.0;175.65821927823364;;1749.0;401.33568659332224
