;BuggedMethods;NumberOfMathOperations;NumberOfModifiers;Maximum Depth;MissingDefault;MaxNumberOfNestedBlocks;WMC_CK;MagicNumber
count;5682;5682.0;5682.0;5682.0;5682;5682.0;5682.0;5682
unique;2;;;;2;;;2
top;False;;;;False;;;False
freq;5424;;;;5681;;;5548
mean;;0.12055614220344948;0.9035550862372405;0.7516719464977121;;0.15452305526223162;0.8482928546286519;
std;;1.3318052278917207;1.6712331602374144;1.090404703756199;;0.5274257473206677;1.2428445747482455;
min;;0.0;0.0;0.0;;0.0;0.0;
25%;;0.0;0.0;0.0;;0.0;0.0;
50%;;0.0;1.0;0.0;;0.0;1.0;
75%;;0.0;1.0;2.0;;0.0;1.0;
max;;60.0;33.0;7.0;;5.0;31.0;
