;NOP;NumberOfComparisons;NumberOfAnonymousClasses;NumberOfModifiers;NumberOfLogStatements;Fout;VG;Fin;NumberOfUniqueWords;IsConstructor;NVAR;NumberOfAssignments;NumberOfNumbers;FileLength;NumberOfTryCatch;NBD;NumberOfMathOperations;IOVars;LOCMethod_CK;BuggedMethods;MethodLength;AnonymousInnerClassLength;NumberOfLambdas;MCLC;Si;NumberOfInnerClasses;NumberOfParameters_CK;RFC;Maximum Depth;NumberOfLoops;Di;CBO;Returns;WMC_CK;NumberOfParenthesizedExps;NCOMP;NumberOfStringLiterals;MaxNumberOfNestedBlocks;NumberOfVariables;Ci
count;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0
unique;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;False;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;4800;;;;;;;;;;4724;;;;;;;;;;;;;;;;;;;;
mean;0.12830874924227118;0.06526571024449383;0.0008082440897150939;1.458476459890887;0.0030309153364316025;0.022428773489593858;0.4841382097393413;0.031117397454031116;4.210143463325925;;0.10608203677510608;0.5217215599110931;0.25803192564154376;7.214588805819357;0.0026267932915740554;0.42634875732471206;0.031723580521317435;0.3578500707213578;2.4437260052535867;;2.7844008890684986;0.14043241058799757;0.0;0.2586381087088301;0.05839563548191554;0.0;0.1707415639523136;1.3008688623964437;0.7496463932107497;0.037381289149323094;0.35051158177005454;1.2885431400282885;0.27480299050313195;0.6201252778339058;0.025055566781167913;0.15255607193372397;0.3578500707213578;0.0929480703172358;0.3717922812689432;0.4089072172519701
std;0.39385024592459783;0.4562330329490469;0.028421014176399563;20.871777760751506;0.07101660495301683;0.2406330937357951;1.017431424524747;0.3046420434122737;7.359811488149381;;0.5922066845398114;1.7097912746802837;1.242722813055295;39.50440277819432;0.05499660400923325;0.6695846457516523;0.2412659442032514;0.6813794802531402;4.381410944188633;;5.3809778239726;1.2314426438832133;0.0;1.3980399159100965;1.6256410750469787;0.0;0.47972712249512905;3.0439055516316174;1.1492160943905763;0.26675255259199343;0.6748385555178495;2.301978007667511;0.5799583120168147;1.0954668408949457;0.24904551409729037;0.9315519519302812;1.7157108166756;0.38284871446533425;1.398109229797463;1.757317868359893
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;6.0;;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;3.0;;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
max;7.0;11.0;1.0;1028.0;3.0;10.0;25.0;8.0;108.0;;17.0;33.0;24.0;1111.0;2.0;8.0;4.0;8.0;85.0;;116.0;28.0;0.0;43.0;100.0;0.0;7.0;28.0;7.0;8.0;8.0;19.0;8.0;26.0;8.0;26.0;56.0;6.0;26.0;100.181818182
