;ThrowsCount;NumberOfComparisons;CyclomaticComplexity;NPathComplexity;NumberOfAnonymousClasses;NumberOfModifiers;NumberOfLogStatements;NumberOfPublicMethods_Checkstyle;NestedForDepth;NestedIfElseDepth;NumberOfProtectedMethod;NCSSForThisMethod;NumberOfUniqueWords;IsConstructor;NCSSForThisFile;NumberOfPrivateMethod;NumberOfAssignments;NumberOfNumbers;FileLength;NumberOfTryCatch;NumberOfMathOperations;NestedTryDepth;LOCMethod_CK;NumberOfMethods_Checkstyle;BuggedMethods;MethodLength;AnonymousInnerClassLength;NumberOfLambdas;NumberOfInnerClasses;NumberOfParameters_CK;ClassDataAbstractionCoupling;RFC;Maximum Depth;NumberOfLoops;BooleanExpressionComplexity;NumberOfPackageMethod;CBO;Returns;ClassFanOutComplexity;WMC_CK;ExecutableStatementCount;NumberOfParenthesizedExps;NumberOfStringLiterals;MaxNumberOfNestedBlocks;NumberOfVariables;NCSSForThisClass
count;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0
unique;;;;;;;;;;;;;;2;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;False;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;4800;;;;;;;;;;;4724;;;;;;;;;;;;;;;;;;;;;
mean;0.08486562942008487;0.06526571024449383;0.629824206910487;3.5938573449181654;0.0008082440897150939;1.458476459890887;0.0030309153364316025;0.3796726611436654;0.0030309153364316025;0.010911295211153768;0.017579308951303295;1.8874520105071733;4.210143463325925;;3.300666801374015;0.03515861790260659;0.5217215599110931;0.25803192564154376;7.214588805819357;0.0026267932915740554;0.031723580521317435;0.00040412204485754696;2.4437260052535867;0.4328147100424328;;2.7844008890684986;0.14043241058799757;0.0;0.0;0.1707415639523136;0.18185492018589614;1.3008688623964437;0.7496463932107497;0.037381289149323094;0.01919579713073348;0.002222671246716508;1.2885431400282885;0.27480299050313195;0.6609416043645181;0.6201252778339058;1.3057183269347343;0.025055566781167913;0.3578500707213578;0.0929480703172358;0.3717922812689432;2.8337037785411194
std;0.28657528015717504;0.4562330329490469;1.1303341114593954;142.76216127336986;0.028421014176399563;20.871777760751506;0.07101660495301683;2.079736078536996;0.06189302887264622;0.12827030849321822;0.21346668946314554;3.644641218824651;7.359811488149381;;19.086010315766785;0.3607351248942176;1.7097912746802837;1.242722813055295;39.50440277819432;0.05499660400923325;0.2412659442032514;0.020100755484331483;4.381410944188633;2.354793134344416;;5.3809778239726;1.2314426438832133;0.0;0.0;0.47972712249512905;1.069562215595732;3.0439055516316174;1.1492160943905763;0.26675255259199343;0.159054654248508;0.05857294889983412;2.301978007667511;0.5799583120168147;2.919945764636094;1.0954668408949457;3.0518441411634822;0.24904551409729037;1.7157108166756;0.38284871446533425;1.398109229797463;16.433497804265805
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;6.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;;3.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0
max;3.0;11.0;26.0;8664.0;1.0;1028.0;3.0;42.0;2.0;4.0;6.0;66.0;108.0;;536.0;10.0;33.0;24.0;1111.0;2.0;4.0;1.0;85.0;48.0;;116.0;28.0;0.0;0.0;7.0;28.0;28.0;7.0;8.0;4.0;2.0;19.0;8.0;47.0;26.0;54.0;8.0;56.0;6.0;26.0;483.0
