MethodLength_75%;CyclomaticComplexity_min;NumberOfProtectedMethod_count;NestedIfElseDepth_count;NumberOfProtectedMethod_std;ExecutableStatementCount_50%;NestedTryDepth_25%;CyclomaticComplexity_mean;NCSSForThisFile_count;BooleanExpressionComplexity_min;NestedForDepth_50%;NumberOfPublicMethods_Checkstyle_count;NumberOfMethods_Checkstyle_min;NumberOfPublicMethods_Checkstyle_min;ClassDataAbstractionCoupling_50%;ClassFanOutComplexity_min;ExecutableStatementCount_75%;NPathComplexity_min;ClassDataAbstractionCoupling_mean;AnonymousInnerClassLength_50%;AnonymousInnerClassLength_25%;NPathComplexity_mean;NCSSForThisMethod_min;NumberOfMethods_Checkstyle_count;FileLength_max;NumberOfPublicMethods_Checkstyle_mean;NumberOfPublicMethods_Checkstyle_std;NCSSForThisClass_25%;ThrowsCount_25%;MethodLength_min;ClassDataAbstractionCoupling_75%;ThrowsCount_mean;NCSSForThisClass_min;NumberOfPackageMethod_max;ExecutableStatementCount_count;CyclomaticComplexity_25%;BooleanExpressionComplexity_75%;NestedTryDepth_50%;ClassDataAbstractionCoupling_std;FileLength_count;NestedIfElseDepth_min;NestedIfElseDepth_std;NPathComplexity_count;NumberOfPackageMethod_50%;NestedIfElseDepth_max;NestedTryDepth_max;NestedTryDepth_75%;ThrowsCount_75%;ClassFanOutComplexity_std;ThrowsCount_max;NCSSForThisClass_count;NumberOfProtectedMethod_min;NestedForDepth_mean;NumberOfProtectedMethod_75%;ClassFanOutComplexity_count;ClassFanOutComplexity_max;NumberOfMethods_Checkstyle_50%;NumberOfPackageMethod_std;ThrowsCount_50%;MethodLength_25%;NumberOfPrivateMethod_count;ThrowsCount_std;ThrowsCount_min;AnonymousInnerClassLength_75%;AnonymousInnerClassLength_min;NumberOfProtectedMethod_50%;NestedForDepth_max;CyclomaticComplexity_count;NestedTryDepth_mean;NumberOfPrivateMethod_mean;NestedForDepth_75%;NCSSForThisClass_mean;NPathComplexity_25%;MethodLength_50%;NCSSForThisMethod_max;NumberOfPrivateMethod_25%;MethodLength_max;FileLength_25%;NCSSForThisMethod_25%;ExecutableStatementCount_25%;FileLength_min;AnonymousInnerClassLength_max;NCSSForThisClass_75%;NumberOfPrivateMethod_50%;FileLength_75%;ExecutableStatementCount_max;NestedIfElseDepth_75%;NestedTryDepth_min;NCSSForThisMethod_75%;Bugged;NCSSForThisMethod_count;NCSSForThisFile_25%;BooleanExpressionComplexity_mean;NCSSForThisClass_std;NumberOfPublicMethods_Checkstyle_50%;NumberOfPrivateMethod_max;NumberOfPackageMethod_25%;NCSSForThisFile_max;NumberOfPackageMethod_75%;ClassDataAbstractionCoupling_min;NCSSForThisMethod_mean;MethodLength_mean;ExecutableStatementCount_std;NestedTryDepth_count;BooleanExpressionComplexity_25%;NCSSForThisFile_50%;NPathComplexity_75%;NPathComplexity_max;BooleanExpressionComplexity_max;MethodLength_std;ClassDataAbstractionCoupling_count;NumberOfPackageMethod_min;NumberOfMethods_Checkstyle_75%;NCSSForThisFile_min;ClassDataAbstractionCoupling_25%;FileLength_50%;NumberOfMethods_Checkstyle_25%;NumberOfPackageMethod_count;NestedForDepth_25%;BooleanExpressionComplexity_50%;CyclomaticComplexity_max;NPathComplexity_50%;BooleanExpressionComplexity_std;NPathComplexity_std;ThrowsCount_count;NumberOfMethods_Checkstyle_max;NestedIfElseDepth_mean;ClassFanOutComplexity_mean;BooleanExpressionComplexity_count;NestedIfElseDepth_50%;NumberOfPrivateMethod_min;NCSSForThisClass_max;ExecutableStatementCount_mean;AnonymousInnerClassLength_mean;ClassDataAbstractionCoupling_max;NumberOfProtectedMethod_max;NCSSForThisMethod_std;MethodLength_count;NumberOfProtectedMethod_25%;NestedForDepth_count;AnonymousInnerClassLength_count;NumberOfPrivateMethod_std;NestedIfElseDepth_25%;NCSSForThisFile_mean;NumberOfMethods_Checkstyle_mean;ClassFanOutComplexity_75%;NestedTryDepth_std;ClassFanOutComplexity_50%;NestedForDepth_std;FileLength_mean;ExecutableStatementCount_min;NCSSForThisClass_50%;AnonymousInnerClassLength_std;NCSSForThisFile_std;NCSSForThisFile_75%;NCSSForThisMethod_50%;NumberOfProtectedMethod_mean;FileLength_std;NumberOfPublicMethods_Checkstyle_max;CyclomaticComplexity_50%;NumberOfPrivateMethod_75%;NumberOfMethods_Checkstyle_std;NestedForDepth_min;NumberOfPublicMethods_Checkstyle_75%;ClassFanOutComplexity_25%;NumberOfPublicMethods_Checkstyle_25%;NumberOfPackageMethod_mean;CyclomaticComplexity_std;CyclomaticComplexity_75%
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
16.25;1.0;2.0;2.0;0.0;5.5;0.0;1.5;2.0;0.0;0.0;2.0;0.0;0.0;1.5;0.0;6.25;0.0;1.5;5.5;2.75;1.0;6.0;2.0;61.0;0.5;0.7071067811865476;3.75;0.25;8.0;2.25;0.5;0.0;0.0;2.0;1.25;0.0;0.0;2.1213203435596424;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.75;6.363961030678928;1.0;2.0;0.0;0.0;0.0;2.0;9.0;0.5;0.0;0.5;10.75;2.0;0.7071067811865476;0.0;8.25;0.0;0.0;0.0;2.0;0.0;0.0;0.0;7.5;0.5;13.5;14.0;0.0;19.0;15.25;8.0;4.75;0.0;11.0;11.25;0.0;45.75;7.0;0.0;0.0;12.0;False;2.0;7.25;0.0;10.606601717798213;0.5;0.0;0.0;29.0;0.0;0.0;10.0;13.5;2.1213203435596424;2.0;0.0;14.5;1.5;2.0;0.0;7.7781745930520225;2.0;0.0;0.75;0.0;0.75;30.5;0.25;2.0;0.0;0.0;2.0;1.0;0.0;1.4142135623730951;2.0;1.0;0.0;4.5;2.0;0.0;0.0;15.0;5.5;5.5;3.0;0.0;5.656854249492381;2.0;0.0;2.0;2.0;0.0;0.0;14.5;0.5;6.75;0.0;4.5;0.0;30.5;4.0;7.5;7.7781745930520225;20.506096654409877;21.75;10.0;0.0;43.1335136523794;1.0;1.5;0.0;0.7071067811865476;0.0;0.75;2.25;0.25;0.0;0.7071067811865476;1.75
9.75;1.0;4.0;4.0;0.0;2.0;0.0;1.0;4.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;4.25;0.0;0.75;0.0;0.0;0.0;2.0;4.0;82.0;0.75;1.5;0.0;0.75;3.0;0.75;0.75;0.0;0.0;4.0;1.0;0.0;0.0;1.5;4.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;1.0;7.5;1.0;4.0;0.0;0.0;0.0;4.0;15.0;0.0;0.0;1.0;3.0;4.0;0.5;0.0;2.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;4.75;0.0;4.0;11.0;0.0;24.0;0.0;2.0;1.0;0.0;8.0;4.75;0.0;20.5;8.0;0.0;0.0;5.75;False;4.0;0.0;0.0;9.5;0.0;0.0;0.0;37.0;0.0;0.0;4.75;8.75;3.304037933599835;4.0;0.0;0.0;0.0;0.0;0.0;10.21028892833107;4.0;0.0;0.75;0.0;0.0;0.0;0.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;4.0;3.0;0.0;3.75;4.0;0.0;0.0;19.0;3.25;2.0;3.0;0.0;4.272001872658765;4.0;0.0;4.0;4.0;0.0;0.0;9.25;0.75;3.75;0.0;0.0;0.0;20.5;1.0;0.0;4.0;18.5;9.25;3.0;0.0;41.0;3.0;1.0;0.0;1.5;0.0;0.75;0.0;0.0;0.0;0.0;1.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
5.0;1.0;7.0;7.0;0.0;1.0;0.0;1.2857142857142858;7.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;2.5;0.0;0.42857142857142855;0.0;0.0;0.8571428571428571;2.0;7.0;109.0;0.8571428571428571;1.5735915849388862;0.0;0.0;3.0;0.0;0.14285714285714285;0.0;0.0;7.0;1.0;0.0;0.0;1.1338934190276817;7.0;0.0;0.0;7.0;0.0;0.0;0.0;0.0;0.0;4.18045338165497;1.0;7.0;0.0;0.0;0.0;7.0;11.0;0.0;0.0;0.0;3.0;7.0;0.3779644730092273;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.14285714285714285;0.0;6.2857142857142865;0.0;4.0;14.0;0.0;17.0;0.0;2.0;1.0;0.0;0.0;5.5;0.0;0.0;11.0;0.0;0.0;3.5;False;7.0;0.0;0.0;12.472827609304499;0.0;1.0;0.0;50.0;0.0;0.0;4.142857142857143;5.7142857142857135;3.670993118515816;7.0;0.0;0.0;1.0;3.0;0.0;5.089672082242815;7.0;0.0;1.5;0.0;0.0;0.0;0.0;7.0;0.0;0.0;3.0;1.0;0.0;1.0690449676496974;7.0;4.0;0.0;2.142857142857143;7.0;0.0;0.0;33.0;2.8571428571428568;0.0;3.0;0.0;4.4131837120372035;7.0;0.0;7.0;7.0;0.3779644730092273;0.0;7.142857142857142;1.0;2.0;0.0;0.0;0.0;15.571428571428573;1.0;0.0;0.0;18.898223650461357;0.0;2.0;0.0;41.19812755800577;4.0;1.0;0.0;1.7320508075688772;0.0;1.0;0.0;0.0;0.0;0.7559289460184545;1.0
4.0;1.0;6.0;6.0;0.0;1.5;0.0;1.1666666666666667;6.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;2.0;0.0;0.16666666666666666;0.0;0.0;0.6666666666666666;1.0;6.0;69.0;0.6666666666666666;1.6329931618554518;0.0;0.0;0.0;0.0;0.0;0.0;2.0;6.0;1.0;0.0;0.0;0.40824829046386296;6.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;2.449489742783178;0.0;6.0;0.0;0.0;0.0;6.0;6.0;0.0;0.8164965809277259;0.0;3.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;3.1666666666666665;0.0;3.5;4.0;0.0;6.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;3.0;False;6.0;0.0;0.0;7.756717518813398;0.0;0.0;0.0;29.0;0.0;0.0;2.5;3.333333333333333;1.0488088481701516;6.0;0.0;0.0;1.0;2.0;0.0;1.9663841605003505;6.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;2.0;0.5;0.0;0.8164965809277259;6.0;6.0;0.0;1.0;6.0;0.0;0.0;19.0;1.5;0.0;1.0;0.0;1.0488088481701516;6.0;0.0;6.0;6.0;0.0;0.0;4.833333333333333;1.0;0.0;0.0;0.0;0.0;11.5;0.0;0.0;0.0;11.839200423452027;0.0;2.5;0.0;28.16913204200655;4.0;1.0;0.0;2.449489742783178;0.0;0.0;0.0;0.0;0.3333333333333333;0.40824829046386296;1.0
