;RFC_min;NumberOfParameters_CK_75%;NumberOfLambdas_min;RFC_count;Returns_75%;NumberOfMathOperations_min;WMC_CK_mean;NumberOfParameters_CK_std;NumberOfLoops_25%;NumberOfParameters_CK_max;NumberOfParenthesizedExps_25%;Returns_std;CBO_75%;NumberOfTryCatch_25%;NumberOfUniqueWords_max;NumberOfVariables_75%;CBO_50%;WMC_CK_25%;NumberOfAnonymousClasses_count;MaxNumberOfNestedBlocks_mean;WMC_CK_min;NumberOfModifiers_75%;LOCMethod_CK_25%;Returns_25%;CBO_25%;NumberOfMathOperations_max;LOCMethod_CK_mean;NumberOfAnonymousClasses_50%;Returns_min;NumberOfParameters_CK_25%;WMC_CK_50%;NumberOfLoops_max;NumberOfParameters_CK_count;NumberOfMathOperations_75%;NumberOfLambdas_std;NumberOfNumbers_max;IsConstructor_top;NumberOfNumbers_std;MaxNumberOfNestedBlocks_75%;MaxNumberOfNestedBlocks_min;NumberOfAnonymousClasses_std;NumberOfAssignments_min;NumberOfUniqueWords_25%;NumberOfMathOperations_mean;NumberOfAssignments_std;NumberOfParameters_CK_50%;NumberOfStringLiterals_50%;NumberOfComparisons_50%;NumberOfAssignments_25%;NumberOfComparisons_25%;NumberOfVariables_min;NumberOfLogStatements_50%;Returns_count;RFC_50%;NumberOfTryCatch_mean;NumberOfComparisons_std;NumberOfModifiers_25%;NumberOfAssignments_count;NumberOfStringLiterals_25%;NumberOfParameters_CK_min;NumberOfLambdas_25%;NumberOfAnonymousClasses_75%;NumberOfInnerClasses_mean;RFC_mean;NumberOfLoops_50%;NumberOfParenthesizedExps_75%;IsConstructor_freq;NumberOfInnerClasses_25%;NumberOfTryCatch_max;NumberOfParenthesizedExps_50%;NumberOfInnerClasses_max;NumberOfVariables_count;NumberOfComparisons_count;LOCMethod_CK_75%;CBO_count;NumberOfParenthesizedExps_count;NumberOfComparisons_max;NumberOfComparisons_min;NumberOfLoops_count;NumberOfVariables_std;NumberOfNumbers_75%;CBO_min;Bugged;MaxNumberOfNestedBlocks_50%;NumberOfMathOperations_50%;CBO_std;NumberOfAnonymousClasses_mean;NumberOfNumbers_25%;NumberOfModifiers_count;NumberOfUniqueWords_50%;NumberOfAnonymousClasses_25%;Returns_max;LOCMethod_CK_max;NumberOfLambdas_count;CBO_mean;NumberOfNumbers_count;NumberOfUniqueWords_mean;WMC_CK_count;NumberOfModifiers_min;Returns_mean;NumberOfStringLiterals_min;NumberOfParenthesizedExps_max;NumberOfStringLiterals_max;MaxNumberOfNestedBlocks_25%;WMC_CK_max;LOCMethod_CK_50%;NumberOfNumbers_mean;NumberOfInnerClasses_50%;NumberOfModifiers_max;NumberOfLogStatements_count;NumberOfStringLiterals_mean;NumberOfTryCatch_75%;RFC_25%;NumberOfTryCatch_count;NumberOfStringLiterals_std;Returns_50%;CBO_max;RFC_std;NumberOfParenthesizedExps_mean;NumberOfLogStatements_75%;WMC_CK_75%;IsConstructor_unique;NumberOfStringLiterals_count;LOCMethod_CK_count;NumberOfAssignments_mean;NumberOfModifiers_mean;NumberOfAssignments_max;NumberOfVariables_max;NumberOfLambdas_max;NumberOfParameters_CK_mean;NumberOfLogStatements_mean;NumberOfTryCatch_50%;NumberOfAnonymousClasses_min;NumberOfInnerClasses_count;NumberOfParenthesizedExps_min;LOCMethod_CK_min;WMC_CK_std;NumberOfStringLiterals_75%;NumberOfUniqueWords_min;RFC_75%;RFC_max;NumberOfNumbers_min;NumberOfModifiers_std;MaxNumberOfNestedBlocks_max;NumberOfTryCatch_std;NumberOfVariables_50%;NumberOfComparisons_75%;NumberOfLogStatements_min;NumberOfMathOperations_count;NumberOfLambdas_50%;NumberOfInnerClasses_min;NumberOfTryCatch_min;NumberOfInnerClasses_std;NumberOfUniqueWords_75%;NumberOfLambdas_mean;NumberOfLogStatements_25%;NumberOfAssignments_75%;MaxNumberOfNestedBlocks_std;NumberOfLambdas_75%;IsConstructor_count;NumberOfLogStatements_std;NumberOfNumbers_50%;NumberOfVariables_mean;NumberOfUniqueWords_std;NumberOfLogStatements_max;NumberOfComparisons_mean;MaxNumberOfNestedBlocks_count;NumberOfParenthesizedExps_std;NumberOfLoops_std;NumberOfLoops_mean;NumberOfAssignments_50%;NumberOfUniqueWords_count;NumberOfMathOperations_std;NumberOfVariables_25%;LOCMethod_CK_std;NumberOfModifiers_50%;NumberOfMathOperations_25%;NumberOfLoops_min;NumberOfInnerClasses_75%;NumberOfAnonymousClasses_max;NumberOfLoops_75%
count;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;801;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;1.08881199538639;0.9579008073817762;0.0;4.440599769319492;0.5204728950403691;0.020761245674740483;1.2568585480510959;0.4840555085628885;0.04181084198385236;1.441753171856978;0.01441753171856978;0.29322877778513956;3.241349480968858;0.02104959630911188;13.753171856978085;0.9371395617070357;2.5040369088811993;0.9838523644752019;4.440599769319492;0.28243677019462005;0.9215686274509803;4.540369088811995;3.6894463667820068;0.2828719723183391;1.9653979238754324;0.3102652825836217;5.226162363794731;0.01787773933102653;0.16262975778546712;0.47116493656286046;1.0893886966551327;0.34371395617070355;4.440599769319492;0.08419838523644751;0.0;1.1372549019607843;;0.42479651057888596;0.35986159169550175;0.08996539792387544;0.0645567035348017;0.3644752018454441;5.7076124567474045;0.07907052041582797;0.9681245048215367;0.668396770472895;0.4232987312572088;0.058246828143021914;0.5325836216839677;0.03460207612456748;0.23529411764705882;0.012110726643598616;4.440599769319492;2.2681660899653977;0.04651322081926825;0.1874604997557677;1.1410034602076125;4.440599769319492;0.29123414071510956;0.3414071510957324;0.0;0.036620530565167245;0.0;2.614914824745601;0.06689734717416378;0.04209919261822376;4.220299884659746;0.0;0.14186851211072665;0.020761245674740483;0.0;4.440599769319492;4.440599769319492;5.900230680507497;4.440599769319492;4.440599769319492;0.4925028835063437;0.0196078431372549;4.440599769319492;0.7195382531444018;0.5406574394463668;1.4025374855824684;;0.20069204152249134;0.03633217993079585;1.2623089071079912;0.041515431584501446;0.20530565167243367;4.440599769319492;7.162053056516724;0.012687427912341407;0.8419838523644751;10.025374855824683;4.440599769319492;2.6707754181763272;4.440599769319492;7.84933630961407;4.440599769319492;1.0011534025374855;0.42738242088461725;0.18915801614763553;0.19377162629757785;1.657439446366782;0.131199538638985;2.2191464821222606;4.427335640138408;0.4334319016441373;0.0;19.507497116493656;4.440599769319492;0.5955821946544824;0.04988465974625144;1.645040369088812;4.440599769319492;0.5951316508643099;0.395040369088812;4.441753171856978;1.7789716325542464;0.04298576068744763;0.019896193771626297;1.349769319492503;0.9815455594002307;4.440599769319492;4.440599769319492;1.0660977089744474;5.053950191532268;2.6897347174163784;1.9573241061130335;0.0;0.7585097674816887;0.020223447901793607;0.029411764705882353;0.00922722029988466;4.440599769319492;0.008073817762399077;3.196078431372549;0.5274991532667268;0.7035755478662054;4.32641291810842;3.1825259515570936;5.370242214532872;0.14417531718569782;8.029259368389017;0.7174163783160323;0.05345838514785247;0.5617070357554786;0.1323529411764706;0.008073817762399077;4.440599769319492;0.0;0.0;0.01730103806228374;0.0;9.277104959630911;0.0;0.00980392156862745;1.3235294117647058;0.2805303309164609;0.0;4.440599769319492;0.0254937010086743;0.31141868512110726;0.7543521957046159;3.76316307571259;0.07727797001153403;0.12289832011583884;4.440599769319492;0.07124420536301984;0.13719512549953758;0.11055303602237558;0.8021914648212226;4.440599769319492;0.11264268537224977;0.3685121107266436;2.7905137925686283;1.3829296424452133;0.0265282583621684;0.0265282583621684;0.0;0.1637831603229527;0.13206459054209918
std;2.547960620069781;1.0385682427112821;0.0;6.458223438863176;0.6402124233508287;0.24416114009007706;1.2244614349840972;0.6188443263397042;0.206831527033855;1.4943343869501509;0.13727713769208102;0.42514482749854576;3.085634995736486;0.13668098453240224;15.159398596044525;1.805639454812941;2.589781810835706;0.9119896358849112;6.458223438863176;0.5046355730445754;0.8533771158898961;43.6072459797926;4.30834773448238;0.5092256821570141;2.239251188792447;0.8819060287987868;5.485123099915557;0.15186635306121007;0.4585210739252276;0.7834379166853704;1.1093880176397752;1.0009079256306346;6.458223438863176;0.3857351307346012;0.0;2.2827464786432756;;0.9306438778638961;0.649300728311911;0.38592844016219524;0.23570919020259407;1.1902344346759035;6.155404669777042;0.30928432775348585;1.534083339769011;0.8562459497457905;1.3157200917551852;0.2583669963934598;1.2917472156556304;0.20484021181017564;0.9813503445993513;0.13854588525573708;6.458223438863176;3.4286527670300235;0.16920294409613065;0.4553915257922422;1.6403102094204287;6.458223438863176;1.111411197204646;0.7529338178329903;0.0;0.20146632838212347;0.0;3.356487864474211;0.3590144867417107;0.24466213558346525;6.320073478870766;0.0;0.40142668925722247;0.16863224255989445;0.0;6.458223438863176;6.458223438863176;6.696390909806037;6.458223438863176;6.458223438863176;1.2889212009621058;0.18194061242921064;6.458223438863176;1.2896745477561957;1.4457089190396053;2.11573736389769;;0.5176777787873605;0.2804350306010263;1.717919629161543;0.17135059893743826;0.8213417696325199;6.458223438863176;7.364478563339283;0.12536523220909745;1.193395890019871;13.06156331396003;6.458223438863176;2.516425886313264;6.458223438863176;7.458115905617816;6.458223438863176;1.4300466111839618;0.5450322563134572;1.0233859512696595;0.6825491943813174;3.725769991185469;0.4215452609395249;3.2402566987662063;5.30037932161798;1.087701734776638;0.0;129.17371398561272;6.458223438863176;1.3651168759179928;0.21058860780916128;2.829360595307017;6.458223438863176;1.3318952582873222;0.5583180299953401;4.329101338719075;2.5958063435532335;0.19055168567179;0.1624164047101868;1.4924734007803404;0.6390892127728987;6.458223438863176;6.458223438863176;1.6104227182136248;29.424282981927462;3.991552662150043;3.290307164656523;0.0;0.8461413002898065;0.14527548414298175;0.15938681577809347;0.11735234562050245;6.458223438863176;0.12225500209691763;4.046306254265764;1.1110103151887314;1.6528874294017672;5.65630563787218;4.151511698872242;6.91286515676933;0.7295938993111135;57.3213780618542;1.091520441298747;0.16461317580874094;1.4434884746434593;0.39937161958654227;0.12225500209691763;6.458223438863176;0.0;0.0;0.13046587525598977;0.0;9.162543808656674;0.0;0.12733575966315014;2.066902101119453;0.45090398497823925;0.0;6.458223438863176;0.14747409930061453;1.0426344292885024;1.3761195700362834;5.390655994345407;0.49456909185242837;0.3157952004724742;6.458223438863176;0.2578628530226045;0.41896831073339974;0.39600524103541773;1.6162875648124166;6.458223438863176;0.3288104159089143;1.0942244876425609;4.617116002742133;2.2781133960274174;0.2529042622939659;0.18732913710717522;0.0;0.5632538994412097;0.6318651634152608
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;1.0;1.0;0.16666666666666666;1.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;1.0;0.0;2.0;0.25;0.0;1.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;9.0;0.0;2.0;1.0;2.0;0.0;1.0;1.0;3.0;0.0;1.25;0.0;4.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;1.4444444444444444;0.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;2.0;4.0;2.0;2.0;0.0;0.0;2.0;0.0;0.0;1.0;;0.0;0.0;0.5773502691896257;0.0;0.0;2.0;5.5;0.0;1.0;6.0;2.0;2.333333333333333;2.0;6.5;2.0;1.0;0.25;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;1.0;2.0;0.0;0.0;0.75;2.0;0.0;0.0;3.0;0.5773502691896258;0.0;0.0;1.0;1.0;2.0;2.0;0.5;1.0;1.0;0.0;0.0;0.625;0.0;0.0;0.0;2.0;0.0;3.0;0.0;0.0;3.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0.5;0.0;0.0;2.0;0.0;0.0;0.0;1.6761634196950517;0.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.5;1.0;0.0;0.0;0.0;0.0;0.0
75%;1.0;1.5;0.0;6.0;1.0;0.0;1.6638418079096047;0.8164965809277259;0.0;2.0;0.0;0.5345224838248488;5.0;0.0;20.0;1.0;4.0;1.0;6.0;0.4641025641025641;1.0;1.0;4.0;0.5;3.0;0.0;7.166666666666668;0.0;0.0;1.0;1.0;0.0;6.0;0.0;0.0;1.0;;0.5477225575051662;0.75;0.0;0.0;0.0;7.25;0.0;1.4287946176735797;1.0;0.0;0.0;0.5;0.0;0.0;0.0;6.0;3.0;0.0;0.0;1.0;6.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;6.0;6.0;8.375;6.0;6.0;0.0;0.0;6.0;1.0600050386256008;0.5;2.0;;0.0;0.0;2.1107452023504756;0.0;0.0;6.0;9.5;0.0;1.0;14.0;6.0;4.0;6.0;11.0;6.0;1.0;0.8333333333333334;0.0;0.0;2.0;0.0;3.0;5.5;0.4;0.0;4.0;6.0;0.5;0.0;2.0;6.0;0.6351728755236286;1.0;7.0;2.8284271247461903;0.0;0.0;2.0;1.0;6.0;6.0;1.5208333333333335;1.9;4.0;3.0;0.0;1.0;0.0;0.0;0.0;6.0;0.0;3.0;0.7071067811865476;0.75;5.0;4.75;9.0;0.0;0.5081988897471612;1.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;13.0;0.0;0.0;2.0;0.508757077576045;0.0;6.0;0.0;0.0;1.0;5.609899763371627;0.0;0.0;6.0;0.0;0.0;0.0;1.0;6.0;0.0;0.0;4.08476661813527;1.0;0.0;0.0;0.0;0.0;0.0
