;ClTCi;NSM;TLOC;NPF;ClRCi;NOA;PMd;NSF;NOD;Bugged;RTLOC;NOL
count;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867;867.0;867.0
unique;;;;;;;;;;2;;
top;;;;;;;;;;False;;
freq;;;;;;;;;;742;;
mean;19.059166055012685;3.640138408304498;91.18108419838524;0.36101499423298733;1.5807837952479815;0.0;7.358708189158016;1.021914648212226;0.02883506343713956;;149.0542099192618;0.0
std;30.116794511259418;9.635967743082016;142.9336340846121;0.9813517017830383;1.1540858275485542;0.0;11.908399511679125;3.864414487629216;0.19895548091991166;;235.93993748785118;0.0
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0
25%;2.0;0.0;11.0;0.0;0.43560606100000004;0.0;1.0;0.0;0.0;;19.0;0.0
50%;7.0;0.0;42.0;0.0;1.727272727;0.0;3.0;0.0;0.0;;70.0;0.0
75%;19.0;2.0;96.5;0.0;2.333333333;0.0;7.0;0.0;0.0;;148.0;0.0
max;136.181818182;47.0;646.0;7.0;7.167464115;0.0;52.0;31.0;2.0;;1049.0;0.0
