Maximum Depth_50%;NumberOfMathOperations_min;issues_priorityMinor_max;issues_priorityMinor_count;Ait;HMd;issues_priorityMinor_std;MaxNumberOfNestedBlocks_mean;NumberOfModifiers_75%;Maximum Complexity*;blame_merge_priorityMinor_count;NumberOfMathOperations_max;blame_merge_priorityMajor_std;Maximum Depth_count;Average Block Depth;NumberOfMathOperations_75%;Ma;MaxNumberOfNestedBlocks_75%;MaxNumberOfNestedBlocks_min;issues_priorityMinor_min;blame_merge_priorityMinor_std;NumberOfMathOperations_mean;Maximum Depth_75%;blamemerge_priorityMajor_mean;Ao;blame_merge_priorityMinor_mean;blamemerge_priorityMajor_count;NumberOfModifiers_25%;blamemerge_priorityMinor_std;Average Complexity*;blame_merge_priorityMajor_count;Mo;Maximum Block Depth;Maximum Depth_min;Maximum Depth_25%;Maximum Depth_std;blame_merge_priorityMajor_min;NMA;Maximum Depth_mean;issues_priorityMajor_std;blamemerge_priorityMajor_max;blame_merge_priorityMajor_mean;blamemerge_priorityMajor_std;Bugged;Average Statements per Method;Ai;MaxNumberOfNestedBlocks_50%;blamemerge_priorityMinor_mean;NumberOfMathOperations_50%;SIX;HMi;NumberOfModifiers_count;NF;PMR;NumberOfModifiers_min;MaxNumberOfNestedBlocks_25%;NumberOfModifiers_max;Mi;PMi;blame_merge_priorityMajor_max;NumberOfModifiers_mean;NMI;NMIR;blamemerge_priorityMinor_count;issues_priorityMajor_count;Maximum Depth_max;Ad;issues_priorityMinor_mean;NumberOfModifiers_std;MaxNumberOfNestedBlocks_max;Av;NumberOfMathOperations_count;NumberOfMethods_Mood;PMd;blamemerge_priorityMinor_max;MaxNumberOfNestedBlocks_std;blamemerge_priorityMinor_min;Mit;NOPa;MaxNumberOfNestedBlocks_count;NumberOfMathOperations_std;issues_priorityMajor_mean;blame_merge_priorityMinor_max;NumberOfModifiers_50%;NumberOfMathOperations_25%;NM;blame_merge_priorityMinor_min;issues_priorityMajor_max;blamemerge_priorityMajor_min;Md;issues_priorityMajor_min
0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;650.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;650.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0
0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.73;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;559.0;0.0;0.0;2.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;False;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;559.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0
0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;1.19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1105.0;0.0;0.0;2.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;False;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1105.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0
0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.77;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;533.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;False;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;533.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0
0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;637.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;False;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;637.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0
0.0;0.0;0.0;9.0;0.0;0.0;0.0;0.5;1.0;2.0;0.0;0.0;0.0;0.0;1.32;0.0;1.0;0.75;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;549.0;1.0;0.0;2.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;False;5.0;0.0;0.5;0.0;0.0;0.0;0.0;2.0;0.0;1.0;1.0;0.25;1.0;0.0;0.0;0.0;1.0;0.0;0.0;549.0;9.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;1.0;0.0;0.7071067811865476;0.0;0.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0
2.0;0.0;0.0;18.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;2.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;0.0;410.0;1.0;0.0;1.0;0.0;0.0;4.0;2.0;2.0;0.0;0.0;3.0;2.0;0.0;1.0;0.0;0.0;False;3.2;0.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;410.0;18.0;2.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;1.0;0.0;3.0;0.0;1.0;1.0;3.0;1.0
3.0;0.0;1.0;85.0;0.0;1.0;0.4727889717037674;0.0;0.0;4.0;0.0;0.0;0.0;2.0;1.51;0.0;3.0;0.0;0.0;0.0;0.0;0.0;3.0;0.3903743315508021;0.0;0.0;2057.0;0.0;0.4879528285813874;1.43;0.0;0.0;4.0;3.0;3.0;0.0;0.0;3.0;3.0;0.4727889717037677;1.0;0.0;0.4879528285813874;False;3.14;0.0;0.0;0.6096256684491979;0.0;0.0;0.0;0.0;0.0;0.666666667;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2057.0;85.0;3.0;0.0;0.6705882352941176;0.0;0.0;0.0;0.0;3.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.32941176470588235;0.0;0.0;0.0;3.0;0.0;1.0;0.0;3.0;0.0
0.0;0.0;1.0;85.0;0.0;1.0;0.4727889717037674;0.2857142857142857;9.0;4.0;0.0;0.0;0.0;0.0;1.51;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3903743315508021;0.0;0.0;2057.0;1.0;0.4879528285813874;1.43;0.0;0.0;4.0;0.0;0.0;0.0;0.0;3.0;0.0;0.4727889717037677;1.0;0.0;0.4879528285813874;False;3.14;0.0;0.0;0.6096256684491979;0.0;0.0;0.0;7.0;0.0;0.666666667;1.0;0.0;10.0;0.0;0.0;0.0;4.571428571428571;0.0;0.0;2057.0;85.0;0.0;0.0;0.6705882352941176;4.466808810815722;2.0;0.0;7.0;3.0;2.0;1.0;0.7559289460184546;0.0;0.0;0.0;7.0;0.0;0.32941176470588235;0.0;1.0;0.0;3.0;0.0;1.0;0.0;3.0;0.0
2.0;0.0;1.0;66.0;0.0;2.0;0.3458040190345097;0.16666666666666666;8.0;2.0;0.0;0.0;0.0;1.0;0.94;0.0;5.0;0.0;0.0;0.0;0.0;0.0;2.0;0.8410041841004184;0.0;0.0;717.0;1.0;0.36592745294724427;1.2;0.0;0.0;3.0;2.0;2.0;0.0;0.0;6.0;2.0;0.3458040190345097;1.0;0.0;0.36592745294724427;False;1.8;0.0;0.0;0.1589958158995816;0.0;0.0;0.0;6.0;3.0;0.6;1.0;0.0;1025.0;0.0;0.0;0.0;174.0;0.0;0.0;717.0;66.0;2.0;3.0;0.8636363636363636;416.9172579781269;1.0;2.0;6.0;6.0;3.0;1.0;0.40824829046386296;0.0;0.0;0.0;6.0;0.0;0.13636363636363635;0.0;4.5;0.0;6.0;0.0;1.0;0.0;5.0;0.0
