;NCOMP_min;Di_75%;Fout_50%;Fout_max;VG_count;blamemerge_blamegetDistinctOperandsCnt_count;NVAR_std;blame_merge_blame_getDifficulty_min;blame_merge_blame_getDifficulty_std;NBD_25%;VG_75%;Ci_max;Fin_25%;IOVars_75%;IOVars_mean;MCLC_75%;Ci_std;MCLC_min;MCLC_50%;blame_merge_blame_getDifficulty_max;NOP_count;Di_count;IOVars_50%;Fout_std;NVAR_max;NVAR_count;Di_50%;Fin_mean;Fin_50%;NCOMP_count;blame_merge_blame_getDistinctOperandsCnt_max;NOP_min;Si_50%;NOP_mean;NVAR_75%;Si_75%;IOVars_min;Difficulty;Fin_std;ClTCi;Ci_25%;blamemerge_blamegetDistinctOperatorsCnt_mean;Si_25%;VG_mean;NOP_75%;blamemerge_blamegetDifficulty_count;blame_merge_blame_getDistinctOperandsCnt_mean;NCOMP_mean;blame_merge_blame_getDistinctOperatorsCnt_mean;Di_25%;Bugged;Di_mean;MCLC_count;blame_merge_blame_getDistinctOperatorsCnt_count;VG_25%;NCOMP_25%;Fin_count;blame_merge_blame_getDistinctOperandsCnt_std;NOP_25%;MCLC_mean;ClRCi;blamemerge_blamegetDistinctOperatorsCnt_count;Ci_50%;Si_std;MCLC_std;NBD_min;Di_std;blamemerge_blamegetDifficulty_mean;blamemerge_blamegetDistinctOperandsCnt_mean;Si_min;NOP_std;IOVars_count;MCLC_25%;Ci_min;NVAR_min;blamemerge_blamegetDistinctOperatorsCnt_max;NumberOfDistinctOperands;blamemerge_blamegetDifficulty_max;NOP_max;VG_max;blamemerge_blamegetDistinctOperatorsCnt_std;Ci_mean;NOP_50%;NBD_count;blame_merge_blame_getDistinctOperandsCnt_count;NumberOfDistinctOperators;Si_max;NCOMP_max;Fout_mean;blame_merge_blame_getDistinctOperandsCnt_min;Fin_min;IOVars_max;blamemerge_blamegetDifficulty_std;VG_std;Fout_count;VG_min;Di_max;Ci_count;blamemerge_blamegetDistinctOperandsCnt_std;Fout_25%;blame_merge_blame_getDistinctOperatorsCnt_max;blame_merge_blame_getDistinctOperatorsCnt_std;NBD_75%;Fout_min;NBD_50%;Fout_75%;NCOMP_75%;blame_merge_blame_getDistinctOperatorsCnt_min;Fin_max;VG_50%;blame_merge_blame_getDifficulty_mean;MCLC_max;NBD_std;IOVars_std;NBD_max;Di_min;Ci_75%;NBD_mean;NOPa;NCOMP_50%;Si_mean;IOVars_25%;NCOMP_std;Si_count;NVAR_50%;Fin_75%;NVAR_25%;blamemerge_blamegetDistinctOperandsCnt_max;blame_merge_blame_getDifficulty_count;NVAR_mean
count;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0;867.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;0.11418685121107267;1.264994232987024;0.01384083044982699;0.11303344867358708;3.6193771626297577;1527.1695501730103;0.32228620675440744;0.0;0.0;0.808246828143022;1.0666089965397925;1.9606480025155706;0.0017301038062283738;1.2877739331026528;1.102773394277607;0.7681660899653979;0.5163876995677071;0.2029988465974625;0.41522491349480967;0.0;3.6193771626297577;3.6193771626297577;1.0288350634371395;0.03660225845895756;0.8615916955017301;3.6193771626297577;1.0083621683967705;0.019638629234849072;0.002306805074971165;3.6193771626297577;0.0;0.3102652825836217;0.01845444059976932;0.6719990046490931;0.33362168396770475;0.02883506343713956;0.6655132641291811;49.6901857856516;0.043043675299951144;19.059166055012685;0.8711072664359861;2.3668821431329734;0.015859284890426758;1.0124737842564653;0.8497693194925029;1527.1695501730103;0.0;0.3628856003090589;0.0;0.8405661284111879;;1.0836320094621623;3.6193771626297577;0.0;0.8131487889273357;0.1577277970011534;3.6193771626297577;0.0;0.43050749711649366;0.6483001217820413;1.5807837952479815;1527.1695501730103;1.0409457900807382;0.0990372628405043;0.7030336150756524;0.7716262975778547;0.4542714253674867;1.2441081005188528;2.2438717127265915;0.01384083044982699;0.418120054102403;3.6193771626297577;0.28921568627450983;0.6776239907727797;0.08650519031141868;8.874279123414071;98.41522491349481;6.309723577716657;1.251441753171857;1.7704728950403692;2.4415510585478764;1.1354808128688088;0.5934256055363322;3.6193771626297577;0.0;24.784313725490197;0.3460207612456747;1.154555940023068;0.027584490788664463;0.0;0.0011534025374855825;1.726643598615917;1.4978129310252035;0.4014399195610761;3.6193771626297577;0.7681660899653979;1.7081891580161477;3.6193771626297577;2.4924176591304157;0.01124567474048443;0.0;0.0;1.0020184544405997;0.00922722029988466;0.8679354094579008;0.02422145328719723;0.4155132641291811;0.0;0.12918108419838523;0.878316032295271;0.0;1.9319492502883506;0.24907135188272822;0.4575780500216396;1.342560553633218;0.6510957324106112;1.304930795847751;0.9387171394659269;0.0;0.22202998846597463;0.05184880340664673;0.8587081891580162;0.412367521426185;3.6193771626297577;0.1776239907727797;0.010957324106113034;0.12312572087658592;9.385236447520185;0.0;0.2854145214729824
std;0.7671785548509646;1.2835953425557896;0.13306612481561;0.5776062753056826;5.997920584980037;3723.3102747334233;0.6725523374864839;0.0;0.0;0.7682036687297571;1.2358743809578234;4.1908509266163465;0.03600110410628302;1.2987382416900943;1.1061558710125345;1.7867395131511783;1.191011304875295;1.1555030512224316;1.35287694099827;0.0;5.997920584980037;5.997920584980037;1.113521308153283;0.18012275575593223;1.7960024263101702;5.997920584980037;1.0995494953393714;0.09404212733410311;0.04155447174767963;5.997920584980037;0.0;0.7204843756449585;0.21276994523735987;0.8421256151518024;0.7986076422001814;0.2317946934765119;0.9653337960893935;36.50847858853494;0.20685994612500636;30.116794511259418;1.0208224659343936;0.9607143345776622;0.2066152912050925;1.1006003691367505;1.0466845014474617;3723.3102747334233;0.0;0.9511193574329424;0.0;0.9995329102480041;;1.09428723959426;5.997920584980037;0.0;0.9000128968836202;0.7927524067928505;5.997920584980037;0.0;0.7630697823440777;1.4765880942624916;1.1540858275485542;3723.3102747334233;1.12108771850267;1.0719604931489919;1.4579451990431482;0.7373114562455083;0.6226724896385422;0.5394070624405027;0.9361760229707712;0.20341742550896477;0.5950992608141631;5.997920584980037;1.2045030343097016;0.9776048318127286;0.46656341601373547;1.8498163021125518;73.88429971813807;2.086321838980746;1.4707249857171216;2.773039974450346;0.5400020652882002;1.1658898572303982;0.8481283060366771;5.997920584980037;0.0;8.958762767872797;3.945382569054191;2.6863115298018854;0.14616569118478212;0.0;0.033961780540566214;1.7187374296401874;0.4225035764940281;0.9169569741621861;5.997920584980037;0.8518431206357289;1.7096289783528047;5.997920584980037;0.5541158820603085;0.12288795226588299;0.0;0.0;0.9558280980426188;0.11735234562050245;0.8314186965308318;0.16205005029371322;1.0995479055197488;0.0;0.6549965345268944;0.9871649409103477;0.0;4.114552695806313;0.4474020542181249;0.6255603037223265;1.4406100819724;0.9525136667166502;1.307452565982921;0.8608682903336211;0.0;0.8656981505023886;0.39213459422806285;1.0094482939537401;0.9337263661342757;5.997920584980037;0.5847818975410204;0.09623936563424142;0.49889465499813634;2.2955250740312274;0.0;0.6330492565348532
min;0.0;0.0;0.0;0.0;0.0;24.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.038461538461538464;0.0;0.0;0.0;24.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;0.0;0.0;0.0;0.0;0.0;0.019230769230769232;0.09615384615384616;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;1.0;0.0;0.0;0.2755549329839904;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.13777746649199518;0.0;0.0;0.0;0.0;0.0;0.6888873324599759;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;150.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;24.42857142857143;0.0;2.0;0.0;1.8311149524632673;0.0;0.0;0.0;150.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.43560606100000004;150.0;0.0;0.0;0.0;0.0;0.0;0.9202285370988423;1.6634963768115942;0.0;0.0;0.0;0.0;0.0;0.0;8.0;45.0;4.8;0.0;0.0;2.209823561115633;0.0;0.0;0.0;0.0;19.0;0.0;0.0;0.0;0.0;0.0;0.0;1.2860323908614542;0.0;0.0;0.0;0.0;0.0;2.182498480596478;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0
50%;0.0;1.0;0.0;0.0;1.0;430.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;39.4;0.0;7.0;1.0;2.424158598432457;0.0;1.0;0.75;430.0;0.0;0.0;0.0;0.625;;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.727272727;430.0;1.0;0.0;0.0;1.0;0.0;1.2398316651501364;2.2550465838509317;0.0;0.0;1.0;0.0;0.0;0.0;9.0;82.0;6.222222222222222;1.0;1.0;2.5324936053055658;1.0;0.0;1.0;0.0;24.0;0.0;0.0;0.0;0.0;0.0;2.0;1.5052377051475796;0.0;1.0;1.0;2.0;1.0;2.537708971018354;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.75;0.0;1.0;0.0;0.0;0.0;9.0;0.0;0.0
75%;0.0;2.0;0.0;0.0;4.5;1155.0;0.43909793397085073;0.0;0.0;1.0;1.0;3.0;0.0;2.0;1.9455128205128207;0.75;0.8164965809277259;0.0;0.0;0.0;4.5;4.5;2.0;0.0;1.0;4.5;2.0;0.0;0.0;4.5;0.0;0.0;0.0;1.0;0.0;0.0;1.0;64.3186123608809;0.0;19.0;1.25;2.952322993462235;0.0;1.3333333333333333;1.25;1155.0;0.0;0.3333333333333333;0.0;1.25;;1.8333333333333333;4.5;0.0;1.0;0.0;4.5;0.0;1.0;0.7238095238095238;2.333333333;1155.0;2.0;0.0;0.953055202903426;1.0;0.8031955975312214;1.5350845622659175;2.83682452944748;0.0;0.7071067811865476;4.5;0.0;1.0;0.0;10.0;126.0;7.5;2.0;2.0;2.7742683245965623;2.0;1.0;4.5;0.0;30.0;0.0;1.0;0.0;0.0;0.0;3.0;1.7264486923972062;0.5;4.5;1.0;3.0;4.5;2.8446447219099937;0.0;0.0;0.0;1.75;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;2.0;0.4629100498862757;0.8113611778787904;2.0;1.0;2.0;1.3798076923076923;0.0;0.0;0.0;1.25;0.5;4.5;0.0;0.0;0.0;11.0;0.0;0.3333333333333333
