;NumberOfComparisons;NumberOfAnonymousClasses;NumberOfModifiers;NumberOfLogStatements;NumberOfUniqueWords;IsConstructor;NumberOfAssignments;NumberOfNumbers;NumberOfTryCatch;NumberOfMathOperations;LOCMethod_CK;BuggedMethods;NumberOfLambdas;NumberOfInnerClasses;NumberOfParameters_CK;RFC;NumberOfLoops;CBO;Returns;WMC_CK;NumberOfParenthesizedExps;NumberOfStringLiterals;MaxNumberOfNestedBlocks;NumberOfVariables
count;4949.0;4949.0;4949.0;4949.0;4949.0;4949;4949.0;4949.0;4949.0;4949.0;4949.0;4949;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0
unique;;;;;;2;;;;;;2;;;;;;;;;;;;
top;;;;;;False;;;;;;False;;;;;;;;;;;;
freq;;;;;;4800;;;;;;4724;;;;;;;;;;;;
mean;0.06526571024449383;0.0008082440897150939;1.458476459890887;0.0030309153364316025;4.210143463325925;;0.5217215599110931;0.25803192564154376;0.0026267932915740554;0.031723580521317435;2.4437260052535867;;0.0;0.0;0.1707415639523136;1.3008688623964437;0.037381289149323094;1.2885431400282885;0.27480299050313195;0.6201252778339058;0.025055566781167913;0.3578500707213578;0.0929480703172358;0.3717922812689432
std;0.4562330329490469;0.028421014176399563;20.871777760751506;0.07101660495301683;7.359811488149381;;1.7097912746802837;1.242722813055295;0.05499660400923325;0.2412659442032514;4.381410944188633;;0.0;0.0;0.47972712249512905;3.0439055516316174;0.26675255259199343;2.301978007667511;0.5799583120168147;1.0954668408949457;0.24904551409729037;1.7157108166756;0.38284871446533425;1.398109229797463
min;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;0.0;0.0;1.0;0.0;6.0;;0.0;0.0;0.0;0.0;3.0;;0.0;0.0;0.0;1.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0
max;11.0;1.0;1028.0;3.0;108.0;;33.0;24.0;2.0;4.0;85.0;;0.0;0.0;7.0;28.0;8.0;19.0;8.0;26.0;8.0;56.0;6.0;26.0
