;NOP;BuggedMethods;Si;MCLC;Ci;NCOMP;Fout;VG;Fin;NBD;NVAR;IOVars;Di
count;4949.0;4949;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0;4949.0
unique;;2;;;;;;;;;;;
top;;False;;;;;;;;;;;
freq;;4724;;;;;;;;;;;
mean;0.12830874924227118;;0.05839563548191554;0.2586381087088301;0.4089072172519701;0.15255607193372397;0.022428773489593858;0.4841382097393413;0.031117397454031116;0.42634875732471206;0.10608203677510608;0.3578500707213578;0.35051158177005454
std;0.39385024592459783;;1.6256410750469787;1.3980399159100965;1.757317868359893;0.9315519519302812;0.2406330937357951;1.017431424524747;0.3046420434122737;0.6695846457516523;0.5922066845398114;0.6813794802531402;0.6748385555178495
min;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;0.0;;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;1.0
max;7.0;;100.0;43.0;100.181818182;26.0;10.0;25.0;8.0;8.0;17.0;8.0;8.0
