;BuggedMethods;NCSSForThisFile;NestedIfElseDepth;BooleanExpressionComplexity;CyclomaticComplexity;NCSSForThisMethod;NPathComplexity;ThrowsCount;NCSSForThisClass;NumberOfProtectedMethod;NumberOfPackageMethod;NumberOfPrivateMethod;ExecutableStatementCount;MethodLength;FileLength;AnonymousInnerClassLength;NumberOfMethods_Checkstyle;NumberOfPublicMethods_Checkstyle;ClassFanOutComplexity;NestedTryDepth;ClassDataAbstractionCoupling;NestedForDepth;IsConstructor;CBO;WMC_CK;RFC;LOCMethod_CK;Returns;NumberOfVariables;NumberOfParameters_CK;NumberOfLoops;NumberOfComparisons;NumberOfTryCatch;NumberOfParenthesizedExps;NumberOfStringLiterals;NumberOfNumbers;NumberOfAssignments;NumberOfMathOperations;MaxNumberOfNestedBlocks;NumberOfAnonymousClasses;NumberOfInnerClasses;NumberOfLambdas;NumberOfUniqueWords;NumberOfModifiers;NumberOfLogStatements;Ci;Di;Fin;Fout;IOVars;MCLC;NBD;NCOMP;NOP;NVAR;Si;VG;Complexity;Statements;Maximum Depth;Calls
count;4851;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0
unique;2;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;False;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;4752;;;;;;;;;;;;;;;;;;;;;;4740;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;;5.229231086373944;0.02391259534116677;0.03360131931560503;0.8631210059781488;2.836322407750979;3.2104720676149245;0.0292723149866007;3.8573490002061432;0.04596990311276026;0.013605442176870748;0.05029890744176459;2.0822510822510822;4.865388579674294;14.436611008039579;0.0707070707070707;0.6456400742115028;0.5357658214801072;0.935271078128221;0.001443001443001443;0.11626468769325912;0.0024737167594310453;;1.305916305916306;0.8612657184085756;1.696969696969697;3.70995670995671;0.4013605442176871;0.34714491857349;0.191713048855906;0.03339517625231911;0.10554524840239125;0.0026798598227169654;0.04329004329004329;0.5479282622139765;0.2352092352092352;0.5433931148216863;0.07421150278293136;0.1401772830344259;0.0041228612657184084;0.0;0.0;4.9400123685837976;1.5040197897340755;0.010101010101010102;0.3890400604687693;0.30142925857225317;0.0676149247577819;0.04885590599876314;0.31931560502989076;0.2987012987012987;0.3745619459905174;0.18243661100803957;0.11688311688311688;0.11626468769325912;0.08761080189651618;0.4475365903937332;0.5499896928468357;1.5701917130488559;0.9882498453927026;1.5275200989486704
std;;18.59761150295477;0.18119087101808895;0.23042899702603403;1.1188278428111178;6.277993638258261;144.0586379093339;0.1734093133397674;15.52467464345659;0.40632847197215666;0.2346754902739633;0.48899793741985037;5.962428444199766;9.782090712613508;45.06009562928837;1.1550648194198172;2.330871050295818;2.0065123165042205;2.7198269774612944;0.04305330905514383;0.6489367538863371;0.053670079204640044;;2.1067402974331952;1.1360659038245877;3.379213153534367;6.919670290263881;0.6516515134099806;0.9395554944981693;0.5184645977165292;0.25387308357999944;0.5064452286804476;0.05170328076352897;0.5915049983508502;2.0576037849604467;1.332745887459983;1.3504955752726238;0.48168173155630617;0.48240793097047496;0.06408361608438341;0.0;0.0;6.5517062167318265;3.402142187919955;0.12559553024505363;1.0891399306435914;0.6191410525388471;0.6125529313849863;0.2919614260209457;0.6402931235647217;1.3675308336810603;0.7389629043791717;0.911500812838776;0.3623313038618117;0.5829938225594459;0.8971622397146978;1.063295602647411;0.788137240061711;5.027283288437961;1.1308540920757235;6.201946419892266
min;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50%;;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
75%;;0.0;0.0;0.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;2.0;1.0;2.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;7.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;2.0;1.0
