NPathComplexity_25%;FileLength_std;MethodLength_std;CyclomaticComplexity_min;NestedForDepth_max;NumberOfProtectedMethod_50%;CyclomaticComplexity_50%;NumberOfPublicMethods_Checkstyle_75%;BooleanExpressionComplexity_75%;NestedTryDepth_50%;ThrowsCount_min;FileLength_25%;NCSSForThisClass_min;NestedIfElseDepth_75%;NestedIfElseDepth_50%;NumberOfMethods_Checkstyle_count;BooleanExpressionComplexity_std;NestedTryDepth_max;NCSSForThisFile_50%;NCSSForThisClass_mean;NestedIfElseDepth_25%;FileLength_min;NCSSForThisMethod_max;NumberOfProtectedMethod_max;FileLength_50%;NestedForDepth_25%;NumberOfPackageMethod_min;ExecutableStatementCount_min;NumberOfPackageMethod_max;MethodLength_mean;NCSSForThisClass_max;ClassDataAbstractionCoupling_min;ExecutableStatementCount_50%;ExecutableStatementCount_mean;NestedForDepth_75%;AnonymousInnerClassLength_max;NCSSForThisClass_count;FileLength_max;NumberOfPrivateMethod_50%;NCSSForThisFile_std;ClassFanOutComplexity_count;MethodLength_max;NPathComplexity_max;NCSSForThisFile_count;NumberOfPrivateMethod_mean;CyclomaticComplexity_25%;NestedIfElseDepth_std;ClassDataAbstractionCoupling_75%;NestedForDepth_mean;NumberOfPackageMethod_75%;ClassDataAbstractionCoupling_count;Bugged;NCSSForThisFile_mean;NumberOfPackageMethod_std;NestedTryDepth_25%;ExecutableStatementCount_max;ClassDataAbstractionCoupling_max;NumberOfPublicMethods_Checkstyle_std;NCSSForThisFile_min;BooleanExpressionComplexity_max;NCSSForThisMethod_75%;NumberOfProtectedMethod_75%;NumberOfProtectedMethod_25%;NumberOfMethods_Checkstyle_75%;NumberOfProtectedMethod_mean;NCSSForThisFile_max;ThrowsCount_25%;ClassDataAbstractionCoupling_mean;NumberOfMethods_Checkstyle_max;ExecutableStatementCount_25%;NCSSForThisMethod_50%;NPathComplexity_count;NumberOfPublicMethods_Checkstyle_mean;NumberOfProtectedMethod_std;NumberOfProtectedMethod_min;MethodLength_25%;AnonymousInnerClassLength_count;NCSSForThisFile_25%;NumberOfMethods_Checkstyle_25%;ClassDataAbstractionCoupling_50%;NumberOfMethods_Checkstyle_50%;NestedIfElseDepth_min;NCSSForThisClass_25%;BooleanExpressionComplexity_count;BooleanExpressionComplexity_25%;ThrowsCount_count;ClassFanOutComplexity_std;NumberOfPackageMethod_50%;NestedTryDepth_count;AnonymousInnerClassLength_75%;ClassFanOutComplexity_25%;ExecutableStatementCount_std;NCSSForThisMethod_min;ClassFanOutComplexity_mean;FileLength_count;NumberOfPrivateMethod_count;NCSSForThisMethod_std;NumberOfPackageMethod_mean;AnonymousInnerClassLength_std;ThrowsCount_75%;AnonymousInnerClassLength_mean;ClassDataAbstractionCoupling_25%;NumberOfPackageMethod_count;NumberOfPublicMethods_Checkstyle_count;NumberOfMethods_Checkstyle_std;ThrowsCount_mean;MethodLength_min;NumberOfProtectedMethod_count;CyclomaticComplexity_mean;NCSSForThisMethod_count;AnonymousInnerClassLength_min;CyclomaticComplexity_max;ClassDataAbstractionCoupling_std;NPathComplexity_min;NumberOfPrivateMethod_max;BooleanExpressionComplexity_mean;NestedForDepth_count;NPathComplexity_50%;NumberOfPrivateMethod_75%;NestedForDepth_50%;FileLength_mean;MethodLength_75%;NumberOfPublicMethods_Checkstyle_min;NPathComplexity_mean;AnonymousInnerClassLength_50%;ClassFanOutComplexity_75%;BooleanExpressionComplexity_min;ThrowsCount_max;NestedTryDepth_std;NumberOfPrivateMethod_std;NestedTryDepth_mean;NCSSForThisMethod_25%;NCSSForThisFile_75%;NestedIfElseDepth_mean;NestedForDepth_std;FileLength_75%;CyclomaticComplexity_std;NumberOfPublicMethods_Checkstyle_50%;NumberOfPublicMethods_Checkstyle_25%;ClassFanOutComplexity_50%;ExecutableStatementCount_75%;ThrowsCount_std;ClassFanOutComplexity_max;CyclomaticComplexity_75%;AnonymousInnerClassLength_25%;NumberOfPublicMethods_Checkstyle_max;NCSSForThisClass_std;NumberOfMethods_Checkstyle_mean;NestedTryDepth_75%;MethodLength_50%;ThrowsCount_50%;ClassFanOutComplexity_min;ExecutableStatementCount_count;NCSSForThisClass_50%;NumberOfPrivateMethod_min;NumberOfMethods_Checkstyle_min;NPathComplexity_std;NumberOfPackageMethod_25%;NCSSForThisClass_75%;NestedIfElseDepth_max;MethodLength_count;NPathComplexity_75%;NCSSForThisMethod_mean;NestedForDepth_min;NumberOfPrivateMethod_25%;CyclomaticComplexity_count;NestedIfElseDepth_count;BooleanExpressionComplexity_50%;NestedTryDepth_min
0.0;33.988233257996804;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;76.0;0.0;4.024922359499622;5.0;0.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;5.0;False;1.8;0.0;0.0;0.0;0.0;2.23606797749979;0.0;0.0;1.0;0.0;0.0;0.0;0.0;9.0;0.0;0.0;5.0;0.0;1.0;5.0;1.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;5.0;0.8944271909999161;0.0;5.0;0.0;0.0;0.0;1.0;0.4;5.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;5.0;2.23606797749979;0.0;0.0;5.0;1.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;15.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;1.0;0.0;0.0;5.0;5.0;0.0;0.0
2.75;68.58935777509511;7.071067811865476;2.0;0.0;0.0;3.0;0.75;0.0;0.0;0.0;24.25;0.0;1.0;1.0;2.0;0.0;0.0;14.0;12.5;1.0;0.0;13.0;0.0;48.5;0.0;0.0;7.0;0.0;20.0;25.0;0.0;7.5;7.5;0.0;0.0;2.0;97.0;0.5;19.798989873223327;2.0;25.0;5.0;2.0;0.5;2.5;0.0;0.0;0.0;0.0;2.0;False;14.0;0.0;0.0;8.0;0.0;0.7071067811865476;0.0;0.0;12.0;0.0;0.0;1.5;0.0;28.0;0.0;0.0;2.0;7.25;11.0;2.0;0.5;0.0;0.0;17.5;2.0;7.0;0.5;0.0;1.0;1.0;6.25;2.0;0.0;2.0;2.1213203435596424;0.0;2.0;0.0;0.75;0.7071067811865476;9.0;1.5;2.0;2.0;2.8284271247461903;0.0;0.0;0.0;0.0;0.0;2.0;2.0;1.4142135623730951;0.0;15.0;2.0;3.0;2.0;0.0;4.0;0.0;2.0;1.0;0.0;2.0;3.5;0.75;0.0;48.5;22.5;0.0;3.5;0.0;2.25;0.0;0.0;0.0;0.7071067811865476;0.0;10.0;21.0;1.0;0.0;72.75;1.4142135623730951;0.5;0.25;1.5;7.75;0.0;3.0;3.5;0.0;1.0;17.677669529663692;1.0;0.0;20.0;0.0;0.0;2.0;12.5;0.0;0.0;2.1213203435596424;0.0;18.75;1.0;2.0;4.25;11.0;0.0;0.25;2.0;2.0;0.0;0.0
0.0;37.5;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;75.0;0.0;3.5;4.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;False;1.75;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;7.0;0.0;0.0;4.0;0.0;1.0;4.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;4.0;0.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;2.0;0.0;0.0;4.0;1.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;18.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.75;0.0;0.0;18.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;4.0;4.0;0.0;0.0
1.0;78.26237921249263;13.386560424545207;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;0.0;0.0;11.2;0.0;0.0;14.0;0.0;0.0;0.0;0.0;1.0;0.0;17.2;56.0;0.0;8.0;6.0;0.0;0.0;5.0;175.0;0.0;32.64659247149693;5.0;32.0;9.0;5.0;0.0;1.0;0.5477225575051662;0.0;0.0;0.0;5.0;False;14.6;0.0;0.0;11.0;2.0;2.23606797749979;0.0;0.0;12.0;0.0;0.0;0.0;0.0;73.0;0.0;0.4;5.0;1.0;11.0;5.0;1.0;0.0;0.0;3.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;0.0;5.0;4.47213595499958;0.0;5.0;0.0;0.0;4.69041575982343;2.0;2.0;5.0;5.0;5.504543577809153;0.0;0.0;0.0;0.0;0.0;5.0;5.0;2.23606797749979;0.0;3.0;5.0;2.8;5.0;0.0;5.0;0.8944271909999161;0.0;0.0;0.0;5.0;3.0;0.0;0.0;35.0;25.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.4;0.0;0.0;1.7888543819998317;0.0;0.0;0.0;9.0;0.0;10.0;4.0;0.0;5.0;25.043961347997648;1.0;0.0;23.0;0.0;0.0;5.0;0.0;0.0;0.0;3.8729833462074175;0.0;0.0;1.0;5.0;7.0;8.4;0.0;0.0;5.0;5.0;0.0;0.0
3.5;72.8319984622144;21.213203435596427;1.0;0.0;0.0;1.0;1.5;0.0;1.5;0.0;25.75;0.0;0.0;0.0;2.0;0.0;2.0;21.0;14.5;0.0;0.0;7.0;0.0;51.5;0.0;0.0;3.0;0.0;29.0;29.0;0.0;4.5;4.5;0.0;5.0;2.0;103.0;0.0;29.698484809834994;2.0;44.0;11.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;False;21.0;0.0;1.25;6.0;0.0;1.4142135623730951;0.0;0.0;6.25;0.0;0.0;1.5;0.0;42.0;0.0;0.0;2.0;3.75;5.5;2.0;1.0;0.0;0.0;21.5;2.0;10.5;0.5;0.0;1.0;0.0;7.25;2.0;0.0;2.0;4.949747468305833;0.0;2.0;3.75;1.75;2.1213203435596424;4.0;3.5;2.0;2.0;2.1213203435596424;0.0;3.5355339059327378;0.0;2.5;0.0;2.0;2.0;1.4142135623730951;0.0;14.0;2.0;1.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;6.0;0.0;0.0;51.5;36.5;0.0;6.0;2.5;5.25;0.0;0.0;0.7071067811865476;0.0;1.5;4.75;31.5;0.0;0.0;77.25;0.0;1.0;0.5;3.5;5.25;0.0;7.0;1.0;1.25;2.0;20.506096654409877;1.0;1.75;29.0;0.0;0.0;2.0;14.5;0.0;0.0;7.071067811865476;0.0;21.75;0.0;2.0;8.5;5.5;0.0;0.0;2.0;2.0;0.0;1.0
1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;26.0;3.0;0.0;0.0;1.0;0.0;0.0;4.0;3.0;0.0;26.0;2.0;0.0;26.0;0.0;0.0;1.0;0.0;3.0;3.0;0.0;1.0;1.0;0.0;0.0;1.0;26.0;0.0;0.0;1.0;3.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;False;4.0;0.0;0.0;1.0;0.0;0.0;4.0;0.0;2.0;0.0;0.0;1.0;0.0;4.0;0.0;0.0;1.0;1.0;2.0;1.0;1.0;0.0;0.0;3.0;1.0;4.0;1.0;0.0;1.0;0.0;3.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;3.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;26.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;0.0;0.0;26.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;3.0;0.0;0.0;1.0;3.0;0.0;1.0;0.0;0.0;3.0;0.0;1.0;1.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0
0.0;34.43544685349677;3.91051214844781;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;0.0;0.0;0.0;2.25;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;3.65;45.0;0.0;1.0;0.95;0.0;0.0;20.0;154.0;0.0;11.180339887498945;20.0;20.0;24.0;20.0;0.0;1.0;0.0;0.0;0.0;0.0;20.0;False;2.5;0.0;0.0;6.0;0.0;4.47213595499958;0.0;0.0;2.0;0.0;0.0;0.0;0.0;50.0;0.0;0.0;20.0;0.0;2.0;20.0;1.0;0.0;0.0;2.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;0.0;20.0;0.8944271909999157;0.0;20.0;0.0;0.0;1.2763022245616642;1.0;0.2;20.0;20.0;1.7006190823220508;0.0;0.0;0.0;0.0;0.0;20.0;20.0;4.47213595499958;0.0;2.0;20.0;1.3;20.0;0.0;6.0;0.0;0.0;0.0;0.0;20.0;1.0;0.0;0.0;7.7;3.0;0.0;1.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.1285761872936697;0.0;0.0;0.0;1.0;0.0;4.0;1.0;0.0;20.0;10.062305898749054;1.0;0.0;3.0;0.0;0.0;20.0;0.0;0.0;0.0;5.230477486505617;0.0;0.0;0.0;20.0;1.0;2.05;0.0;0.0;20.0;20.0;0.0;0.0
1.0;36.37306695894642;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.0;0.0;0.0;0.0;2.074074074074074;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;56.0;0.0;1.0;0.8888888888888888;0.0;0.0;27.0;189.0;0.0;13.279056191361391;27.0;3.0;1.0;27.0;0.0;1.0;0.0;0.0;0.0;0.0;27.0;False;2.555555555555556;0.0;0.0;1.0;3.0;5.196152422706632;0.0;0.0;2.0;0.0;0.0;0.0;0.0;69.0;0.0;0.1111111111111111;27.0;1.0;2.0;27.0;1.0;0.0;0.0;3.0;27.0;0.0;0.0;0.0;0.0;0.0;0.0;27.0;0.0;27.0;2.1169509870286283;0.0;27.0;0.0;0.0;0.32025630761017426;1.0;0.4074074074074074;27.0;27.0;0.3849001794597505;0.0;0.0;0.0;0.0;0.0;27.0;27.0;5.196152422706632;0.07407407407407407;3.0;27.0;1.0;27.0;0.0;1.0;0.5773502691896256;0.0;0.0;0.0;27.0;1.0;0.0;0.0;7.0;3.0;0.0;0.8148148148148148;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.2668802563418119;11.0;1.0;0.0;27.0;10.77720502487301;1.0;0.0;3.0;0.0;0.0;27.0;0.0;0.0;0.0;0.3958473906635696;0.0;0.0;0.0;27.0;1.0;1.9259259259259256;0.0;0.0;27.0;27.0;0.0;0.0
1.25;56.3382640840131;9.953223933312596;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0;0.0;7.666666666666668;0.0;0.0;13.0;0.0;0.0;0.0;0.0;1.0;0.0;12.333333333333336;46.0;0.0;3.5;4.666666666666667;0.0;0.0;6.0;138.0;0.0;23.27015255644019;6.0;27.0;9.0;6.0;0.0;1.25;0.40824829046386296;0.0;0.0;0.0;6.0;False;9.5;0.0;0.0;10.0;0.0;2.449489742783178;0.0;0.0;10.75;0.0;0.0;0.0;0.0;57.0;0.0;0.0;6.0;1.25;5.5;6.0;1.0;0.0;0.0;4.75;6.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;6.0;2.857738033247041;0.0;6.0;0.0;0.0;4.033195589934446;2.0;1.1666666666666667;6.0;6.0;4.88535225614967;0.0;0.0;0.0;0.0;0.0;6.0;6.0;2.449489742783178;0.0;3.0;6.0;2.333333333333333;6.0;0.0;5.0;0.0;0.0;0.0;0.0;6.0;2.0;0.0;0.0;23.0;19.25;0.0;2.833333333333333;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5;0.0;0.16666666666666666;0.0;0.0;1.5055453054181618;0.0;0.0;0.0;8.0;0.0;7.0;2.75;0.0;6.0;18.7794213613377;1.0;0.0;9.0;0.0;0.0;6.0;0.0;0.0;0.0;3.188521078284832;0.0;0.0;1.0;6.0;2.75;6.666666666666668;0.0;0.0;6.0;6.0;0.0;0.0
0.0;61.75;4.574840616531539;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;0.0;0.0;6.25;0.0;0.0;12.0;0.0;0.0;0.0;0.0;2.0;1.0;9.5625;100.0;0.0;5.0;4.375;0.0;0.0;16.0;247.0;0.0;27.75;16.0;18.0;5.0;16.0;0.6875;1.0;0.25;0.0;0.0;0.0;16.0;False;6.9375;0.25;0.0;8.0;1.0;1.0;0.0;0.0;7.25;0.0;0.0;0.0;0.0;111.0;0.0;0.0625;16.0;2.0;6.0;16.0;0.25;0.0;0.0;5.0;16.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;0.0;16.0;1.5;0.0;16.0;0.0;0.0;1.8929694486000912;3.0;0.375;16.0;16.0;2.963668897386031;0.0625;0.0;0.0;0.0;0.0;16.0;16.0;4.0;0.0;4.0;16.0;2.0;16.0;0.0;5.0;0.25;0.0;11.0;0.0;16.0;2.0;0.0;0.0;15.4375;11.25;0.0;1.75;0.0;0.0;0.0;0.0;0.0;2.75;0.0;3.0;0.0;0.0625;0.0;0.0;1.3165611772087666;0.0;0.0;0.0;5.0;0.0;6.0;2.0;0.0;4.0;25.0;1.0;0.0;9.0;0.0;0.0;16.0;0.0;0.0;0.0;1.7701224063135672;0.0;0.0;1.0;16.0;2.25;6.125;0.0;0.0;16.0;16.0;0.0;0.0
