NumberOfLoops_count;NumberOfComparisons_std;NumberOfLambdas_75%;NumberOfStringLiterals_max;RFC_std;NumberOfVariables_max;NumberOfStringLiterals_25%;LOCMethod_CK_mean;IsConstructor_freq;NumberOfUniqueWords_max;RFC_75%;NumberOfAnonymousClasses_min;NumberOfAnonymousClasses_std;NumberOfNumbers_count;NumberOfParenthesizedExps_count;Returns_min;RFC_50%;NumberOfMathOperations_mean;NumberOfLoops_min;LOCMethod_CK_std;NumberOfUniqueWords_75%;WMC_CK_mean;RFC_max;NumberOfParameters_CK_mean;NumberOfTryCatch_max;NumberOfParenthesizedExps_mean;NumberOfLoops_std;MaxNumberOfNestedBlocks_25%;IsConstructor_count;NumberOfTryCatch_75%;NumberOfInnerClasses_std;NumberOfComparisons_max;NumberOfComparisons_count;NumberOfAnonymousClasses_mean;NumberOfComparisons_75%;LOCMethod_CK_min;NumberOfParameters_CK_50%;NumberOfLambdas_std;NumberOfUniqueWords_std;NumberOfAnonymousClasses_75%;CBO_25%;Bugged;WMC_CK_25%;NumberOfLambdas_25%;NumberOfParenthesizedExps_max;NumberOfVariables_25%;NumberOfMathOperations_25%;NumberOfLogStatements_75%;NumberOfParameters_CK_count;LOCMethod_CK_50%;Returns_25%;MaxNumberOfNestedBlocks_max;NumberOfTryCatch_50%;RFC_25%;Returns_mean;NumberOfMathOperations_75%;NumberOfStringLiterals_min;NumberOfNumbers_mean;NumberOfNumbers_max;NumberOfComparisons_min;NumberOfModifiers_std;NumberOfParameters_CK_75%;NumberOfModifiers_50%;NumberOfModifiers_max;NumberOfInnerClasses_25%;NumberOfAnonymousClasses_25%;NumberOfLogStatements_mean;NumberOfTryCatch_25%;NumberOfLoops_max;Returns_std;NumberOfStringLiterals_count;WMC_CK_count;NumberOfLambdas_min;NumberOfLogStatements_min;CBO_mean;WMC_CK_min;NumberOfTryCatch_count;NumberOfLoops_50%;MaxNumberOfNestedBlocks_50%;NumberOfLoops_mean;NumberOfUniqueWords_count;RFC_count;NumberOfNumbers_75%;WMC_CK_std;NumberOfModifiers_count;Returns_max;RFC_min;NumberOfComparisons_50%;NumberOfParenthesizedExps_std;NumberOfUniqueWords_50%;NumberOfLambdas_count;NumberOfLogStatements_std;NumberOfParameters_CK_25%;NumberOfVariables_mean;LOCMethod_CK_count;NumberOfInnerClasses_min;NumberOfNumbers_min;NumberOfAssignments_mean;NumberOfParenthesizedExps_25%;NumberOfNumbers_25%;NumberOfMathOperations_50%;WMC_CK_50%;NumberOfUniqueWords_25%;NumberOfMathOperations_std;NumberOfStringLiterals_std;NumberOfMathOperations_min;NumberOfStringLiterals_50%;MaxNumberOfNestedBlocks_std;IsConstructor_top;NumberOfComparisons_mean;NumberOfAssignments_min;NumberOfModifiers_75%;LOCMethod_CK_25%;NumberOfLoops_25%;Returns_50%;NumberOfLambdas_50%;MaxNumberOfNestedBlocks_min;NumberOfVariables_75%;NumberOfLogStatements_count;RFC_mean;IsConstructor_unique;NumberOfStringLiterals_mean;NumberOfLambdas_max;NumberOfInnerClasses_max;NumberOfAnonymousClasses_max;NumberOfAssignments_50%;CBO_50%;NumberOfVariables_std;NumberOfNumbers_50%;MaxNumberOfNestedBlocks_75%;NumberOfLoops_75%;NumberOfModifiers_min;NumberOfMathOperations_max;Returns_count;NumberOfTryCatch_mean;NumberOfVariables_min;NumberOfUniqueWords_min;WMC_CK_max;NumberOfTryCatch_min;NumberOfLogStatements_25%;NumberOfInnerClasses_count;NumberOfAnonymousClasses_count;CBO_min;NumberOfInnerClasses_mean;NumberOfLambdas_mean;WMC_CK_75%;NumberOfParenthesizedExps_min;NumberOfComparisons_25%;MaxNumberOfNestedBlocks_mean;NumberOfParameters_CK_min;NumberOfVariables_50%;NumberOfVariables_count;NumberOfAssignments_std;NumberOfModifiers_mean;NumberOfNumbers_std;NumberOfLogStatements_50%;CBO_std;NumberOfUniqueWords_mean;NumberOfAssignments_25%;NumberOfAssignments_count;CBO_count;NumberOfParameters_CK_std;CBO_max;NumberOfMathOperations_count;Returns_75%;NumberOfAssignments_75%;LOCMethod_CK_75%;NumberOfAssignments_max;NumberOfLogStatements_max;CBO_75%;NumberOfTryCatch_std;NumberOfParenthesizedExps_50%;NumberOfParenthesizedExps_75%;NumberOfStringLiterals_75%;NumberOfInnerClasses_75%;NumberOfAnonymousClasses_50%;NumberOfInnerClasses_50%;MaxNumberOfNestedBlocks_count;NumberOfParameters_CK_max;LOCMethod_CK_max;NumberOfModifiers_25%
4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;42.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0;0.0;0.0;0.0;19.5;1.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;4.0;0.0;0.0;1.0;0.0;0.0;15.882380174268588;0.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0;0.5;1.0;4.0;0.0;0.0;0.0;4.0;4.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;11.0;4.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;9.75;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;9.0;1.0;0.0;0.0;4.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.5773502691896257;18.25;0.0;4.0;4.0;0.0;1.0;4.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;1.0;0.0
2.0;0.0;0.0;1.0;7.071067811865476;2.0;0.25;6.5;1.0;10.0;7.5;0.0;0.0;2.0;2.0;0.0;5.0;0.0;0.0;6.363961030678928;8.25;1.5;10.0;0.0;0.0;0.0;0.7071067811865476;0.25;2.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;4.949747468305833;0.0;0.25;False;1.25;0.0;0.0;0.5;0.0;0.0;2.0;6.5;0.25;1.0;0.0;2.5;0.5;0.0;0.0;0.0;0.0;0.0;5.656854249492381;0.0;6.0;10.0;0.0;0.0;0.0;0.0;1.0;0.7071067811865476;2.0;2.0;0.0;0.0;0.5;1.0;2.0;0.5;0.5;0.5;2.0;2.0;0.0;0.7071067811865476;2.0;1.0;0.0;0.0;0.0;6.5;2.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;1.5;4.75;0.0;0.7071067811865476;0.0;0.5;0.7071067811865476;True;0.0;0.0;8.0;4.25;0.25;0.5;0.0;0.0;1.5;2.0;5.0;2.0;0.5;0.0;0.0;0.0;1.0;0.5;1.4142135623730951;0.0;0.75;0.75;2.0;0.0;2.0;0.0;0.0;3.0;2.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;1.75;0.0;0.0;0.5;0.0;1.0;2.0;1.4142135623730951;6.0;0.0;0.0;0.7071067811865476;6.5;0.5;2.0;2.0;0.0;1.0;2.0;0.75;1.5;8.75;2.0;0.0;0.75;0.0;0.0;0.0;0.75;0.0;0.0;0.0;2.0;0.0;11.0;4.0
3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;33.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;0.0;0.0;33.0;1.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;1.0;0.0;12.701705922171767;0.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;3.0;3.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;33.0;3.0;0.0;0.5;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;22.0;0.0;0.0;0.0;0.0;0.0;False;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;11.0;1.0;0.0;0.0;3.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;25.66666666666667;0.0;3.0;3.0;0.5773502691896258;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;1.0;0.0
5.0;1.0954451150103324;0.0;4.0;1.949358868961793;2.0;0.0;13.0;5.0;27.0;5.0;0.0;0.0;5.0;5.0;0.0;3.0;0.2;0.0;7.071067811865476;21.0;3.0;6.0;0.2;2.0;0.0;0.0;1.0;5.0;1.0;0.0;2.0;5.0;0.0;2.0;3.0;0.0;0.0;11.20267825120404;0.0;1.0;False;2.0;0.0;0.0;0.0;0.0;0.0;5.0;14.0;0.0;2.0;1.0;3.0;0.4;0.0;0.0;0.0;0.0;0.0;11.180339887498945;0.0;33.0;33.0;0.0;0.0;0.2;0.0;0.0;0.8944271909999161;5.0;5.0;0.0;0.0;1.6;1.0;5.0;0.0;2.0;0.0;5.0;5.0;0.0;1.5811388300841898;5.0;2.0;1.0;2.0;0.0;13.0;5.0;0.4472135954999581;0.0;0.6;5.0;0.0;0.0;2.6;0.0;0.0;0.0;3.0;2.0;0.4472135954999581;1.7888543819998317;0.0;0.0;0.8944271909999159;False;1.2;0.0;33.0;10.0;0.0;0.0;0.0;0.0;1.0;5.0;3.6;1.0;1.2;0.0;0.0;0.0;3.0;1.0;0.8944271909999159;0.0;2.0;0.0;8.0;1.0;5.0;0.8;0.0;2.0;5.0;0.0;0.0;5.0;5.0;0.0;0.0;0.0;4.0;0.0;0.0;1.4;0.0;0.0;5.0;2.5099800796022267;28.0;0.0;0.0;1.51657508881031;13.0;0.0;5.0;5.0;0.4472135954999579;4.0;5.0;0.0;5.0;16.0;5.0;1.0;2.0;0.8366600265340756;0.0;0.0;2.0;0.0;0.0;0.0;5.0;1.0;22.0;33.0
2.0;0.7071067811865476;0.0;2.0;3.5355339059327378;3.0;1.25;24.0;2.0;22.0;13.75;0.0;0.7071067811865476;2.0;2.0;0.0;12.5;0.0;0.0;18.384776310850235;19.0;3.0;15.0;0.0;3.0;0.0;0.0;1.75;2.0;2.5;0.0;1.0;2.0;0.5;0.75;11.0;0.0;0.0;8.48528137423857;0.75;4.25;False;2.0;0.0;0.0;2.25;0.0;0.0;2.0;24.0;0.0;4.0;2.0;11.25;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.25;0.0;1.5;0.0;0.0;2.0;2.0;0.0;0.0;4.5;1.0;2.0;0.0;2.5;0.0;2.0;2.0;0.0;2.8284271247461903;2.0;0.0;10.0;0.5;0.0;16.0;2.0;0.0;0.0;2.5;2.0;0.0;0.0;3.0;0.0;0.0;0.0;3.0;13.0;0.0;0.7071067811865476;0.0;1.5;2.1213203435596424;False;0.5;2.0;1.0;17.5;0.0;0.0;0.0;1.0;2.75;2.0;12.5;1.0;1.5;0.0;0.0;1.0;3.0;4.5;0.7071067811865476;0.0;3.25;0.0;1.0;0.0;2.0;2.0;2.0;10.0;5.0;1.0;0.0;2.0;2.0;4.0;0.0;0.0;4.0;0.0;0.25;2.5;0.0;2.5;2.0;1.4142135623730951;1.0;0.0;0.0;0.7071067811865476;16.0;2.5;2.0;2.0;0.0;5.0;2.0;0.0;3.5;30.5;4.0;0.0;4.75;1.4142135623730951;0.0;0.0;1.75;0.0;0.5;0.0;2.0;0.0;37.0;1.0
1.0;0.0;0.0;1.0;0.0;0.0;1.0;3.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;False;0.0;0.0;1.0;3.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;3.0;1.0
20.0;1.1285761872936697;0.0;2.0;0.4893604849295929;1.0;0.0;3.2;19.0;14.0;0.0;0.0;0.0;20.0;20.0;0.0;0.0;0.1;0.0;2.3530495331087193;5.0;1.25;2.0;0.55;0.0;0.0;0.0;0.0;20.0;0.0;0.0;5.0;20.0;0.0;0.0;2.0;0.0;0.0;2.5188761069384227;0.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;20.0;3.0;0.0;1.0;0.0;0.0;0.8;0.0;0.0;0.2;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.8944271909999159;20.0;20.0;0.0;0.0;0.15;1.0;20.0;0.0;0.0;0.0;20.0;20.0;0.0;0.9104654680003259;20.0;4.0;0.0;0.0;0.0;4.0;20.0;0.0;0.0;0.05;20.0;0.0;0.0;0.1;0.0;0.0;0.0;1.0;3.0;0.44721359549995787;0.44721359549995787;0.0;0.0;0.22360679774997894;False;0.3;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;20.0;0.15;2.0;0.1;0.0;0.0;0.0;0.0;0.0;0.22360679774997894;0.0;0.0;0.0;1.0;2.0;20.0;0.0;0.0;1.0;5.0;0.0;0.0;20.0;20.0;0.0;0.0;0.0;1.0;0.0;0.0;0.05;0.0;0.0;20.0;0.30779350562554625;1.0;0.4103913408340617;0.0;0.3663475485325232;4.35;0.0;20.0;20.0;0.6863327411532597;1.0;20.0;1.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;2.0;13.0;1.0
27.0;0.0;0.0;1.0;0.3958473906635696;0.0;0.0;2.888888888888889;27.0;9.0;0.0;0.0;0.0;27.0;27.0;0.0;0.0;0.0;0.0;0.32025630761017426;5.0;1.0;1.0;0.7037037037037037;0.0;0.0;0.0;0.0;27.0;0.0;0.0;0.0;27.0;0.0;0.0;2.0;1.0;0.0;1.6494840771579826;0.0;0.0;False;1.0;0.0;0.0;0.0;0.0;0.0;27.0;3.0;1.0;0.0;0.0;0.0;0.8148148148148148;0.0;0.0;0.07407407407407407;1.0;0.0;7.792172272091316;1.0;1.0;41.0;0.0;0.0;0.0;0.0;0.0;0.3958473906635696;27.0;27.0;0.0;0.0;0.2962962962962963;1.0;27.0;0.0;0.0;0.0;27.0;27.0;0.0;0.0;27.0;1.0;0.0;0.0;0.0;4.0;27.0;0.0;0.0;0.0;27.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;0.0;0.3958473906635696;0.0;0.0;0.0;False;0.0;0.0;1.0;3.0;0.0;1.0;0.0;0.0;0.0;27.0;0.1851851851851852;1.0;0.1851851851851852;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;27.0;0.0;0.0;2.0;1.0;0.0;0.0;27.0;27.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;27.0;0.0;2.7777777777777777;0.2668802563418119;0.0;0.6085806194501847;4.481481481481481;0.0;27.0;27.0;0.6688000054526371;2.0;27.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.0;2.0;3.0;1.0
6.0;0.983192080250175;0.0;4.0;2.6076809620810595;2.0;0.0;8.833333333333334;6.0;27.0;5.0;0.0;0.0;6.0;6.0;0.0;3.0;0.16666666666666666;0.0;6.4316923641190025;11.0;2.333333333333333;6.0;0.16666666666666666;1.0;0.0;0.0;0.25;6.0;0.0;0.0;2.0;6.0;0.0;1.75;3.0;0.0;0.0;9.45868207873944;0.0;1.0;False;1.25;0.0;0.0;0.0;0.0;0.0;6.0;7.0;0.0;2.0;0.0;1.0;0.8333333333333334;0.0;0.0;0.0;0.0;0.0;17.527121840165314;0.0;17.0;33.0;0.0;0.0;0.16666666666666666;0.0;0.0;0.983192080250175;6.0;6.0;0.0;0.0;2.0;1.0;6.0;0.0;1.0;0.0;6.0;6.0;0.0;1.5055453054181618;6.0;2.0;0.0;0.5;0.0;6.5;6.0;0.40824829046386296;0.0;0.6666666666666666;6.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;2.75;0.40824829046386296;1.6020819787597218;0.0;0.0;0.8944271909999159;False;0.8333333333333334;0.0;33.0;3.75;0.0;0.5;0.0;0.0;1.0;6.0;3.0;1.0;0.8333333333333334;0.0;0.0;0.0;1.5;2.0;0.8164965809277259;0.0;1.75;0.0;1.0;1.0;6.0;0.16666666666666666;0.0;2.0;5.0;0.0;0.0;6.0;6.0;0.0;0.0;0.0;2.75;0.0;0.0;1.0;0.0;0.5;6.0;2.2803508501982757;17.0;0.0;0.0;1.5491933384829668;9.333333333333334;0.0;6.0;6.0;0.40824829046386296;4.0;6.0;1.75;3.75;12.5;5.0;1.0;3.0;0.40824829046386296;0.0;0.0;0.75;0.0;0.0;0.0;6.0;1.0;19.0;1.0
16.0;0.3415650255319866;0.0;1.0;1.9278658321228341;2.0;0.0;7.875;16.0;15.0;5.0;0.0;0.0;16.0;16.0;0.0;4.0;0.0;0.0;3.4034296427770228;14.25;2.0625;8.0;0.125;1.0;0.0;0.0;0.0;16.0;0.0;0.0;1.0;16.0;0.0;0.0;4.0;0.0;0.0;3.4034296427770228;0.0;2.75;False;1.0;0.0;0.0;1.0;0.0;0.0;16.0;8.0;0.0;2.0;0.0;2.0;0.1875;0.0;0.0;0.0;0.0;0.0;1.6278820596099706;0.0;2.0;8.0;0.0;0.0;0.0;0.0;0.0;0.5439056290693574;16.0;16.0;0.0;0.0;3.125;1.0;16.0;0.0;1.0;0.0;16.0;16.0;0.0;1.3400870618483465;16.0;2.0;1.0;0.0;0.0;10.5;16.0;0.0;0.0;1.1875;16.0;0.0;0.0;1.625;0.0;0.0;0.0;2.0;7.0;0.0;0.25;0.0;0.0;0.6191391873668903;False;0.125;0.0;2.0;4.0;0.0;0.0;0.0;0.0;2.0;16.0;3.875;1.0;0.0625;0.0;0.0;0.0;1.0;3.0;0.75;0.0;1.0;0.0;1.0;0.0;16.0;0.0625;0.0;7.0;5.0;0.0;0.0;16.0;16.0;0.0;0.0;0.0;2.25;0.0;0.0;0.625;0.0;1.0;16.0;1.3102162671355695;2.125;0.0;0.0;1.3601470508735445;10.875;1.0;16.0;16.0;0.3415650255319866;5.0;16.0;0.0;3.0;9.25;4.0;0.0;4.0;0.25;0.0;0.0;0.0;0.0;0.0;0.0;16.0;1.0;14.0;1.75
