;blamemerge_blamegetDifficulty_count;FileLength_std;MethodLength_std;Difficulty;FileLength_25%;blamemerge_blamegetDifficulty_std;blamemerge_blamegetVocabulary_count;NumberOfDistinctOperators;blame_merge_blame_getDifficulty_std;blamemerge_blamegetEffort_count;FileLength_min;blamemerge_blamegetEffort_mean;blamemerge_blamegetVolume_mean;blamemerge_blamegetVocabulary_max;FileLength_50%;blame_merge_blame_getVolume_mean;blamemerge_blamegetEffort_max;MethodLength_mean;AnonymousInnerClassLength_max;FileLength_max;MethodLength_max;blamemerge_blamegetLength_mean;blame_merge_blame_getLength_max;Length;Bugged;blame_merge_blame_getVolume_std;blame_merge_blame_getVocabulary_count;TotalNumberOfOperands;blame_merge_blame_getEffort_max;blame_merge_blame_getVolume_min;blame_merge_blame_getDifficulty_count;TotalNumberOfOperators;blamemerge_blamegetLength_max;blame_merge_blame_getVocabulary_std;blame_merge_blame_getVocabulary_max;Vocabulary;blame_merge_blame_getEffort_min;MethodLength_25%;blamemerge_blamegetVolume_max;AnonymousInnerClassLength_count;blame_merge_blame_getDifficulty_min;blamemerge_blamegetLength_count;blame_merge_blame_getLength_mean;blame_merge_blame_getEffort_mean;AnonymousInnerClassLength_75%;FileLength_count;blamemerge_blamegetVocabulary_mean;blame_merge_blame_getEffort_std;Volume;AnonymousInnerClassLength_std;AnonymousInnerClassLength_mean;blamemerge_blamegetVolume_count;blame_merge_blame_getVolume_max;blame_merge_blame_getLength_min;MethodLength_min;blamemerge_blamegetVolume_std;blamemerge_blamegetLength_std;Effort;blame_merge_blame_getDifficulty_mean;AnonymousInnerClassLength_min;blamemerge_blamegetVocabulary_std;blame_merge_blame_getLength_count;blame_merge_blame_getVolume_count;FileLength_mean;MethodLength_75%;AnonymousInnerClassLength_50%;blame_merge_blame_getVocabulary_mean;blamemerge_blamegetDifficulty_max;FileLength_75%;blamemerge_blamegetEffort_std;blame_merge_blame_getEffort_count;AnonymousInnerClassLength_25%;MethodLength_50%;blame_merge_blame_getVocabulary_min;blame_merge_blame_getDifficulty_max;blame_merge_blame_getLength_std;MethodLength_count;NumberOfDistinctOperands;blamemerge_blamegetDifficulty_mean
count;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;1503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;4395.89170360988;25.404705502349557;3.1382211476940904;21.027740146105607;12.712792906903104;0.8746461727657596;4395.89170360988;16.338188727042432;0.0;4395.89170360988;10.293856871437619;19.797675033694283;9.856607118183943;12.970234325522483;15.131728942368587;0.0;244.62099561642552;6.168621311259138;0.49841671944268523;67.90626979100696;10.701076630778974;3.314462603105066;0.0;344.6111462951235;;0.0;0.0;141.3571880937302;0.0;0.0;0.0;203.2539582013933;19.34262191260291;0.0;0.0;65.7675744141862;0.0;4.405478150728309;71.45527902381087;3.039265357821406;0.0;4395.89170360988;0.0;0.0;0.06317289423685878;3.039265357821406;2.618586564028075;0.0;2316.6910875051826;0.1628975173088789;0.08636276577156934;4395.89170360988;0.0;0.0;3.636478784040532;16.719142069422332;4.858007900445849;125003.30197262637;0.0;0.010766307789740342;3.558980492138103;0.0;0.0;23.111693985623173;7.2675744141861935;0.044648511716276124;0.0;3.791446082065145;23.180493983533882;41.224746765137475;0.0;0.027707409753008234;5.549081697276757;0.0;0.0;0.0;3.039265357821406;49.429385687143764;0.5469308715925266
std;9334.38587050692;30.67956441199804;7.634214408778998;20.603310680883414;19.523922256902868;0.34384416917338817;9334.38587050692;7.633202738231182;0.0;9334.38587050692;19.893787210813677;17.069482107103827;6.4739432690179655;3.2152993948530173;20.907168532785434;0.0;216.9511994784073;9.408690931773055;6.7223001582883315;84.1803699316583;18.71866470181814;1.9046853806463517;0.0;525.4664348674037;;0.0;0.0;196.5068240669753;0.0;0.0;0.0;330.09682602505166;5.739686929526256;0.0;0.0;44.56181320739544;0.0;7.291561963282139;27.00246856345545;4.705494290669996;0.0;9334.38587050692;0.0;0.0;0.7202093607560088;4.705494290669996;1.3763698890074874;0.0;3979.578389808883;1.5065040319677991;0.7054748758999533;9334.38587050692;0.0;0.0;6.41979564988923;6.029975226052295;1.4709176684576781;454191.7395967397;0.0;0.28792445139878586;0.9049533224171289;0.0;0.0;19.354437869297847;12.174678547089954;0.5760328685106121;0.0;1.7099830986456948;24.857026969111804;30.097689198373622;0.0;0.3936080710252769;9.487115075274264;0.0;0.0;0.0;4.705494290669996;38.05135343740515;0.34184831194306586
min;0.0;0.0;0.0;2.5;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.0;;0.0;0.0;8.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.207035490257475;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;148.0175887256437;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0
25%;372.0;0.0;0.0;8.534855769230768;0.0;0.6101105551632049;372.0;11.0;0.0;372.0;0.0;7.807931046190721;5.465593037805308;11.0;0.0;0.0;77.70923408096293;0.0;0.0;24.0;0.0;2.0;0.0;81.5;;0.0;0.0;38.0;0.0;0.0;0.0;42.0;15.0;0.0;0.0;36.0;0.0;0.0;49.82892142331044;1.0;0.0;372.0;0.0;0.0;0.0;1.0;1.6380073265917772;0.0;413.6403177873932;0.0;0.0;372.0;0.0;0.0;0.0;12.406617597038734;3.845629535268805;3672.7757658118735;0.0;0.0;2.990640910305566;0.0;0.0;7.0;0.0;0.0;0.0;2.5;0.0;18.791725819341824;0.0;0.0;0.0;0.0;0.0;0.0;1.0;25.0;0.2882123081091093
50%;1106.0;23.09401076758503;0.0;14.567567567567568;0.0;0.8741468499205717;1106.0;15.0;0.0;1106.0;0.0;14.065546587232188;8.302924405525067;13.0;0.0;0.0;169.4183328392555;3.0;0.0;46.0;3.0;2.904653802497162;0.0;155.0;;0.0;0.0;71.0;0.0;0.0;0.0;84.0;18.0;0.0;0.0;50.0;0.0;3.0;68.11428751370197;2.0;0.0;1106.0;0.0;0.0;0.0;2.0;2.391025641025641;0.0;883.1796274167442;0.0;0.0;1106.0;0.0;0.0;3.0;16.220260989701277;4.783692777384202;13053.347648880268;0.0;0.0;3.5634832254989917;0.0;0.0;22.0;3.0;0.0;0.0;4.0;24.0;30.85266117111505;0.0;0.0;3.0;0.0;0.0;0.0;2.0;35.0;0.4881656804733728
75%;4169.0;44.72751958288871;2.8867513459481287;25.49158485273492;24.0;1.132504623530701;4169.0;20.0;0.0;4169.0;0.0;27.591301907123515;12.449441647704901;15.0;32.5;0.0;370.54998463423277;9.0;0.0;86.0;14.0;4.191431592039801;0.0;395.0;;0.0;0.0;165.5;0.0;0.0;0.0;230.5;23.0;0.0;0.0;83.5;0.0;5.0;87.56916320732489;4.0;0.0;4169.0;0.0;0.0;0.0;4.0;3.3397042913811754;0.0;2532.6802681277395;0.0;0.0;4169.0;0.0;0.0;3.0;20.544240378846606;5.820055985518711;68522.2923038744;0.0;0.0;4.184522794066483;0.0;0.0;35.45;10.0;0.0;0.0;4.8;40.0;59.535688891859;0.0;0.0;7.5;0.0;0.0;0.0;4.0;63.0;0.7590802737348177
