Si_count;blamemerge_blamegetDifficulty_count;blame_merge_blame_getDistinctOperatorsCnt_min;Difficulty;MCLC_50%;IOVars_25%;blamemerge_blamegetDifficulty_std;MCLC_max;NumberOfDistinctOperators;NVAR_75%;blame_merge_blame_getDifficulty_std;Ci_std;blamemerge_blamegetDistinctOperatorsCnt_count;Ci_50%;IOVars_min;NOP_75%;Fin_max;blame_merge_blame_getDistinctOperandsCnt_min;Fout_min;blamemerge_blamegetDistinctOperatorsCnt_std;Di_75%;ClTCi;Fin_25%;NCOMP_std;NCOMP_mean;Fout_50%;blamemerge_blamegetDistinctOperatorsCnt_mean;VG_75%;NBD_min;Fin_count;Si_75%;NBD_75%;NVAR_max;NOP_count;Fout_std;MCLC_min;Di_max;blamemerge_blamegetDistinctOperandsCnt_std;Bugged;blame_merge_blame_getDistinctOperatorsCnt_count;IOVars_mean;MCLC_75%;VG_count;Di_25%;VG_max;blame_merge_blame_getDifficulty_count;NOPa;NCOMP_min;Si_50%;Di_mean;blame_merge_blame_getDistinctOperatorsCnt_mean;NCOMP_count;blame_merge_blame_getDistinctOperandsCnt_max;Si_mean;NVAR_std;NBD_25%;blame_merge_blame_getDistinctOperandsCnt_count;Si_max;Si_min;VG_min;Fin_min;MCLC_25%;NVAR_min;blame_merge_blame_getDistinctOperandsCnt_std;IOVars_75%;Fin_75%;MCLC_count;Fout_75%;blame_merge_blame_getDifficulty_min;VG_std;NVAR_mean;MCLC_mean;NVAR_50%;Ci_75%;NBD_mean;IOVars_50%;Si_25%;blamemerge_blamegetDistinctOperandsCnt_mean;blamemerge_blamegetDistinctOperandsCnt_count;NVAR_count;Di_50%;NOP_mean;NOP_max;Di_count;NOP_std;Si_std;Ci_max;NOP_min;Fin_std;Fin_mean;NOP_50%;Ci_25%;NCOMP_75%;blame_merge_blame_getDifficulty_mean;blamemerge_blamegetDistinctOperatorsCnt_max;blamemerge_blamegetDistinctOperandsCnt_max;NOP_25%;Ci_count;NCOMP_max;Fout_mean;IOVars_count;NCOMP_50%;Fout_25%;blamemerge_blamegetDifficulty_max;NVAR_25%;NBD_max;blame_merge_blame_getDistinctOperandsCnt_mean;VG_50%;VG_mean;Di_min;Fout_count;ClRCi;VG_25%;blame_merge_blame_getDistinctOperatorsCnt_std;NCOMP_25%;NBD_count;blame_merge_blame_getDifficulty_max;blame_merge_blame_getDistinctOperatorsCnt_max;Fin_50%;Di_std;IOVars_max;MCLC_std;NBD_50%;NumberOfDistinctOperands;Fout_max;blamemerge_blamegetDifficulty_mean;Ci_mean;IOVars_std;NBD_std;Ci_min
5.0;673.0;0.0;6.645833333333332;0.0;0.0;0.8025869555207581;0.0;11.0;0.0;0.0;0.5477225575051662;673.0;1.0;0.0;0.0;0.0;0.0;0.0;1.5543327373058855;1.0;3.0;0.0;0.0;0.0;0.0;0.9732540861812778;1.0;1.0;5.0;0.0;1.0;0.0;5.0;0.0;0.0;1.0;1.4913249463215992;False;0.0;0.6;0.0;5.0;0.0;1.0;0.0;0.0;0.0;0.0;0.6;0.0;5.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.7488855869242199;673.0;5.0;1.0;0.2;1.0;5.0;0.4472135954999581;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;6.0;0.0;5.0;0.0;0.0;5.0;0.0;0.0;4.375;0.0;1.0;0.0;1.0;1.0;0.0;5.0;0.6;1.0;0.0;0.0;5.0;0.0;0.0;0.0;0.5477225575051662;1.0;0.0;1.0;24.0;0.0;0.4829123328380386;0.6;0.5477225575051662;0.0;0.0
2.0;372.0;0.0;21.762711864406786;4.0;1.0;0.8000000339644372;8.0;24.0;1.5;0.0;0.3535533905932738;372.0;1.25;1.0;0.0;1.0;0.0;0.0;1.4500843730168371;0.875;3.5;0.25;4.242640687119285;3.0;0.5;1.1021505376344083;3.25;1.0;2.0;0.75;2.5;2.0;2.0;0.7071067811865476;0.0;1.0;1.94982975467747;False;0.0;1.0;6.0;2.0;0.625;4.0;0.0;0.0;0.0;0.5;0.75;0.0;2.0;0.0;0.5;1.4142135623730951;1.5;0.0;1.0;0.0;1.0;0.0;2.0;0.0;0.0;1.0;0.75;2.0;0.75;0.0;2.1213203435596424;1.0;4.0;1.0;1.375;2.0;1.0;0.25;1.1102150537634408;372.0;2.0;0.75;0.0;0.0;2.0;0.0;0.7071067811865476;1.5;0.0;0.7071067811865476;0.5;0.0;1.125;4.5;0.0;9.0;8.0;0.0;2.0;6.0;0.5;2.0;3.0;0.25;6.0;0.5;3.0;0.0;2.5;2.5;0.5;2.0;1.166666667;1.75;0.0;1.5;2.0;0.0;0.0;0.5;0.3535533905932738;1.0;5.656854249492381;2.0;59.0;1.0;0.4818548387096774;1.25;0.0;1.4142135623730951;1.0
4.0;699.0;0.0;6.428571428571429;0.0;0.0;0.5130685519963153;0.0;10.0;0.0;0.0;0.5773502691896257;699.0;0.5;0.0;1.0;0.0;0.0;0.0;1.0286626866702422;1.0;2.0;0.0;0.0;0.0;0.0;0.357653791130186;1.0;1.0;4.0;0.0;1.0;0.0;4.0;0.0;0.0;1.0;1.5470785253871324;False;0.0;0.5;0.0;4.0;0.0;1.0;0.0;0.0;0.0;0.0;0.5;0.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.5;0.0;0.5550786838340487;699.0;4.0;0.5;0.5;1.0;4.0;0.5773502691896257;0.0;1.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;6.0;6.0;0.0;4.0;0.0;0.0;4.0;0.0;0.0;3.0;0.0;1.0;0.0;1.0;1.0;0.0;4.0;0.5;1.0;0.0;0.0;4.0;0.0;0.0;0.0;0.5773502691896257;1.0;0.0;1.0;21.0;0.0;0.17024320457796852;0.5;0.5773502691896257;0.0;0.0
5.0;662.0;0.0;41.04545454545455;4.0;0.0;1.0810675968974448;7.0;30.0;2.0;0.0;3.944933459514875;662.0;1.0;0.0;0.0;3.0;0.0;0.0;1.9040664523442568;1.0;11.25;0.0;2.04939015319192;1.8;0.0;1.6404833836858006;3.0;1.0;5.0;0.0;3.0;2.0;5.0;1.3416407864998738;0.0;1.0;2.2668531405708943;False;0.0;0.6;4.0;5.0;0.0;3.0;0.0;0.0;0.0;0.0;0.45;0.0;5.0;0.0;1.8;1.0954451150103324;1.0;0.0;9.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;0.0;1.095445115010332;1.2;3.0;2.0;1.0;2.2;1.0;0.0;1.4637462235649548;662.0;5.0;0.25;0.2;1.0;5.0;0.4472135954999579;4.024922359499622;9.25;0.0;1.3416407864998738;0.6;0.0;0.0;2.0;0.0;8.0;15.0;0.0;5.0;5.0;0.6;5.0;2.0;0.0;4.666666666666667;0.0;3.0;0.0;3.0;2.2;0.0;5.0;2.25;1.0;0.0;0.0;5.0;0.0;0.0;0.0;0.51234753829798;1.0;3.0;3.0;110.0;3.0;0.6987483815278377;2.25;0.5477225575051662;1.095445115010332;0.0
0.0;309.0;0.0;27.123287671232877;0.0;0.0;1.1263825719124207;0.0;22.0;0.0;0.0;0.0;309.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9299613926651904;0.0;0.0;0.0;0.0;0.0;0.0;1.766990291262136;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.531730298207569;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.6893203883495145;309.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;73.0;0.0;0.7386669156086632;0.0;0.0;0.0;0.0
0.0;78.0;0.0;5.0;0.0;0.0;0.525451140543915;0.0;10.0;0.0;0.0;0.0;78.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0530389873556956;0.0;0.0;0.0;0.0;0.0;0.0;0.5384615384615384;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.4005493427717786;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4230769230769231;78.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.0;0.0;0.21153846153846154;0.0;0.0;0.0;0.0
20.0;1512.0;0.0;35.0188679245283;0.0;1.0;0.9152172519221736;9.0;29.0;0.0;0.0;0.523148363780597;1512.0;1.0;0.0;1.0;0.0;0.0;0.0;1.4823766561170308;1.25;26.0;0.0;1.5719582155957417;0.55;0.0;1.3339947089947088;1.0;1.0;20.0;0.0;1.0;3.0;20.0;0.0;0.0;2.0;1.503131008009181;False;0.0;1.2;0.0;20.0;1.0;6.0;0.0;0.0;0.0;0.0;1.2;0.0;20.0;0.0;0.0;0.6708203932499371;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.25;0.0;20.0;0.0;0.0;1.1285761872936697;0.15;0.7;0.0;1.25;1.05;1.0;0.0;0.7910052910052909;1512.0;20.0;1.0;0.5;2.0;20.0;0.6882472016116853;0.0;2.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;8.0;6.0;0.0;20.0;6.0;0.0;20.0;0.0;0.0;6.666666666666668;0.0;2.0;0.0;1.0;1.3;0.0;20.0;1.238095238;1.0;0.0;0.0;20.0;0.0;0.0;0.0;0.523148363780597;2.0;2.1545545393788235;1.0;53.0;0.0;0.5051256613756614;1.2;0.523148363780597;0.22360679774997905;0.0
27.0;2056.0;0.0;20.88888888888889;0.0;1.0;0.85124468118307;0.0;18.0;0.0;0.0;0.4985734635693106;2056.0;2.0;1.0;1.0;1.0;0.0;0.0;1.4279373032168674;2.0;42.5;0.0;0.0;0.0;0.0;1.4382295719844358;1.0;1.0;27.0;0.0;1.0;0.0;27.0;0.19245008972987526;0.0;2.0;1.6689685836992227;False;0.0;1.5185185185185186;0.0;27.0;1.0;1.0;0.0;0.0;0.0;0.0;1.5;0.0;27.0;0.0;0.037037037037037035;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;27.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;0.0;1.0578793774319066;2056.0;27.0;2.0;0.7037037037037037;2.0;27.0;0.6688000054526371;0.19245008972987526;2.0;0.0;0.19245008972987526;0.037037037037037035;1.0;1.0;0.0;0.0;7.0;6.0;0.0;27.0;0.0;0.037037037037037035;27.0;0.0;0.0;5.25;0.0;1.0;0.0;1.0;1.0;0.5;27.0;1.517857143;1.0;0.0;0.0;27.0;0.0;0.0;0.0;0.5370861555295746;2.0;0.0;1.0;81.0;1.0;0.574294747081712;1.5370370370370368;0.5091750772173156;0.0;1.0
6.0;3525.0;0.0;32.56701030927835;1.5;0.25;0.9127296475572428;7.0;27.0;1.75;0.0;3.5417156859352783;3525.0;1.0;0.0;0.0;3.0;0.0;0.0;1.7186412163665403;0.875;12.75;0.0;1.9663841605003505;1.3333333333333333;0.0;1.3957446808510638;2.75;1.0;6.0;0.75;2.75;3.0;6.0;1.2110601416389968;0.0;1.0;2.137789893219373;False;0.0;0.6666666666666666;4.25;6.0;0.0625;4.0;0.0;0.0;0.0;0.0;0.4583333333333333;0.0;6.0;0.0;1.6666666666666667;1.1690451944500122;1.25;0.0;9.0;0.0;1.0;0.0;0.25;0.0;0.0;1.0;0.75;6.0;0.75;0.0;1.1690451944500122;1.1666666666666667;2.5;1.0;1.375;2.0;1.0;0.0;1.4076595744680849;3525.0;6.0;0.375;0.16666666666666666;1.0;6.0;0.40824829046386296;3.614784456460256;9.25;0.0;1.2110601416389968;0.6666666666666666;0.0;0.25;1.75;0.0;8.0;15.0;0.0;6.0;5.0;0.6666666666666666;6.0;0.5;0.0;4.666666666666667;0.25;3.0;0.0;2.0;2.1666666666666665;0.0;6.0;2.125;1.25;0.0;0.0;6.0;0.0;0.0;0.0;0.4587119648174296;1.0;2.8809720581775866;2.0;97.0;3.0;0.5928699763593381;2.125;0.5163977794943223;0.8944271909999159;0.0
16.0;2385.0;0.0;44.359756097560975;0.0;0.0;0.9432904926269836;2.0;25.0;0.0;0.0;10.315546519695406;2385.0;4.0;0.0;0.0;11.0;0.0;0.0;1.6884131688913688;0.05;123.4;0.75;0.3415650255319866;0.125;2.0;1.550524109014675;2.0;1.0;16.0;7.0;2.0;1.0;16.0;1.7211914478058503;0.0;1.0;1.857294084595761;False;0.0;0.25;0.25;16.0;0.0;5.0;0.0;0.0;0.0;4.0;0.15;0.0;16.0;0.0;7.5625;0.4031128874149275;1.0;0.0;36.0;0.0;1.0;0.0;0.0;0.0;0.0;0.25;2.0;16.0;2.5;0.0;1.3400870618483465;0.1875;0.3125;0.0;7.05;2.0;0.0;1.0;1.129979035639413;2385.0;16.0;0.0;0.125;1.0;16.0;0.3415650255319866;10.38568726661842;36.0;0.0;2.7620946158063933;2.1875;0.0;1.0;0.0;0.0;9.0;7.0;0.0;16.0;1.0;2.1875;16.0;0.0;1.0;7.5;0.0;5.0;0.0;1.5;1.9375;0.0;16.0;7.7125;1.0;0.0;0.0;16.0;0.0;0.0;2.0;0.3386246693120078;1.0;0.6020797289396148;2.0;82.0;6.0;0.6562643506039733;7.7125;0.4472135954999579;1.3165611772087666;1.0
