;Si_count;blamemerge_blamegetDifficulty_count;blame_merge_blame_getDistinctOperatorsCnt_min;Difficulty;MCLC_50%;IOVars_25%;blamemerge_blamegetDifficulty_std;MCLC_max;NumberOfDistinctOperators;NVAR_75%;blame_merge_blame_getDifficulty_std;Ci_std;blamemerge_blamegetDistinctOperatorsCnt_count;Ci_50%;IOVars_min;NOP_75%;Fin_max;blame_merge_blame_getDistinctOperandsCnt_min;Fout_min;blamemerge_blamegetDistinctOperatorsCnt_std;Di_75%;ClTCi;Fin_25%;NCOMP_std;NCOMP_mean;Fout_50%;blamemerge_blamegetDistinctOperatorsCnt_mean;VG_75%;NBD_min;Fin_count;Si_75%;NBD_75%;NVAR_max;NOP_count;Fout_std;MCLC_min;Di_max;blamemerge_blamegetDistinctOperandsCnt_std;Bugged;blame_merge_blame_getDistinctOperatorsCnt_count;IOVars_mean;MCLC_75%;VG_count;Di_25%;VG_max;blame_merge_blame_getDifficulty_count;NOPa;NCOMP_min;Si_50%;Di_mean;blame_merge_blame_getDistinctOperatorsCnt_mean;NCOMP_count;blame_merge_blame_getDistinctOperandsCnt_max;Si_mean;NVAR_std;NBD_25%;blame_merge_blame_getDistinctOperandsCnt_count;Si_max;Si_min;VG_min;Fin_min;MCLC_25%;NVAR_min;blame_merge_blame_getDistinctOperandsCnt_std;IOVars_75%;Fin_75%;MCLC_count;Fout_75%;blame_merge_blame_getDifficulty_min;VG_std;NVAR_mean;MCLC_mean;NVAR_50%;Ci_75%;NBD_mean;IOVars_50%;Si_25%;blamemerge_blamegetDistinctOperandsCnt_mean;blamemerge_blamegetDistinctOperandsCnt_count;NVAR_count;Di_50%;NOP_mean;NOP_max;Di_count;NOP_std;Si_std;Ci_max;NOP_min;Fin_std;Fin_mean;NOP_50%;Ci_25%;NCOMP_75%;blame_merge_blame_getDifficulty_mean;blamemerge_blamegetDistinctOperatorsCnt_max;blamemerge_blamegetDistinctOperandsCnt_max;NOP_25%;Ci_count;NCOMP_max;Fout_mean;IOVars_count;NCOMP_50%;Fout_25%;blamemerge_blamegetDifficulty_max;NVAR_25%;NBD_max;blame_merge_blame_getDistinctOperandsCnt_mean;VG_50%;VG_mean;Di_min;Fout_count;ClRCi;VG_25%;blame_merge_blame_getDistinctOperatorsCnt_std;NCOMP_25%;NBD_count;blame_merge_blame_getDifficulty_max;blame_merge_blame_getDistinctOperatorsCnt_max;Fin_50%;Di_std;IOVars_max;MCLC_std;NBD_50%;NumberOfDistinctOperands;Fout_max;blamemerge_blamegetDifficulty_mean;Ci_mean;IOVars_std;NBD_std;Ci_min
count;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1503;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
mean;1.6345788473717542;4395.89170360988;0.0;21.027740146105607;0.36003799873337555;0.5541481950601647;0.8746461727657596;1.156428119062698;16.338188727042432;0.25158328055731477;0.0;0.1950747895381733;4395.89170360988;0.6337872070930969;0.4825839138695377;0.44062697910069665;0.14186193793540217;0.0;0.0;1.5595392882165307;0.6901229681234958;4.314006755330588;0.002849905003166561;0.2561474555377775;0.2662819391077516;0.012032932235592146;1.1857572325918888;0.6990183660544649;0.4046865104496517;1.6345788473717542;0.04449018366054465;0.5683977200759974;0.5091830272324256;1.6345788473717542;0.03719021364464933;0.155794806839772;0.824255858138062;2.314450083963819;;0.0;0.6394993278047586;0.5816972767574414;1.6345788473717542;0.5430916191687778;1.0772640911969602;0.0;0.0;0.08423052564914503;0.013299556681443952;0.6246202209519881;0.0;1.6345788473717542;0.0;0.04204065679305107;0.18592804767590992;0.43856871437618744;0.0;0.2039265357821406;0.0;0.44268524382520585;0.0;0.22229259024699177;0.06269791006966434;0.0;0.7045598480050665;0.021849271690943636;1.6345788473717542;0.030873970867637747;0.0;0.2611176890842058;0.19851265409162372;0.4647945931993753;0.1488283723875871;0.7251213848432554;0.5189648703396412;0.6241291956934769;0.004274857504749842;1.4328293314361864;4395.89170360988;1.6345788473717542;0.6080852860459152;0.3753237117224027;0.5820139328689043;1.6345788473717542;0.15737377672498323;0.07550676684746915;0.9708465273381888;0.23622545915136162;0.04925994657939637;0.024492313319811172;0.3562381253958201;0.5644395186827106;0.33280557314756176;0.0;6.3027232425585815;8.98163394553515;0.28657378087397084;1.6345788473717542;0.707409753008233;0.024083034033161133;1.6345788473717542;0.1934768841038632;0.004274857504749842;3.791446082065145;0.090880303989867;0.7245091830272324;0.0;0.5655478150728309;0.6321827867688498;0.4718070508758708;1.6345788473717542;0.7335199568910702;0.4855921469284357;0.0;0.11922102596580114;1.6345788473717542;0.0;0.0;0.008866371120962635;0.1536658656228753;0.8429385687143762;0.4109790553716217;0.49588347055098164;49.429385687143764;0.09119696010132995;0.5469308715925266;0.6666608777450392;0.1578105437819797;0.14054020669733552;0.4905003166561115
std;4.07363715147897;9334.38587050692;0.0;20.603310680883414;1.3337455947854826;0.9559765739616585;0.34384416917338817;3.439165520431875;7.633202738231182;0.7625153665881238;0.0;0.6416101668630272;9334.38587050692;1.0390963073423765;0.9188461442348729;0.8198354031574872;0.9994367634045977;0.0;0.0;0.5499753173646255;1.1176071867715398;10.792825177089236;0.04068625066698795;0.8922283619196559;0.9412097194882675;0.10760491472373368;0.679771378231757;1.4220105677510115;0.6270241341287383;4.07363715147897;0.37002899947829665;0.9179722398308106;1.4864442064966086;4.07363715147897;0.17446777922697557;1.0243160497536392;1.3423682325964916;0.6408510981864723;;0.0;1.0373052450209383;1.774290241948365;4.07363715147897;0.9484539106376145;2.4974732200187866;0.0;0.0;0.6837778733118225;0.13838812567124228;1.0250052550309234;0.0;4.07363715147897;0.0;0.3222266228287721;0.5602720954700263;0.6831955247425103;0.0;1.6229375437455076;0.0;0.9669975662505372;0.0;1.0982617619949004;0.4049698442066958;0.0;1.1314302693637035;0.1631366346057291;4.07363715147897;0.18530007506785792;0.0;0.8175007034216589;0.6001756510681221;1.4456779403301625;0.5572573002322878;1.1826864389023903;0.809631370309687;1.0329399505647945;0.05505870073975729;0.8115265924890958;9334.38587050692;4.07363715147897;1.0177864676866795;0.7154760232800299;1.044063790575945;4.07363715147897;0.3753138769022911;0.5718444196535661;2.0645124802714085;0.6201557021346151;0.264724765889048;0.1313551413938688;0.7223421867568032;0.9583903478848825;1.1427668797769654;0.0;2.28502846008698;1.8451572941252732;0.649571060651234;4.07363715147897;2.2832979430555267;0.12432142913066199;4.07363715147897;0.8636963376628305;0.05505870073975729;1.7099830986456948;0.4463154865643613;1.3218360829929647;0.0;1.1570212730647769;1.2488154833364882;0.914503034568536;4.07363715147897;1.1197986335928967;1.0253781401911637;0.0;0.7220144777792902;4.07363715147897;0.0;0.0;0.10187056203620949;0.37892886638055273;1.3652041925484317;1.3070194694857762;0.7827040494323724;38.05135343740515;0.4424179141247958;0.34184831194306586;1.089289035274191;0.38983027255549957;0.39729546104632735;0.9192207205280252
min;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;372.0;0.0;8.534855769230768;0.0;0.0;0.6101105551632049;0.0;11.0;0.0;0.0;0.0;372.0;0.0;0.0;0.0;0.0;0.0;0.0;1.1833689738262034;0.0;0.0;0.0;0.0;0.0;0.0;0.6666666666666666;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.9055639555215085;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.902439024390244;372.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;0.2882123081091093;0.0;0.0;0.0;0.0
50%;0.0;1106.0;0.0;14.567567567567568;0.0;0.0;0.8741468499205717;0.0;15.0;0.0;0.0;0.0;1106.0;0.0;0.0;0.0;0.0;0.0;0.0;1.544926788425056;0.0;0.0;0.0;0.0;0.0;0.0;1.0813648293963254;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.3168885909252945;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.296366262918102;1106.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.0;0.0;0.4881656804733728;0.0;0.0;0.0;0.0
75%;1.0;4169.0;0.0;25.49158485273492;0.0;1.0;1.132504623530701;0.0;20.0;0.0;0.0;0.0;4169.0;1.0;1.0;1.0;0.0;0.0;0.0;1.9730539660581563;1.0;4.0;0.0;0.0;0.0;0.0;1.6189868028948489;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;2.701891053693033;;0.0;1.1602564102564101;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.25;1.0;1.0;0.0;1.7643806650685072;4169.0;1.0;1.0;0.5;1.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.25;1.0;0.0;0.0;8.0;10.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;4.8;0.0;1.0;0.0;1.0;1.0;1.0;1.0;1.5477272725;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;63.0;0.0;0.7590802737348177;1.25;0.0;0.0;1.0
