;Cohesion;NumberOfInheritedMethods;NumberOfProtectedAttributes;NumberOfAttributes;NumberOfPolymorphicMethods;NumberPublicMethods;NumberUserDefinedAttributes;NumberOfSubclasses;NumberOfMethods_Mood;Bugged;NumberOfPublicAttributes;NumberOfCoupledClasses;NumberOfPrivateAttributes;NumberOfAncestors
count;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579.0;1579;1579.0;1579.0;1579.0;1579.0
unique;;;;;;;;;;2;;;;
top;;;;;;;;;;False;;;;
freq;;;;;;;;;;1503;;;;
mean;0.20788716602241497;0.0;0.045598480050664976;1.2539582013932868;2.264724509183027;2.3723875870804307;0.06269791006966434;0.0037998733375554147;2.953768207726409;;0.034198860037998734;0.12539582013932868;1.1741608613046233;0.0
std;0.3279956367184561;0.0;0.5320625561415484;1.8287180230653974;3.939767123904234;3.974493781988479;0.38243508598928183;0.15099417215685007;4.59828762688862;;0.2893912819035711;0.43687131371611443;1.690408670175973;0.0
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;2.0;;0.0;0.0;1.0;0.0
75%;0.3333333333333333;0.0;0.0;2.0;3.0;3.0;0.0;0.0;4.0;;0.0;0.0;2.0;0.0
max;1.0;0.0;14.0;18.0;54.0;54.0;7.0;6.0;54.0;;6.0;6.0;16.0;0.0
