;NumberOfModifiers;WMC_CK;CBO;NumberOfLambdas;NumberOfAssignments;NumberOfLogStatements;IsConstructor;NumberOfLoops;RFC;NumberOfMathOperations;MaxNumberOfNestedBlocks;Returns;NumberOfAnonymousClasses;NumberOfNumbers;NumberOfParameters_CK;NumberOfInnerClasses;NumberOfParenthesizedExps;NumberOfStringLiterals;LOCMethod_CK;NumberOfVariables;BuggedMethods;NumberOfComparisons;NumberOfTryCatch;NumberOfUniqueWords
count;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851;4851.0;4851.0;4851.0
unique;;;;;;;2;;;;;;;;;;;;;;2;;;
top;;;;;;;False;;;;;;;;;;;;;;False;;;
freq;;;;;;;4740;;;;;;;;;;;;;;4752;;;
mean;1.5040197897340755;0.8612657184085756;1.305916305916306;0.0;0.5433931148216863;0.010101010101010102;;0.03339517625231911;1.696969696969697;0.07421150278293136;0.1401772830344259;0.4013605442176871;0.0041228612657184084;0.2352092352092352;0.191713048855906;0.0;0.04329004329004329;0.5479282622139765;3.70995670995671;0.34714491857349;;0.10554524840239125;0.0026798598227169654;4.9400123685837976
std;3.402142187919955;1.1360659038245877;2.1067402974331952;0.0;1.3504955752726238;0.12559553024505363;;0.25387308357999944;3.379213153534367;0.48168173155630617;0.48240793097047496;0.6516515134099806;0.06408361608438341;1.332745887459983;0.5184645977165292;0.0;0.5915049983508502;2.0576037849604467;6.919670290263881;0.9395554944981693;;0.5064452286804476;0.05170328076352897;6.5517062167318265
min;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
50%;1.0;1.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;;0.0;0.0;3.0
75%;1.0;1.0;2.0;0.0;1.0;0.0;;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;;0.0;0.0;7.0
max;42.0;19.0;29.0;0.0;18.0;3.0;;7.0;29.0;14.0;6.0;13.0;1.0;27.0;12.0;0.0;20.0;44.0;132.0;9.0;;11.0;1.0;69.0
