;NVAR;NBD;NCOMP;IOVars;Si;Ci;BuggedMethods;Fin;MCLC;Fout;VG;Di;NOP
count;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0;4851;4851.0;4851.0;4851.0;4851.0;4851.0;4851.0
unique;;;;;;;2;;;;;;
top;;;;;;;False;;;;;;
freq;;;;;;;4752;;;;;;
mean;0.11626468769325912;0.3745619459905174;0.18243661100803957;0.31931560502989076;0.08761080189651618;0.3890400604687693;;0.0676149247577819;0.2987012987012987;0.04885590599876314;0.4475365903937332;0.30142925857225317;0.11688311688311688
std;0.5829938225594459;0.7389629043791717;0.911500812838776;0.6402931235647217;0.8971622397146978;1.0891399306435914;;0.6125529313849863;1.3675308336810603;0.2919614260209457;1.063295602647411;0.6191410525388471;0.3623313038618117
min;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
50%;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
75%;0.0;1.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;1.0;0.0;0.0
max;11.0;11.0;19.0;7.0;36.0;36.0;;28.0;23.0;6.0;17.0;7.0;6.0
