;NumberOfLogStatements;NBD;MethodLength;NumberOfTryCatch;NOP;NVAR;NumberOfParameters_CK;NumberOfAnonymousClasses;NumberOfStringLiterals;CBO;Si;NumberOfNumbers;IsConstructor;NumberOfVariables;NumberOfAssignments;NumberOfMathOperations;MCLC;Di;Fout;NCOMP;MaxNumberOfNestedBlocks;LOCMethod_CK;FileLength;Maximum Depth;NumberOfLoops;IOVars;Fin;RFC;VG;NumberOfLambdas;AnonymousInnerClassLength;WMC_CK;NumberOfInnerClasses;NumberOfUniqueWords;NumberOfParenthesizedExps;NumberOfComparisons;NumberOfModifiers;BuggedMethods;Returns;Ci
count;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541;11541.0;11541.0
unique;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;2;;
top;;;;;;;;;;;;;False;;;;;;;;;;;;;;;;;;;;;;;;;False;;
freq;;;;;;;;;;;;;11259;;;;;;;;;;;;;;;;;;;;;;;;;11467;;
mean;0.05484793345463998;0.5302833376657136;8.535742136729919;0.007365046356468244;0.19218438610172428;0.20925396412789185;0.221731219131791;0.0006931808335499523;1.5367819079802443;1.6664933714582792;0.11714756086994195;0.8706351269387401;;0.9490512087340786;1.3718048695953557;0.20483493631401092;0.5147734165150334;0.4394807401616844;0.03795165063685989;0.3055194523871415;0.20500823152239842;5.727579932414868;22.001039771250326;0.9771250324928515;0.08006238627501949;0.4524737890997314;0.05276839095399012;2.5522918291309247;0.6534095832250238;0.0;0.03751841261589117;1.025041157611992;0.0;10.273199896022875;0.07867602460791959;0.13569014816740319;1.1038904774282992;;0.33636599948011436;0.5566283010316263
std;0.42539422618435835;0.8070672442226934;16.48383091581132;0.0951027771417744;0.4332112800230399;0.9045260580304352;0.5162514711618307;0.03722903787530091;5.594420624275813;2.79897438796805;3.0261371023742494;5.719496425613886;;2.336212589719061;3.1675563038411827;1.1786580732344893;2.4689182429780647;0.6536906569848038;0.34017239703890906;1.8765805218577358;0.5509524228908111;9.749565654047982;117.83303332435965;1.1818955271674754;0.37444613691758494;0.6635588803084115;0.48180625361582;4.819422826941595;1.5114134905509542;0.0;1.5429931784174375;1.7501612479673103;0.0;14.079440376339702;0.5876075932789077;0.6422116538309454;9.799207848814119;;0.7550079590303339;3.087298986119829
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0
50%;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;5.0;0.0;0.0;1.0;;0.0;0.0
75%;0.0;1.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;7.0;0.0;2.0;0.0;1.0;0.0;3.0;1.0;0.0;0.0;1.0;0.0;15.0;0.0;0.0;1.0;;1.0;1.0
max;13.0;11.0;298.0;2.0;13.0;32.0;17.0;3.0;212.0;27.0;289.0;254.0;;32.0;47.0;38.0;64.0;14.0;17.0;58.0;7.0;194.0;3695.0;7.0;9.0;14.0;24.0;57.0;52.0;0.0;138.0;55.0;0.0;115.0;20.0;23.0;1028.0;;18.0;289.055555556
