;NumberOfProtectedMethod;NumberOfPrivateMethod;MethodLength;NBD;NVAR;NOP;NPathComplexity;BooleanExpressionComplexity;Si;CyclomaticComplexity;ThrowsCount;NumberOfMathOperations;NCSSForThisClass;MCLC;Di;NumberOfMethods_Checkstyle;Fout;NCOMP;MaxNumberOfNestedBlocks;FileLength;Maximum Depth;ClassFanOutComplexity;NestedTryDepth;IOVars;Fin;VG;ExecutableStatementCount;AnonymousInnerClassLength;NumberOfPublicMethods_Checkstyle;WMC_CK;NumberOfPackageMethod;NestedForDepth;ClassDataAbstractionCoupling;NCSSForThisMethod;NumberOfModifiers;BuggedMethods;Ci;NCSSForThisFile;NestedIfElseDepth
count;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541.0;11541;11541.0;11541.0;11541.0
unique;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;
top;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;False;;;
freq;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11467;;;
mean;0.019409063339398666;0.05788059960142102;8.535742136729919;0.5302833376657136;0.20925396412789185;0.19218438610172428;9.29139589290356;0.029113595009098;0.11714756086994195;1.0174161684429426;0.2886231695693614;0.20483493631401092;6.429858764405164;0.5147734165150334;0.4394807401616844;0.6761979031279786;0.03795165063685989;0.3055194523871415;0.20500823152239842;22.001039771250326;0.9771250324928515;0.8870981717355515;0.0012997140629061607;0.4524737890997314;0.05276839095399012;0.6534095832250238;3.8515726540161164;0.03751841261589117;0.5938826791439217;1.025041157611992;0.005892037085174595;0.0017329520838748808;0.28411749415128673;4.698986223030933;1.1038904774282992;;0.5566283010316263;7.692747595528983;0.02443462438263582
std;0.3536945839787104;0.7222231084122355;16.48383091581132;0.8070672442226934;0.9045260580304352;0.4332112800230399;244.11513553342033;0.19575606262691936;3.0261371023742494;1.7410205216150765;0.5031612562134387;1.1786580732344893;43.09358088195524;2.4689182429780647;0.6536906569848038;3.7590900983832998;0.34017239703890906;1.8765805218577358;0.5509524228908111;117.83303332435965;1.1818955271674754;4.175980347729729;0.03835945140444463;0.6635588803084115;0.48180625361582;1.5114134905509542;7.903439919503853;1.5429931784174375;3.3812041392520626;1.7501612479673103;0.15341274892233409;0.04159445720131431;1.7312345885962386;8.600483028930373;9.799207848814119;;3.087298986119829;47.83275355042918;0.18503581458661209
min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
25%;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0
50%;0.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;;0.0;0.0;0.0
75%;0.0;0.0;10.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;1.0;4.0;0.0;0.0;1.0;0.0;0.0;0.0;5.0;1.0;;1.0;0.0;0.0
max;16.0;27.0;298.0;11.0;32.0;13.0;10000.0;4.0;289.0;53.0;3.0;38.0;1989.0;64.0;14.0;94.0;17.0;58.0;7.0;3695.0;7.0;82.0;2.0;14.0;24.0;52.0;134.0;138.0;89.0;55.0;9.0;1.0;50.0;158.0;1028.0;;289.055555556;2025.0;5.0
